trade_date,calendar_date,dte_remaining,pnl_usd
2022-06-21,2022-06-21,1,0.0
2022-06-21,2022-06-21,0,-2425.0
2022-06-22,2022-06-22,1,0.0
2022-06-22,2022-06-22,0,-1726.01
2022-06-23,2022-06-23,1,0.0
2022-06-23,2022-06-23,0,-1307.0
2022-06-24,2022-06-24,1,0.0
2022-06-24,2022-06-24,0,2076.0
2022-06-27,2022-06-27,1,0.0
2022-06-27,2022-06-27,0,-2388.99
2022-06-28,2022-06-28,1,0.0
2022-06-28,2022-06-28,0,-1740.0
2022-06-29,2022-06-29,1,0.0
2022-06-29,2022-06-29,0,-2168.01
2022-06-30,2022-06-30,1,0.0
2022-06-30,2022-06-30,0,1187.99
2022-07-01,2022-07-01,1,0.0
2022-07-01,2022-07-01,0,-486.99
2022-07-05,2022-07-05,1,0.0
2022-07-05,2022-07-05,0,-38.99
2022-07-06,2022-07-06,1,0.0
2022-07-06,2022-07-06,0,-1361.99
2022-07-07,2022-07-07,1,0.0
2022-07-07,2022-07-07,0,-1457.99
2022-07-08,2022-07-08,1,0.0
2022-07-08,2022-07-08,0,272.99
2022-07-11,2022-07-11,1,0.0
2022-07-11,2022-07-11,0,-2207.99
2022-07-12,2022-07-12,1,0.0
2022-07-12,2022-07-12,0,540.0
2022-07-13,2022-07-13,1,0.0
2022-07-13,2022-07-13,0,-1232.0
2022-07-18,2022-07-18,1,0.0
2022-07-18,2022-07-18,0,-254.99
2022-07-19,2022-07-19,1,0.0
2022-07-19,2022-07-19,0,596.01
2022-07-20,2022-07-20,1,0.0
2022-07-20,2022-07-20,0,1084.99
2022-07-21,2022-07-21,1,0.0
2022-07-21,2022-07-21,0,1545.0
2022-07-22,2022-07-22,1,0.0
2022-07-22,2022-07-22,0,1107.01
2022-07-25,2022-07-25,1,0.0
2022-07-25,2022-07-25,0,-1790.0
2022-07-26,2022-07-26,1,0.0
2022-07-26,2022-07-26,0,20.0
2022-07-27,2022-07-27,1,0.0
2022-07-27,2022-07-27,0,1558.99
2022-07-28,2022-07-28,1,0.0
2022-07-28,2022-07-28,0,-552.99
2022-07-29,2022-07-29,1,0.0
2022-07-29,2022-07-29,0,724.0
2022-08-01,2022-08-01,1,0.0
2022-08-01,2022-08-01,0,-1497.99
2022-08-02,2022-08-02,1,0.0
2022-08-02,2022-08-02,0,-1428.99
2022-08-03,2022-08-03,1,0.0
2022-08-03,2022-08-03,0,581.99
2022-08-04,2022-08-04,1,0.0
2022-08-04,2022-08-04,0,-1543.99
2022-08-05,2022-08-05,1,0.0
2022-08-05,2022-08-05,0,-706.01
2022-08-08,2022-08-08,1,0.0
2022-08-08,2022-08-08,0,2478.99
2022-08-09,2022-08-09,1,0.0
2022-08-09,2022-08-09,0,-1830.0
2022-08-10,2022-08-10,1,0.0
2022-08-10,2022-08-10,0,-245.98
2022-08-11,2022-08-11,1,0.0
2022-08-11,2022-08-11,0,2388.0
2022-08-12,2022-08-12,1,0.0
2022-08-12,2022-08-12,0,1610.01
2022-08-15,2022-08-15,1,0.0
2022-08-15,2022-08-15,0,-900.0
2022-08-16,2022-08-16,1,0.0
2022-08-16,2022-08-16,0,-549.98
2022-08-17,2022-08-17,1,0.0
2022-08-17,2022-08-17,0,-1679.0
2022-08-22,2022-08-22,1,0.0
2022-08-22,2022-08-22,0,860.98
2022-08-23,2022-08-23,1,0.0
2022-08-23,2022-08-23,0,-683.0
2022-08-24,2022-08-24,1,0.0
2022-08-24,2022-08-24,0,-628.0
2022-08-25,2022-08-25,1,0.0
2022-08-25,2022-08-25,0,1222.01
2022-08-26,2022-08-26,1,0.0
2022-08-26,2022-08-26,0,-1580.0
2022-08-29,2022-08-29,1,0.0
2022-08-29,2022-08-29,0,-2305.0
2022-08-30,2022-08-30,1,0.0
2022-08-30,2022-08-30,0,1109.01
2022-08-31,2022-08-31,1,0.0
2022-08-31,2022-08-31,0,2220.0
2022-09-01,2022-09-01,1,0.0
2022-09-01,2022-09-01,0,775.01
2022-09-02,2022-09-02,1,0.0
2022-09-02,2022-09-02,0,611.0
2022-09-06,2022-09-06,1,0.0
2022-09-06,2022-09-06,0,-1913.99
2022-09-07,2022-09-07,1,0.0
2022-09-07,2022-09-07,0,2312.99
2022-09-08,2022-09-08,1,0.0
2022-09-08,2022-09-08,0,1352.99
2022-09-09,2022-09-09,1,0.0
2022-09-09,2022-09-09,0,-43.99
2022-09-12,2022-09-12,1,0.0
2022-09-12,2022-09-12,0,-1845.0
2022-09-13,2022-09-13,1,0.0
2022-09-13,2022-09-13,0,-76.01
2022-09-14,2022-09-14,1,0.0
2022-09-14,2022-09-14,0,-1796.0
2022-09-19,2022-09-19,1,0.0
2022-09-19,2022-09-19,0,1188.99
2022-09-20,2022-09-20,1,0.0
2022-09-20,2022-09-20,0,-2202.01
2022-09-21,2022-09-21,1,0.0
2022-09-21,2022-09-21,0,2767.99
2022-09-22,2022-09-22,1,0.0
2022-09-22,2022-09-22,0,-2164.0
2022-09-23,2022-09-23,1,0.0
2022-09-23,2022-09-23,0,-2430.0
2022-09-26,2022-09-26,1,0.0
2022-09-26,2022-09-26,0,1511.0
2022-09-27,2022-09-27,1,0.0
2022-09-27,2022-09-27,0,2321.0
2022-09-28,2022-09-28,1,0.0
2022-09-28,2022-09-28,0,3119.0
2022-09-29,2022-09-29,1,0.0
2022-09-29,2022-09-29,0,-2322.0
2022-09-30,2022-09-30,1,0.0
2022-09-30,2022-09-30,0,2647.99
2022-10-03,2022-10-03,1,0.0
2022-10-03,2022-10-03,0,1612.01
2022-10-04,2022-10-04,1,0.0
2022-10-04,2022-10-04,0,-692.01
2022-10-05,2022-10-05,1,0.0
2022-10-05,2022-10-05,0,-42.0
2022-10-06,2022-10-06,1,0.0
2022-10-06,2022-10-06,0,323.0
2022-10-07,2022-10-07,1,0.0
2022-10-07,2022-10-07,0,34.01
2022-10-10,2022-10-10,1,0.0
2022-10-10,2022-10-10,0,-1313.99
2022-10-11,2022-10-11,1,0.0
2022-10-11,2022-10-11,0,-1705.99
2022-10-12,2022-10-12,1,0.0
2022-10-12,2022-10-12,0,-1023.0
2022-10-13,2022-10-13,1,0.0
2022-10-13,2022-10-13,0,-2850.0
2022-10-14,2022-10-14,1,0.0
2022-10-14,2022-10-14,0,267.01
2022-10-17,2022-10-17,1,0.0
2022-10-17,2022-10-17,0,-1545.0
2022-10-18,2022-10-18,1,0.0
2022-10-18,2022-10-18,0,-193.0
2022-10-19,2022-10-19,1,0.0
2022-10-19,2022-10-19,0,-2355.0
2022-10-24,2022-10-24,1,0.0
2022-10-24,2022-10-24,0,-1590.99
2022-10-25,2022-10-25,1,0.0
2022-10-25,2022-10-25,0,-878.99
2022-10-26,2022-10-26,1,0.0
2022-10-26,2022-10-26,0,-2309.99
2022-10-27,2022-10-27,1,0.0
2022-10-27,2022-10-27,0,-1020.0
2022-10-28,2022-10-28,1,0.0
2022-10-28,2022-10-28,0,1478.99
2022-10-31,2022-10-31,1,0.0
2022-10-31,2022-10-31,0,-2132.0
2022-11-01,2022-11-01,1,0.0
2022-11-01,2022-11-01,0,1119.99
2022-11-02,2022-11-02,1,0.0
2022-11-02,2022-11-02,0,2688.99
2022-11-03,2022-11-03,1,0.0
2022-11-03,2022-11-03,0,-1056.01
2022-11-04,2022-11-04,1,0.0
2022-11-04,2022-11-04,0,-845.0
2022-11-07,2022-11-07,1,0.0
2022-11-07,2022-11-07,0,1445.0
2022-11-08,2022-11-08,1,0.0
2022-11-08,2022-11-08,0,-403.99
2022-11-09,2022-11-09,1,0.0
2022-11-09,2022-11-09,0,1782.99
2022-11-10,2022-11-10,1,0.0
2022-11-10,2022-11-10,0,1692.99
2022-11-11,2022-11-11,1,0.0
2022-11-11,2022-11-11,0,172.99
2022-11-14,2022-11-14,1,0.0
2022-11-14,2022-11-14,0,-120.0
2022-11-15,2022-11-15,1,0.0
2022-11-15,2022-11-15,0,1067.0
2022-11-16,2022-11-16,1,0.0
2022-11-16,2022-11-16,0,-1124.0
2022-11-21,2022-11-21,1,0.0
2022-11-21,2022-11-21,0,-1233.99
2022-11-22,2022-11-22,1,0.0
2022-11-22,2022-11-22,0,2138.01
2022-11-23,2022-11-23,1,0.0
2022-11-23,2022-11-23,0,-1199.0
2022-11-25,2022-11-25,1,0.0
2022-11-25,2022-11-25,0,-1095.0
2022-11-28,2022-11-28,1,0.0
2022-11-28,2022-11-28,0,1969.01
2022-11-29,2022-11-29,1,0.0
2022-11-29,2022-11-29,0,-1362.99
2022-11-30,2022-11-30,1,0.0
2022-11-30,2022-11-30,0,-1690.0
2022-12-01,2022-12-01,1,0.0
2022-12-01,2022-12-01,0,-717.01
2022-12-02,2022-12-02,1,0.0
2022-12-02,2022-12-02,0,1830.0
2022-12-05,2022-12-05,1,0.0
2022-12-05,2022-12-05,0,1400.99
2022-12-06,2022-12-06,1,0.0
2022-12-06,2022-12-06,0,1044.0
2022-12-07,2022-12-07,1,0.0
2022-12-07,2022-12-07,0,-1378.01
2022-12-08,2022-12-08,1,0.0
2022-12-08,2022-12-08,0,-1660.0
2022-12-09,2022-12-09,1,0.0
2022-12-09,2022-12-09,0,-182.99
2022-12-12,2022-12-12,1,0.0
2022-12-12,2022-12-12,0,2381.99
2022-12-13,2022-12-13,1,0.0
2022-12-13,2022-12-13,0,-165.01
2022-12-14,2022-12-14,1,0.0
2022-12-14,2022-12-14,0,-1145.0
2022-12-19,2022-12-19,1,0.0
2022-12-19,2022-12-19,0,559.01
2022-12-20,2022-12-20,1,0.0
2022-12-20,2022-12-20,0,-1577.99
2022-12-21,2022-12-21,1,0.0
2022-12-21,2022-12-21,0,1133.99
2022-12-22,2022-12-22,1,0.0
2022-12-22,2022-12-22,0,-898.99
2022-12-23,2022-12-23,1,0.0
2022-12-23,2022-12-23,0,1507.99
2022-12-27,2022-12-27,1,0.0
2022-12-27,2022-12-27,0,-1325.0
2022-12-28,2022-12-28,1,0.0
2022-12-28,2022-12-28,0,1227.0
2022-12-29,2022-12-29,1,0.0
2022-12-29,2022-12-29,0,-117.0
2022-12-30,2022-12-30,1,0.0
2022-12-30,2022-12-30,0,185.0
2023-01-03,2023-01-03,1,0.0
2023-01-03,2023-01-03,0,-1283.99
2023-01-04,2023-01-04,1,0.0
2023-01-04,2023-01-04,0,-1858.0
2023-01-05,2023-01-05,1,0.0
2023-01-05,2023-01-05,0,-1200.01
2023-01-06,2023-01-06,1,0.0
2023-01-06,2023-01-06,0,-1028.01
2023-01-09,2023-01-09,1,0.0
2023-01-09,2023-01-09,0,2165.99
2023-01-10,2023-01-10,1,0.0
2023-01-10,2023-01-10,0,150.0
2023-01-11,2023-01-11,1,0.0
2023-01-11,2023-01-11,0,1326.01
2023-01-12,2023-01-12,1,0.0
2023-01-12,2023-01-12,0,1436.99
2023-01-13,2023-01-13,1,0.0
2023-01-13,2023-01-13,0,1594.01
2023-01-17,2023-01-17,1,0.0
2023-01-17,2023-01-17,0,-1202.0
2023-01-18,2023-01-18,1,0.0
2023-01-18,2023-01-18,0,-1128.99
2023-01-23,2023-01-23,1,0.0
2023-01-23,2023-01-23,0,901.01
2023-01-24,2023-01-24,1,0.0
2023-01-24,2023-01-24,0,-100.0
2023-01-25,2023-01-25,1,0.0
2023-01-25,2023-01-25,0,558.0
2023-01-26,2023-01-26,1,0.0
2023-01-26,2023-01-26,0,822.99
2023-01-27,2023-01-27,1,0.0
2023-01-27,2023-01-27,0,-1308.99
2023-01-30,2023-01-30,1,0.0
2023-01-30,2023-01-30,0,1923.0
2023-01-31,2023-01-31,1,0.0
2023-01-31,2023-01-31,0,1619.99
2023-02-01,2023-02-01,1,0.0
2023-02-01,2023-02-01,0,466.0
2023-02-02,2023-02-02,1,0.0
2023-02-02,2023-02-02,0,1210.98
2023-02-03,2023-02-03,1,0.0
2023-02-03,2023-02-03,0,-1028.0
2023-02-06,2023-02-06,1,0.0
2023-02-06,2023-02-06,0,-1820.0
2023-02-07,2023-02-07,1,0.0
2023-02-07,2023-02-07,0,905.0
2023-02-08,2023-02-08,1,0.0
2023-02-08,2023-02-08,0,1429.01
2023-02-09,2023-02-09,1,0.0
2023-02-09,2023-02-09,0,380.0
2023-02-10,2023-02-10,1,0.0
2023-02-10,2023-02-10,0,-399.0
2023-02-13,2023-02-13,1,0.0
2023-02-13,2023-02-13,0,569.0
2023-02-14,2023-02-14,1,0.0
2023-02-14,2023-02-14,0,-1432.99
2023-02-15,2023-02-15,1,0.0
2023-02-15,2023-02-15,0,1550.01
2023-02-21,2023-02-21,1,0.0
2023-02-21,2023-02-21,0,1430.99
2023-02-22,2023-02-22,1,0.0
2023-02-22,2023-02-22,0,-940.0
2023-02-23,2023-02-23,1,0.0
2023-02-23,2023-02-23,0,-907.01
2023-02-24,2023-02-24,1,0.0
2023-02-24,2023-02-24,0,-461.0
2023-02-27,2023-02-27,1,0.0
2023-02-27,2023-02-27,0,581.0
2023-02-28,2023-02-28,1,0.0
2023-02-28,2023-02-28,0,-1259.99
2023-03-01,2023-03-01,1,0.0
