trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,spot_exit,result,exit_method,in_range,call_lower,call_center,call_upper,call_debit,put_lower,put_center,put_upper,put_debit
2022-06-21,2022-06-21,SPX,1,290.0,-290.0,30.19,3764.79,LOSS,expiration,False,3810.0,3840.0,3870.0,1.45,3645.0,3675.0,3705.0,1.45
2022-06-22,2022-06-22,SPX,1,310.0,-310.0,28.95,3759.89,LOSS,expiration,False,3795.0,3825.0,3855.0,1.6,3630.0,3660.0,3690.0,1.5
2022-06-23,2022-06-23,SPX,1,305.0,-305.0,29.05,3795.73,LOSS,expiration,False,3835.0,3865.0,3895.0,1.55,3670.0,3700.0,3730.0,1.5
2022-06-24,2022-06-24,SPX,1,315.0,1359.0,27.23,3911.74,WIN,expiration,True,3895.0,3925.0,3955.0,1.55,3740.0,3770.0,3800.0,1.6
2022-06-27,2022-06-27,SPX,1,320.0,-320.0,26.95,3900.11,LOSS,expiration,False,3950.0,3980.0,4010.0,1.65,3780.0,3810.0,3840.0,1.55
2022-06-28,2022-06-28,SPX,1,445.0,-445.0,28.36,3821.55,LOSS,expiration,False,3965.0,3995.0,4025.0,2.85,3830.0,3860.0,3890.0,1.6
2022-06-29,2022-06-29,SPX,1,285.0,-285.0,28.16,3818.83,LOSS,expiration,False,3880.0,3910.0,3940.0,1.5,3705.0,3735.0,3765.0,1.35
2022-06-30,2022-06-30,SPX,1,290.0,-290.0,28.71,3785.38,LOSS,expiration,False,3805.0,3835.0,3865.0,1.55,3620.0,3650.0,3680.0,1.35
2022-07-01,2022-07-01,SPX,1,315.0,-315.0,26.7,3825.33,LOSS,expiration,False,3850.0,3880.0,3910.0,1.6,3685.0,3715.0,3745.0,1.55
2022-07-05,2022-07-05,SPX,1,275.0,1863.99,27.54,3831.39,WIN,expiration,True,3810.0,3840.0,3870.0,1.35,3630.0,3660.0,3690.0,1.4
2022-07-06,2022-07-06,SPX,1,300.0,-300.0,26.73,3845.08,LOSS,expiration,False,3895.0,3925.0,3955.0,1.5,3715.0,3745.0,3775.0,1.5
2022-07-07,2022-07-07,SPX,1,350.0,-350.0,26.08,3902.62,LOSS,expiration,False,3920.0,3950.0,3980.0,2.2,3780.0,3810.0,3840.0,1.3
2022-07-08,2022-07-08,SPX,1,290.0,-290.0,24.64,3899.38,LOSS,expiration,False,3920.0,3950.0,3980.0,1.55,3765.0,3795.0,3825.0,1.35
2022-07-11,2022-07-11,SPX,1,330.0,-330.0,26.17,3854.43,LOSS,expiration,False,3900.0,3930.0,3960.0,1.6,3755.0,3785.0,3815.0,1.7
2022-07-12,2022-07-12,SPX,1,315.0,-315.0,27.29,3818.8,LOSS,expiration,False,3885.0,3915.0,3945.0,1.85,3745.0,3775.0,3805.0,1.3
2022-07-13,2022-07-13,SPX,1,295.0,-295.0,26.82,3801.78,LOSS,expiration,False,3845.0,3875.0,3905.0,1.4,3665.0,3695.0,3725.0,1.55
2022-07-14,2022-07-14,SPX,1,280.0,257.99,26.4,3790.38,WIN,expiration,True,3785.0,3815.0,3845.0,1.5,3630.0,3660.0,3690.0,1.3
2022-07-15,2022-07-15,SPX,1,325.0,-325.0,24.23,3863.16,LOSS,expiration,False,3880.0,3910.0,3940.0,1.65,3710.0,3740.0,3770.0,1.6
2022-07-18,2022-07-18,SPX,1,315.0,2099.99,25.3,3830.85,WIN,expiration,True,3930.0,3960.0,3990.0,1.6,3795.0,3825.0,3855.0,1.55
2022-07-19,2022-07-19,SPX,1,265.0,1903.99,24.5,3936.69,WIN,expiration,True,3915.0,3945.0,3975.0,1.3,3780.0,3810.0,3840.0,1.35
2022-07-20,2022-07-20,SPX,1,340.0,-340.0,23.88,3959.9,LOSS,expiration,False,3970.0,4000.0,4030.0,1.75,3820.0,3850.0,3880.0,1.65
2022-07-21,2022-07-21,SPX,1,295.0,-295.0,23.11,3998.95,LOSS,expiration,False,4010.0,4040.0,4070.0,1.15,3855.0,3885.0,3915.0,1.8
2022-07-22,2022-07-22,SPX,1,315.0,-315.0,23.03,3961.63,LOSS,expiration,False,4035.0,4065.0,4095.0,1.6,3890.0,3920.0,3950.0,1.55
2022-07-25,2022-07-25,SPX,1,300.0,-300.0,23.36,3966.84,LOSS,expiration,False,4005.0,4035.0,4065.0,1.65,3860.0,3890.0,3920.0,1.35
2022-07-26,2022-07-26,SPX,1,295.0,-295.0,24.69,3921.05,LOSS,expiration,False,3980.0,4010.0,4040.0,1.6,3840.0,3870.0,3900.0,1.35
2022-07-27,2022-07-27,SPX,1,300.0,-300.0,23.24,4023.61,LOSS,expiration,False,4030.0,4060.0,4090.0,1.6,3830.0,3860.0,3890.0,1.4
2022-07-28,2022-07-28,SPX,1,295.0,1947.99,22.33,4072.43,WIN,expiration,True,4050.0,4080.0,4110.0,1.55,3895.0,3925.0,3955.0,1.4
2022-07-29,2022-07-29,SPX,1,305.0,-305.0,21.33,4130.29,LOSS,expiration,False,4145.0,4175.0,4205.0,1.7,3995.0,4025.0,4055.0,1.35
2022-08-01,2022-08-01,SPX,1,640.0,-640.0,22.84,4118.63,LOSS,expiration,False,4140.0,4170.0,4200.0,4.95,4015.0,4045.0,4075.0,1.45
2022-08-02,2022-08-02,SPX,1,305.0,-305.0,23.93,4091.19,LOSS,expiration,False,4145.0,4175.0,4205.0,1.4,3985.0,4015.0,4045.0,1.65
2022-08-03,2022-08-03,SPX,1,335.0,-335.0,21.95,4155.17,LOSS,expiration,False,4165.0,4195.0,4225.0,1.7,4025.0,4055.0,4085.0,1.65
2022-08-04,2022-08-04,SPX,1,280.0,-280.0,21.44,4151.94,LOSS,expiration,False,4200.0,4230.0,4260.0,1.4,4050.0,4080.0,4110.0,1.4
2022-08-05,2022-08-05,SPX,1,300.0,-300.0,21.15,4145.19,LOSS,expiration,False,4170.0,4200.0,4230.0,1.3,4030.0,4060.0,4090.0,1.7
2022-08-08,2022-08-08,SPX,1,295.0,198.99,21.29,4140.06,WIN,expiration,True,4215.0,4245.0,4275.0,1.35,4085.0,4115.0,4145.0,1.6
2022-08-09,2022-08-09,SPX,1,320.0,-320.0,21.77,4122.47,LOSS,expiration,False,4155.0,4185.0,4215.0,1.6,4025.0,4055.0,4085.0,1.6
2022-08-10,2022-08-10,SPX,1,265.0,-265.0,19.74,4210.24,LOSS,expiration,False,4230.0,4260.0,4290.0,1.2,4090.0,4120.0,4150.0,1.45
2022-08-11,2022-08-11,SPX,1,760.0,-487.0,20.2,4207.27,LOSS,expiration,False,4250.0,4280.0,4310.0,6.05,4150.0,4180.0,4210.0,1.55
2022-08-12,2022-08-12,SPX,1,365.0,1149.99,19.53,4280.15,WIN,expiration,True,4265.0,4295.0,4325.0,1.85,4135.0,4165.0,4195.0,1.8
2022-08-15,2022-08-15,SPX,1,600.0,114.01,19.95,4297.14,WIN,expiration,True,4290.0,4320.0,4350.0,4.75,4180.0,4210.0,4240.0,1.25
2022-08-16,2022-08-16,SPX,1,310.0,-310.0,19.69,4305.2,LOSS,expiration,False,4320.0,4350.0,4380.0,1.55,4200.0,4230.0,4260.0,1.55
