trade_date,calendar_date,dte_remaining,pnl_usd
2022-06-21,2022-06-21,1,0.0
2022-06-21,2022-06-22,0,-575.08
2022-06-22,2022-06-22,1,0.0
2022-06-22,2022-06-23,0,-569.44
2022-06-23,2022-06-23,1,0.0
2022-06-23,2022-06-24,0,4878.01
2022-06-24,2022-06-24,3,0.0
2022-06-24,2022-06-27,0,-558.16
2022-06-27,2022-06-27,1,0.0
2022-06-27,2022-06-28,0,575.08
2022-06-28,2022-06-28,1,0.0
2022-06-28,2022-06-29,0,-541.25
2022-06-29,2022-06-29,1,0.0
2022-06-29,2022-06-30,0,-580.72
2022-06-30,2022-06-30,1,0.0
2022-06-30,2022-07-01,0,-569.44
2022-07-01,2022-07-01,4,0.0
2022-07-01,2022-07-05,0,-586.35
2022-07-05,2022-07-05,1,0.0
2022-07-05,2022-07-06,0,-563.8
2022-07-06,2022-07-06,1,0.0
2022-07-06,2022-07-07,0,-349.56
2022-07-07,2022-07-07,1,0.0
2022-07-07,2022-07-08,0,-541.25
2022-07-08,2022-07-08,3,0.0
2022-07-08,2022-07-11,0,-484.87
2022-07-11,2022-07-11,1,0.0
2022-07-11,2022-07-12,0,-580.72
2022-07-12,2022-07-12,1,0.0
2022-07-12,2022-07-13,0,-558.16
2022-07-13,2022-07-13,1,0.0
2022-07-13,2022-07-14,0,-529.97
2022-07-14,2022-07-14,1,0.0
2022-07-14,2022-07-15,0,356.31
2022-07-15,2022-07-15,3,0.0
2022-07-15,2022-07-18,0,-439.77
2022-07-18,2022-07-18,1,0.0
2022-07-18,2022-07-19,0,3671.49
2022-07-19,2022-07-19,1,0.0
2022-07-19,2022-07-20,0,-811.87
2022-07-20,2022-07-20,1,0.0
2022-07-20,2022-07-21,0,1984.58
2022-07-21,2022-07-21,1,0.0
2022-07-21,2022-07-22,0,-445.4
2022-07-22,2022-07-22,3,0.0
2022-07-22,2022-07-25,0,-327.01
2022-07-25,2022-07-25,1,0.0
2022-07-25,2022-07-26,0,-451.04
2022-07-26,2022-07-26,1,0.0
2022-07-26,2022-07-27,0,2081.57
2022-07-27,2022-07-27,1,0.0
2022-07-27,2022-07-28,0,-656.28
2022-07-28,2022-07-28,1,0.0
2022-07-28,2022-07-29,0,139.82
2022-08-02,2022-08-02,1,0.0
2022-08-02,2022-08-03,0,-473.59
2022-08-03,2022-08-03,1,0.0
2022-08-03,2022-08-04,0,-405.94
2022-08-04,2022-08-04,1,0.0
2022-08-04,2022-08-05,0,-490.51
2022-08-05,2022-08-05,3,0.0
2022-08-05,2022-08-08,0,-422.85
2022-08-08,2022-08-08,1,0.0
2022-08-08,2022-08-09,0,-428.49
2022-08-09,2022-08-09,1,0.0
2022-08-09,2022-08-10,0,714.92
2022-08-10,2022-08-10,1,0.0
2022-08-10,2022-08-11,0,-332.64
2022-08-11,2022-08-11,1,0.0
2022-08-11,2022-08-12,0,2909.21
2022-08-12,2022-08-12,3,0.0
2022-08-12,2022-08-15,0,-665.29
2022-08-16,2022-08-16,1,0.0
2022-08-16,2022-08-17,0,-563.8
2022-08-17,2022-08-17,1,0.0
2022-08-17,2022-08-18,0,-456.68
2022-08-18,2022-08-18,1,0.0
2022-08-18,2022-08-19,0,847.96
2022-08-19,2022-08-19,3,0.0
2022-08-19,2022-08-22,0,3141.48
2022-08-22,2022-08-22,1,0.0
2022-08-22,2022-08-23,0,-456.68
2022-08-23,2022-08-23,1,0.0
2022-08-23,2022-08-24,0,-411.58
2022-08-24,2022-08-24,1,0.0
2022-08-24,2022-08-25,0,30.46
2022-08-25,2022-08-25,1,0.0
2022-08-25,2022-08-26,0,3237.34
2022-08-26,2022-08-26,3,0.0
2022-08-26,2022-08-29,0,-580.72
2022-08-29,2022-08-29,1,0.0
2022-08-29,2022-08-30,0,-164.62
2022-08-30,2022-08-30,1,0.0
2022-08-30,2022-08-31,0,-535.61
2022-08-31,2022-08-31,1,0.0
2022-08-31,2022-09-01,0,-575.08
2022-09-01,2022-09-01,1,0.0
2022-09-01,2022-09-02,0,-558.16
2022-09-02,2022-09-02,4,0.0
2022-09-02,2022-09-06,0,-546.89
2022-09-06,2022-09-06,1,0.0
2022-09-06,2022-09-07,0,-580.72
2022-09-07,2022-09-07,1,0.0
2022-09-07,2022-09-08,0,-490.51
2022-09-08,2022-09-08,1,0.0
2022-09-08,2022-09-09,0,2064.65
2022-09-09,2022-09-09,3,0.0
2022-09-09,2022-09-12,0,-434.13
2022-09-12,2022-09-12,1,0.0
2022-09-12,2022-09-13,0,-1054.31
2022-09-13,2022-09-13,1,0.0
2022-09-13,2022-09-14,0,-535.61
2022-09-14,2022-09-14,1,0.0
2022-09-14,2022-09-15,0,-558.16
2022-09-15,2022-09-15,1,0.0
2022-09-15,2022-09-16,0,-552.53
2022-09-16,2022-09-16,3,0.0
2022-09-16,2022-09-19,0,-580.72
2022-09-19,2022-09-19,1,0.0
2022-09-19,2022-09-20,0,-591.99
2022-09-20,2022-09-20,1,0.0
2022-09-20,2022-09-21,0,-552.53
2022-09-21,2022-09-21,1,0.0
2022-09-21,2022-09-22,0,-541.25
2022-09-22,2022-09-22,1,0.0
2022-09-22,2022-09-23,0,205.22
2022-09-23,2022-09-23,3,0.0
2022-09-23,2022-09-26,0,-580.72
2022-09-26,2022-09-26,1,0.0
2022-09-26,2022-09-27,0,-529.97
2022-09-27,2022-09-27,1,0.0
2022-09-27,2022-09-28,0,-648.37
2022-09-28,2022-09-28,1,0.0
2022-09-28,2022-09-29,0,533.36
2022-09-29,2022-09-29,1,0.0
2022-09-29,2022-09-30,0,-575.08
2022-09-30,2022-09-30,3,0.0
2022-09-30,2022-10-03,0,-546.89
2022-10-03,2022-10-03,1,0.0
2022-10-03,2022-10-04,0,3504.58
2022-10-04,2022-10-04,1,0.0
2022-10-04,2022-10-05,0,-558.16
2022-10-05,2022-10-05,1,0.0
2022-10-05,2022-10-06,0,-541.25
2022-10-06,2022-10-06,1,0.0
2022-10-06,2022-10-07,0,1171.59
2022-10-07,2022-10-07,3,0.0
2022-10-07,2022-10-10,0,-591.99
2022-10-10,2022-10-10,1,0.0
2022-10-10,2022-10-11,0,-637.1
2022-10-11,2022-10-11,1,0.0
2022-10-11,2022-10-12,0,-648.37
2022-10-12,2022-10-12,1,0.0
2022-10-12,2022-10-13,0,-693.48
2022-10-13,2022-10-13,1,0.0
2022-10-13,2022-10-14,0,-693.48
2022-10-14,2022-10-14,3,0.0
2022-10-14,2022-10-17,0,-676.56
2022-10-17,2022-10-17,1,0.0
2022-10-17,2022-10-18,0,-541.25
2022-10-18,2022-10-18,1,0.0
2022-10-18,2022-10-19,0,-558.16
2022-10-19,2022-10-19,1,0.0
2022-10-19,2022-10-20,0,-591.99
2022-10-20,2022-10-20,1,0.0
2022-10-20,2022-10-21,0,1443.33
2022-10-21,2022-10-21,3,0.0
2022-10-21,2022-10-24,0,-637.1
2022-10-24,2022-10-24,1,0.0
2022-10-24,2022-10-25,0,-529.97
2022-10-25,2022-10-25,1,0.0
2022-10-25,2022-10-26,0,-1003.57
2022-10-26,2022-10-26,1,0.0
2022-10-26,2022-10-27,0,-614.54
2022-10-27,2022-10-27,1,0.0
2022-10-27,2022-10-28,0,85.71
2022-10-28,2022-10-28,3,0.0
2022-10-28,2022-10-31,0,-575.08
2022-10-31,2022-10-31,1,0.0
2022-10-31,2022-11-01,0,-428.49
2022-11-01,2022-11-01,1,0.0
2022-11-01,2022-11-02,0,6.78
2022-11-02,2022-11-02,1,0.0
2022-11-02,2022-11-03,0,-541.25
