trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,spot_exit,result,exit_method,in_range,call_lower,call_center,call_upper,call_debit,put_lower,put_center,put_upper,put_debit,pnl_tp50,pnl_tp100,pnl_tp200
2022-06-21,2022-06-22,SPX,1,510.0,-510.0,30.19,3759.89,LOSS,expiration,False,3835.0,3885.0,3935.0,2.75,3595.0,3645.0,3695.0,2.35,10.0,10.0,-510.0
2022-06-22,2022-06-23,SPX,1,505.0,-505.0,28.95,3795.73,LOSS,expiration,False,3835.0,3885.0,3935.0,2.5,3595.0,3645.0,3695.0,2.55,-505.0,-505.0,-505.0
2022-06-23,2022-06-24,SPX,1,500.0,4326.0,29.05,3911.74,WIN,expiration,True,3860.0,3910.0,3960.0,2.35,3620.0,3670.0,3720.0,2.65,285.0,285.0,285.0
2022-06-24,2022-06-27,SPX,3,495.0,-495.0,27.23,3900.11,LOSS,expiration,False,3965.0,4015.0,4065.0,2.6,3720.0,3770.0,3820.0,2.35,-495.0,-495.0,-495.0
2022-06-27,2022-06-28,SPX,1,335.0,510.0,26.95,3821.55,WIN,expiration,True,4000.0,4050.0,4100.0,1.0,3730.0,3780.0,3830.0,2.35,120.0,190.0,490.0
2022-06-28,2022-06-29,SPX,1,480.0,-480.0,28.36,3818.83,LOSS,expiration,False,3895.0,3945.0,3995.0,2.3,3650.0,3700.0,3750.0,2.5,-480.0,-480.0,-480.0
2022-06-29,2022-06-30,SPX,1,515.0,-515.0,28.16,3785.38,LOSS,expiration,False,3890.0,3940.0,3990.0,2.5,3630.0,3680.0,3730.0,2.65,55.0,55.0,295.0
2022-06-30,2022-07-01,SPX,1,505.0,-505.0,28.71,3825.33,LOSS,expiration,False,3860.0,3910.0,3960.0,2.55,3605.0,3655.0,3705.0,2.5,-505.0,-505.0,-505.0
2022-07-01,2022-07-05,SPX,4,520.0,-520.0,26.7,3831.39,LOSS,expiration,False,3895.0,3945.0,3995.0,2.7,3640.0,3690.0,3740.0,2.5,310.0,310.0,310.0
2022-07-05,2022-07-06,SPX,1,500.0,-500.0,27.54,3845.08,LOSS,expiration,False,3890.0,3940.0,3990.0,2.65,3650.0,3700.0,3750.0,2.35,-500.0,-500.0,-500.0
2022-07-06,2022-07-07,SPX,1,310.0,-310.0,26.73,3902.62,LOSS,expiration,False,3950.0,4000.0,4050.0,0.65,3690.0,3740.0,3790.0,2.45,-310.0,-310.0,-310.0
2022-07-07,2022-07-08,SPX,1,480.0,-480.0,26.08,3899.38,LOSS,expiration,False,3960.0,4010.0,4060.0,2.35,3740.0,3790.0,3840.0,2.45,-110.0,-480.0,-480.0
2022-07-08,2022-07-11,SPX,3,430.0,-430.0,24.64,3854.43,LOSS,expiration,False,3960.0,4000.0,4040.0,2.3,3765.0,3805.0,3845.0,2.0,-35.0,235.0,235.0
2022-07-11,2022-07-12,SPX,1,515.0,-515.0,26.17,3818.8,LOSS,expiration,False,3900.0,3950.0,4000.0,2.75,3695.0,3745.0,3795.0,2.4,-515.0,-515.0,-515.0
2022-07-12,2022-07-13,SPX,1,495.0,-495.0,27.29,3801.78,LOSS,expiration,False,3900.0,3950.0,4000.0,2.4,3615.0,3665.0,3715.0,2.55,-495.0,-495.0,-495.0
2022-07-13,2022-07-14,SPX,1,470.0,-470.0,26.82,3790.38,LOSS,expiration,False,3870.0,3920.0,3970.0,2.3,3625.0,3675.0,3725.0,2.4,395.0,395.0,395.0
2022-07-14,2022-07-15,SPX,1,500.0,315.99,26.4,3863.16,WIN,expiration,True,3855.0,3905.0,3955.0,2.65,3615.0,3665.0,3715.0,2.35,385.0,385.0,385.0
2022-07-15,2022-07-18,SPX,3,390.0,-390.0,24.23,3830.85,LOSS,expiration,False,3910.0,3950.0,3990.0,2.1,3710.0,3750.0,3790.0,1.8,265.0,265.0,265.0
2022-07-18,2022-07-19,SPX,1,575.0,3256.01,25.3,3936.69,WIN,expiration,True,3875.0,3925.0,3975.0,3.3,3670.0,3720.0,3770.0,2.45,560.0,560.0,560.0
2022-07-19,2022-07-20,SPX,1,720.0,-720.0,24.5,3959.9,LOSS,expiration,False,3970.0,4010.0,4050.0,5.15,3795.0,3835.0,3875.0,2.05,255.0,355.0,-720.0
2022-07-20,2022-07-21,SPX,1,1135.0,1760.0,23.88,3998.95,WIN,expiration,True,3970.0,4010.0,4050.0,9.25,3825.0,3865.0,3905.0,2.1,825.0,850.0,1760.0
2022-07-21,2022-07-22,SPX,1,395.0,-395.0,23.11,3961.63,LOSS,expiration,False,4040.0,4080.0,4120.0,2.05,3855.0,3895.0,3935.0,1.9,-50.0,50.0,-395.0
2022-07-22,2022-07-25,SPX,3,290.0,-290.0,23.03,3966.84,LOSS,expiration,False,4020.0,4060.0,4100.0,0.95,3810.0,3850.0,3890.0,1.95,-290.0,-290.0,-290.0
2022-07-25,2022-07-26,SPX,1,400.0,-400.0,23.36,3921.05,LOSS,expiration,False,4005.0,4045.0,4085.0,1.95,3820.0,3860.0,3900.0,2.05,-60.0,-400.0,-400.0
2022-07-26,2022-07-27,SPX,1,515.0,1846.01,24.69,4023.61,WIN,expiration,True,4000.0,4050.0,4100.0,2.55,3730.0,3780.0,3830.0,2.6,50.0,50.0,290.0
2022-07-27,2022-07-28,SPX,1,825.0,-582.01,23.24,4072.43,LOSS,expiration,False,4070.0,4110.0,4150.0,6.2,3880.0,3920.0,3960.0,2.05,-582.01,-582.01,-582.01
2022-07-28,2022-07-29,SPX,1,405.0,124.0,22.33,4130.29,WIN,expiration,True,4125.0,4165.0,4205.0,2.0,3925.0,3965.0,4005.0,2.05,-35.0,25.0,255.0
2022-08-02,2022-08-03,SPX,1,420.0,-420.0,23.93,4155.17,LOSS,expiration,False,4160.0,4200.0,4240.0,2.3,3960.0,4000.0,4040.0,1.9,-75.0,235.0,325.0
2022-08-03,2022-08-04,SPX,1,360.0,-360.0,21.95,4151.94,LOSS,expiration,False,4220.0,4260.0,4300.0,1.6,4035.0,4075.0,4115.0,2.0,-35.0,-360.0,-360.0
2022-08-04,2022-08-05,SPX,1,435.0,-435.0,21.44,4145.19,LOSS,expiration,False,4200.0,4240.0,4280.0,2.3,4010.0,4050.0,4090.0,2.05,-85.0,-435.0,-435.0
2022-08-05,2022-08-08,SPX,3,375.0,-375.0,21.15,4140.06,LOSS,expiration,False,4190.0,4230.0,4270.0,1.85,4000.0,4040.0,4080.0,1.9,130.0,130.0,230.0
2022-08-08,2022-08-09,SPX,1,380.0,-380.0,21.29,4122.47,LOSS,expiration,False,4190.0,4230.0,4270.0,2.05,4010.0,4050.0,4090.0,1.75,-380.0,-380.0,-380.0
2022-08-09,2022-08-10,SPX,1,390.0,634.02,21.77,4210.24,WIN,expiration,True,4200.0,4240.0,4280.0,1.95,3955.0,3995.0,4035.0,1.95,405.0,405.0,405.0
2022-08-10,2022-08-11,SPX,1,295.0,-295.0,19.74,4207.27,LOSS,expiration,False,4270.0,4310.0,4350.0,1.15,4080.0,4120.0,4160.0,1.8,-95.0,-35.0,140.0
2022-08-11,2022-08-12,SPX,1,435.0,2579.99,20.2,4280.15,WIN,expiration,True,4250.0,4290.0,4330.0,2.3,4070.0,4110.0,4150.0,2.05,-30.0,90.0,280.0
2022-08-12,2022-08-15,SPX,3,590.0,-590.0,19.53,4297.14,LOSS,expiration,False,4305.0,4340.0,4375.0,3.95,4155.0,4190.0,4225.0,1.95,-590.0,-590.0,-590.0
