trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,result,exit_method,in_range
2022-06-21,2022-06-22,SPX,1,590.0,-598.54,30.19,LOSS,expiration,False
2022-06-22,2022-06-23,SPX,1,620.0,-628.54,28.95,LOSS,expiration,False
2022-06-23,2022-06-24,SPX,1,605.0,5060.46,29.05,WIN,expiration,True
2022-06-24,2022-06-27,SPX,3,590.0,-598.54,27.23,LOSS,expiration,False
2022-06-28,2022-06-29,SPX,1,570.0,-578.54,28.36,LOSS,expiration,False
2022-06-29,2022-06-30,SPX,1,585.0,-593.54,28.16,LOSS,expiration,False
2022-06-30,2022-07-01,SPX,1,605.0,-613.54,28.71,LOSS,expiration,False
2022-07-01,2022-07-05,SPX,4,615.0,-623.54,26.7,LOSS,expiration,False
2022-07-05,2022-07-06,SPX,1,625.0,-633.54,27.54,LOSS,expiration,False
2022-07-06,2022-07-07,SPX,1,325.0,-333.54,26.73,LOSS,expiration,False
2022-07-07,2022-07-08,SPX,1,605.0,-613.54,26.08,LOSS,expiration,False
2022-07-08,2022-07-11,SPX,3,600.0,-608.54,24.64,LOSS,expiration,False
2022-07-11,2022-07-12,SPX,1,535.0,-543.54,26.17,LOSS,expiration,False
2022-07-12,2022-07-13,SPX,1,560.0,-568.54,27.29,LOSS,expiration,False
2022-07-13,2022-07-14,SPX,1,470.0,-478.54,26.82,LOSS,expiration,False
2022-07-14,2022-07-15,SPX,1,560.0,247.45,26.4,WIN,expiration,True
2022-07-15,2022-07-18,SPX,3,605.0,-613.54,24.23,LOSS,expiration,False
2022-07-18,2022-07-19,SPX,1,605.0,5055.45,25.3,WIN,expiration,True
2022-07-19,2022-07-20,SPX,1,400.0,-408.54,24.5,LOSS,expiration,False
2022-07-20,2022-07-21,SPX,1,470.0,-478.54,23.88,LOSS,expiration,False
2022-07-21,2022-07-22,SPX,1,560.0,-568.54,23.11,LOSS,expiration,False
2022-07-22,2022-07-25,SPX,3,510.0,-518.54,23.03,LOSS,expiration,False
2022-07-25,2022-07-26,SPX,1,550.0,-558.54,23.36,LOSS,expiration,False
2022-07-26,2022-07-27,SPX,1,590.0,1762.47,24.69,WIN,expiration,True
2022-07-27,2022-07-28,SPX,1,455.0,-463.54,23.24,LOSS,expiration,False
2022-07-28,2022-07-29,SPX,1,600.0,420.46,22.33,WIN,expiration,True
2022-08-01,2022-08-02,SPX,1,235.0,-243.54,22.84,LOSS,expiration,False
2022-08-02,2022-08-03,SPX,1,625.0,-616.55,23.93,LOSS,expiration,False
2022-08-03,2022-08-04,SPX,1,475.0,-483.54,21.95,LOSS,expiration,False
2022-08-04,2022-08-05,SPX,1,575.0,-583.54,21.44,LOSS,expiration,False
2022-08-05,2022-08-08,SPX,3,640.0,-648.54,21.15,LOSS,expiration,False
2022-08-08,2022-08-09,SPX,1,640.0,-648.54,21.29,LOSS,expiration,False
2022-08-09,2022-08-10,SPX,1,455.0,560.48,21.77,WIN,expiration,True
2022-08-10,2022-08-11,SPX,1,530.0,-538.54,19.74,LOSS,expiration,False
