trade_date,calendar_date,dte_remaining,pnl_usd
2022-06-21,2022-06-21,1,0.0
2022-06-21,2022-06-22,0,-510.35
2022-06-22,2022-06-22,1,0.0
2022-06-22,2022-06-23,0,-505.35
2022-06-23,2022-06-23,1,0.0
2022-06-23,2022-06-24,0,285.2
2022-06-24,2022-06-24,3,0.0
2022-06-24,2022-06-27,0,-495.34
2022-06-27,2022-06-27,1,0.0
2022-06-27,2022-06-28,0,490.34
2022-06-28,2022-06-28,1,0.0
2022-06-28,2022-06-29,0,-480.33
2022-06-29,2022-06-29,1,0.0
2022-06-29,2022-06-30,0,295.2
2022-06-30,2022-06-30,1,0.0
2022-06-30,2022-07-01,0,-505.35
2022-07-01,2022-07-01,4,0.0
2022-07-01,2022-07-05,0,310.21
2022-07-05,2022-07-05,1,0.0
2022-07-05,2022-07-06,0,-500.35
2022-07-06,2022-07-06,1,0.0
2022-07-06,2022-07-07,0,-310.21
2022-07-07,2022-07-07,1,0.0
2022-07-07,2022-07-08,0,-480.33
2022-07-08,2022-07-08,3,0.0
2022-07-08,2022-07-11,0,235.16
2022-07-11,2022-07-11,1,0.0
2022-07-11,2022-07-12,0,-515.36
2022-07-12,2022-07-12,1,0.0
2022-07-12,2022-07-13,0,-495.34
2022-07-13,2022-07-13,1,0.0
2022-07-13,2022-07-14,0,395.27
2022-07-14,2022-07-14,1,0.0
2022-07-14,2022-07-15,0,385.27
2022-07-15,2022-07-15,3,0.0
2022-07-15,2022-07-18,0,265.18
2022-07-18,2022-07-18,1,0.0
2022-07-18,2022-07-19,0,560.39
2022-07-19,2022-07-19,1,0.0
2022-07-19,2022-07-20,0,-720.5
2022-07-20,2022-07-20,1,0.0
2022-07-20,2022-07-21,0,1761.22
2022-07-21,2022-07-21,1,0.0
2022-07-21,2022-07-22,0,-395.27
2022-07-22,2022-07-22,3,0.0
2022-07-22,2022-07-25,0,-290.2
2022-07-25,2022-07-25,1,0.0
2022-07-25,2022-07-26,0,-400.28
2022-07-26,2022-07-26,1,0.0
2022-07-26,2022-07-27,0,290.2
2022-07-27,2022-07-27,1,0.0
2022-07-27,2022-07-28,0,-582.41
2022-07-28,2022-07-28,1,0.0
2022-07-28,2022-07-29,0,255.18
2022-08-02,2022-08-02,1,0.0
2022-08-02,2022-08-03,0,325.23
2022-08-03,2022-08-03,1,0.0
2022-08-03,2022-08-04,0,-360.25
2022-08-04,2022-08-04,1,0.0
2022-08-04,2022-08-05,0,-435.3
2022-08-05,2022-08-05,3,0.0
2022-08-05,2022-08-08,0,230.16
2022-08-08,2022-08-08,1,0.0
2022-08-08,2022-08-09,0,-380.26
2022-08-09,2022-08-09,1,0.0
2022-08-09,2022-08-10,0,405.28
2022-08-10,2022-08-10,1,0.0
2022-08-10,2022-08-11,0,140.1
2022-08-11,2022-08-11,1,0.0
2022-08-11,2022-08-12,0,280.19
2022-08-12,2022-08-12,3,0.0
2022-08-12,2022-08-15,0,-590.41
2022-08-16,2022-08-16,1,0.0
2022-08-16,2022-08-17,0,170.12
2022-08-17,2022-08-17,1,0.0
2022-08-17,2022-08-18,0,-405.28
2022-08-18,2022-08-18,1,0.0
2022-08-18,2022-08-19,0,305.21
2022-08-19,2022-08-19,3,0.0
2022-08-19,2022-08-22,0,595.41
2022-08-22,2022-08-22,1,0.0
2022-08-22,2022-08-23,0,-405.28
2022-08-23,2022-08-23,1,0.0
2022-08-23,2022-08-24,0,-365.25
2022-08-24,2022-08-24,1,0.0
2022-08-24,2022-08-25,0,27.03
2022-08-25,2022-08-25,1,0.0
2022-08-25,2022-08-26,0,205.14
2022-08-26,2022-08-26,3,0.0
2022-08-26,2022-08-29,0,-515.36
2022-08-29,2022-08-29,1,0.0
2022-08-29,2022-08-30,0,695.48
2022-08-30,2022-08-30,1,0.0
2022-08-30,2022-08-31,0,-475.33
2022-08-31,2022-08-31,1,0.0
2022-08-31,2022-09-01,0,480.33
2022-09-01,2022-09-01,1,0.0
2022-09-01,2022-09-02,0,320.22
2022-09-02,2022-09-02,4,0.0
2022-09-02,2022-09-06,0,-485.34
2022-09-06,2022-09-06,1,0.0
2022-09-06,2022-09-07,0,370.26
2022-09-07,2022-09-07,1,0.0
2022-09-07,2022-09-08,0,-435.3
2022-09-08,2022-09-08,1,0.0
2022-09-08,2022-09-09,0,470.33
2022-09-09,2022-09-09,3,0.0
2022-09-09,2022-09-12,0,-385.27
2022-09-12,2022-09-12,1,0.0
2022-09-12,2022-09-13,0,-160.11
2022-09-13,2022-09-13,1,0.0
2022-09-13,2022-09-14,0,-475.33
2022-09-14,2022-09-14,1,0.0
2022-09-14,2022-09-15,0,-495.34
2022-09-15,2022-09-15,1,0.0
2022-09-15,2022-09-16,0,265.18
2022-09-16,2022-09-16,3,0.0
2022-09-16,2022-09-19,0,-515.36
2022-09-19,2022-09-19,1,0.0
2022-09-19,2022-09-20,0,230.16
2022-09-20,2022-09-20,1,0.0
2022-09-20,2022-09-21,0,-490.34
2022-09-21,2022-09-21,1,0.0
2022-09-21,2022-09-22,0,-480.33
2022-09-22,2022-09-22,1,0.0
2022-09-22,2022-09-23,0,400.28
2022-09-23,2022-09-23,3,0.0
2022-09-23,2022-09-26,0,-515.36
2022-09-26,2022-09-26,1,0.0
2022-09-26,2022-09-27,0,-470.33
2022-09-27,2022-09-27,1,0.0
2022-09-27,2022-09-28,0,260.18
2022-09-28,2022-09-28,1,0.0
2022-09-28,2022-09-29,0,295.2
