trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,result,exit_method,in_range
2022-06-21,2022-06-22,SPX,1,510.0,-510.35,30.19,LOSS,expiration,False
2022-06-22,2022-06-23,SPX,1,505.0,-505.35,28.95,LOSS,expiration,False
2022-06-23,2022-06-24,SPX,1,500.0,285.2,29.05,WIN,expiration,True
2022-06-24,2022-06-27,SPX,3,495.0,-495.34,27.23,LOSS,expiration,False
2022-06-27,2022-06-28,SPX,1,335.0,490.34,26.95,WIN,expiration,True
2022-06-28,2022-06-29,SPX,1,480.0,-480.33,28.36,LOSS,expiration,False
2022-06-29,2022-06-30,SPX,1,515.0,295.2,28.16,WIN,expiration,True
2022-06-30,2022-07-01,SPX,1,505.0,-505.35,28.71,LOSS,expiration,False
2022-07-01,2022-07-05,SPX,4,520.0,310.21,26.7,WIN,expiration,True
2022-07-05,2022-07-06,SPX,1,500.0,-500.35,27.54,LOSS,expiration,False
2022-07-06,2022-07-07,SPX,1,310.0,-310.21,26.73,LOSS,expiration,False
2022-07-07,2022-07-08,SPX,1,480.0,-480.33,26.08,LOSS,expiration,False
2022-07-08,2022-07-11,SPX,3,430.0,235.16,24.64,WIN,expiration,True
2022-07-11,2022-07-12,SPX,1,515.0,-515.36,26.17,LOSS,expiration,False
2022-07-12,2022-07-13,SPX,1,495.0,-495.34,27.29,LOSS,expiration,False
2022-07-13,2022-07-14,SPX,1,470.0,395.27,26.82,WIN,expiration,True
2022-07-14,2022-07-15,SPX,1,500.0,385.27,26.4,WIN,expiration,True
2022-07-15,2022-07-18,SPX,3,390.0,265.18,24.23,WIN,expiration,True
2022-07-18,2022-07-19,SPX,1,575.0,560.39,25.3,WIN,expiration,True
2022-07-19,2022-07-20,SPX,1,720.0,-720.5,24.5,LOSS,expiration,False
2022-07-20,2022-07-21,SPX,1,1135.0,1761.22,23.88,WIN,expiration,True
2022-07-21,2022-07-22,SPX,1,395.0,-395.27,23.11,LOSS,expiration,False
2022-07-22,2022-07-25,SPX,3,290.0,-290.2,23.03,LOSS,expiration,False
2022-07-25,2022-07-26,SPX,1,400.0,-400.28,23.36,LOSS,expiration,False
2022-07-26,2022-07-27,SPX,1,515.0,290.2,24.69,WIN,expiration,True
2022-07-27,2022-07-28,SPX,1,825.0,-582.41,23.24,LOSS,expiration,False
2022-07-28,2022-07-29,SPX,1,405.0,255.18,22.33,WIN,expiration,True
2022-08-02,2022-08-03,SPX,1,420.0,325.23,23.93,WIN,expiration,True
2022-08-03,2022-08-04,SPX,1,360.0,-360.25,21.95,LOSS,expiration,False
2022-08-04,2022-08-05,SPX,1,435.0,-435.3,21.44,LOSS,expiration,False
