trade_date,calendar_date,dte_remaining,pnl_usd
2022-06-21,2022-06-21,1,0.0
2022-06-21,2022-06-22,0,-2013.42
2022-06-22,2022-06-22,1,0.0
2022-06-22,2022-06-23,0,7.6
2022-06-23,2022-06-23,1,0.0
2022-06-23,2022-06-24,0,-2070.41
2022-06-24,2022-06-24,3,0.0
2022-06-24,2022-06-27,0,-1894.71
2022-06-27,2022-06-27,1,0.0
2022-06-27,2022-06-28,0,1690.52
2022-06-28,2022-06-28,1,0.0
2022-06-28,2022-06-29,0,-1956.44
2022-06-29,2022-06-29,1,0.0
2022-06-29,2022-06-30,0,-748.38
2022-06-30,2022-06-30,1,0.0
2022-06-30,2022-07-01,0,615.43
2022-07-01,2022-07-01,4,0.0
2022-07-01,2022-07-05,0,-1894.71
2022-07-05,2022-07-05,1,0.0
2022-07-05,2022-07-06,0,-571.73
2022-07-06,2022-07-06,1,0.0
2022-07-06,2022-07-07,0,1863.38
2022-07-07,2022-07-07,1,0.0
2022-07-07,2022-07-08,0,-1913.7
2022-07-08,2022-07-08,3,0.0
2022-07-08,2022-07-11,0,1925.11
2022-07-11,2022-07-11,1,0.0
2022-07-11,2022-07-12,0,669.56
2022-07-12,2022-07-12,1,0.0
2022-07-12,2022-07-13,0,-1571.8
2022-07-13,2022-07-13,1,0.0
2022-07-13,2022-07-14,0,-2079.9
2022-07-14,2022-07-14,1,0.0
2022-07-14,2022-07-15,0,1039.01
2022-07-15,2022-07-15,3,0.0
2022-07-15,2022-07-18,0,-565.1
2022-07-18,2022-07-18,1,0.0
2022-07-18,2022-07-19,0,-2307.84
2022-07-19,2022-07-19,1,0.0
2022-07-19,2022-07-20,0,-52.24
2022-07-20,2022-07-20,1,0.0
2022-07-20,2022-07-21,0,1263.14
2022-07-21,2022-07-21,1,0.0
2022-07-21,2022-07-22,0,-102.56
2022-07-22,2022-07-22,3,0.0
2022-07-22,2022-07-25,0,-850.95
2022-07-25,2022-07-25,1,0.0
2022-07-25,2022-07-26,0,949.73
2022-07-26,2022-07-26,1,0.0
2022-07-26,2022-07-27,0,-694.26
2022-07-27,2022-07-27,1,0.0
2022-07-27,2022-07-28,0,852.85
2022-07-28,2022-07-28,1,0.0
2022-07-28,2022-07-29,0,1501.52
2022-08-02,2022-08-02,1,0.0
2022-08-02,2022-08-03,0,2424.66
2022-08-03,2022-08-03,1,0.0
2022-08-03,2022-08-04,0,-1266.93
2022-08-04,2022-08-04,1,0.0
2022-08-04,2022-08-05,0,-1396.1
2022-08-05,2022-08-05,3,0.0
2022-08-05,2022-08-08,0,-1699.05
2022-08-08,2022-08-08,1,0.0
2022-08-08,2022-08-09,0,-82.65
2022-08-09,2022-08-09,1,0.0
2022-08-09,2022-08-10,0,133.89
2022-08-10,2022-08-10,1,0.0
2022-08-10,2022-08-11,0,-1448.33
2022-08-11,2022-08-11,1,0.0
2022-08-11,2022-08-12,0,-584.07
2022-08-12,2022-08-12,3,0.0
2022-08-12,2022-08-15,0,-888.0
2022-08-16,2022-08-16,1,0.0
2022-08-16,2022-08-17,0,846.21
2022-08-17,2022-08-17,1,0.0
2022-08-17,2022-08-18,0,-1533.81
2022-08-18,2022-08-18,1,0.0
2022-08-18,2022-08-19,0,1180.51
2022-08-19,2022-08-19,3,0.0
2022-08-19,2022-08-22,0,-1600.29
2022-08-22,2022-08-22,1,0.0
2022-08-22,2022-08-23,0,-1481.58
2022-08-23,2022-08-23,1,0.0
2022-08-23,2022-08-24,0,-1517.66
2022-08-24,2022-08-24,1,0.0
2022-08-24,2022-08-25,0,1180.5
2022-08-25,2022-08-25,1,0.0
2022-08-25,2022-08-26,0,-1153.92
2022-08-26,2022-08-26,3,0.0
2022-08-26,2022-08-29,0,-808.23
2022-08-29,2022-08-29,1,0.0
2022-08-29,2022-08-30,0,1729.44
