trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,result,exit_method,in_range
2022-06-21,2022-06-22,SPX,1,2120.0,-2117.46,30.19,LOSS,expiration,False
2022-06-22,2022-06-23,SPX,1,2065.0,10.53,28.95,WIN,expiration,True
2022-06-23,2022-06-24,SPX,1,2180.0,-2177.46,29.05,LOSS,expiration,False
2022-06-24,2022-06-27,SPX,3,1995.0,-1992.46,27.23,LOSS,expiration,False
2022-06-27,2022-06-28,SPX,1,1375.0,1782.54,26.95,WIN,expiration,True
2022-06-28,2022-06-29,SPX,1,2060.0,-2057.46,28.36,LOSS,expiration,False
2022-06-29,2022-06-30,SPX,1,1750.0,-785.45,28.16,LOSS,expiration,False
2022-06-30,2022-07-01,SPX,1,1885.0,650.54,28.71,WIN,expiration,True
2022-07-01,2022-07-05,SPX,4,1995.0,-1992.46,26.7,LOSS,expiration,False
2022-07-05,2022-07-06,SPX,1,2110.0,-599.46,27.54,LOSS,expiration,False
2022-07-06,2022-07-07,SPX,1,2300.0,1964.55,26.73,WIN,expiration,True
2022-07-07,2022-07-08,SPX,1,2015.0,-2012.46,26.08,LOSS,expiration,False
2022-07-08,2022-07-11,SPX,3,1530.0,2029.54,24.64,WIN,expiration,True
2022-07-11,2022-07-12,SPX,1,2415.0,707.53,26.17,WIN,expiration,True
2022-07-12,2022-07-13,SPX,1,1655.0,-1652.46,27.29,LOSS,expiration,False
2022-07-13,2022-07-14,SPX,1,2190.0,-2187.46,26.82,LOSS,expiration,False
2022-07-14,2022-07-15,SPX,1,2090.0,1096.54,26.4,WIN,expiration,True
2022-07-15,2022-07-18,SPX,3,1510.0,-592.47,24.23,LOSS,expiration,False
2022-07-18,2022-07-19,SPX,1,2430.0,-2427.46,25.3,LOSS,expiration,False
2022-07-19,2022-07-20,SPX,1,1545.0,-52.47,24.5,LOSS,expiration,False
2022-07-20,2022-07-21,SPX,1,1565.0,1332.53,23.88,WIN,expiration,True
2022-07-21,2022-07-22,SPX,1,1445.0,-105.45,23.11,LOSS,expiration,False
2022-07-22,2022-07-25,SPX,3,1580.0,-893.46,23.03,LOSS,expiration,False
2022-07-25,2022-07-26,SPX,1,1895.0,1002.53,23.36,WIN,expiration,True
2022-07-26,2022-07-27,SPX,1,1870.0,-728.47,24.69,LOSS,expiration,False
2022-07-27,2022-07-28,SPX,1,1345.0,900.53,23.24,WIN,expiration,True
2022-07-28,2022-07-29,SPX,1,1390.0,1583.53,22.33,WIN,expiration,True
2022-08-02,2022-08-03,SPX,1,1430.0,2555.54,23.93,WIN,expiration,True
2022-08-03,2022-08-04,SPX,1,1640.0,-1331.46,21.95,LOSS,expiration,False
2022-08-04,2022-08-05,SPX,1,1470.0,-1467.46,21.44,LOSS,expiration,False
2022-08-05,2022-08-08,SPX,3,1795.0,-1786.46,21.15,LOSS,expiration,False
2022-08-08,2022-08-09,SPX,1,1840.0,-84.49,21.29,LOSS,expiration,False
2022-08-09,2022-08-10,SPX,1,1335.0,143.51,21.77,WIN,expiration,True
2022-08-10,2022-08-11,SPX,1,1525.0,-1522.46,19.74,LOSS,expiration,False
2022-08-11,2022-08-12,SPX,1,1600.0,-612.45,20.2,LOSS,expiration,False
2022-08-12,2022-08-15,SPX,3,935.0,-932.46,19.53,LOSS,expiration,False
2022-08-16,2022-08-17,SPX,1,1705.0,893.53,19.69,WIN,expiration,True
2022-08-17,2022-08-18,SPX,1,1615.0,-1612.46,19.9,LOSS,expiration,False
2022-08-18,2022-08-19,SPX,1,1605.0,1245.53,19.56,WIN,expiration,True
2022-08-19,2022-08-22,SPX,3,1685.0,-1682.46,20.6,LOSS,expiration,False
2022-08-22,2022-08-23,SPX,1,1560.0,-1557.46,23.8,LOSS,expiration,False
2022-08-23,2022-08-24,SPX,1,1675.0,-1595.46,24.11,LOSS,expiration,False
2022-08-24,2022-08-25,SPX,1,1845.0,1245.52,22.82,WIN,expiration,True
2022-08-25,2022-08-26,SPX,1,1215.0,-1212.46,21.78,LOSS,expiration,False
2022-08-26,2022-08-29,SPX,3,1790.0,-848.47,25.56,LOSS,expiration,False
2022-08-29,2022-08-30,SPX,1,2295.0,1823.53,26.21,WIN,expiration,True
2022-08-30,2022-08-31,SPX,1,2245.0,-242.46,26.21,LOSS,expiration,False
2022-08-31,2022-09-01,SPX,1,2410.0,-1592.47,25.87,LOSS,expiration,False
