trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,spot_exit,result,exit_method,in_range,call_lower,call_center,call_upper,call_debit,put_lower,put_center,put_upper,put_debit
2022-06-21,2022-06-22,SPX,1,2285.0,-2273.99,30.19,3759.89,LOSS,expiration,False,3775.0,3825.0,3875.0,13.4,3660.0,3710.0,3760.0,9.45
2022-06-22,2022-06-23,SPX,1,2130.0,-57.0,28.95,3795.73,LOSS,expiration,False,3775.0,3825.0,3875.0,11.95,3655.0,3705.0,3755.0,9.35
2022-06-23,2022-06-24,SPX,1,2180.0,-2180.0,29.05,3911.74,LOSS,expiration,False,3800.0,3850.0,3900.0,12.15,3680.0,3730.0,3780.0,9.65
2022-06-24,2022-06-27,SPX,3,2150.0,-2150.0,27.23,3900.11,LOSS,expiration,False,3905.0,3955.0,4005.0,13.1,3785.0,3835.0,3885.0,8.4
2022-06-27,2022-06-28,SPX,1,1505.0,650.0,26.95,3821.55,WIN,expiration,True,3950.0,4000.0,4050.0,4.3,3800.0,3850.0,3900.0,10.75
2022-06-28,2022-06-29,SPX,1,2105.0,-2105.0,28.36,3818.83,LOSS,expiration,False,3835.0,3885.0,3935.0,10.95,3715.0,3765.0,3815.0,10.1
2022-06-29,2022-06-30,SPX,1,1795.0,-332.99,28.16,3785.38,LOSS,expiration,False,3835.0,3885.0,3935.0,9.05,3700.0,3750.0,3800.0,8.9
2022-06-30,2022-07-01,SPX,1,2030.0,1003.01,28.71,3825.33,WIN,expiration,True,3795.0,3845.0,3895.0,10.1,3670.0,3720.0,3770.0,10.2
2022-07-01,2022-07-05,SPX,4,2035.0,-2035.0,26.7,3831.39,LOSS,expiration,False,3835.0,3885.0,3935.0,12.45,3710.0,3760.0,3810.0,7.9
2022-07-05,2022-07-06,SPX,1,2180.0,-671.99,27.54,3845.08,LOSS,expiration,False,3830.0,3880.0,3930.0,12.1,3715.0,3765.0,3815.0,9.7
2022-07-06,2022-07-07,SPX,1,2300.0,1962.01,26.73,3902.62,WIN,expiration,True,3860.0,3910.0,3960.0,13.1,3750.0,3800.0,3850.0,9.9
2022-07-07,2022-07-08,SPX,1,2090.0,-2090.0,26.08,3899.38,LOSS,expiration,False,3905.0,3955.0,4005.0,11.55,3795.0,3845.0,3895.0,9.35
2022-07-08,2022-07-11,SPX,3,1615.0,2327.99,24.64,3854.43,WIN,expiration,True,3915.0,3955.0,3995.0,9.1,3815.0,3855.0,3895.0,7.05
2022-07-11,2022-07-12,SPX,1,2415.0,705.0,26.17,3818.8,WIN,expiration,True,3855.0,3905.0,3955.0,12.1,3750.0,3800.0,3850.0,12.05
2022-07-12,2022-07-13,SPX,1,1740.0,-1740.0,27.29,3801.78,LOSS,expiration,False,3830.0,3880.0,3930.0,9.3,3685.0,3735.0,3785.0,8.1
2022-07-13,2022-07-14,SPX,1,2190.0,-2190.0,26.82,3790.38,LOSS,expiration,False,3810.0,3860.0,3910.0,13.55,3690.0,3740.0,3790.0,8.35
2022-07-14,2022-07-15,SPX,1,2090.0,1094.01,26.4,3863.16,WIN,expiration,True,3795.0,3845.0,3895.0,11.8,3675.0,3725.0,3775.0,9.1
2022-07-15,2022-07-18,SPX,3,1680.0,-265.01,24.23,3830.85,LOSS,expiration,False,3860.0,3900.0,3940.0,10.0,3765.0,3805.0,3845.0,6.8
2022-07-18,2022-07-19,SPX,1,2430.0,-2430.0,25.3,3936.69,LOSS,expiration,False,3830.0,3880.0,3930.0,12.35,3725.0,3775.0,3825.0,11.95
2022-07-19,2022-07-20,SPX,1,1605.0,-115.01,24.5,3959.9,LOSS,expiration,False,3945.0,3985.0,4025.0,9.95,3845.0,3885.0,3925.0,6.1
2022-07-20,2022-07-21,SPX,1,1625.0,1270.0,23.88,3998.95,WIN,expiration,True,3970.0,4010.0,4050.0,9.25,3875.0,3915.0,3955.0,7.0
2022-07-21,2022-07-22,SPX,1,1655.0,182.01,23.11,3961.63,WIN,expiration,True,3990.0,4030.0,4070.0,10.2,3900.0,3940.0,3980.0,6.35
2022-07-22,2022-07-25,SPX,3,1675.0,-990.99,23.03,3966.84,LOSS,expiration,False,3960.0,4000.0,4040.0,9.1,3865.0,3905.0,3945.0,7.65
2022-07-25,2022-07-26,SPX,1,1895.0,1000.0,23.36,3921.05,WIN,expiration,True,3955.0,3995.0,4035.0,10.7,3870.0,3910.0,3950.0,8.25
2022-07-26,2022-07-27,SPX,1,1870.0,-731.01,24.69,4023.61,LOSS,expiration,False,3935.0,3985.0,4035.0,9.95,3800.0,3850.0,3900.0,8.75
2022-07-27,2022-07-28,SPX,1,1405.0,1337.99,23.24,4072.43,WIN,expiration,True,4045.0,4085.0,4125.0,9.75,3925.0,3965.0,4005.0,4.3
