trade_date,calendar_date,dte_remaining,pnl_usd
2022-06-24,2022-06-24,21,0.0
2022-06-24,2022-07-15,0,-300.0
2022-07-01,2022-07-01,21,0.0
2022-07-01,2022-07-22,0,-300.0
2022-07-08,2022-07-08,21,0.0
2022-07-08,2022-07-29,0,1229.0
2022-07-15,2022-07-15,21,0.0
2022-07-15,2022-08-05,0,-300.0
2022-07-22,2022-07-22,21,0.0
2022-07-22,2022-08-12,0,-330.0
2022-07-29,2022-07-29,21,0.0
2022-07-29,2022-08-19,0,-290.0
2022-08-05,2022-08-05,21,0.0
2022-08-05,2022-08-26,0,-310.0
2022-08-12,2022-08-12,21,0.0
2022-08-12,2022-09-02,0,-410.0
2022-08-19,2022-08-19,21,0.0
2022-08-19,2022-09-09,0,1963.99
2022-08-26,2022-08-26,21,0.0
2022-08-26,2022-09-16,0,866.99
2022-09-02,2022-09-02,21,0.0
2022-09-02,2022-09-23,0,1023.0
2022-09-09,2022-09-09,21,0.0
2022-09-09,2022-09-30,0,-310.0
2022-09-16,2022-09-16,21,0.0
2022-09-16,2022-10-07,0,1165.99
2022-09-23,2022-09-23,21,0.0
2022-09-23,2022-10-14,0,-300.0
2022-09-30,2022-09-30,21,0.0
2022-09-30,2022-10-21,0,-300.0
2022-10-07,2022-10-07,21,0.0
2022-10-07,2022-10-28,0,2306.01
2022-10-14,2022-10-14,21,0.0
2022-10-14,2022-11-04,0,-300.0
2022-10-21,2022-10-21,21,0.0
2022-10-21,2022-11-11,0,367.01
2022-10-28,2022-10-28,21,0.0
2022-10-28,2022-11-18,0,-300.0
2022-11-04,2022-11-04,21,0.0
2022-11-04,2022-11-25,0,2312.01
2022-11-11,2022-11-11,21,0.0
2022-11-11,2022-12-02,0,-240.0
2022-11-18,2022-11-18,21,0.0
2022-11-18,2022-12-09,0,-310.0
2022-12-02,2022-12-02,21,0.0
2022-12-02,2022-12-23,0,682.01
2022-12-09,2022-12-09,21,0.0
2022-12-09,2022-12-30,0,-300.0
2022-12-16,2022-12-16,21,0.0
2022-12-16,2023-01-06,0,-300.0
2022-12-23,2022-12-23,21,0.0
2022-12-23,2023-01-13,0,-300.0
2022-12-30,2022-12-30,21,0.0
2022-12-30,2023-01-20,0,-300.0
2023-01-06,2023-01-06,21,0.0
2023-01-06,2023-01-27,0,-310.0
2023-01-13,2023-01-13,21,0.0
2023-01-13,2023-02-03,0,-350.0
2023-01-20,2023-01-20,21,0.0
2023-01-20,2023-02-10,0,-300.0
2023-01-27,2023-01-27,21,0.0
2023-01-27,2023-02-17,0,-310.0
2023-02-03,2023-02-03,21,0.0
2023-02-03,2023-02-24,0,2676.0
2023-02-10,2023-02-10,21,0.0
2023-02-10,2023-03-03,0,-300.0
2023-02-17,2023-02-17,21,0.0
2023-02-17,2023-03-10,0,-300.0
2023-02-24,2023-02-24,21,0.0
2023-02-24,2023-03-17,0,-300.0
2023-03-03,2023-03-03,21,0.0
2023-03-03,2023-03-24,0,-350.0
2023-03-10,2023-03-10,21,0.0
2023-03-10,2023-03-31,0,1131.01
2023-03-24,2023-03-24,21,0.0
2023-03-24,2023-04-14,0,-295.0
2023-03-31,2023-03-31,21,0.0
2023-03-31,2023-04-21,0,-300.0
2023-04-14,2023-04-14,21,0.0
2023-04-14,2023-05-05,0,-450.0
2023-04-21,2023-04-21,21,0.0
2023-04-21,2023-05-12,0,-295.0
2023-04-28,2023-04-28,21,0.0
2023-04-28,2023-05-19,0,-295.0
2023-05-05,2023-05-05,21,0.0
2023-05-05,2023-05-26,0,-295.0
2023-05-12,2023-05-12,21,0.0
2023-05-12,2023-06-02,0,1932.01
2023-05-19,2023-05-19,21,0.0
2023-05-19,2023-06-09,0,-295.0
2023-05-26,2023-05-26,21,0.0
2023-05-26,2023-06-16,0,736.02
2023-06-02,2023-06-02,21,0.0
2023-06-02,2023-06-23,0,-380.0
2023-06-09,2023-06-09,21,0.0
2023-06-09,2023-06-30,0,742.99
2023-06-16,2023-06-16,21,0.0
2023-06-16,2023-07-07,0,-460.0
2023-06-23,2023-06-23,21,0.0
2023-06-23,2023-07-14,0,1246.99
2023-06-30,2023-06-30,21,0.0
2023-06-30,2023-07-21,0,-295.0
2023-07-07,2023-07-07,21,0.0
2023-07-07,2023-07-28,0,1923.0
2023-07-14,2023-07-14,21,0.0
2023-07-14,2023-08-04,0,-305.0
2023-07-21,2023-07-21,21,0.0
2023-07-21,2023-08-11,0,-305.0
2023-07-28,2023-07-28,21,0.0
2023-07-28,2023-08-18,0,-315.0
2023-08-04,2023-08-04,21,0.0
2023-08-04,2023-08-25,0,-290.0
2023-08-11,2023-08-11,21,0.0
2023-08-11,2023-09-01,0,-300.0
2023-08-18,2023-08-18,21,0.0
2023-08-18,2023-09-08,0,-310.0
2023-08-25,2023-08-25,21,0.0
2023-08-25,2023-09-15,0,-300.0
2023-09-01,2023-09-01,21,0.0
2023-09-01,2023-09-22,0,-305.0
2023-09-08,2023-09-08,21,0.0
2023-09-08,2023-09-29,0,-300.0
2023-09-15,2023-09-15,21,0.0
2023-09-15,2023-10-06,0,2045.0
2023-09-22,2023-09-22,21,0.0
2023-09-22,2023-10-13,0,-305.0
2023-09-29,2023-09-29,21,0.0
2023-09-29,2023-10-20,0,-300.0
2023-10-06,2023-10-06,21,0.0
2023-10-06,2023-10-27,0,-310.0
