trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,spot_exit,result,exit_method,in_range,call_lower,call_center,call_upper,call_debit,put_lower,put_center,put_upper,put_debit
2022-06-24,2022-07-15,SPX,21,610.0,-610.0,27.23,3863.16,LOSS,expiration,False,4090.0,4140.0,4190.0,3.5,3600.0,3650.0,3700.0,2.6
2022-07-01,2022-07-22,SPX,21,500.0,-500.0,26.7,3961.63,LOSS,expiration,False,4075.0,4125.0,4175.0,2.5,3510.0,3560.0,3610.0,2.5
2022-07-08,2022-07-29,SPX,21,500.0,-500.0,24.64,4130.29,LOSS,expiration,False,4145.0,4195.0,4245.0,2.5,3595.0,3645.0,3695.0,2.5
2022-07-15,2022-08-05,SPX,21,495.0,2486.01,24.23,4145.19,WIN,expiration,True,4075.0,4125.0,4175.0,2.45,3540.0,3590.0,3640.0,2.5
2022-07-22,2022-08-12,SPX,21,490.0,-490.0,23.03,4280.15,LOSS,expiration,False,4175.0,4225.0,4275.0,2.4,3660.0,3710.0,3760.0,2.5
2022-07-29,2022-08-19,SPX,21,515.0,-515.0,21.33,4228.48,LOSS,expiration,False,4340.0,4390.0,4440.0,2.55,3885.0,3935.0,3985.0,2.6
2022-08-05,2022-08-26,SPX,21,465.0,-465.0,21.15,4057.66,LOSS,expiration,False,4350.0,4400.0,4450.0,2.15,3840.0,3890.0,3940.0,2.5
2022-08-12,2022-09-02,SPX,21,550.0,-550.0,19.53,3924.26,LOSS,expiration,False,4450.0,4500.0,4550.0,3.0,4000.0,4050.0,4100.0,2.5
2022-08-19,2022-09-09,SPX,21,495.0,-495.0,20.6,4067.36,LOSS,expiration,False,4425.0,4475.0,4525.0,2.45,3960.0,4010.0,4060.0,2.5
2022-08-26,2022-09-16,SPX,21,535.0,2631.99,25.56,3873.33,WIN,expiration,True,4300.0,4350.0,4400.0,2.55,3805.0,3855.0,3905.0,2.8
2022-09-02,2022-09-23,SPX,21,500.0,-500.0,25.47,3693.23,LOSS,expiration,False,4150.0,4200.0,4250.0,2.5,3590.0,3640.0,3690.0,2.5
2022-09-09,2022-09-30,SPX,21,510.0,-510.0,22.79,3585.62,LOSS,expiration,False,4290.0,4340.0,4390.0,2.6,3755.0,3805.0,3855.0,2.5
2022-09-16,2022-10-07,SPX,21,490.0,-490.0,26.3,3639.66,LOSS,expiration,False,4115.0,4165.0,4215.0,2.5,3520.0,3570.0,3620.0,2.4
2022-09-23,2022-10-14,SPX,21,510.0,-510.0,29.92,3583.07,LOSS,expiration,False,3960.0,4010.0,4060.0,2.6,3370.0,3420.0,3470.0,2.5
2022-09-30,2022-10-21,SPX,21,500.0,-500.0,31.62,3752.75,LOSS,expiration,False,3880.0,3930.0,3980.0,2.5,3280.0,3330.0,3380.0,2.5
2022-10-07,2022-10-28,SPX,21,530.0,-530.0,31.36,3901.06,LOSS,expiration,False,3915.0,3965.0,4015.0,2.4,3350.0,3400.0,3450.0,2.9
2022-10-14,2022-11-04,SPX,21,500.0,-500.0,32.02,3770.55,LOSS,expiration,False,3870.0,3920.0,3970.0,2.5,3250.0,3300.0,3350.0,2.5
2022-10-21,2022-11-11,SPX,21,500.0,-500.0,29.69,3992.93,LOSS,expiration,False,4025.0,4075.0,4125.0,2.5,3405.0,3455.0,3505.0,2.5
2022-10-28,2022-11-18,SPX,21,500.0,-500.0,25.75,3965.34,LOSS,expiration,False,4160.0,4210.0,4260.0,2.5,3580.0,3630.0,3680.0,2.5
2022-11-04,2022-11-25,SPX,21,510.0,1102.01,24.55,4026.12,WIN,expiration,True,4010.0,4060.0,4110.0,2.5,3445.0,3495.0,3545.0,2.6
2022-11-11,2022-12-02,SPX,21,530.0,-530.0,22.52,4071.7,LOSS,expiration,False,4200.0,4250.0,4300.0,2.8,3700.0,3750.0,3800.0,2.5
2022-11-18,2022-12-09,SPX,21,520.0,-520.0,23.12,3934.38,LOSS,expiration,False,4175.0,4225.0,4275.0,2.6,3680.0,3730.0,3780.0,2.6
2022-12-02,2022-12-23,SPX,21,440.0,2077.99,19.06,3844.82,WIN,expiration,True,4300.0,4350.0,4400.0,1.9,3770.0,3820.0,3870.0,2.5
2022-12-09,2022-12-30,SPX,21,500.0,-500.0,22.83,3839.5,LOSS,expiration,False,4165.0,4215.0,4265.0,2.5,3655.0,3705.0,3755.0,2.5
2022-12-16,2023-01-06,SPX,21,505.0,-505.0,22.62,3895.08,LOSS,expiration,False,4070.0,4120.0,4170.0,2.55,3580.0,3630.0,3680.0,2.5
2022-12-23,2023-01-13,SPX,21,490.0,-490.0,20.87,3999.09,LOSS,expiration,False,4060.0,4110.0,4160.0,2.5,3540.0,3590.0,3640.0,2.4
2022-12-30,2023-01-20,SPX,21,495.0,-495.0,21.67,3972.61,LOSS,expiration,False,4045.0,4095.0,4145.0,2.45,3530.0,3580.0,3630.0,2.5
2023-01-06,2023-01-27,SPX,21,500.0,-500.0,21.13,4070.56,LOSS,expiration,False,4110.0,4160.0,4210.0,2.6,3610.0,3660.0,3710.0,2.4
2023-01-13,2023-02-03,SPX,21,485.0,-485.0,18.35,4136.48,LOSS,expiration,False,4200.0,4250.0,4300.0,2.25,3740.0,3790.0,3840.0,2.6
2023-01-20,2023-02-10,SPX,21,540.0,-540.0,19.85,4090.46,LOSS,expiration,False,4150.0,4200.0,4250.0,2.8,3690.0,3740.0,3790.0,2.6
2023-01-27,2023-02-17,SPX,21,510.0,-510.0,18.51,4079.09,LOSS,expiration,False,4280.0,4330.0,4380.0,2.6,3810.0,3860.0,3910.0,2.5
2023-02-03,2023-02-24,SPX,21,455.0,1041.0,18.33,3970.04,WIN,expiration,True,4350.0,4400.0,4450.0,1.95,3885.0,3935.0,3985.0,2.6
2023-02-10,2023-03-03,SPX,21,530.0,-530.0,20.53,4045.64,LOSS,expiration,False,4290.0,4340.0,4390.0,2.7,3820.0,3870.0,3920.0,2.6
2023-02-17,2023-03-10,SPX,21,495.0,3345.99,20.02,3861.59,WIN,expiration,True,4270.0,4320.0,4370.0,2.45,3800.0,3850.0,3900.0,2.5
2023-02-24,2023-03-17,SPX,21,505.0,-505.0,21.67,3916.64,LOSS,expiration,False,4175.0,4225.0,4275.0,2.55,3675.0,3725.0,3775.0,2.5
2023-03-03,2023-03-24,SPX,21,475.0,-475.0,18.49,3970.99,LOSS,expiration,False,4290.0,4340.0,4390.0,2.6,3625.0,3675.0,3725.0,2.15
2023-03-10,2023-03-31,SPX,21,500.0,431.01,24.8,4109.31,WIN,expiration,True,4100.0,4150.0,4200.0,2.5,3520.0,3570.0,3620.0,2.5
2023-03-24,2023-04-14,SPX,21,500.0,-500.0,21.74,4137.64,LOSS,expiration,False,4175.0,4225.0,4275.0,2.5,3710.0,3760.0,3810.0,2.5
2023-03-31,2023-04-21,SPX,21,505.0,-505.0,18.7,4133.52,LOSS,expiration,False,4275.0,4325.0,4375.0,2.55,3860.0,3910.0,3960.0,2.5
2023-04-14,2023-05-05,SPX,21,530.0,-530.0,17.07,4136.25,LOSS,expiration,False,4300.0,4350.0,4400.0,2.8,3900.0,3950.0,4000.0,2.5
2023-04-21,2023-05-12,SPX,21,495.0,-495.0,16.77,4124.08,LOSS,expiration,False,4290.0,4340.0,4390.0,2.45,3900.0,3950.0,4000.0,2.5
2023-04-28,2023-05-19,SPX,21,495.0,-495.0,15.78,4191.98,LOSS,expiration,False,4310.0,4360.0,4410.0,2.45,3960.0,4010.0,4060.0,2.5
2023-05-05,2023-05-26,SPX,21,485.0,-485.0,17.19,4205.45,LOSS,expiration,False,4290.0,4340.0,4390.0,2.35,3935.0,3985.0,4035.0,2.5
2023-05-12,2023-06-02,SPX,21,500.0,1737.01,17.03,4282.37,WIN,expiration,True,4260.0,4310.0,4360.0,2.5,3900.0,3950.0,4000.0,2.5
