trade_date,calendar_date,dte_remaining,pnl_usd
2022-06-24,2022-06-24,7,0.0
2022-06-24,2022-07-01,0,-510.04
2022-07-01,2022-07-01,7,0.0
2022-07-01,2022-07-08,0,-510.04
2022-07-08,2022-07-08,7,0.0
2022-07-08,2022-07-15,0,-415.04
2022-07-15,2022-07-15,7,0.0
2022-07-15,2022-07-22,0,-415.04
2022-07-22,2022-07-22,7,0.0
2022-07-22,2022-07-29,0,3565.95
2022-07-29,2022-07-29,7,0.0
2022-07-29,2022-08-05,0,-550.04
2022-08-05,2022-08-05,7,0.0
2022-08-05,2022-08-12,0,1599.95
2022-08-12,2022-08-12,7,0.0
2022-08-12,2022-08-19,0,-425.04
2022-08-19,2022-08-19,7,0.0
2022-08-19,2022-08-26,0,2365.95
2022-08-26,2022-08-26,7,0.0
2022-08-26,2022-09-02,0,-421.04
2022-09-02,2022-09-02,7,0.0
2022-09-02,2022-09-09,0,1715.97
2022-09-09,2022-09-09,7,0.0
2022-09-09,2022-09-16,0,-57.03
2022-09-16,2022-09-16,7,0.0
2022-09-16,2022-09-23,0,161.96
2022-09-23,2022-09-23,7,0.0
2022-09-23,2022-09-30,0,-520.04
2022-09-30,2022-09-30,7,0.0
2022-09-30,2022-10-07,0,-505.04
2022-10-07,2022-10-07,7,0.0
2022-10-07,2022-10-14,0,-520.04
2022-10-14,2022-10-14,7,0.0
2022-10-14,2022-10-21,0,-610.04
2022-10-21,2022-10-21,7,0.0
2022-10-21,2022-10-28,0,-500.04
2022-10-28,2022-10-28,7,0.0
2022-10-28,2022-11-04,0,-505.04
2022-11-04,2022-11-04,7,0.0
2022-11-04,2022-11-11,0,1796.96
2022-11-11,2022-11-11,7,0.0
2022-11-11,2022-11-18,0,-405.04
2022-11-18,2022-11-18,7,0.0
2022-11-18,2022-11-25,0,-395.04
2022-12-02,2022-12-02,7,0.0
2022-12-02,2022-12-09,0,3512.95
2022-12-09,2022-12-09,7,0.0
2022-12-09,2022-12-16,0,-415.04
2022-12-16,2022-12-16,7,0.0
2022-12-16,2022-12-23,0,-395.04
2022-12-23,2022-12-23,7,0.0
2022-12-23,2022-12-30,0,-410.04
2022-12-30,2022-12-30,7,0.0
2022-12-30,2023-01-06,0,-410.04
2023-01-06,2023-01-06,7,0.0
2023-01-06,2023-01-13,0,-410.04
2023-01-13,2023-01-13,7,0.0
2023-01-13,2023-01-20,0,-410.04
2023-01-20,2023-01-20,7,0.0
2023-01-20,2023-01-27,0,-344.04
2023-01-27,2023-01-27,7,0.0
2023-01-27,2023-02-03,0,-640.04
2023-02-03,2023-02-03,7,0.0
2023-02-03,2023-02-10,0,-535.04
2023-02-10,2023-02-10,7,0.0
2023-02-10,2023-02-17,0,-400.04
2023-02-17,2023-02-17,7,0.0
2023-02-17,2023-02-24,0,-415.04
2023-02-24,2023-02-24,7,0.0
2023-02-24,2023-03-03,0,-400.04
2023-03-03,2023-03-03,7,0.0
2023-03-03,2023-03-10,0,1233.97
2023-03-10,2023-03-10,7,0.0
2023-03-10,2023-03-17,0,-500.04
2023-03-17,2023-03-17,7,0.0
2023-03-17,2023-03-24,0,-505.04
2023-03-24,2023-03-24,7,0.0
2023-03-24,2023-03-31,0,2020.96
2023-04-14,2023-04-14,7,0.0
2023-04-14,2023-04-21,0,-425.04
2023-04-21,2023-04-21,7,0.0
2023-04-21,2023-04-28,0,-320.04
2023-04-28,2023-04-28,7,0.0
2023-04-28,2023-05-05,0,-300.04
2023-05-05,2023-05-05,7,0.0
2023-05-05,2023-05-12,0,-305.04
2023-05-12,2023-05-12,7,0.0
2023-05-12,2023-05-19,0,-315.04
2023-05-19,2023-05-19,7,0.0
2023-05-19,2023-05-26,0,-300.04
2023-05-26,2023-05-26,7,0.0
2023-05-26,2023-06-02,0,-405.04
2023-06-02,2023-06-02,7,0.0
2023-06-02,2023-06-09,0,-310.04
2023-06-09,2023-06-09,7,0.0
2023-06-09,2023-06-16,0,1653.94
2023-06-16,2023-06-16,7,0.0
2023-06-16,2023-06-23,0,-148.05
2023-06-23,2023-06-23,7,0.0
2023-06-23,2023-06-30,0,1747.95
2023-06-30,2023-06-30,7,0.0
2023-06-30,2023-07-07,0,-335.04
2023-07-07,2023-07-07,7,0.0
2023-07-07,2023-07-14,0,1226.95
2023-07-14,2023-07-14,7,0.0
2023-07-14,2023-07-21,0,-305.04
2023-07-21,2023-07-21,7,0.0
2023-07-21,2023-07-28,0,-305.04
2023-07-28,2023-07-28,7,0.0
2023-07-28,2023-08-04,0,2512.94
2023-08-04,2023-08-04,7,0.0
2023-08-04,2023-08-11,0,-390.04
2023-08-11,2023-08-11,7,0.0
2023-08-11,2023-08-18,0,728.96
2023-08-18,2023-08-18,7,0.0
2023-08-18,2023-08-25,0,-410.04
2023-08-25,2023-08-25,7,0.0
2023-08-25,2023-09-01,0,276.96
2023-09-01,2023-09-01,7,0.0
2023-09-01,2023-09-08,0,-300.04
