trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,result,exit_method,in_range
2022-06-24,2022-07-01,SPX,7,505.0,-437.22,27.23,LOSS,expiration,False
2022-07-01,2022-07-08,SPX,7,505.0,-437.22,26.7,LOSS,expiration,False
2022-07-08,2022-07-15,SPX,7,410.0,-354.97,24.64,LOSS,expiration,False
2022-07-15,2022-07-22,SPX,7,410.0,-354.97,24.23,LOSS,expiration,False
2022-07-22,2022-07-29,SPX,7,400.0,3091.7,23.03,WIN,expiration,True
2022-07-29,2022-08-05,SPX,7,545.0,-471.85,21.33,LOSS,expiration,False
2022-08-05,2022-08-12,SPX,7,410.0,1389.57,21.15,WIN,expiration,True
2022-08-12,2022-08-19,SPX,7,420.0,-363.63,19.53,LOSS,expiration,False
2022-08-19,2022-08-26,SPX,7,395.0,2052.76,20.6,WIN,expiration,True
2022-08-26,2022-09-02,SPX,7,490.0,-360.16,25.56,LOSS,expiration,False
2022-09-02,2022-09-09,SPX,7,515.0,1490.02,25.47,WIN,expiration,True
2022-09-09,2022-09-16,SPX,7,385.0,-45.01,22.79,LOSS,expiration,False
2022-09-16,2022-09-23,SPX,7,510.0,144.59,26.3,WIN,expiration,True
2022-09-23,2022-09-30,SPX,7,515.0,-445.88,29.92,LOSS,expiration,False
2022-09-30,2022-10-07,SPX,7,500.0,-432.89,31.62,LOSS,expiration,False
2022-10-07,2022-10-14,SPX,7,515.0,-445.88,31.36,LOSS,expiration,False
2022-10-14,2022-10-21,SPX,7,605.0,-523.8,32.02,LOSS,expiration,False
2022-10-21,2022-10-28,SPX,7,495.0,-428.56,29.69,LOSS,expiration,False
2022-10-28,2022-11-04,SPX,7,500.0,-432.89,25.75,LOSS,expiration,False
2022-11-04,2022-11-11,SPX,7,405.0,1560.15,24.55,WIN,expiration,True
2022-11-11,2022-11-18,SPX,7,400.0,-346.31,22.52,LOSS,expiration,False
2022-11-18,2022-11-25,SPX,7,390.0,-337.65,23.12,LOSS,expiration,False
2022-12-02,2022-12-09,SPX,7,420.0,3045.81,19.06,WIN,expiration,True
2022-12-09,2022-12-16,SPX,7,410.0,-354.97,22.83,LOSS,expiration,False
2022-12-16,2022-12-23,SPX,7,390.0,-337.65,22.62,LOSS,expiration,False
2022-12-23,2022-12-30,SPX,7,405.0,-350.64,20.87,LOSS,expiration,False
2022-12-30,2023-01-06,SPX,7,405.0,-350.64,21.67,LOSS,expiration,False
2023-01-06,2023-01-13,SPX,7,405.0,-350.64,21.13,LOSS,expiration,False
2023-01-13,2023-01-20,SPX,7,405.0,-350.64,18.35,LOSS,expiration,False
2023-01-20,2023-01-27,SPX,7,395.0,-293.49,19.85,LOSS,expiration,False
2023-01-27,2023-02-03,SPX,7,635.0,-549.77,18.51,LOSS,expiration,False
2023-02-03,2023-02-10,SPX,7,530.0,-458.86,18.33,LOSS,expiration,False
2023-02-10,2023-02-17,SPX,7,395.0,-341.98,20.53,LOSS,expiration,False
2023-02-17,2023-02-24,SPX,7,410.0,-354.97,20.02,LOSS,expiration,False
2023-02-24,2023-03-03,SPX,7,395.0,-341.98,21.67,LOSS,expiration,False
2023-03-03,2023-03-10,SPX,7,420.0,1072.71,18.49,WIN,expiration,True
2023-03-10,2023-03-17,SPX,7,495.0,-428.56,24.8,LOSS,expiration,False
2023-03-17,2023-03-24,SPX,7,500.0,-432.89,25.51,LOSS,expiration,False
2023-03-24,2023-03-31,SPX,7,405.0,1754.08,21.74,WIN,expiration,True
2023-04-14,2023-04-21,SPX,7,420.0,-363.63,17.07,LOSS,expiration,False
2023-04-21,2023-04-28,SPX,7,315.0,-272.72,16.77,LOSS,expiration,False
2023-04-28,2023-05-05,SPX,7,295.0,-255.41,15.78,LOSS,expiration,False
2023-05-05,2023-05-12,SPX,7,300.0,-259.73,17.19,LOSS,expiration,False
2023-05-12,2023-05-19,SPX,7,310.0,-268.39,17.03,LOSS,expiration,False
2023-05-19,2023-05-26,SPX,7,295.0,-255.41,16.81,LOSS,expiration,False
2023-05-26,2023-06-02,SPX,7,400.0,-346.31,17.95,LOSS,expiration,False
2023-06-02,2023-06-09,SPX,7,305.0,-264.06,14.6,LOSS,expiration,False
2023-06-09,2023-06-16,SPX,7,300.0,1436.31,13.83,WIN,expiration,True
2023-06-16,2023-06-23,SPX,7,310.0,-123.82,13.54,LOSS,expiration,False
2023-06-23,2023-06-30,SPX,7,285.0,1517.7,13.44,WIN,expiration,True
2023-06-30,2023-07-07,SPX,7,330.0,-285.71,13.59,LOSS,expiration,False
2023-07-07,2023-07-14,SPX,7,310.0,1066.63,14.83,WIN,expiration,True
2023-07-14,2023-07-21,SPX,7,300.0,-259.73,13.34,LOSS,expiration,False
2023-07-21,2023-07-28,SPX,7,300.0,-259.73,13.6,LOSS,expiration,False
2023-07-28,2023-08-04,SPX,7,285.0,2180.02,13.33,WIN,expiration,True
2023-08-04,2023-08-11,SPX,7,385.0,-333.33,17.1,LOSS,expiration,False
2023-08-11,2023-08-18,SPX,7,295.0,635.48,14.84,WIN,expiration,True
2023-08-18,2023-08-25,SPX,7,405.0,-350.64,17.3,LOSS,expiration,False
2023-08-25,2023-09-01,SPX,7,295.0,244.15,15.68,WIN,expiration,True
2023-09-01,2023-09-08,SPX,7,295.0,-255.41,13.09,LOSS,expiration,False
2023-09-08,2023-09-15,SPX,7,300.0,-259.73,13.84,LOSS,expiration,False
2023-09-15,2023-09-22,SPX,7,325.0,589.61,13.79,WIN,expiration,True
2023-09-22,2023-09-29,SPX,7,305.0,-264.06,17.2,LOSS,expiration,False
2023-09-29,2023-10-06,SPX,7,400.0,-346.31,17.52,LOSS,expiration,False
2023-10-06,2023-10-13,SPX,7,400.0,-346.31,17.45,LOSS,expiration,False
2023-10-13,2023-10-20,SPX,7,405.0,-350.64,19.32,LOSS,expiration,False
2023-10-20,2023-10-27,SPX,7,395.0,-341.98,21.71,LOSS,expiration,False
2023-10-27,2023-11-03,SPX,7,400.0,-346.31,21.27,LOSS,expiration,False
2023-11-03,2023-11-10,SPX,7,305.0,-264.06,14.91,LOSS,expiration,False
2023-11-10,2023-11-17,SPX,7,290.0,962.75,14.17,WIN,expiration,True
2023-11-17,2023-11-24,SPX,7,315.0,-272.72,13.8,LOSS,expiration,False
2023-12-01,2023-12-08,SPX,7,300.0,-259.73,12.63,LOSS,expiration,False
2023-12-08,2023-12-15,SPX,7,305.0,964.47,12.35,WIN,expiration,True
2023-12-15,2023-12-22,SPX,7,285.0,-246.75,12.28,LOSS,expiration,False
2023-12-22,2023-12-29,SPX,7,290.0,-251.08,13.03,LOSS,expiration,False
2023-12-29,2024-01-05,SPX,7,310.0,-29.45,12.45,LOSS,expiration,False
2024-01-05,2024-01-12,SPX,7,290.0,-251.08,13.35,LOSS,expiration,False
2024-01-12,2024-01-19,SPX,7,285.0,-246.75,12.7,LOSS,expiration,False
2024-01-19,2024-01-26,SPX,7,300.0,-259.73,13.3,LOSS,expiration,False
2024-01-26,2024-02-02,SPX,7,310.0,-268.39,13.26,LOSS,expiration,False
2024-02-02,2024-02-09,SPX,7,290.0,-251.08,13.85,LOSS,expiration,False
2024-02-09,2024-02-16,SPX,7,295.0,-255.41,12.93,LOSS,expiration,False
2024-02-16,2024-02-23,SPX,7,320.0,-277.05,14.24,LOSS,expiration,False
2024-02-23,2024-03-01,SPX,7,290.0,-251.08,13.75,LOSS,expiration,False
2024-03-01,2024-03-08,SPX,7,300.0,-259.73,13.11,LOSS,expiration,False
2024-03-08,2024-03-15,SPX,7,300.0,-259.73,14.74,LOSS,expiration,False
2024-03-15,2024-03-22,SPX,7,305.0,-264.06,14.41,LOSS,expiration,False
2024-04-05,2024-04-12,SPX,7,315.0,-272.72,16.03,LOSS,expiration,False
2024-04-12,2024-04-19,SPX,7,395.0,1629.4,17.31,WIN,expiration,True
2024-04-19,2024-04-26,SPX,7,390.0,-337.65,18.71,LOSS,expiration,False
2024-04-26,2024-05-03,SPX,7,300.0,-259.73,15.03,LOSS,expiration,False
2024-05-03,2024-05-10,SPX,7,310.0,-36.35,13.49,LOSS,expiration,False
2024-05-10,2024-05-17,SPX,7,295.0,-255.41,12.55,LOSS,expiration,False
2024-05-17,2024-05-24,SPX,7,295.0,-255.41,11.99,LOSS,expiration,False
2024-05-24,2024-05-31,SPX,7,285.0,-246.75,11.93,LOSS,expiration,False
2024-05-31,2024-06-07,SPX,7,310.0,-96.08,12.92,LOSS,expiration,False
2024-06-07,2024-06-14,SPX,7,305.0,-264.06,12.22,LOSS,expiration,False
