trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,spot_exit,result,exit_method,in_range,call_lower,call_center,call_upper,call_debit,put_lower,put_center,put_upper,put_debit
2022-06-24,2022-07-01,SPX,7,1090.0,-1090.0,27.23,3825.33,LOSS,expiration,False,3975.0,4025.0,4075.0,6.4,3710.0,3760.0,3810.0,4.5
2022-07-01,2022-07-08,SPX,7,1250.0,187.99,26.7,3899.38,WIN,expiration,True,3885.0,3935.0,3985.0,7.6,3655.0,3705.0,3755.0,4.9
2022-07-08,2022-07-15,SPX,7,800.0,-800.0,24.64,3863.16,LOSS,expiration,False,3975.0,4015.0,4055.0,4.9,3740.0,3780.0,3820.0,3.1
2022-07-15,2022-07-22,SPX,7,880.0,2457.01,24.23,3961.63,WIN,expiration,True,3915.0,3955.0,3995.0,5.5,3700.0,3740.0,3780.0,3.3
2022-07-22,2022-07-29,SPX,7,800.0,-800.0,23.03,4130.29,LOSS,expiration,False,4025.0,4065.0,4105.0,5.1,3780.0,3820.0,3860.0,2.9
2022-07-29,2022-08-05,SPX,7,840.0,-840.0,21.33,4145.19,LOSS,expiration,False,4190.0,4230.0,4270.0,5.0,3990.0,4030.0,4070.0,3.4
2022-08-05,2022-08-12,SPX,7,895.0,-895.0,21.15,4280.15,LOSS,expiration,False,4195.0,4235.0,4275.0,5.25,3990.0,4030.0,4070.0,3.7
2022-08-12,2022-08-19,SPX,7,980.0,-980.0,19.53,4228.48,LOSS,expiration,False,4320.0,4360.0,4400.0,5.7,4140.0,4180.0,4220.0,4.1
2022-08-19,2022-08-26,SPX,7,925.0,-925.0,20.6,4057.66,LOSS,expiration,False,4280.0,4320.0,4360.0,5.65,4085.0,4125.0,4165.0,3.6
2022-08-26,2022-09-02,SPX,7,1120.0,3454.0,25.56,3924.26,WIN,expiration,True,4130.0,4180.0,4230.0,7.3,3870.0,3920.0,3970.0,3.9
2022-09-02,2022-09-09,SPX,7,1230.0,-1230.0,25.47,4067.36,LOSS,expiration,False,3965.0,4015.0,4065.0,7.2,3735.0,3785.0,3835.0,5.1
2022-09-09,2022-09-16,SPX,7,800.0,-800.0,22.79,3873.33,LOSS,expiration,False,4145.0,4185.0,4225.0,4.7,3915.0,3955.0,3995.0,3.3
2022-09-16,2022-09-23,SPX,7,1050.0,773.0,26.3,3693.23,WIN,expiration,True,3960.0,4010.0,4060.0,6.1,3675.0,3725.0,3775.0,4.4
2022-09-23,2022-09-30,SPX,7,950.0,-950.0,29.92,3585.62,LOSS,expiration,False,3785.0,3835.0,3885.0,6.0,3480.0,3530.0,3580.0,3.5
2022-09-30,2022-10-07,SPX,7,1070.0,-1070.0,31.62,3639.66,LOSS,expiration,False,3695.0,3745.0,3795.0,6.1,3410.0,3460.0,3510.0,4.6
2022-10-07,2022-10-14,SPX,7,990.0,-990.0,31.36,3583.07,LOSS,expiration,False,3735.0,3785.0,3835.0,5.5,3430.0,3480.0,3530.0,4.4
2022-10-14,2022-10-21,SPX,7,1320.0,3405.0,32.02,3752.75,WIN,expiration,True,3680.0,3740.0,3800.0,7.2,3390.0,3450.0,3510.0,6.0
2022-10-21,2022-10-28,SPX,7,950.0,3443.99,29.69,3901.06,WIN,expiration,True,3845.0,3895.0,3945.0,5.1,3565.0,3615.0,3665.0,4.4
2022-10-28,2022-11-04,SPX,7,950.0,2495.0,25.75,3770.55,WIN,expiration,True,4000.0,4050.0,4100.0,5.2,3705.0,3755.0,3805.0,4.3
2022-11-04,2022-11-11,SPX,7,700.0,-700.0,24.55,3992.93,LOSS,expiration,False,3870.0,3910.0,3950.0,3.5,3590.0,3630.0,3670.0,3.5
2022-11-11,2022-11-18,SPX,7,740.0,-740.0,22.52,3965.34,LOSS,expiration,False,4070.0,4110.0,4150.0,4.2,3830.0,3870.0,3910.0,3.2
2022-11-18,2022-11-25,SPX,7,1020.0,92.01,23.12,4026.12,WIN,expiration,True,4015.0,4055.0,4095.0,5.8,3840.0,3880.0,3920.0,4.4
