trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,spot_exit,result,exit_method,in_range,call_lower,call_center,call_upper,call_debit,put_lower,put_center,put_upper,put_debit
2022-06-24,2022-07-01,SPX,7,300.0,-300.0,27.23,3825.33,LOSS,expiration,False,4045.0,4075.0,4105.0,1.5,3695.0,3725.0,3755.0,1.5
2022-07-01,2022-07-08,SPX,7,290.0,-290.0,26.7,3899.38,LOSS,expiration,False,3960.0,3990.0,4020.0,1.45,3610.0,3640.0,3670.0,1.45
2022-07-08,2022-07-15,SPX,7,300.0,-300.0,24.64,3863.16,LOSS,expiration,False,4040.0,4070.0,4100.0,1.5,3715.0,3745.0,3775.0,1.5
2022-07-15,2022-07-22,SPX,7,310.0,-310.0,24.23,3961.63,LOSS,expiration,False,3975.0,4005.0,4035.0,1.6,3665.0,3695.0,3725.0,1.5
2022-07-22,2022-07-29,SPX,7,295.0,1676.0,23.03,4130.29,WIN,expiration,True,4090.0,4120.0,4150.0,1.45,3760.0,3790.0,3820.0,1.5
2022-07-29,2022-08-05,SPX,7,340.0,-340.0,21.33,4145.19,LOSS,expiration,False,4240.0,4270.0,4300.0,1.9,3975.0,4005.0,4035.0,1.5
2022-08-05,2022-08-12,SPX,7,295.0,1719.99,21.15,4280.15,WIN,expiration,True,4260.0,4290.0,4320.0,1.45,3955.0,3985.0,4015.0,1.5
2022-08-12,2022-08-19,SPX,7,300.0,-300.0,19.53,4228.48,LOSS,expiration,False,4380.0,4410.0,4440.0,1.5,4120.0,4150.0,4180.0,1.5
2022-08-19,2022-08-26,SPX,7,300.0,-300.0,20.6,4057.66,LOSS,expiration,False,4345.0,4375.0,4405.0,1.4,4065.0,4095.0,4125.0,1.6
2022-08-26,2022-09-02,SPX,7,295.0,779.0,25.56,3924.26,WIN,expiration,True,4205.0,4235.0,4265.0,1.55,3875.0,3905.0,3935.0,1.4
2022-09-02,2022-09-09,SPX,7,300.0,2436.01,25.47,4067.36,WIN,expiration,True,4040.0,4070.0,4100.0,1.5,3720.0,3750.0,3780.0,1.5
2022-09-09,2022-09-16,SPX,7,290.0,-290.0,22.79,3873.33,LOSS,expiration,False,4200.0,4230.0,4260.0,1.5,3890.0,3920.0,3950.0,1.4
2022-09-16,2022-09-23,SPX,7,300.0,2377.0,26.3,3693.23,WIN,expiration,True,4030.0,4060.0,4090.0,1.5,3660.0,3690.0,3720.0,1.5
2022-09-23,2022-09-30,SPX,7,295.0,-295.0,29.92,3585.62,LOSS,expiration,False,3855.0,3885.0,3915.0,1.45,3510.0,3540.0,3570.0,1.5
2022-09-30,2022-10-07,SPX,7,305.0,-305.0,31.62,3639.66,LOSS,expiration,False,3770.0,3800.0,3830.0,1.55,3375.0,3405.0,3435.0,1.5
2022-10-07,2022-10-14,SPX,7,295.0,-295.0,31.36,3583.07,LOSS,expiration,False,3820.0,3850.0,3880.0,1.45,3430.0,3460.0,3490.0,1.5
2022-10-14,2022-10-21,SPX,7,300.0,-300.0,32.02,3752.75,LOSS,expiration,False,3755.0,3785.0,3815.0,1.5,3390.0,3420.0,3450.0,1.5
2022-10-21,2022-10-28,SPX,7,300.0,-300.0,29.69,3901.06,LOSS,expiration,False,3915.0,3945.0,3975.0,1.5,3550.0,3580.0,3610.0,1.5
2022-10-28,2022-11-04,SPX,7,320.0,-320.0,25.75,3770.55,LOSS,expiration,False,4050.0,4080.0,4110.0,1.6,3710.0,3740.0,3770.0,1.6
2022-11-04,2022-11-11,SPX,7,300.0,-300.0,24.55,3992.93,LOSS,expiration,False,3925.0,3955.0,3985.0,1.5,3540.0,3570.0,3600.0,1.5
2022-11-11,2022-11-18,SPX,7,315.0,-315.0,22.52,3965.34,LOSS,expiration,False,4120.0,4150.0,4180.0,1.65,3810.0,3840.0,3870.0,1.5
2022-11-18,2022-11-25,SPX,7,310.0,-310.0,23.12,4026.12,LOSS,expiration,False,4070.0,4100.0,4130.0,1.6,3810.0,3840.0,3870.0,1.5
2022-12-02,2022-12-09,SPX,7,305.0,1632.99,19.06,3934.38,WIN,expiration,True,4160.0,4190.0,4220.0,1.55,3915.0,3945.0,3975.0,1.5
2022-12-09,2022-12-16,SPX,7,300.0,-300.0,22.83,3852.36,LOSS,expiration,False,4105.0,4135.0,4165.0,1.5,3710.0,3740.0,3770.0,1.5
2022-12-16,2022-12-23,SPX,7,300.0,-300.0,22.62,3844.82,LOSS,expiration,False,3980.0,4010.0,4040.0,1.5,3685.0,3715.0,3745.0,1.5
2022-12-23,2022-12-30,SPX,7,315.0,-315.0,20.87,3839.5,LOSS,expiration,False,3940.0,3970.0,4000.0,1.55,3685.0,3715.0,3745.0,1.6
2022-12-30,2023-01-06,SPX,7,290.0,-290.0,21.67,3895.08,LOSS,expiration,False,3955.0,3985.0,4015.0,1.4,3640.0,3670.0,3700.0,1.5
2023-01-06,2023-01-13,SPX,7,300.0,-300.0,21.13,3999.09,LOSS,expiration,False,4050.0,4080.0,4110.0,1.45,3695.0,3725.0,3755.0,1.55
2023-01-13,2023-01-20,SPX,7,285.0,-285.0,18.35,3972.61,LOSS,expiration,False,4090.0,4120.0,4150.0,1.35,3855.0,3885.0,3915.0,1.5
2023-01-20,2023-01-27,SPX,7,310.0,246.01,19.85,4070.56,WIN,expiration,True,4065.0,4095.0,4125.0,1.55,3805.0,3835.0,3865.0,1.55
2023-01-27,2023-02-03,SPX,7,380.0,-380.0,18.51,4136.48,LOSS,expiration,False,4190.0,4220.0,4250.0,2.3,3890.0,3920.0,3950.0,1.5
2023-02-03,2023-02-10,SPX,7,315.0,-315.0,18.33,4090.46,LOSS,expiration,False,4240.0,4270.0,4300.0,1.65,3970.0,4000.0,4030.0,1.5
2023-02-10,2023-02-17,SPX,7,300.0,-300.0,20.53,4079.09,LOSS,expiration,False,4230.0,4260.0,4290.0,1.5,3890.0,3920.0,3950.0,1.5
2023-02-17,2023-02-24,SPX,7,290.0,-290.0,20.02,3970.04,LOSS,expiration,False,4180.0,4210.0,4240.0,1.5,3910.0,3940.0,3970.0,1.4
2023-02-24,2023-03-03,SPX,7,295.0,-295.0,21.67,4045.64,LOSS,expiration,False,4075.0,4105.0,4135.0,1.5,3780.0,3810.0,3840.0,1.45
2023-03-03,2023-03-10,SPX,7,295.0,-135.99,18.49,3861.59,LOSS,expiration,False,4185.0,4215.0,4245.0,1.45,3860.0,3890.0,3920.0,1.5
2023-03-10,2023-03-17,SPX,7,290.0,-290.0,24.8,3916.64,LOSS,expiration,False,4015.0,4045.0,4075.0,1.5,3610.0,3640.0,3670.0,1.4
2023-03-17,2023-03-24,SPX,7,315.0,-315.0,25.51,3970.99,LOSS,expiration,False,4085.0,4115.0,4145.0,1.55,3715.0,3745.0,3775.0,1.6
2023-03-24,2023-03-31,SPX,7,295.0,1636.01,21.74,4109.31,WIN,expiration,True,4090.0,4120.0,4150.0,1.45,3785.0,3815.0,3845.0,1.5
2023-04-14,2023-04-21,SPX,7,285.0,-285.0,17.07,4133.52,LOSS,expiration,False,4225.0,4255.0,4285.0,1.4,4000.0,4030.0,4060.0,1.45
2023-04-21,2023-04-28,SPX,7,315.0,-315.0,16.77,4169.48,LOSS,expiration,False,4210.0,4240.0,4270.0,1.55,3990.0,4020.0,4050.0,1.6
2023-04-28,2023-05-05,SPX,7,295.0,-295.0,15.78,4136.25,LOSS,expiration,False,4265.0,4295.0,4325.0,1.45,4020.0,4050.0,4080.0,1.5
2023-05-05,2023-05-12,SPX,7,300.0,-300.0,17.19,4124.08,LOSS,expiration,False,4230.0,4260.0,4290.0,1.4,3995.0,4025.0,4055.0,1.6
2023-05-12,2023-05-19,SPX,7,310.0,-310.0,17.03,4191.98,LOSS,expiration,False,4195.0,4225.0,4255.0,1.6,3980.0,4010.0,4040.0,1.5
2023-05-19,2023-05-26,SPX,7,295.0,-295.0,16.81,4205.45,LOSS,expiration,False,4280.0,4310.0,4340.0,1.4,4055.0,4085.0,4115.0,1.55
