trade_date,calendar_date,dte_remaining,pnl_usd
2022-06-27,2022-06-27,4,0.0
2022-06-27,2022-07-01,0,-854.43
2022-07-11,2022-07-11,4,0.0
2022-07-11,2022-07-15,0,-829.3
2022-07-18,2022-07-18,4,0.0
2022-07-18,2022-07-22,0,1981.92
2022-07-25,2022-07-25,4,0.0
2022-07-25,2022-07-29,0,5145.01
2022-08-01,2022-08-01,4,0.0
2022-08-01,2022-08-05,0,-720.4
2022-08-08,2022-08-08,4,0.0
2022-08-08,2022-08-12,0,4347.52
2022-08-15,2022-08-15,4,0.0
2022-08-15,2022-08-19,0,-645.01
2022-08-22,2022-08-22,4,0.0
2022-08-22,2022-08-26,0,-661.76
2022-08-29,2022-08-29,4,0.0
2022-08-29,2022-09-02,0,-871.18
2022-09-12,2022-09-12,4,0.0
2022-09-12,2022-09-16,0,-661.76
2022-09-19,2022-09-19,4,0.0
2022-09-19,2022-09-23,0,6160.27
2022-09-26,2022-09-26,4,0.0
2022-09-26,2022-09-30,0,-854.43
2022-10-03,2022-10-03,4,0.0
2022-10-03,2022-10-07,0,-829.3
2022-10-10,2022-10-10,4,0.0
2022-10-10,2022-10-14,0,-971.7
2022-10-17,2022-10-17,4,0.0
2022-10-17,2022-10-21,0,-812.55
2022-10-24,2022-10-24,4,0.0
2022-10-24,2022-10-28,0,-829.3
2022-10-31,2022-10-31,4,0.0
2022-10-31,2022-11-04,0,-862.81
2022-11-07,2022-11-07,4,0.0
2022-11-07,2022-11-11,0,3188.18
2022-11-14,2022-11-14,4,0.0
2022-11-14,2022-11-18,0,-645.01
2022-11-21,2022-11-21,4,0.0
2022-11-21,2022-11-25,0,-645.01
2022-11-28,2022-11-28,4,0.0
2022-11-28,2022-12-02,0,-686.89
2022-12-05,2022-12-05,4,0.0
2022-12-05,2022-12-09,0,-661.76
2022-12-12,2022-12-12,4,0.0
2022-12-12,2022-12-16,0,-670.14
2022-12-19,2022-12-19,4,0.0
2022-12-19,2022-12-23,0,-661.76
2023-01-09,2023-01-09,4,0.0
2023-01-09,2023-01-13,0,-686.89
2023-01-23,2023-01-23,4,0.0
2023-01-23,2023-01-27,0,-636.63
2023-01-30,2023-01-30,4,0.0
2023-01-30,2023-02-03,0,-661.76
2023-02-06,2023-02-06,4,0.0
2023-02-06,2023-02-10,0,-645.01
2023-02-13,2023-02-13,4,0.0
2023-02-13,2023-02-17,0,-670.14
2023-02-27,2023-02-27,4,0.0
2023-02-27,2023-03-03,0,-636.63
2023-03-06,2023-03-06,4,0.0
2023-03-06,2023-03-10,0,-412.12
2023-03-13,2023-03-13,4,0.0
2023-03-13,2023-03-17,0,-837.68
2023-03-20,2023-03-20,4,0.0
2023-03-20,2023-03-24,0,-686.89
2023-03-27,2023-03-27,4,0.0
2023-03-27,2023-03-31,0,4265.46
2023-04-10,2023-04-10,4,0.0
2023-04-10,2023-04-14,0,-653.39
2023-04-17,2023-04-17,4,0.0
2023-04-17,2023-04-21,0,-494.23
2023-04-24,2023-04-24,4,0.0
2023-04-24,2023-04-28,0,-494.23
2023-05-01,2023-05-01,4,0.0
2023-05-01,2023-05-05,0,-469.1
2023-05-08,2023-05-08,4,0.0
2023-05-08,2023-05-12,0,-519.36
2023-05-15,2023-05-15,4,0.0
2023-05-15,2023-05-19,0,-686.89
2023-05-22,2023-05-22,4,0.0
2023-05-22,2023-05-26,0,-636.63
2023-06-05,2023-06-05,4,0.0
2023-06-05,2023-06-09,0,-477.48
2023-06-12,2023-06-12,4,0.0
2023-06-12,2023-06-16,0,-510.98
2023-06-26,2023-06-26,4,0.0
2023-06-26,2023-06-30,0,2776.08
2023-07-10,2023-07-10,4,0.0
2023-07-10,2023-07-14,0,4427.97
2023-07-17,2023-07-17,4,0.0
2023-07-17,2023-07-21,0,-510.98
2023-07-24,2023-07-24,4,0.0
2023-07-24,2023-07-28,0,-494.23
2023-07-31,2023-07-31,4,0.0
2023-07-31,2023-08-04,0,3338.94
2023-08-07,2023-08-07,4,0.0
2023-08-07,2023-08-11,0,-502.61
2023-08-14,2023-08-14,4,0.0
2023-08-14,2023-08-18,0,2774.38
2023-08-21,2023-08-21,4,0.0
2023-08-21,2023-08-25,0,-510.98
2023-08-28,2023-08-28,4,0.0
2023-08-28,2023-09-01,0,464.07
2023-09-11,2023-09-11,4,0.0
2023-09-11,2023-09-15,0,-527.74
2023-09-18,2023-09-18,4,0.0
2023-09-18,2023-09-22,0,345.14
2023-09-25,2023-09-25,4,0.0
2023-09-25,2023-09-29,0,-661.76
2023-10-02,2023-10-02,4,0.0
2023-10-02,2023-10-06,0,-661.76
2023-10-09,2023-10-09,4,0.0
2023-10-09,2023-10-13,0,-703.65
2023-10-16,2023-10-16,4,0.0
2023-10-16,2023-10-20,0,1702.19
2023-10-23,2023-10-23,4,0.0
2023-10-23,2023-10-27,0,-686.89
2023-10-30,2023-10-30,4,0.0
2023-10-30,2023-11-03,0,437.3
2023-11-06,2023-11-06,4,0.0
2023-11-06,2023-11-10,0,-536.11
2023-11-13,2023-11-13,4,0.0
2023-11-13,2023-11-17,0,2675.54
2023-11-20,2023-11-20,4,0.0
2023-11-20,2023-11-24,0,-485.85
2023-11-27,2023-11-27,4,0.0
2023-11-27,2023-12-01,0,-112.27
2023-12-04,2023-12-04,4,0.0
2023-12-04,2023-12-08,0,-452.35
2023-12-11,2023-12-11,4,0.0
2023-12-11,2023-12-15,0,1891.46
2023-12-18,2023-12-18,4,0.0
2023-12-18,2023-12-22,0,-519.36
2024-01-08,2024-01-08,4,0.0
2024-01-08,2024-01-12,0,-502.61
2024-01-22,2024-01-22,4,0.0
2024-01-22,2024-01-26,0,-544.49
2024-01-29,2024-01-29,4,0.0
2024-01-29,2024-02-02,0,-619.88
2024-02-05,2024-02-05,4,0.0
2024-02-05,2024-02-09,0,588.03
2024-02-12,2024-02-12,4,0.0
2024-02-12,2024-02-16,0,-485.85
2024-02-26,2024-02-26,4,0.0
2024-02-26,2024-03-01,0,-477.48
2024-03-04,2024-03-04,4,0.0
2024-03-04,2024-03-08,0,-502.61
2024-03-11,2024-03-11,4,0.0
2024-03-11,2024-03-15,0,-536.11
2024-03-18,2024-03-18,4,0.0
2024-03-18,2024-03-22,0,-494.23
2024-04-01,2024-04-01,4,0.0
2024-04-01,2024-04-05,0,-494.23
2024-04-08,2024-04-08,4,0.0
2024-04-08,2024-04-12,0,-494.23
2024-04-15,2024-04-15,4,0.0
2024-04-15,2024-04-19,0,-686.89
2024-04-22,2024-04-22,4,0.0
2024-04-22,2024-04-26,0,-494.23
2024-04-29,2024-04-29,4,0.0
2024-04-29,2024-05-03,0,-527.74
2024-05-06,2024-05-06,4,0.0
2024-05-06,2024-05-10,0,-519.36
2024-05-13,2024-05-13,4,0.0
2024-05-13,2024-05-17,0,-494.23
2024-05-20,2024-05-20,4,0.0
2024-05-20,2024-05-24,0,-544.49
2024-06-03,2024-06-03,4,0.0
2024-06-03,2024-06-07,0,-519.36
2024-06-10,2024-06-10,4,0.0
2024-06-10,2024-06-14,0,-552.87
2024-06-17,2024-06-17,4,0.0
2024-06-17,2024-06-21,0,-510.98
2024-06-24,2024-06-24,4,0.0
2024-06-24,2024-06-28,0,-477.48
2024-07-01,2024-07-01,4,0.0
2024-07-01,2024-07-05,0,4148.19
2024-07-08,2024-07-08,4,0.0
2024-07-08,2024-07-12,0,-510.98
2024-07-15,2024-07-15,4,0.0
2024-07-15,2024-07-19,0,2018.8
2024-07-22,2024-07-22,4,0.0
2024-07-22,2024-07-26,0,2161.19
2024-07-29,2024-07-29,4,0.0
2024-07-29,2024-08-02,0,-519.36
2024-08-05,2024-08-05,4,0.0
2024-08-05,2024-08-09,0,-1139.24
2024-08-12,2024-08-12,4,0.0
2024-08-12,2024-08-16,0,309.94
2024-08-19,2024-08-19,4,0.0
2024-08-19,2024-08-23,0,-510.98
2024-08-26,2024-08-26,4,0.0
2024-08-26,2024-08-30,0,-494.23
2024-09-09,2024-09-09,4,0.0
2024-09-09,2024-09-13,0,4526.8
2024-09-16,2024-09-16,4,0.0
2024-09-16,2024-09-20,0,-494.23
2024-09-23,2024-09-23,4,0.0
2024-09-23,2024-09-27,0,-519.36
2024-09-30,2024-09-30,4,0.0
2024-09-30,2024-10-04,0,-494.23
2024-10-07,2024-10-07,4,0.0
2024-10-07,2024-10-11,0,-636.63
2024-10-14,2024-10-14,4,0.0
2024-10-14,2024-10-18,0,-670.14
2024-10-21,2024-10-21,4,0.0
2024-10-21,2024-10-25,0,-670.14
2024-10-28,2024-10-28,4,0.0
2024-10-28,2024-11-01,0,-686.89
2024-11-04,2024-11-04,4,0.0
2024-11-04,2024-11-08,0,-661.76
2024-11-11,2024-11-11,4,0.0
2024-11-11,2024-11-15,0,2960.36
2024-11-18,2024-11-18,4,0.0
2024-11-18,2024-11-22,0,-494.23
2024-11-25,2024-11-25,4,0.0
2024-11-25,2024-11-29,0,-552.87
2024-12-02,2024-12-02,4,0.0
2024-12-02,2024-12-06,0,-494.23
2024-12-09,2024-12-09,4,0.0
2024-12-09,2024-12-13,0,-552.87
2024-12-16,2024-12-16,4,0.0
2024-12-16,2024-12-20,0,-485.85
2024-12-23,2024-12-23,4,0.0
2024-12-23,2024-12-27,0,-686.89
2024-12-30,2024-12-30,4,0.0
