trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,spot_exit,result,exit_method,in_range,call_lower,call_center,call_upper,call_debit,put_lower,put_center,put_upper,put_debit
2022-06-27,2022-07-01,SPX,4,1140.0,-173.01,26.95,3825.33,LOSS,expiration,False,3965.0,4015.0,4065.0,6.2,3735.0,3785.0,3835.0,5.2
2022-07-11,2022-07-15,SPX,4,1310.0,-1310.0,26.17,3863.16,LOSS,expiration,False,3900.0,3950.0,4000.0,7.9,3685.0,3735.0,3785.0,5.2
2022-07-18,2022-07-22,SPX,4,1425.0,-587.99,25.3,3961.63,LOSS,expiration,False,3870.0,3920.0,3970.0,8.25,3675.0,3725.0,3775.0,6.0
2022-07-25,2022-07-29,SPX,4,870.0,-870.0,23.36,4130.29,LOSS,expiration,False,4015.0,4055.0,4095.0,5.5,3795.0,3835.0,3875.0,3.2
2022-08-01,2022-08-05,SPX,4,880.0,-880.0,22.84,4145.19,LOSS,expiration,False,4160.0,4200.0,4240.0,5.9,3970.0,4010.0,4050.0,2.9
2022-08-08,2022-08-12,SPX,4,955.0,-955.0,21.29,4280.15,LOSS,expiration,False,4190.0,4230.0,4270.0,5.65,4005.0,4045.0,4085.0,3.9
2022-08-15,2022-08-19,SPX,4,1075.0,1577.0,19.95,4228.48,WIN,expiration,True,4330.0,4370.0,4410.0,6.35,4175.0,4215.0,4255.0,4.4
2022-08-22,2022-08-26,SPX,4,820.0,-585.99,23.8,4057.66,LOSS,expiration,False,4190.0,4230.0,4270.0,4.6,3980.0,4020.0,4060.0,3.6
2022-08-29,2022-09-02,SPX,4,1360.0,2566.0,26.21,3924.26,WIN,expiration,True,4095.0,4145.0,4195.0,8.6,3885.0,3935.0,3985.0,5.0
2022-09-12,2022-09-16,SPX,4,790.0,-790.0,23.87,3873.33,LOSS,expiration,False,4180.0,4220.0,4260.0,4.3,3950.0,3990.0,4030.0,3.6
2022-09-19,2022-09-23,SPX,4,1180.0,-1180.0,25.76,3693.23,LOSS,expiration,False,3970.0,4020.0,4070.0,6.8,3720.0,3770.0,3820.0,5.0
2022-09-26,2022-09-30,SPX,4,1040.0,-1040.0,32.26,3585.62,LOSS,expiration,False,3750.0,3800.0,3850.0,6.0,3475.0,3525.0,3575.0,4.4
2022-10-03,2022-10-07,SPX,4,1225.0,-1225.0,30.1,3639.66,LOSS,expiration,False,3745.0,3795.0,3845.0,7.45,3510.0,3560.0,3610.0,4.8
2022-10-10,2022-10-14,SPX,4,1510.0,-1510.0,32.45,3583.07,LOSS,expiration,False,3690.0,3750.0,3810.0,8.1,3425.0,3485.0,3545.0,7.0
2022-10-17,2022-10-21,SPX,4,1090.0,-1090.0,31.37,3752.75,LOSS,expiration,False,3755.0,3805.0,3855.0,5.9,3515.0,3565.0,3615.0,5.0
2022-10-24,2022-10-28,SPX,4,1050.0,1056.01,29.85,3901.06,WIN,expiration,True,3880.0,3930.0,3980.0,5.2,3630.0,3680.0,3730.0,5.3
2022-10-31,2022-11-04,SPX,4,1120.0,2325.0,25.88,3770.55,WIN,expiration,True,3960.0,4010.0,4060.0,5.9,3705.0,3755.0,3805.0,5.3
2022-11-07,2022-11-11,SPX,4,770.0,-770.0,24.35,3992.93,LOSS,expiration,False,3895.0,3935.0,3975.0,4.1,3645.0,3685.0,3725.0,3.6
2022-11-14,2022-11-18,SPX,4,870.0,-870.0,23.73,3965.34,LOSS,expiration,False,4035.0,4075.0,4115.0,4.8,3835.0,3875.0,3915.0,3.9
2022-11-21,2022-11-25,SPX,4,1275.0,1612.99,22.36,4026.12,WIN,expiration,True,3975.0,4015.0,4055.0,6.75,3845.0,3885.0,3925.0,6.0
2022-11-28,2022-12-02,SPX,4,1020.0,810.0,22.21,4071.7,WIN,expiration,True,4010.0,4050.0,4090.0,5.8,3830.0,3870.0,3910.0,4.4
2022-12-05,2022-12-09,SPX,4,1050.0,512.01,20.75,3934.38,WIN,expiration,True,4030.0,4070.0,4110.0,6.2,3870.0,3910.0,3950.0,4.3
2022-12-12,2022-12-16,SPX,4,630.0,133.99,25.0,3852.36,WIN,expiration,True,4100.0,4140.0,4180.0,3.5,3780.0,3820.0,3860.0,2.8
2022-12-19,2022-12-23,SPX,4,965.0,-965.0,22.42,3844.82,LOSS,expiration,False,3855.0,3895.0,3935.0,5.05,3680.0,3720.0,3760.0,4.6
2023-01-09,2023-01-13,SPX,4,840.0,2069.01,21.97,3999.09,WIN,expiration,True,3970.0,4010.0,4050.0,4.5,3745.0,3785.0,3825.0,3.9
2023-01-23,2023-01-27,SPX,4,1105.0,951.01,19.81,4070.56,WIN,expiration,True,4050.0,4090.0,4130.0,6.45,3895.0,3935.0,3975.0,4.6
2023-01-30,2023-02-03,SPX,4,830.0,2818.0,19.94,4136.48,WIN,expiration,True,4100.0,4140.0,4180.0,4.5,3870.0,3910.0,3950.0,3.8
2023-02-06,2023-02-10,SPX,4,990.0,-990.0,19.43,4090.46,LOSS,expiration,False,4150.0,4190.0,4230.0,5.6,3980.0,4020.0,4060.0,4.3
2023-02-13,2023-02-17,SPX,4,860.0,-860.0,20.34,4079.09,LOSS,expiration,False,4200.0,4240.0,4280.0,5.3,3975.0,4015.0,4055.0,3.3
2023-02-27,2023-03-03,SPX,4,1130.0,1933.99,20.95,4045.64,WIN,expiration,True,4015.0,4055.0,4095.0,6.4,3860.0,3900.0,3940.0,4.9
2023-03-06,2023-03-10,SPX,4,955.0,-955.0,18.61,3861.59,LOSS,expiration,False,4095.0,4135.0,4175.0,5.45,3920.0,3960.0,4000.0,4.1
2023-03-13,2023-03-17,SPX,4,1110.0,-1110.0,26.52,3916.64,LOSS,expiration,False,3945.0,3995.0,4045.0,6.9,3680.0,3730.0,3780.0,4.2
2023-03-20,2023-03-24,SPX,4,960.0,-960.0,24.15,3970.99,LOSS,expiration,False,4010.0,4050.0,4090.0,6.4,3780.0,3820.0,3860.0,3.2
2023-03-27,2023-03-31,SPX,4,1195.0,-1195.0,20.6,4109.31,LOSS,expiration,False,4020.0,4060.0,4100.0,8.35,3855.0,3895.0,3935.0,3.6
2023-04-10,2023-04-14,SPX,4,1155.0,-890.99,18.97,4137.64,LOSS,expiration,False,4135.0,4175.0,4215.0,7.25,3980.0,4020.0,4060.0,4.3
2023-04-17,2023-04-21,SPX,4,810.0,-810.0,16.95,4133.52,LOSS,expiration,False,4170.0,4200.0,4230.0,4.85,4055.0,4085.0,4115.0,3.25
2023-04-24,2023-04-28,SPX,4,800.0,148.0,16.89,4169.48,WIN,expiration,True,4160.0,4190.0,4220.0,5.4,4035.0,4065.0,4095.0,2.6
2023-05-01,2023-05-05,SPX,4,705.0,-705.0,16.08,4136.25,LOSS,expiration,False,4205.0,4235.0,4265.0,4.35,4060.0,4090.0,4120.0,2.7
2023-05-08,2023-05-12,SPX,4,765.0,-765.0,16.98,4124.08,LOSS,expiration,False,4170.0,4200.0,4230.0,5.25,4035.0,4065.0,4095.0,2.4
2023-05-15,2023-05-19,SPX,4,1325.0,1977.0,17.12,4191.98,WIN,expiration,True,4145.0,4185.0,4225.0,9.45,4025.0,4065.0,4105.0,3.8
2023-05-22,2023-05-26,SPX,4,1235.0,-1235.0,17.21,4205.45,LOSS,expiration,False,4215.0,4255.0,4295.0,8.1,4085.0,4125.0,4165.0,4.25
2023-06-05,2023-06-09,SPX,4,900.0,-900.0,14.73,4298.86,LOSS,expiration,False,4300.0,4330.0,4360.0,5.15,4195.0,4225.0,4255.0,3.85
2023-06-12,2023-06-16,SPX,4,655.0,2303.98,15.01,4409.59,WIN,expiration,True,4380.0,4410.0,4440.0,3.75,4230.0,4260.0,4290.0,2.8
2023-06-26,2023-06-30,SPX,4,770.0,-770.0,14.25,4450.38,LOSS,expiration,False,4365.0,4395.0,4425.0,4.25,4255.0,4285.0,4315.0,3.45
2023-07-10,2023-07-14,SPX,4,760.0,-760.0,15.07,4505.42,LOSS,expiration,False,4435.0,4465.0,4495.0,4.35,4310.0,4340.0,4370.0,3.25
2023-07-17,2023-07-21,SPX,4,850.0,-850.0,13.48,4536.34,LOSS,expiration,False,4550.0,4580.0,4610.0,4.75,4445.0,4475.0,4505.0,3.75
2023-07-24,2023-07-28,SPX,4,715.0,-715.0,13.91,4582.23,LOSS,expiration,False,4590.0,4620.0,4650.0,4.2,4455.0,4485.0,4515.0,2.95
2023-07-31,2023-08-04,SPX,4,830.0,-830.0,13.63,4478.03,LOSS,expiration,False,4605.0,4635.0,4665.0,4.8,4490.0,4520.0,4550.0,3.5
2023-08-07,2023-08-11,SPX,4,790.0,-194.98,15.77,4464.05,LOSS,expiration,False,4540.0,4570.0,4600.0,5.3,4410.0,4440.0,4470.0,2.6
2023-08-14,2023-08-18,SPX,4,790.0,-790.0,14.82,4369.71,LOSS,expiration,False,4515.0,4545.0,4575.0,5.0,4385.0,4415.0,4445.0,2.9
2023-08-21,2023-08-25,SPX,4,690.0,-690.0,17.13,4405.71,LOSS,expiration,False,4450.0,4480.0,4510.0,4.2,4295.0,4325.0,4355.0,2.7
2023-08-28,2023-09-01,SPX,4,745.0,178.0,15.08,4515.77,WIN,expiration,True,4465.0,4495.0,4525.0,4.55,4330.0,4360.0,4390.0,2.9
2023-09-11,2023-09-15,SPX,4,770.0,-301.98,13.8,4450.32,LOSS,expiration,False,4515.0,4545.0,4575.0,4.75,4395.0,4425.0,4455.0,2.95
2023-09-18,2023-09-22,SPX,4,815.0,-815.0,14.0,4320.06,LOSS,expiration,False,4480.0,4510.0,4540.0,4.95,4355.0,4385.0,4415.0,3.2
