trade_date,calendar_date,dte_remaining,pnl_usd
2022-06-27,2022-06-27,4,0.0
2022-06-27,2022-07-01,0,-250.0
2022-07-11,2022-07-11,4,0.0
2022-07-11,2022-07-15,0,-255.0
2022-07-18,2022-07-18,4,0.0
2022-07-18,2022-07-22,0,1417.99
2022-07-25,2022-07-25,4,0.0
2022-07-25,2022-07-29,0,-255.0
2022-08-01,2022-08-01,4,0.0
2022-08-01,2022-08-05,0,-245.0
2022-08-08,2022-08-08,4,0.0
2022-08-08,2022-08-12,0,1740.01
2022-08-15,2022-08-15,4,0.0
2022-08-15,2022-08-19,0,-265.0
2022-08-22,2022-08-22,4,0.0
2022-08-22,2022-08-26,0,-250.0
2022-08-29,2022-08-29,4,0.0
2022-08-29,2022-09-02,0,819.0
2022-09-12,2022-09-12,4,0.0
2022-09-12,2022-09-16,0,-265.0
2022-09-19,2022-09-19,4,0.0
2022-09-19,2022-09-23,0,-250.0
2022-09-26,2022-09-26,4,0.0
2022-09-26,2022-09-30,0,-260.0
2022-10-03,2022-10-03,4,0.0
2022-10-03,2022-10-07,0,-255.0
2022-10-10,2022-10-10,4,0.0
2022-10-10,2022-10-14,0,-260.0
2022-10-17,2022-10-17,4,0.0
2022-10-17,2022-10-21,0,-265.0
2022-10-24,2022-10-24,4,0.0
2022-10-24,2022-10-28,0,-250.0
2022-10-31,2022-10-31,4,0.0
2022-10-31,2022-11-04,0,-260.0
2022-11-07,2022-11-07,4,0.0
2022-11-07,2022-11-11,0,962.01
2022-11-14,2022-11-14,4,0.0
2022-11-14,2022-11-18,0,-250.0
2022-11-21,2022-11-21,4,0.0
2022-11-21,2022-11-25,0,-250.0
2022-11-28,2022-11-28,4,0.0
2022-11-28,2022-12-02,0,-75.0
2022-12-05,2022-12-05,4,0.0
2022-12-05,2022-12-09,0,-240.0
2022-12-12,2022-12-12,4,0.0
2022-12-12,2022-12-16,0,503.99
2022-12-19,2022-12-19,4,0.0
2022-12-19,2022-12-23,0,-255.0
2023-01-09,2023-01-09,4,0.0
2023-01-09,2023-01-13,0,-250.0
2023-01-23,2023-01-23,4,0.0
2023-01-23,2023-01-27,0,-245.0
2023-01-30,2023-01-30,4,0.0
2023-01-30,2023-02-03,0,-265.0
2023-02-06,2023-02-06,4,0.0
2023-02-06,2023-02-10,0,-275.0
2023-02-13,2023-02-13,4,0.0
2023-02-13,2023-02-17,0,-245.0
2023-02-27,2023-02-27,4,0.0
2023-02-27,2023-03-03,0,-260.0
2023-03-06,2023-03-06,4,0.0
2023-03-06,2023-03-10,0,-250.0
2023-03-13,2023-03-13,4,0.0
2023-03-13,2023-03-17,0,-260.0
2023-03-20,2023-03-20,4,0.0
2023-03-20,2023-03-24,0,-260.0
2023-03-27,2023-03-27,4,0.0
2023-03-27,2023-03-31,0,1823.99
2023-04-10,2023-04-10,4,0.0
2023-04-10,2023-04-14,0,-255.0
2023-04-17,2023-04-17,4,0.0
2023-04-17,2023-04-21,0,-255.0
2023-04-24,2023-04-24,4,0.0
2023-04-24,2023-04-28,0,-270.0
2023-05-01,2023-05-01,4,0.0
2023-05-01,2023-05-05,0,-240.0
2023-05-08,2023-05-08,4,0.0
2023-05-08,2023-05-12,0,-265.0
2023-05-15,2023-05-15,4,0.0
2023-05-15,2023-05-19,0,-255.0
2023-05-22,2023-05-22,4,0.0
2023-05-22,2023-05-26,0,-260.0
2023-06-05,2023-06-05,4,0.0
2023-06-05,2023-06-09,0,-235.0
2023-06-12,2023-06-12,4,0.0
2023-06-12,2023-06-16,0,-250.0
2023-06-26,2023-06-26,4,0.0
2023-06-26,2023-06-30,0,717.01
2023-07-10,2023-07-10,4,0.0
2023-07-10,2023-07-14,0,2228.01
2023-07-17,2023-07-17,4,0.0
2023-07-17,2023-07-21,0,-250.0
2023-07-24,2023-07-24,4,0.0
2023-07-24,2023-07-28,0,-245.0
2023-07-31,2023-07-31,4,0.0
2023-07-31,2023-08-04,0,1057.98
2023-08-07,2023-08-07,4,0.0
2023-08-07,2023-08-11,0,-255.0
2023-08-14,2023-08-14,4,0.0
2023-08-14,2023-08-18,0,711.0
2023-08-21,2023-08-21,4,0.0
2023-08-21,2023-08-25,0,-250.0
2023-08-28,2023-08-28,4,0.0
