trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,spot_exit,result,exit_method,in_range,call_lower,call_center,call_upper,call_debit,put_lower,put_center,put_upper,put_debit
2022-06-27,2022-07-01,SPX,4,305.0,-305.0,26.95,3825.33,LOSS,expiration,False,4030.0,4060.0,4090.0,1.55,3705.0,3735.0,3765.0,1.5
2022-07-11,2022-07-15,SPX,4,295.0,-295.0,26.17,3863.16,LOSS,expiration,False,3975.0,4005.0,4035.0,1.45,3665.0,3695.0,3725.0,1.5
2022-07-18,2022-07-22,SPX,4,300.0,1362.99,25.3,3961.63,WIN,expiration,True,3945.0,3975.0,4005.0,1.5,3640.0,3670.0,3700.0,1.5
2022-07-25,2022-07-29,SPX,4,305.0,666.0,23.36,4130.29,WIN,expiration,True,4080.0,4110.0,4140.0,1.55,3770.0,3800.0,3830.0,1.5
2022-08-01,2022-08-05,SPX,4,290.0,-290.0,22.84,4145.19,LOSS,expiration,False,4230.0,4260.0,4290.0,1.4,3960.0,3990.0,4020.0,1.5
2022-08-08,2022-08-12,SPX,4,310.0,2675.01,21.29,4280.15,WIN,expiration,True,4250.0,4280.0,4310.0,1.6,3980.0,4010.0,4040.0,1.5
2022-08-15,2022-08-19,SPX,4,315.0,-315.0,19.95,4228.48,LOSS,expiration,False,4385.0,4415.0,4445.0,1.6,4145.0,4175.0,4205.0,1.55
2022-08-22,2022-08-26,SPX,4,315.0,-315.0,23.8,4057.66,LOSS,expiration,False,4250.0,4280.0,4310.0,1.55,3950.0,3980.0,4010.0,1.6
2022-08-29,2022-09-02,SPX,4,315.0,759.0,26.21,3924.26,WIN,expiration,True,4170.0,4200.0,4230.0,1.55,3875.0,3905.0,3935.0,1.6
2022-09-12,2022-09-16,SPX,4,305.0,-305.0,23.87,3873.33,LOSS,expiration,False,4240.0,4270.0,4300.0,1.55,3925.0,3955.0,3985.0,1.5
2022-09-19,2022-09-23,SPX,4,310.0,-310.0,25.76,3693.23,LOSS,expiration,False,4045.0,4075.0,4105.0,1.5,3695.0,3725.0,3755.0,1.6
2022-09-26,2022-09-30,SPX,4,290.0,-290.0,32.26,3585.62,LOSS,expiration,False,3835.0,3865.0,3895.0,1.4,3430.0,3460.0,3490.0,1.5
2022-10-03,2022-10-07,SPX,4,295.0,-295.0,30.1,3639.66,LOSS,expiration,False,3825.0,3855.0,3885.0,1.45,3485.0,3515.0,3545.0,1.5
2022-10-10,2022-10-14,SPX,4,300.0,-300.0,32.45,3583.07,LOSS,expiration,False,3780.0,3810.0,3840.0,1.5,3395.0,3425.0,3455.0,1.5
2022-10-17,2022-10-21,SPX,4,295.0,-295.0,31.37,3752.75,LOSS,expiration,False,3820.0,3850.0,3880.0,1.45,3490.0,3520.0,3550.0,1.5
2022-10-24,2022-10-28,SPX,4,290.0,-290.0,29.85,3901.06,LOSS,expiration,False,3940.0,3970.0,4000.0,1.5,3600.0,3630.0,3660.0,1.4
2022-10-31,2022-11-04,SPX,4,300.0,-300.0,25.88,3770.55,LOSS,expiration,False,4040.0,4070.0,4100.0,1.5,3680.0,3710.0,3740.0,1.5
2022-11-07,2022-11-11,SPX,4,300.0,2407.01,24.35,3992.93,WIN,expiration,True,3960.0,3990.0,4020.0,1.55,3590.0,3620.0,3650.0,1.45
2022-11-14,2022-11-18,SPX,4,300.0,-300.0,23.73,3965.34,LOSS,expiration,False,4095.0,4125.0,4155.0,1.5,3810.0,3840.0,3870.0,1.5
2022-11-21,2022-11-25,SPX,4,295.0,-295.0,22.36,4026.12,LOSS,expiration,False,4030.0,4060.0,4090.0,1.5,3810.0,3840.0,3870.0,1.45
2022-11-28,2022-12-02,SPX,4,305.0,-305.0,22.21,4071.7,LOSS,expiration,False,4075.0,4105.0,4135.0,1.5,3790.0,3820.0,3850.0,1.55
2022-12-05,2022-12-09,SPX,4,300.0,-300.0,20.75,3934.38,LOSS,expiration,False,4085.0,4115.0,4145.0,1.55,3835.0,3865.0,3895.0,1.45
2022-12-12,2022-12-16,SPX,4,300.0,-300.0,25.0,3852.36,LOSS,expiration,False,4150.0,4180.0,4210.0,1.5,3745.0,3775.0,3805.0,1.5
2022-12-19,2022-12-23,SPX,4,290.0,-290.0,22.42,3844.82,LOSS,expiration,False,3910.0,3940.0,3970.0,1.45,3645.0,3675.0,3705.0,1.45
2023-01-09,2023-01-13,SPX,4,300.0,-300.0,21.97,3999.09,LOSS,expiration,False,4040.0,4070.0,4100.0,1.5,3695.0,3725.0,3755.0,1.5
2023-01-23,2023-01-27,SPX,4,290.0,-290.0,19.81,4070.56,LOSS,expiration,False,4110.0,4140.0,4170.0,1.4,3860.0,3890.0,3920.0,1.5
2023-01-30,2023-02-03,SPX,4,320.0,-320.0,19.94,4136.48,LOSS,expiration,False,4160.0,4190.0,4220.0,1.6,3825.0,3855.0,3885.0,1.6
2023-02-06,2023-02-10,SPX,4,300.0,-300.0,19.43,4090.46,LOSS,expiration,False,4210.0,4240.0,4270.0,1.5,3950.0,3980.0,4010.0,1.5
2023-02-13,2023-02-17,SPX,4,300.0,-300.0,20.34,4079.09,LOSS,expiration,False,4265.0,4295.0,4325.0,1.5,3945.0,3975.0,4005.0,1.5
2023-02-27,2023-03-03,SPX,4,305.0,-305.0,20.95,4045.64,LOSS,expiration,False,4075.0,4105.0,4135.0,1.45,3825.0,3855.0,3885.0,1.6
2023-03-06,2023-03-10,SPX,4,300.0,-300.0,18.61,3861.59,LOSS,expiration,False,4160.0,4190.0,4220.0,1.5,3880.0,3910.0,3940.0,1.5
2023-03-13,2023-03-17,SPX,4,290.0,-290.0,26.52,3916.64,LOSS,expiration,False,4030.0,4060.0,4090.0,1.4,3670.0,3700.0,3730.0,1.5
2023-03-20,2023-03-24,SPX,4,290.0,-290.0,24.15,3970.99,LOSS,expiration,False,4085.0,4115.0,4145.0,1.4,3755.0,3785.0,3815.0,1.5
2023-03-27,2023-03-31,SPX,4,290.0,2641.01,20.6,4109.31,WIN,expiration,True,4080.0,4110.0,4140.0,1.4,3820.0,3850.0,3880.0,1.5
2023-04-10,2023-04-14,SPX,4,300.0,-300.0,18.97,4137.64,LOSS,expiration,False,4195.0,4225.0,4255.0,1.55,3950.0,3980.0,4010.0,1.45
2023-04-17,2023-04-21,SPX,4,295.0,-295.0,16.95,4133.52,LOSS,expiration,False,4215.0,4245.0,4275.0,1.45,4025.0,4055.0,4085.0,1.5
2023-04-24,2023-04-28,SPX,4,295.0,-295.0,16.89,4169.48,LOSS,expiration,False,4205.0,4235.0,4265.0,1.5,4000.0,4030.0,4060.0,1.45
2023-05-01,2023-05-05,SPX,4,280.0,-280.0,16.08,4136.25,LOSS,expiration,False,4260.0,4290.0,4320.0,1.35,4020.0,4050.0,4080.0,1.45
2023-05-08,2023-05-12,SPX,4,310.0,-310.0,16.98,4124.08,LOSS,expiration,False,4210.0,4240.0,4270.0,1.6,4000.0,4030.0,4060.0,1.5
2023-05-15,2023-05-19,SPX,4,320.0,-320.0,17.12,4191.98,LOSS,expiration,False,4195.0,4225.0,4255.0,1.6,4015.0,4045.0,4075.0,1.6
2023-05-22,2023-05-26,SPX,4,310.0,-310.0,17.21,4205.45,LOSS,expiration,False,4265.0,4295.0,4325.0,1.6,4065.0,4095.0,4125.0,1.5
2023-06-05,2023-06-09,SPX,4,285.0,-285.0,14.73,4298.86,LOSS,expiration,False,4350.0,4380.0,4410.0,1.25,4155.0,4185.0,4215.0,1.6
2023-06-12,2023-06-16,SPX,4,305.0,-305.0,15.01,4409.59,LOSS,expiration,False,4430.0,4460.0,4490.0,1.55,4195.0,4225.0,4255.0,1.5
2023-06-26,2023-06-30,SPX,4,305.0,1657.01,14.25,4450.38,WIN,expiration,True,4410.0,4440.0,4470.0,1.55,4225.0,4255.0,4285.0,1.5
2023-07-10,2023-07-14,SPX,4,315.0,2643.01,15.07,4505.42,WIN,expiration,True,4475.0,4505.0,4535.0,1.65,4275.0,4305.0,4335.0,1.5
2023-07-17,2023-07-21,SPX,4,305.0,-305.0,13.48,4536.34,LOSS,expiration,False,4595.0,4625.0,4655.0,1.5,4410.0,4440.0,4470.0,1.55
2023-07-24,2023-07-28,SPX,4,295.0,-295.0,13.91,4582.23,LOSS,expiration,False,4635.0,4665.0,4695.0,1.5,4415.0,4445.0,4475.0,1.45
2023-07-31,2023-08-04,SPX,4,310.0,1992.98,13.63,4478.03,WIN,expiration,True,4650.0,4680.0,4710.0,1.55,4455.0,4485.0,4515.0,1.55
2023-08-07,2023-08-11,SPX,4,300.0,-300.0,15.77,4464.05,LOSS,expiration,False,4590.0,4620.0,4650.0,1.45,4380.0,4410.0,4440.0,1.55
