date,trade_date,spot,pnl_usd,cumulative_pnl
2021-06-01,2021-06-01,4218.8,33.0,33.0
2021-06-23,2021-06-23,4252.94,0.0,33.0
2021-06-23,2021-06-23,4251.77,-141.0,-108.0
2021-07-16,2021-07-16,4365.01,0.0,-108.0
2021-07-16,2021-07-16,4351.34,-214.0,-322.0
2021-08-06,2021-08-06,4431.13,0.0,-322.0
2021-08-06,2021-08-06,4431.86,-185.0,-507.0
2021-08-27,2021-08-27,4484.57,0.0,-507.0
2021-08-27,2021-08-27,4503.35,580.0,73.0
2021-09-17,2021-09-17,4451.54,0.0,73.0
2021-09-17,2021-09-17,4441.55,674.0,747.0
2021-10-08,2021-10-08,4398.49,0.0,747.0
2021-10-08,2021-10-08,4401.7,-264.0,483.0
2021-10-21,2021-10-21,4532.97,-3.0,480.0
2021-10-29,2021-10-29,4585.1,0.0,480.0
2021-10-29,2021-10-29,4586.35,-305.0,175.0
2021-11-19,2021-11-19,4710.65,0.0,175.0
2021-11-19,2021-11-19,4703.07,215.0,390.0
2021-12-10,2021-12-10,4687.31,0.0,390.0
2021-12-10,2021-12-10,4684.22,-63.0,327.0
2021-12-30,2021-12-30,4800.33,0.0,327.0
2021-12-30,2021-12-30,4800.36,3845.0,4172.0
2022-01-19,2022-01-19,4533.11,240.0,4412.0
2022-02-11,2022-02-11,4503.19,0.0,4412.0
2022-02-11,2022-02-11,4501.12,750.0,5162.0
2022-03-04,2022-03-04,4363.49,0.0,5162.0
2022-03-04,2022-03-04,4363.49,-225.0,4937.0
2022-03-16,2022-03-16,4358.36,-332.0,4605.0
2022-03-25,2022-03-25,4525.13,0.0,4605.0
2022-03-25,2022-03-25,4539.81,2245.0,6850.0
2022-04-18,2022-04-18,4390.76,0.0,6850.0
2022-04-18,2022-04-18,4399.54,1965.0,8815.0
2022-05-02,2022-05-02,4075.66,2675.0,11490.0
2022-05-24,2022-05-24,3912.15,0.0,11490.0
2022-05-24,2022-05-24,3885.1,-695.0,10795.0
2022-05-27,2022-05-27,4158.34,1320.0,12115.0
2022-06-17,2022-06-17,3698.69,0.0,12115.0
2022-06-17,2022-06-17,3650.51,-300.0,11815.0
2022-06-24,2022-06-24,3880.39,322.0,12137.0
2022-07-08,2022-07-08,3874.9,0.0,12137.0
2022-07-08,2022-07-08,3907.12,-165.0,11972.0
2022-07-25,2022-07-25,3966.83,0.0,11972.0
2022-07-25,2022-07-25,3963.48,-510.0,11462.0
2022-08-05,2022-08-05,4140.46,601.0,12063.0
2022-08-15,2022-08-15,4278.61,0.0,12063.0
2022-08-15,2022-08-15,4267.13,2080.0,14143.0
2022-08-29,2022-08-29,4019.38,2140.0,16283.0
2022-09-19,2022-09-19,3864.26,0.0,16283.0
2022-09-19,2022-09-19,3877.48,715.0,16998.0
2022-09-23,2022-09-23,3649.07,0.0,16998.0
2022-09-23,2022-09-23,3695.23,-95.0,16903.0
2022-10-14,2022-10-14,3677.16,0.0,16903.0
2022-10-14,2022-10-14,3630.85,-690.0,16213.0
2022-10-25,2022-10-25,3840.11,425.0,16638.0
2022-11-07,2022-11-07,3768.57,0.0,16638.0
2022-11-07,2022-11-07,3784.22,-1053.0,15585.0
2022-11-21,2022-11-21,3956.46,143.0,15728.0
2022-11-29,2022-11-29,3961.11,0.0,15728.0
2022-11-29,2022-11-29,3967.77,-498.0,15230.0
2022-12-14,2022-12-14,4048.9,1543.0,16773.0
2022-12-21,2022-12-21,3847.3,0.0,16773.0
2022-12-21,2022-12-21,3881.84,-705.0,16068.0
2023-01-12,2023-01-12,3949.39,0.0,16068.0
2023-01-12,2023-01-12,3968.8,-723.0,15345.0
2023-02-01,2023-02-01,4119.19,0.0,15345.0
2023-02-02,2023-02-02,4148.16,2660.0,18005.0
2023-02-23,2023-02-23,3970.65,395.0,18400.0
2023-03-06,2023-03-06,4062.45,-1115.0,17285.0
2023-03-17,2023-03-17,3942.35,0.0,17285.0
2023-03-17,2023-03-17,3918.23,45.0,17330.0
2023-03-27,2023-03-27,3995.15,-68.0,17262.0
2023-04-10,2023-04-10,4074.32,0.0,17262.0
2023-04-10,2023-04-10,4079.69,-589.0,16673.0
2023-04-28,2023-04-28,4158.58,0.0,16673.0
2023-04-28,2023-04-28,4165.81,-195.0,16478.0
2023-05-19,2023-05-19,4211.3,0.0,16478.0
2023-05-19,2023-05-19,4209.02,0.0,16478.0
2023-06-06,2023-06-06,4283.71,0.0,16478.0
2023-06-06,2023-06-06,4284.72,-158.0,16320.0
2023-06-27,2023-06-27,4349.63,0.0,16320.0
2023-06-27,2023-06-27,4358.39,-190.0,16130.0
2023-07-17,2023-07-17,4513.12,0.0,16130.0
2023-07-17,2023-07-17,4520.71,30.0,16160.0
2023-08-08,2023-08-08,4476.29,0.0,16160.0
2023-08-08,2023-08-08,4467.23,720.0,16880.0
2023-08-28,2023-08-28,4431.88,0.0,16880.0
2023-08-28,2023-08-28,4426.33,-90.0,16790.0
2023-09-13,2023-09-13,4475.11,0.0,16790.0
2023-09-13,2023-09-13,4475.6,990.0,17780.0
2023-09-21,2023-09-21,4347.32,0.0,17780.0
2023-09-21,2023-09-21,4329.41,-465.0,17315.0
2023-10-13,2023-10-13,4371.99,0.0,17315.0
2023-10-13,2023-10-13,4340.74,2710.0,20025.0
2023-10-27,2023-10-27,4114.65,60.0,20085.0
2023-11-03,2023-11-03,4358.24,638.0,20723.0
2023-11-16,2023-11-16,4510.53,0.0,20723.0
2023-11-16,2023-11-16,4496.46,-185.0,20538.0
2023-12-06,2023-12-06,4582.98,0.0,20538.0
2023-12-06,2023-12-06,4575.13,-371.0,20167.0
2023-12-20,2023-12-20,4764.99,303.0,20470.0
2023-12-29,2023-12-29,4785.93,0.0,20470.0
2023-12-29,2023-12-29,4772.5,-308.0,20162.0
2024-01-22,2024-01-22,4866.63,0.0,20162.0
2024-01-22,2024-01-22,4850.95,-452.0,19710.0
2024-02-07,2024-02-07,4997.84,-198.0,19512.0
2024-02-14,2024-02-14,4980.68,0.0,19512.0
2024-02-14,2024-02-14,4971.63,-255.0,19257.0
2024-03-01,2024-03-01,5099.71,103.0,19360.0
2024-03-08,2024-03-08,5185.2,0.0,19360.0
2024-03-08,2024-03-08,5182.05,-450.0,18910.0
2024-03-28,2024-03-28,5255.02,0.0,18910.0
2024-03-28,2024-03-28,5252.25,1120.0,20030.0
2024-04-15,2024-04-15,5067.66,860.0,20890.0
2024-05-06,2024-05-06,5168.87,0.0,20890.0
2024-05-06,2024-05-06,5180.7,-893.0,19997.0
2024-05-29,2024-05-29,5271.36,0.0,19997.0
2024-05-29,2024-05-29,5279.23,-160.0,19837.0
2024-06-12,2024-06-12,5433.78,-375.0,19462.0
2024-06-21,2024-06-21,5459.93,0.0,19462.0
2024-06-21,2024-06-21,5470.37,-205.0,19257.0
2024-07-08,2024-07-08,5572.0,140.0,19397.0
2024-07-15,2024-07-15,5637.78,0.0,19397.0
2024-07-15,2024-07-15,5655.11,365.0,19762.0
2024-07-19,2024-07-19,5511.65,0.0,19762.0
2024-07-19,2024-07-19,5511.77,-3994.0,15768.0
2024-08-05,2024-08-05,5168.55,7417.0,23185.0
2024-08-19,2024-08-19,5576.75,165.0,23350.0
2024-08-28,2024-08-28,5621.56,0.0,23350.0
2024-08-28,2024-08-28,5607.0,515.0,23865.0
2024-09-06,2024-09-06,5413.61,0.0,23865.0
2024-09-06,2024-09-06,5409.16,210.0,24075.0
2024-09-11,2024-09-11,5524.19,-140.0,23935.0
2024-09-30,2024-09-30,5728.24,0.0,23935.0
2024-09-30,2024-09-30,5734.15,-705.0,23230.0
2024-10-23,2024-10-23,5831.43,0.0,23230.0
2024-10-23,2024-10-23,5823.3,-10.0,23220.0
2024-11-06,2024-11-06,5909.92,-220.0,23000.0
2024-11-15,2024-11-15,5900.51,0.0,23000.0
2024-11-15,2024-11-15,5877.86,-415.0,22585.0
2024-12-04,2024-12-04,6068.88,0.0,22585.0
2024-12-04,2024-12-04,6073.25,1275.0,23860.0
2024-12-27,2024-12-27,5992.41,0.0,23860.0
2024-12-27,2024-12-27,5963.87,-237.0,23623.0
2025-01-21,2025-01-21,6027.01,-1.0,23622.0
2025-01-21,2025-01-21,6025.34,-400.0,23222.0
2025-02-13,2025-02-13,6066.87,0.0,23222.0
2025-02-13,2025-02-13,6088.55,1630.0,24852.0
2025-03-04,2025-03-04,5767.27,2055.0,26907.0
2025-03-27,2025-03-27,5705.34,0.0,26907.0
2025-03-27,2025-03-27,5730.66,-495.0,26412.0
2025-04-03,2025-04-03,5471.04,0.0,26412.0
2025-04-03,2025-04-03,5421.98,-2089.0,24323.0
2025-04-04,2025-04-04,5075.24,0.0,24323.0
2025-04-07,2025-04-07,4976.57,-356.0,23967.0
2025-04-08,2025-04-08,5244.62,101.0,24068.0
2025-04-23,2025-04-23,5450.1,47.0,24115.0
2025-04-30,2025-04-30,5436.37,0.0,24115.0
2025-04-30,2025-04-30,5486.57,-560.0,23555.0
2025-05-08,2025-05-08,5718.19,777.0,24332.0
2025-05-13,2025-05-13,5869.61,-1867.0,22465.0
2025-05-23,2025-05-23,5779.22,0.0,22465.0
2025-05-23,2025-05-23,5783.42,-145.0,22320.0
2025-06-03,2025-06-03,5954.17,110.0,22430.0
2025-06-16,2025-06-16,6036.65,0.0,22430.0
2025-06-16,2025-06-16,6046.08,-308.0,22122.0
2025-07-03,2025-07-03,6262.43,0.0,22122.0
2025-07-03,2025-07-03,6275.46,-295.0,21827.0
2025-07-25,2025-07-25,6372.79,0.0,21827.0
2025-07-25,2025-07-25,6378.36,-315.0,21512.0
2025-08-18,2025-08-18,6443.24,0.0,21512.0
2025-08-18,2025-08-18,6448.08,-75.0,21437.0
2025-09-10,2025-09-10,6546.23,0.0,21437.0
2025-09-10,2025-09-10,6544.15,-512.0,20925.0
2025-10-03,2025-10-03,6732.42,0.0,20925.0
2025-10-03,2025-10-03,6746.03,-300.0,20625.0
2025-10-27,2025-10-27,6854.2,0.0,20625.0
2025-10-27,2025-10-27,6849.6,1740.0,22365.0
2025-11-19,2025-11-19,6673.7,0.0,22365.0
2025-11-19,2025-11-19,6645.47,-175.0,22190.0
2025-11-26,2025-11-26,6823.08,312.0,22502.0
2025-12-12,2025-12-12,6886.59,0.0,22502.0
2025-12-12,2025-12-12,6828.17,-290.0,22212.0
2026-01-05,2026-01-05,6896.53,0.0,22212.0
2026-01-05,2026-01-05,6909.63,-605.0,21607.0
2026-01-28,2026-01-28,6994.43,0.0,21607.0
2026-01-28,2026-01-28,6978.69,935.0,22542.0
2026-02-20,2026-02-20,6865.77,0.0,22542.0
2026-02-20,2026-02-20,6905.88,1815.0,24357.0
2026-03-16,2026-03-16,6717.51,0.0,24357.0
2026-03-16,2026-03-16,6707.48,-680.0,23677.0
2026-04-08,2026-04-08,6773.29,0.0,23677.0
2026-04-08,2026-04-08,6752.45,-305.0,23372.0
2026-04-15,2026-04-15,7020.39,680.0,24052.0
2026-05-01,2026-05-01,7265.08,0.0,24052.0
2026-05-01,2026-05-01,7250.89,-540.0,23512.0
2026-05-22,2026-05-22,7494.17,0.0,23512.0
2026-05-22,2026-05-22,7490.36,0.0,23512.0
