trade_date,exp_date,underlying,spot_entry,vix_entry,roll_dir,restruck,short_put,long_put,delta_short,delta_long,lpv_debit,far_short,far_exp,far_credit,delta_far,total_credit,net_roll,net_roll_usd,spot_close,spot_exit,effective_close_date,cash_close,mark,cum_pnl_pts,pnl_usd,pnl_usd_at_exp,result,exit_method,in_range
2021-06-01,2021-06-30,SPX,4218.8,17.44,entry,,4045.0,4125.0,-0.2,-0.3,11.65,3425.0,2021-08-31,20.7,-0.07,9.05,0.33,33.0,4252.94,4252.94,2021-06-23,9.05,-9.05,0.33,33.0,33.0,win,roll,1
2021-06-23,,SPX,4252.94,16.28,T3_reopen,,,,,,,,,,,,0.0,0.0,4251.77,4251.77,2021-06-23,0.33,0.0,0.33,0.0,0.0,flat,roll,1
2021-06-23,2021-07-23,SPX,4251.77,16.28,entry,,4085.0,4160.0,-0.201,-0.297,10.5,3520.0,2021-09-17,18.75,-0.07,8.25,-1.41,-141.0,4365.01,4365.01,2021-07-16,8.57,-8.25,-1.08,-141.0,-141.0,loss,roll,0
2021-07-16,,SPX,4365.01,16.42,T3_reopen,,,,,,,,,,,,0.0,0.0,4351.34,4351.34,2021-07-16,-1.08,0.0,-1.08,0.0,0.0,flat,roll,1
2021-07-16,2021-08-13,SPX,4351.34,17.12,entry,,4170.0,4255.0,-0.198,-0.3,12.6,3525.0,2021-10-15,21.7,-0.07,9.1,-2.14,-214.0,4431.13,4431.13,2021-08-06,8.03,-9.1,-3.22,-214.0,-214.0,loss,roll,0
2021-08-06,,SPX,4431.13,16.94,T3_reopen,,,,,,,,,,,,0.0,0.0,4431.86,4431.86,2021-08-06,-3.22,0.0,-3.22,0.0,0.0,flat,roll,1
2021-08-06,2021-09-03,SPX,4431.86,16.84,entry,,4250.0,4335.0,-0.199,-0.299,11.65,3625.0,2021-10-29,20.8,-0.07,9.15,-1.85,-185.0,4484.57,4484.57,2021-08-27,5.93,-9.15,-5.07,-185.0,-185.0,loss,roll,0
2021-08-27,,SPX,4484.57,17.59,T3_reopen,,,,,,,,,,,,0.0,0.0,4503.35,4503.35,2021-08-27,-5.07,0.0,-5.07,0.0,0.0,flat,roll,1
2021-08-27,2021-09-24,SPX,4503.35,16.42,entry,,4330.0,4415.0,-0.2,-0.303,10.7,3640.0,2021-11-30,22.8,-0.07,12.1,5.8,580.0,4451.54,4451.54,2021-09-17,7.03,-12.1,0.73,580.0,580.0,win,roll,1
2021-09-17,,SPX,4451.54,19.5,T3_reopen,,,,,,,,,,,,0.0,0.0,4441.55,4441.55,2021-09-17,0.73,0.0,0.73,0.0,0.0,flat,roll,1
2021-09-17,2021-10-15,SPX,4441.55,20.15,entry,,4230.0,4325.0,-0.201,-0.299,14.55,3530.0,2021-12-17,24.2,-0.07,9.65,6.74,674.0,4398.49,4398.49,2021-10-08,10.38,-9.65,7.47,674.0,674.0,win,roll,1
2021-10-08,,SPX,4398.49,18.92,T3_reopen,,,,,,,,,,,,0.0,0.0,4401.7,4401.7,2021-10-08,7.47,0.0,7.47,0.0,0.0,flat,roll,1
