trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3,pnl_tp25_exit14,pnl_tp25_exit10,pnl_tp25_exit7,pnl_tp25_exit5,pnl_tp25_exit3,pnl_tp50_exit14,pnl_tp50_exit10,pnl_tp50_exit7,pnl_tp50_exit5,pnl_tp50_exit3,pnl_tp75_exit14,pnl_tp75_exit10,pnl_tp75_exit7,pnl_tp75_exit5,pnl_tp75_exit3
2021-01-08,2021-01-22,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),3817.5,3841.15,3815.0,3795.0,3835.0,160.0,21.7,15.68,117.2,160.0,40.0,80.0,120.0,WIN,expiration,150.0,-1740.0,0.0,-5.0,-70.0,-140.0,-140.0,0.0,-5.0,-70.0,-140.0,-140.0,0.0,-5.0,-70.0,-140.0,-140.0,0.0,-5.0,-70.0,-140.0,-140.0
2021-01-15,2021-01-29,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),3783.61,3713.23,3785.0,3765.0,3805.0,120.0,23.61,18.1,134.2,120.0,30.0,60.0,90.0,WIN,expiration,180.0,-2080.0,-5.0,-20.0,-140.0,40.0,75.0,-5.0,30.0,30.0,30.0,30.0,-5.0,-20.0,60.0,60.0,60.0,-5.0,-20.0,90.0,90.0,90.0
2021-01-22,2021-02-05,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),3841.06,3886.82,3840.0,3820.0,3860.0,150.0,21.9,16.22,122.0,150.0,37.5,75.0,112.5,WIN,expiration,200.0,-2080.0,0.0,10.0,-30.0,-32.5,-120.0,0.0,10.0,-30.0,-32.5,-120.0,0.0,10.0,-30.0,-32.5,-120.0,0.0,10.0,-30.0,-32.5,-120.0
2021-01-29,2021-02-12,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),3763.09,3935.04,3765.0,3740.0,3790.0,115.0,30.67,24.51,180.6,115.0,28.75,115.0,115.0,WIN,expiration,135.0,-6910.0,-10.0,5.0,115.0,90.0,20.0,-10.0,28.75,28.75,28.75,28.75,-10.0,5.0,115.0,115.0,115.0,-10.0,5.0,115.0,115.0,115.0
2021-02-05,2021-02-19,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),3881.32,3906.87,3880.0,3865.0,3895.0,100.0,21.73,15.13,115.0,100.0,25.0,50.0,75.0,WIN,expiration,260.0,-1860.0,5.0,10.0,-40.0,50.0,50.0,5.0,10.0,25.0,25.0,25.0,5.0,10.0,-40.0,50.0,50.0,5.0,10.0,-40.0,50.0,75.0
2021-02-12,2021-02-26,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),3912.37,3810.81,3910.0,3890.0,3930.0,155.0,20.93,15.24,116.8,155.0,38.75,77.5,116.25,WIN,expiration,155.0,-1290.0,0.0,20.0,-40.0,-100.0,-15.0,0.0,20.0,38.75,38.75,38.75,0.0,20.0,77.5,77.5,77.5,0.0,20.0,-40.0,-100.0,-15.0
2021-02-19,2021-03-05,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),3926.98,3841.58,3925.0,3905.0,3945.0,145.0,21.63,15.48,119.1,145.0,36.25,72.5,108.75,WIN,expiration,235.0,-780.0,-20.0,-20.0,-5.0,235.0,-135.0,-20.0,-20.0,-5.0,36.25,36.25,-20.0,-20.0,-5.0,72.5,72.5,-20.0,-20.0,-5.0,108.75,108.75
2021-02-26,2021-03-12,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),3826.31,3943.11,3825.0,3795.0,3855.0,165.0,28.61,25.2,188.8,165.0,41.25,82.5,123.75,WIN,expiration,270.0,-2080.0,20.0,30.0,-150.0,-85.0,-25.0,41.25,41.25,41.25,41.25,41.25,20.0,30.0,82.5,82.5,82.5,20.0,30.0,123.75,123.75,123.75
2021-03-05,2021-03-19,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),3776.04,3911.67,3775.0,3745.0,3805.0,180.0,28.34,24.83,183.6,180.0,45.0,90.0,135.0,WIN,expiration,405.0,-3280.0,10.0,25.0,130.0,130.0,150.0,45.0,45.0,45.0,45.0,45.0,10.0,90.0,90.0,90.0,90.0,10.0,135.0,135.0,135.0,135.0
2021-03-12,2021-03-26,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),3932.31,3974.28,3930.0,3910.0,3950.0,150.0,22.16,17.35,133.7,150.0,37.5,75.0,112.5,WIN,expiration,1690.0,-2760.0,5.0,30.0,-40.0,-145.0,-70.0,5.0,37.5,37.5,37.5,37.5,5.0,75.0,75.0,75.0,75.0,5.0,112.5,112.5,112.5,112.5
