trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3
2021-01-08,2021-01-22,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3817.5,3841.15,3815.0,3745.0,3885.0,1875.0,21.7,15.68,117.2,-2510.0,-2510.0,-2510.0,-2510.0,LOSS,expiration,95.0,-3925.0,5.0,-85.0,-665.0,-1217.5,-1217.5
2021-01-15,2021-01-29,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3783.61,3713.23,3785.0,3705.0,3865.0,1975.0,23.61,18.1,134.2,1152.0,520.0,1370.0,1152.0,WIN,expiration,1370.0,-3295.0,-70.0,-250.0,325.0,350.0,580.0
2021-01-22,2021-02-05,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3841.06,3886.82,3840.0,3765.0,3915.0,2050.0,21.9,16.22,122.0,-768.0,-768.0,-768.0,-768.0,LOSS,expiration,205.0,-2700.0,-45.0,-10.0,-430.0,-122.5,-1312.5
2021-01-29,2021-02-12,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3763.09,3935.04,3765.0,3655.0,3875.0,2470.0,30.67,24.51,180.6,2470.0,710.0,1260.0,1880.0,WIN,expiration,2460.0,-3150.0,-115.0,-5.0,710.0,1550.0,1615.0
2021-02-05,2021-02-19,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3881.32,3906.87,3880.0,3810.0,3950.0,1995.0,21.73,15.13,115.0,-2318.0,585.0,-2318.0,-2318.0,LOSS,expiration,665.0,-3225.0,-30.0,65.0,105.0,665.0,665.0
2021-02-12,2021-02-26,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3912.37,3810.81,3910.0,3840.0,3980.0,2020.0,20.93,15.24,116.8,2020.0,837.5,1390.0,2022.5,WIN,expiration,2022.5,-2160.0,195.0,390.0,-195.0,-740.0,100.0
2021-02-19,2021-03-05,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3926.98,3841.58,3925.0,3855.0,3995.0,1850.0,21.63,15.48,119.1,1850.0,625.0,1452.5,1452.5,WIN,expiration,1840.0,-1470.0,-55.0,15.0,50.0,-497.5,-1127.5
2021-02-26,2021-03-12,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3826.31,3943.11,3825.0,3710.0,3940.0,2705.0,28.61,25.2,188.8,2705.0,825.0,1640.0,2107.5,WIN,expiration,2727.5,-2840.0,5.0,95.0,-1487.5,-1220.0,-1385.0
2021-03-05,2021-03-19,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3776.04,3911.67,3775.0,3665.0,3885.0,2525.0,28.34,24.83,183.6,2525.0,945.0,1495.0,1910.0,WIN,expiration,2545.0,-1820.0,-175.0,875.0,1405.0,1745.0,2170.0
2021-03-12,2021-03-26,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3932.31,3974.28,3930.0,3850.0,4010.0,2165.0,22.16,17.35,133.7,-1407.0,-1407.0,-1407.0,-1407.0,LOSS,expiration,325.0,-5185.0,-90.0,240.0,-650.0,-1607.5,-1832.5
