trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae
2021-01-04,2021-01-06,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),3747.9,3748.21,3750.0,3740.0,3760.0,65.0,24.17,22.94,63.7,-756.0,25.0,45.0,-756.0,LOSS,expiration,45.0,-1340.0
2021-01-05,2021-01-06,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3715.75,3748.21,3715.0,3705.0,3725.0,60.0,26.73,28.93,56.3,60.0,30.0,30.0,45.0,WIN,expiration,455.0,-8310.0
2021-01-06,2021-01-08,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),3736.15,3824.59,3735.0,3725.0,3745.0,70.0,23.52,21.97,60.8,70.0,25.0,55.0,55.0,WIN,expiration,110.0,-3200.0
2021-01-08,2021-01-11,SPX,3,0.15,Inverse Butterfly 1-2-1 (calls),3817.5,3800.03,3815.0,3810.0,3820.0,45.0,21.7,11.76,40.7,45.0,15.0,30.0,125.0,WIN,expiration,125.0,-520.0
2021-01-11,2021-01-13,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),3804.28,3810.19,3805.0,3795.0,3815.0,85.0,23.7,19.08,53.7,-396.0,142.5,142.5,142.5,LOSS,expiration,142.5,-985.0
2021-01-12,2021-01-13,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3800.8,3810.19,3800.0,3795.0,3805.0,25.0,23.97,19.92,39.6,25.0,30.0,30.0,30.0,WIN,expiration,240.0,-1140.0
2021-01-13,2021-01-15,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),3800.68,3768.5,3800.0,3790.0,3810.0,90.0,23.13,17.79,50.0,90.0,30.0,100.0,100.0,WIN,expiration,100.0,-1150.0
2021-01-14,2021-01-15,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3821.04,3768.5,3820.0,3815.0,3825.0,35.0,21.92,16.03,32.1,35.0,27.5,27.5,27.5,WIN,expiration,42.5,-170.0
2021-01-15,2021-01-19,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),3783.61,3798.76,3785.0,3780.0,3790.0,30.0,23.61,12.52,49.6,30.0,10.0,165.0,165.0,WIN,expiration,195.0,-2550.0
2021-01-19,2021-01-20,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3789.32,3851.55,3790.0,3785.0,3795.0,20.0,22.89,20.26,40.2,20.0,35.0,35.0,35.0,WIN,expiration,1070.0,-6000.0
2021-01-20,2021-01-22,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),3824.98,3841.15,3825.0,3820.0,3830.0,25.0,22.49,16.67,47.2,25.0,10.0,15.0,75.0,WIN,expiration,75.0,-2020.0
2021-01-21,2021-01-22,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3851.45,3841.15,3850.0,3845.0,3855.0,35.0,21.67,17.7,35.7,35.0,15.0,100.0,100.0,WIN,expiration,100.0,-390.0
2021-01-22,2021-01-25,SPX,3,0.15,Inverse Butterfly 1-2-1 (calls),3841.06,3855.45,3840.0,3835.0,3845.0,25.0,21.9,11.09,38.6,25.0,25.0,25.0,25.0,WIN,expiration,0.0,-1870.0
2021-01-25,2021-01-27,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),3849.45,3752.32,3850.0,3845.0,3855.0,20.0,22.9,16.13,46.0,20.0,17.5,17.5,17.5,WIN,expiration,27.5,-240.0
2021-01-26,2021-01-27,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3859.81,3752.32,3860.0,3855.0,3865.0,45.0,22.93,17.66,35.7,45.0,15.0,40.0,40.0,WIN,expiration,50.0,-170.0
2021-01-27,2021-01-29,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),3786.78,3713.23,3785.0,3770.0,3800.0,110.0,27.51,31.06,87.1,110.0,30.0,180.0,180.0,WIN,expiration,180.0,-2260.0
2021-01-28,2021-01-29,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3787.33,3713.23,3785.0,3775.0,3795.0,50.0,29.89,33.49,66.4,50.0,20.0,45.0,45.0,WIN,expiration,45.0,-1390.0
2021-01-29,2021-02-01,SPX,3,0.15,Inverse Butterfly 1-2-1 (calls),3763.09,3773.3,3765.0,3755.0,3775.0,50.0,30.67,21.72,74.1,-120.0,-120.0,-120.0,-120.0,LOSS,expiration,0.0,-1940.0
2021-02-01,2021-02-03,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),3737.26,3830.11,3735.0,3720.0,3750.0,80.0,32.87,31.94,88.4,80.0,30.0,95.0,95.0,WIN,expiration,95.0,-2500.0
2021-02-02,2021-02-03,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3819.76,3830.11,3820.0,3815.0,3825.0,25.0,26.8,22.7,45.4,25.0,10.0,15.0,20.0,WIN,expiration,20.0,-2330.0
2021-02-03,2021-02-05,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),3840.9,3886.82,3840.0,3830.0,3850.0,90.0,24.33,18.19,51.7,90.0,25.0,150.0,150.0,WIN,expiration,150.0,-1490.0
2021-02-04,2021-02-05,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3849.54,3886.82,3850.0,3845.0,3855.0,30.0,22.22,16.32,32.9,30.0,10.0,20.0,25.0,WIN,expiration,30.0,-900.0
2021-02-05,2021-02-08,SPX,3,0.15,Inverse Butterfly 1-2-1 (calls),3881.32,3915.49,3880.0,3875.0,3885.0,40.0,21.73,10.86,38.2,40.0,15.0,30.0,95.0,WIN,expiration,95.0,-1880.0
2021-02-08,2021-02-10,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),3906.62,3910.34,3905.0,3900.0,3910.0,40.0,21.66,13.91,40.2,40.0,15.0,25.0,40.0,WIN,expiration,25.0,-360.0
2021-02-09,2021-02-10,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3911.13,3910.34,3910.0,3905.0,3915.0,30.0,21.88,15.39,31.5,-436.0,-436.0,-436.0,-436.0,LOSS,expiration,0.0,-365.0
2021-02-10,2021-02-12,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),3924.87,3935.04,3925.0,3920.0,3930.0,25.0,21.56,13.93,40.5,25.0,100.0,100.0,100.0,WIN,expiration,100.0,-850.0
2021-02-11,2021-02-12,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3913.16,3935.04,3915.0,3910.0,3920.0,25.0,22.27,18.4,37.7,25.0,10.0,55.0,55.0,WIN,expiration,55.0,-860.0
2021-02-12,2021-02-16,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),3912.37,3932.82,3910.0,3905.0,3915.0,20.0,20.93,10.34,42.3,20.0,10.0,10.0,25.0,WIN,expiration,50.0,-2050.0
2021-02-16,2021-02-17,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3945.59,3931.55,3945.0,3940.0,3950.0,25.0,21.72,16.25,33.6,25.0,20.0,20.0,20.0,WIN,expiration,22.5,-150.0
2021-02-18,2021-02-19,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3905.69,3906.87,3905.0,3900.0,3910.0,40.0,22.92,19.1,39.0,-273.0,25.0,25.0,35.0,LOSS,expiration,35.0,-730.0
2021-02-19,2021-02-22,SPX,3,0.15,Inverse Butterfly 1-2-1 (calls),3926.98,3877.46,3925.0,3920.0,3930.0,20.0,21.63,11.55,41.1,20.0,12.5,12.5,25.0,WIN,expiration,25.0,-230.0
2021-02-22,2021-02-24,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),3887.08,3925.76,3885.0,3875.0,3895.0,75.0,23.47,19.47,56.0,75.0,25.0,50.0,385.0,WIN,expiration,385.0,-1650.0
2021-02-23,2021-02-24,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3828.22,3925.76,3830.0,3820.0,3840.0,65.0,25.58,28.23,56.6,65.0,20.0,40.0,70.0,WIN,expiration,80.0,-2480.0
2021-02-24,2021-02-26,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),3870.59,3810.81,3870.0,3860.0,3880.0,65.0,24.16,22.87,65.5,65.0,30.0,40.0,50.0,WIN,expiration,65.0,-1190.0
2021-02-25,2021-02-26,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3915.5,3810.81,3915.0,3910.0,3920.0,30.0,22.35,19.49,40.0,30.0,20.0,20.0,37.5,WIN,expiration,37.5,-160.0
2021-02-26,2021-03-01,SPX,3,0.15,Inverse Butterfly 1-2-1 (calls),3826.31,3901.33,3825.0,3815.0,3835.0,40.0,28.61,23.51,81.5,40.0,30.0,30.0,30.0,WIN,expiration,50.0,-1820.0
2021-03-01,2021-03-03,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),3876.07,3819.47,3875.0,3865.0,3885.0,85.0,23.8,22.22,63.7,85.0,30.0,50.0,75.0,WIN,expiration,92.5,-2560.0
2021-03-02,2021-03-03,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3899.15,3819.47,3900.0,3895.0,3905.0,25.0,23.06,20.77,42.4,25.0,10.0,20.0,20.0,WIN,expiration,22.5,-150.0
2021-03-03,2021-03-05,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),3851.37,3841.58,3850.0,3840.0,3860.0,35.0,25.52,28.12,80.2,-123.0,10.0,22.5,30.0,LOSS,expiration,30.0,-590.0
2021-03-04,2021-03-05,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3812.19,3841.58,3810.0,3800.0,3820.0,55.0,26.89,35.05,69.9,55.0,20.0,35.0,65.0,WIN,expiration,65.0,-1360.0
2021-03-05,2021-03-08,SPX,3,0.15,Inverse Butterfly 1-2-1 (calls),3776.04,3820.31,3775.0,3760.0,3790.0,100.0,28.34,24.64,84.3,100.0,35.0,60.0,80.0,WIN,expiration,100.0,-1360.0
2021-03-08,2021-03-10,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),3843.44,3898.79,3845.0,3830.0,3860.0,85.0,26.04,29.41,83.7,85.0,30.0,55.0,70.0,WIN,expiration,205.0,-1600.0
2021-03-09,2021-03-10,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3876.9,3898.79,3875.0,3865.0,3885.0,80.0,23.78,25.18,51.1,80.0,30.0,40.0,80.0,WIN,expiration,60.0,-1310.0
2021-03-10,2021-03-12,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),3906.13,3943.11,3905.0,3895.0,3915.0,60.0,22.52,20.89,60.4,60.0,20.0,40.0,65.0,WIN,expiration,100.0,-1730.0
2021-03-11,2021-03-12,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3933.66,3943.11,3935.0,3930.0,3940.0,35.0,21.88,17.87,36.8,35.0,15.0,20.0,35.0,WIN,expiration,20.0,-940.0
2021-03-12,2021-03-15,SPX,3,0.15,Inverse Butterfly 1-2-1 (calls),3932.31,3968.39,3930.0,3925.0,3935.0,5.0,22.16,13.24,47.2,5.0,75.0,75.0,75.0,WIN,expiration,75.0,-870.0
2021-03-15,2021-03-17,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),3942.75,3973.96,3945.0,3935.0,3955.0,80.0,21.22,17.55,51.2,80.0,25.0,80.0,80.0,WIN,expiration,80.0,-2260.0
2021-03-16,2021-03-17,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3977.88,3973.96,3980.0,3975.0,3985.0,30.0,19.71,19.11,39.8,30.0,15.0,15.0,30.0,WIN,expiration,20.0,-240.0
2021-03-17,2021-03-19,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),3948.49,3911.67,3950.0,3940.0,3960.0,85.0,20.67,20.08,58.7,85.0,110.0,110.0,110.0,WIN,expiration,110.0,-940.0
2021-03-18,2021-03-19,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3955.2,3911.67,3955.0,3950.0,3960.0,30.0,19.97,19.03,39.4,30.0,10.0,35.0,35.0,WIN,expiration,35.0,-430.0
2021-03-19,2021-03-22,SPX,3,0.15,Inverse Butterfly 1-2-1 (calls),3900.36,3940.65,3900.0,3890.0,3910.0,75.0,22.34,16.59,58.7,75.0,35.0,50.0,65.0,WIN,expiration,255.0,-1230.0
2021-03-22,2021-03-24,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),3928.18,3940.59,3930.0,3925.0,3935.0,25.0,20.35,15.97,46.4,25.0,10.0,20.0,20.0,WIN,expiration,20.0,-440.0
2021-03-23,2021-03-24,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3940.59,3940.59,3940.0,3935.0,3945.0,35.0,18.88,16.49,34.0,-406.0,25.0,25.0,27.5,LOSS,expiration,45.0,-150.0
2021-03-24,2021-03-26,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),3940.59,3974.28,3940.0,3930.0,3950.0,85.0,18.88,24.82,72.4,85.0,27.5,52.5,65.0,WIN,expiration,1265.0,-2330.0
2021-03-25,2021-03-26,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3876.97,3974.28,3875.0,3870.0,3880.0,20.0,21.71,20.23,41.1,20.0,10.0,15.0,20.0,WIN,expiration,150.0,-7580.0
2021-03-26,2021-03-29,SPX,3,0.15,Inverse Butterfly 1-2-1 (calls),3927.31,3971.51,3925.0,3920.0,3930.0,35.0,18.98,10.69,38.1,35.0,10.0,35.0,35.0,WIN,expiration,65.0,-1670.0
2021-03-29,2021-03-31,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),3956.73,3973.61,3955.0,3945.0,3965.0,70.0,20.82,19.78,57.9,70.0,30.0,40.0,70.0,WIN,expiration,50.0,-1750.0
2021-03-30,2021-03-31,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3955.31,3973.61,3955.0,3950.0,3960.0,30.0,21.25,20.71,42.9,30.0,20.0,20.0,30.0,WIN,expiration,30.0,-1720.0
2021-03-31,2021-04-01,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),3975.23,4019.79,3975.0,3970.0,3980.0,35.0,19.01,17.11,35.6,35.0,10.0,25.0,35.0,WIN,expiration,35.0,-1790.0
2021-04-01,2021-04-05,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),3998.54,4077.5,4000.0,3995.0,4005.0,250.0,18.17,7.81,32.7,250.0,215.0,215.0,215.0,WIN,expiration,300.0,-2270.0
2021-04-05,2021-04-07,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),4060.17,4080.06,4060.0,4055.0,4065.0,100.0,17.85,13.66,41.1,100.0,80.0,80.0,80.0,WIN,expiration,175.0,-1730.0
2021-04-06,2021-04-07,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),4081.86,4080.06,4080.0,4075.0,4085.0,45.0,17.94,14.72,31.5,-449.0,-449.0,-449.0,-449.0,LOSS,expiration,5.0,-805.0
2021-04-07,2021-04-09,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),4076.4,4127.76,4075.0,4070.0,4080.0,25.0,17.88,13.43,40.5,25.0,55.0,55.0,55.0,WIN,expiration,465.0,-1420.0
2021-04-08,2021-04-09,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),4090.34,4127.76,4090.0,4085.0,4095.0,45.0,17.09,13.29,28.4,45.0,20.0,25.0,35.0,WIN,expiration,205.0,-1180.0
2021-04-09,2021-04-12,SPX,3,0.15,Inverse Butterfly 1-2-1 (calls),4103.29,4128.12,4105.0,4100.0,4110.0,35.0,17.14,8.83,32.8,35.0,35.0,35.0,35.0,WIN,expiration,85.0,-1560.0
2021-04-12,2021-04-14,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),4121.64,4125.85,4120.0,4115.0,4125.0,35.0,17.64,13.54,41.3,35.0,10.0,25.0,90.0,WIN,expiration,395.0,-1010.0
2021-04-13,2021-04-14,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),4131.24,4125.85,4130.0,4125.0,4135.0,40.0,16.98,14.32,31.0,-45.0,15.0,50.0,50.0,LOSS,expiration,50.0,-1120.0
2021-04-14,2021-04-16,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),4150.86,4184.71,4150.0,4145.0,4155.0,20.0,16.7,12.51,38.5,20.0,15.0,15.0,15.0,WIN,expiration,15.0,-1420.0
2021-04-15,2021-04-16,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),4151.57,4184.71,4150.0,4145.0,4155.0,35.0,16.7,12.78,27.8,35.0,10.0,30.0,30.0,WIN,expiration,30.0,-1360.0
2021-04-16,2021-04-19,SPX,3,0.15,Inverse Butterfly 1-2-1 (calls),4173.23,4164.14,4175.0,4170.0,4180.0,30.0,16.77,9.3,35.2,30.0,30.0,30.0,30.0,WIN,expiration,30.0,-1130.0
2021-04-19,2021-04-21,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),4178.93,4173.16,4180.0,4175.0,4185.0,35.0,17.07,12.19,37.7,35.0,15.0,25.0,35.0,WIN,expiration,35.0,-400.0
2021-04-20,2021-04-21,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),4155.87,4173.16,4155.0,4150.0,4160.0,25.0,18.09,16.09,35.0,25.0,25.0,25.0,25.0,WIN,expiration,2.5,-1600.0
2021-04-21,2021-04-23,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),4146.3,4179.49,4145.0,4140.0,4150.0,30.0,18.37,14.67,45.0,30.0,10.0,20.0,25.0,WIN,expiration,190.0,-1570.0
2021-04-22,2021-04-23,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),4165.38,4179.49,4165.0,4160.0,4170.0,35.0,17.46,13.89,30.3,35.0,15.0,20.0,35.0,WIN,expiration,20.0,-1770.0
2021-04-23,2021-04-26,SPX,3,0.15,Inverse Butterfly 1-2-1 (calls),4153.09,4188.08,4155.0,4150.0,4160.0,30.0,18.03,9.46,35.6,30.0,15.0,15.0,170.0,WIN,expiration,170.0,-1920.0
2021-04-26,2021-04-28,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),4190.03,4183.76,4190.0,4185.0,4195.0,25.0,17.84,14.08,43.7,25.0,10.0,70.0,70.0,WIN,expiration,70.0,-490.0
2021-04-27,2021-04-28,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),4180.42,4183.76,4180.0,4175.0,4185.0,25.0,17.97,15.45,33.8,-99.0,160.0,160.0,160.0,LOSS,expiration,165.0,-660.0
2021-04-28,2021-04-30,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),4196.59,4181.81,4195.0,4190.0,4200.0,20.0,17.22,13.85,43.0,20.0,50.0,50.0,50.0,WIN,expiration,60.0,-630.0
2021-04-29,2021-04-30,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),4207.23,4181.81,4205.0,4200.0,4210.0,40.0,17.54,13.6,29.9,40.0,10.0,30.0,35.0,WIN,expiration,45.0,-620.0
2021-04-30,2021-05-03,SPX,3,0.15,Inverse Butterfly 1-2-1 (calls),4196.6,4192.97,4195.0,4190.0,4200.0,55.0,17.98,9.64,36.7,-242.0,25.0,45.0,45.0,LOSS,expiration,105.0,-680.0
2021-05-03,2021-05-05,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),4205.97,4167.88,4205.0,4200.0,4210.0,445.0,18.21,12.47,38.8,445.0,410.0,410.0,410.0,WIN,expiration,457.5,-1120.0
2021-05-04,2021-05-05,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),4149.76,4167.88,4150.0,4145.0,4155.0,30.0,20.45,19.6,42.6,30.0,10.0,410.0,410.0,WIN,expiration,410.0,-1310.0
2021-05-05,2021-05-07,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),4176.36,4231.53,4175.0,4170.0,4180.0,95.0,18.64,14.74,45.6,95.0,75.0,75.0,75.0,WIN,expiration,105.0,-2910.0
2021-05-06,2021-05-07,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),4158.65,4231.53,4160.0,4155.0,4165.0,30.0,19.8,17.43,37.9,30.0,20.0,20.0,25.0,WIN,expiration,30.0,-1630.0
2021-05-07,2021-05-10,SPX,3,0.15,Inverse Butterfly 1-2-1 (calls),4219.5,4232.6,4220.0,4215.0,4225.0,15.0,18.02,9.1,34.8,15.0,85.0,85.0,85.0,WIN,expiration,85.0,-1240.0
2021-05-10,2021-05-12,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),4232.6,4063.29,4235.0,4230.0,4240.0,30.0,16.69,11.97,37.5,30.0,10.0,25.0,25.0,WIN,expiration,35.0,-110.0
2021-05-11,2021-05-12,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),4232.6,4063.29,4235.0,4230.0,4240.0,5.0,16.69,2.12,4.7,5.0,10.0,10.0,10.0,WIN,expiration,10.0,-50.0
2021-05-12,2021-05-14,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),4120.23,4172.9,4120.0,4110.0,4130.0,50.0,23.34,24.79,75.6,50.0,15.0,25.0,40.0,WIN,expiration,75.0,-2670.0
2021-05-13,2021-05-14,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),4108.79,4172.9,4110.0,4100.0,4120.0,70.0,23.6,24.91,53.6,70.0,25.0,55.0,55.0,WIN,expiration,80.0,-2690.0
2021-05-17,2021-05-19,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),4158.35,4115.76,4160.0,4150.0,4170.0,75.0,20.66,18.04,55.5,75.0,65.0,65.0,65.0,WIN,expiration,80.0,-205.0
2021-05-18,2021-05-19,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),4158.97,4115.76,4160.0,4155.0,4165.0,15.0,20.17,18.7,40.7,15.0,12.5,12.5,12.5,WIN,expiration,22.5,-200.0
2021-05-19,2021-05-21,SPX,2,0.15,Inverse Butterfly 1-2-1 (calls),4076.78,4156.18,4075.0,4065.0,4085.0,55.0,24.8,24.07,72.7,55.0,15.0,45.0,45.0,WIN,expiration,385.0,-2170.0
