trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3
2021-01-08,2021-02-05,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),3817.5,3886.82,3815.0,3680.0,3950.0,4370.0,21.7,17.26,182.5,-1948.0,-1948.0,-1948.0,-1948.0,LOSS,expiration,325.0,-5350.0,-700.0,-980.0,-655.0,-1905.0,-2185.0,-3530.0
2021-01-15,2021-02-12,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),3783.61,3935.04,3785.0,3640.0,3930.0,4430.0,23.61,18.39,192.7,4430.0,1107.5,2215.0,3322.5,WIN,expiration,4425.0,-3080.0,205.0,-565.0,-1015.0,-25.0,1285.0,1580.0
2021-01-22,2021-02-19,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),3841.06,3906.87,3840.0,3700.0,3980.0,4745.0,21.9,17.46,185.8,-2568.0,-2568.0,-2568.0,-2568.0,LOSS,expiration,1085.0,-4525.0,-300.0,-1520.0,-255.0,-190.0,1085.0,1085.0
2021-01-29,2021-02-26,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),3763.09,3810.81,3765.0,3580.0,3950.0,5260.0,30.67,23.58,245.7,-8659.0,1315.0,-8659.0,-8659.0,LOSS,expiration,2425.0,-15155.0,290.0,1555.0,2425.0,1230.0,-580.0,-3912.5
2021-02-05,2021-03-05,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),3881.32,3841.58,3880.0,3740.0,4020.0,4805.0,21.73,17.38,186.8,-5353.0,1201.25,-5353.0,-5353.0,LOSS,expiration,2100.0,-5725.0,205.0,-445.0,-1670.0,-1115.0,-3067.5,-3252.5
2021-02-12,2021-03-12,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),3912.37,3943.11,3910.0,3770.0,4050.0,5080.0,20.93,17.07,185.0,-5609.0,1270.0,-5609.0,-5609.0,LOSS,expiration,1427.5,-8150.0,-110.0,-285.0,-1957.5,245.0,-1987.5,-3140.0
2021-02-19,2021-03-19,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),3926.98,3911.67,3925.0,3785.0,4065.0,4775.0,21.63,16.99,184.8,-7892.0,-7892.0,-7892.0,-7892.0,LOSS,expiration,1057.5,-8455.0,-75.0,97.5,-1835.0,-2110.0,-3377.5,-2212.5
2021-02-26,2021-03-26,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),3826.31,3974.28,3825.0,3640.0,4010.0,5490.0,28.61,23.44,248.4,1918.0,1372.5,1918.0,1918.0,WIN,expiration,1965.0,-8385.0,-2020.0,150.0,1510.0,-1470.0,-1977.5,-1427.5
2021-03-05,2021-04-01,SPX,27,0.75,Inverse Butterfly 1-2-1 (calls),3776.04,4019.79,3775.0,3595.0,3955.0,5485.0,28.34,23.35,239.8,5485.0,1371.25,2742.5,4113.75,WIN,expiration,5595.0,-1690.0,2350.0,2825.0,1980.0,-540.0,3820.0,3250.0
2021-03-12,2021-04-09,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),3932.31,4127.76,3930.0,3785.0,4075.0,4725.0,22.16,17.67,192.4,4725.0,1181.25,2362.5,3543.75,WIN,expiration,4735.0,-4305.0,-1160.0,-2660.0,-2095.0,-480.0,1940.0,3005.0
