trade_date,calendar_date,dte_remaining,pnl_usd
2021-01-08,2021-01-08,42,0.0
2021-01-08,2021-02-19,0,297.0
2021-01-15,2021-01-15,42,0.0
2021-01-15,2021-02-26,0,-6934.0
2021-01-22,2021-01-22,42,0.0
2021-01-22,2021-03-05,0,-9122.0
2021-01-29,2021-01-29,42,0.0
2021-01-29,2021-03-12,0,2645.0
2021-02-05,2021-02-05,42,0.0
2021-02-05,2021-03-19,0,-6323.0
2021-02-12,2021-02-12,47,0.0
2021-02-12,2021-03-31,0,-3419.0
2021-02-26,2021-02-26,42,0.0
2021-02-26,2021-04-09,0,3045.0
2021-03-05,2021-03-05,42,0.0
2021-03-05,2021-04-16,0,2950.0
2021-03-19,2021-03-19,42,0.0
2021-03-19,2021-04-30,0,2660.0
2021-03-26,2021-03-26,42,0.0
2021-03-26,2021-05-07,0,2430.0
2021-04-09,2021-04-09,42,0.0
2021-04-09,2021-05-21,0,-2127.0
2021-04-16,2021-04-16,42,0.0
2021-04-16,2021-05-28,0,-4380.0
2021-04-23,2021-04-23,42,0.0
2021-04-23,2021-06-04,0,-430.0
2021-04-30,2021-04-30,42,0.0
2021-04-30,2021-06-11,0,-2990.0
2021-05-07,2021-05-07,42,0.0
2021-05-07,2021-06-18,0,-2349.0
2021-05-14,2021-05-14,47,0.0
2021-05-14,2021-06-30,0,2750.0
2021-06-04,2021-06-04,42,0.0
2021-06-04,2021-07-16,0,2030.0
2021-06-11,2021-06-11,42,0.0
2021-06-11,2021-07-23,0,2145.0
2021-06-18,2021-06-18,42,0.0
2021-06-18,2021-07-30,0,2140.0
2021-07-09,2021-07-09,42,0.0
2021-07-09,2021-08-20,0,-1988.0
2021-07-16,2021-07-16,46,0.0
2021-07-16,2021-08-31,0,2475.0
2021-08-06,2021-08-06,42,0.0
2021-08-06,2021-09-17,0,-7286.0
2021-09-03,2021-09-03,42,0.0
2021-09-03,2021-10-15,0,-1081.0
2021-09-17,2021-09-17,42,0.0
2021-09-17,2021-10-29,0,2360.0
2021-10-08,2021-10-08,42,0.0
2021-10-08,2021-11-19,0,2145.0
2021-10-15,2021-10-15,46,0.0
2021-10-15,2021-11-30,0,2215.0
2021-10-22,2021-10-22,42,0.0
2021-10-22,2021-12-03,0,-4855.0
2021-10-29,2021-10-29,42,0.0
2021-10-29,2021-12-10,0,2150.0
2021-11-05,2021-11-05,42,0.0
2021-11-05,2021-12-17,0,2004.0
2021-11-12,2021-11-12,49,0.0
2021-11-12,2021-12-31,0,2030.0
2021-11-19,2021-11-19,42,0.0
2021-11-19,2021-12-31,0,-3180.0
2021-11-26,2021-11-26,42,0.0
2021-11-26,2022-01-07,0,-7099.0
2021-12-10,2021-12-10,42,0.0
2021-12-10,2022-01-21,0,2670.0
2021-12-17,2021-12-17,45,0.0
2021-12-17,2022-01-31,0,-334.0
2021-12-31,2021-12-31,42,0.0
2021-12-31,2022-02-11,0,2630.0
2022-01-07,2022-01-07,42,0.0
2022-01-07,2022-02-18,0,2355.0
2022-01-14,2022-01-14,45,0.0
2022-01-14,2022-02-28,0,2560.0
2022-02-04,2022-02-04,42,0.0
2022-02-04,2022-03-18,0,-10260.0
2022-03-18,2022-03-18,42,0.0
2022-03-18,2022-04-29,0,3385.0
2022-04-08,2022-04-08,42,0.0
2022-04-08,2022-05-20,0,2990.0
2022-04-22,2022-04-22,42,0.0
2022-04-22,2022-06-03,0,2585.0
2022-04-29,2022-04-29,42,0.0
2022-04-29,2022-06-10,0,3185.0
2022-05-06,2022-05-06,42,0.0
2022-05-06,2022-06-17,0,6295.0
2022-06-03,2022-06-03,42,0.0
2022-06-03,2022-07-15,0,2930.0
2022-06-17,2022-06-17,42,0.0
2022-06-17,2022-07-29,0,3290.0
