trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit30,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3
2021-01-08,2021-02-19,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),3817.5,3906.87,3815.0,3700.0,3930.0,2610.0,21.7,17.83,230.9,297.0,730.0,1335.0,297.0,WIN,expiration,1795.0,-3390.0,-335.0,-525.0,-470.0,170.0,345.0,1335.0,1335.0
2021-01-15,2021-02-26,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),3783.61,3810.81,3785.0,3665.0,3905.0,2485.0,23.61,18.42,236.4,-6934.0,635.0,1260.0,-6934.0,LOSS,expiration,1565.0,-13675.0,105.0,305.0,800.0,1260.0,760.0,-5.0,-1990.0
2021-01-22,2021-03-05,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),3841.06,3841.58,3840.0,3720.0,3960.0,2720.0,21.9,18.59,242.2,-9122.0,680.0,-9122.0,-9122.0,LOSS,expiration,680.0,-9525.0,-430.0,110.0,-65.0,-1635.0,-1010.0,-1945.0,-1605.0
2021-01-29,2021-03-12,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),3763.09,3943.11,3765.0,3615.0,3915.0,2645.0,30.67,23.77,303.4,2645.0,710.0,1605.0,2080.0,WIN,expiration,2895.0,-4230.0,710.0,465.0,-495.0,40.0,-2900.0,-1825.0,-1255.0
2021-02-05,2021-03-19,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),3881.32,3911.67,3880.0,3755.0,4005.0,3010.0,21.73,18.87,248.4,-6323.0,-6323.0,-6323.0,-6323.0,LOSS,expiration,395.0,-7895.0,45.0,-395.0,-1462.5,-1930.0,-1065.0,-1720.0,-210.0
2021-02-12,2021-03-31,SPX,47,0.50,Inverse Butterfly 1-2-1 (calls),3912.37,3973.61,3910.0,3780.0,4040.0,3220.0,20.93,18.43,258.8,-3419.0,-3419.0,-3419.0,-3419.0,LOSS,expiration,500.0,-6225.0,-1075.0,-1290.0,-1450.0,-3310.0,-3947.5,-4962.5,-3522.5
2021-02-26,2021-04-09,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),3826.31,4127.76,3825.0,3675.0,3975.0,3045.0,28.61,23.0,298.5,3045.0,805.0,1795.0,2655.0,WIN,expiration,3115.0,-3820.0,-380.0,-390.0,-685.0,140.0,2655.0,2655.0,2880.0
2021-03-05,2021-04-16,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),3776.04,4184.71,3775.0,3630.0,3920.0,2950.0,28.34,22.82,292.3,2950.0,800.0,1495.0,2215.0,WIN,expiration,3120.0,-2380.0,1240.0,1005.0,2500.0,2630.0,2915.0,2920.0,2935.0
2021-03-19,2021-04-30,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),3900.36,4181.81,3900.0,3780.0,4020.0,2660.0,22.34,18.39,243.2,2660.0,745.0,1340.0,2020.0,WIN,expiration,2740.0,-1940.0,160.0,1775.0,2305.0,2175.0,2350.0,2555.0,2670.0
2021-03-26,2021-05-07,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),3927.31,4231.53,3925.0,3820.0,4030.0,2430.0,18.98,15.8,210.5,2430.0,655.0,1255.0,1840.0,WIN,expiration,2500.0,-2900.0,1400.0,1950.0,1755.0,2125.0,2295.0,2350.0,2200.0
