trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit3
2021-01-04,2021-01-08,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),3747.9,3824.59,3750.0,3735.0,3765.0,105.0,24.17,21.44,84.1,105.0,95.0,95.0,95.0,WIN,expiration,160.0,-3180.0,-25.0
2021-01-11,2021-01-15,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),3804.28,3768.5,3805.0,3795.0,3815.0,60.0,23.7,19.08,76.0,60.0,135.0,135.0,135.0,WIN,expiration,135.0,-1040.0,-5.0
2021-01-25,2021-01-29,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),3849.45,3713.23,3850.0,3840.0,3860.0,65.0,22.9,15.94,64.2,65.0,415.0,415.0,415.0,WIN,expiration,415.0,-650.0,0.0
2021-02-01,2021-02-05,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),3737.26,3886.82,3735.0,3715.0,3755.0,100.0,32.87,30.74,120.3,100.0,195.0,195.0,195.0,WIN,expiration,195.0,-2880.0,115.0
2021-02-08,2021-02-12,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),3906.62,3935.04,3905.0,3895.0,3915.0,75.0,21.66,14.59,59.7,75.0,75.0,75.0,75.0,WIN,expiration,75.0,-800.0,-5.0
2021-02-22,2021-02-26,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),3887.08,3810.81,3885.0,3875.0,3895.0,60.0,23.47,19.26,78.4,60.0,25.0,40.0,62.5,WIN,expiration,62.5,-1100.0,5.0
2021-03-01,2021-03-05,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),3876.07,3841.58,3875.0,3860.0,3890.0,120.0,23.8,21.88,88.8,120.0,35.0,67.5,100.0,WIN,expiration,120.0,-2100.0,30.0
2021-03-08,2021-03-12,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),3843.44,3943.11,3845.0,3830.0,3860.0,60.0,26.04,25.97,104.5,60.0,30.0,30.0,120.0,WIN,expiration,120.0,-1790.0,-15.0
2021-03-15,2021-03-19,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),3942.75,3911.67,3945.0,3935.0,3955.0,70.0,21.22,17.1,70.6,70.0,25.0,80.0,80.0,WIN,expiration,80.0,-1980.0,25.0
2021-03-22,2021-03-26,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),3928.18,3974.28,3930.0,3920.0,3940.0,75.0,20.35,15.56,64.0,75.0,30.0,42.5,650.0,WIN,expiration,650.0,-4590.0,20.0
2021-03-29,2021-04-01,SPX,3,0.15,Inverse Butterfly 1-2-1 (calls),3956.73,4019.79,3955.0,3945.0,3965.0,70.0,20.82,19.05,68.3,70.0,140.0,140.0,140.0,WIN,expiration,140.0,-1700.0,-10.0
2021-04-05,2021-04-09,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4060.17,4127.76,4060.0,4050.0,4070.0,95.0,17.85,13.87,59.0,95.0,25.0,70.0,90.0,WIN,expiration,215.0,-1650.0,70.0
2021-04-12,2021-04-16,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4121.64,4184.71,4120.0,4110.0,4130.0,80.0,17.64,13.47,58.1,80.0,35.0,55.0,155.0,WIN,expiration,200.0,-1280.0,0.0
2021-04-19,2021-04-23,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4178.93,4179.49,4180.0,4170.0,4190.0,85.0,17.07,12.05,52.7,-864.0,50.0,50.0,-864.0,LOSS,expiration,50.0,-1295.0,-5.0
2021-04-26,2021-04-30,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4190.03,4181.81,4190.0,4180.0,4200.0,70.0,17.84,14.07,61.7,-111.0,90.0,90.0,90.0,LOSS,expiration,90.0,-780.0,-25.0
2021-05-03,2021-05-07,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4205.97,4231.53,4205.0,4195.0,4215.0,60.0,18.21,13.34,58.7,60.0,22.5,40.0,60.0,WIN,expiration,40.0,-3130.0,-5.0
2021-05-10,2021-05-14,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4232.6,4172.9,4235.0,4225.0,4245.0,75.0,16.69,11.86,52.6,75.0,27.5,57.5,57.5,WIN,expiration,82.5,-120.0,27.5
2021-05-17,2021-05-21,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4158.35,4156.18,4160.0,4150.0,4170.0,45.0,20.66,17.72,77.1,-573.0,12.5,217.5,217.5,LOSS,expiration,217.5,-665.0,-20.0
2021-05-24,2021-05-28,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4188.2,4204.6,4190.0,4180.0,4200.0,90.0,19.32,13.39,58.7,90.0,25.0,55.0,370.0,WIN,expiration,370.0,-900.0,25.0
2021-06-07,2021-06-11,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4226.31,4247.4,4225.0,4215.0,4235.0,80.0,16.84,11.53,51.0,80.0,65.0,65.0,65.0,WIN,expiration,140.0,-820.0,-30.0
2021-06-14,2021-06-18,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4241.87,4165.59,4240.0,4230.0,4250.0,90.0,16.35,12.36,54.9,90.0,180.0,180.0,180.0,WIN,expiration,180.0,-920.0,15.0
2021-06-21,2021-06-25,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4194.41,4280.68,4195.0,4185.0,4205.0,45.0,19.3,15.83,69.5,45.0,15.0,30.0,120.0,WIN,expiration,120.0,-2020.0,-20.0
2021-06-28,2021-07-02,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4282.68,4352.38,4285.0,4280.0,4290.0,25.0,15.74,9.02,40.5,25.0,10.0,15.0,175.0,WIN,expiration,175.0,-1400.0,-10.0
2021-07-12,2021-07-16,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4373.11,4326.81,4375.0,4365.0,4385.0,90.0,16.54,11.55,52.9,90.0,80.0,80.0,80.0,WIN,expiration,90.0,-380.0,0.0
2021-07-19,2021-07-23,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4255.19,4411.1,4255.0,4240.0,4270.0,75.0,22.78,22.2,98.9,75.0,45.0,45.0,70.0,WIN,expiration,115.0,-2470.0,10.0
2021-07-26,2021-07-30,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4412.9,4395.97,4415.0,4405.0,4425.0,75.0,18.4,12.27,56.7,75.0,77.5,77.5,77.5,WIN,expiration,77.5,-400.0,-5.0
