trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit5,pnl_exit3,pnl_tp25_exit5,pnl_tp25_exit3,pnl_tp50_exit5,pnl_tp50_exit3,pnl_tp75_exit5,pnl_tp75_exit3
2021-01-08,2021-01-15,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3817.5,3768.5,3815.0,3805.0,3825.0,65.0,21.7,15.13,80.0,65.0,16.25,32.5,48.75,WIN,expiration,72.5,-1250.0,15.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0
2021-01-15,2021-01-22,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3783.61,3841.15,3785.0,3770.0,3800.0,110.0,23.61,17.16,89.9,110.0,27.5,55.0,82.5,WIN,expiration,120.0,-1920.0,-20.0,-20.0,27.5,27.5,-20.0,-20.0,-20.0,-20.0
2021-01-22,2021-01-29,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3841.06,3713.23,3840.0,3830.0,3850.0,55.0,21.9,15.21,80.9,55.0,13.75,27.5,41.25,WIN,expiration,60.0,-2040.0,-10.0,5.0,-10.0,5.0,-10.0,5.0,-10.0,5.0
2021-01-29,2021-02-05,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3763.09,3886.82,3765.0,3745.0,3785.0,90.0,30.67,25.95,135.3,90.0,22.5,45.0,67.5,WIN,expiration,315.0,-2750.0,-55.0,40.0,-55.0,22.5,-55.0,45.0,-55.0,67.5
2021-02-05,2021-02-12,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3881.32,3935.04,3880.0,3870.0,3890.0,80.0,21.73,14.12,75.9,80.0,20.0,40.0,60.0,WIN,expiration,230.0,-910.0,25.0,25.0,20.0,20.0,25.0,40.0,25.0,60.0
2021-02-12,2021-02-19,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3912.37,3906.87,3910.0,3900.0,3920.0,65.0,20.93,13.67,74.0,-622.0,16.25,32.5,48.75,LOSS,expiration,50.0,-1490.0,30.0,30.0,16.25,16.25,30.0,30.0,30.0,30.0
2021-02-19,2021-02-26,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3926.98,3810.81,3925.0,3915.0,3935.0,65.0,21.63,14.77,80.3,65.0,16.25,32.5,48.75,WIN,expiration,70.0,-440.0,5.0,35.0,5.0,16.25,5.0,32.5,5.0,35.0
2021-02-26,2021-03-05,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3826.31,3841.58,3825.0,3805.0,3845.0,105.0,28.61,27.68,146.7,-237.0,26.25,52.5,78.75,LOSS,expiration,295.0,-3590.0,5.0,-40.0,26.25,26.25,52.5,52.5,78.75,78.75
2021-03-05,2021-03-12,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3776.04,3943.11,3775.0,3755.0,3795.0,95.0,28.34,26.44,138.3,95.0,23.75,47.5,71.25,WIN,expiration,260.0,-1780.0,45.0,260.0,23.75,23.75,45.0,47.5,45.0,71.25
2021-03-12,2021-03-19,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3932.31,3911.67,3930.0,3915.0,3945.0,130.0,22.16,17.67,96.2,130.0,32.5,65.0,130.0,WIN,expiration,97.5,-2100.0,5.0,70.0,32.5,32.5,5.0,65.0,5.0,70.0
2021-03-19,2021-03-26,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3900.36,3974.28,3900.0,3885.0,3915.0,115.0,22.34,17.88,96.6,115.0,28.75,57.5,86.25,WIN,expiration,110.0,-7740.0,10.0,-85.0,28.75,28.75,10.0,57.5,10.0,-85.0
2021-03-26,2021-04-01,SPX,6,0.15,Inverse Butterfly 1-2-1 (calls),3927.31,4019.79,3925.0,3915.0,3935.0,85.0,18.98,13.2,66.5,85.0,21.25,85.0,85.0,WIN,expiration,130.0,-1680.0,85.0,50.0,21.25,21.25,85.0,85.0,85.0,85.0
