trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit5,pnl_exit3
2021-01-08,2021-01-15,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),3817.5,3768.5,3815.0,3775.0,3855.0,940.0,21.7,15.13,80.0,940.0,377.5,947.5,947.5,WIN,expiration,947.5,-1735.0,-5.0,-125.0
2021-01-15,2021-01-22,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),3783.61,3841.15,3785.0,3740.0,3830.0,950.0,23.61,17.16,89.9,950.0,375.0,485.0,765.0,WIN,expiration,965.0,-1300.0,-225.0,-225.0
2021-01-22,2021-01-29,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),3841.06,3713.23,3840.0,3800.0,3880.0,880.0,21.9,15.21,80.9,880.0,225.0,602.5,675.0,WIN,expiration,885.0,-1560.0,-70.0,25.0
2021-01-29,2021-02-05,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),3763.09,3886.82,3765.0,3695.0,3835.0,1270.0,30.67,25.95,135.3,1270.0,435.0,685.0,965.0,WIN,expiration,1295.0,-1310.0,-610.0,20.0
2021-02-05,2021-02-12,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),3881.32,3935.04,3880.0,3840.0,3920.0,995.0,21.73,14.12,75.9,995.0,250.0,600.0,1155.0,WIN,expiration,1155.0,-580.0,105.0,115.0
2021-02-12,2021-02-19,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),3912.37,3906.87,3910.0,3875.0,3945.0,575.0,20.93,13.67,74.0,-2612.0,-2612.0,-2612.0,-2612.0,LOSS,expiration,10.0,-3135.0,10.0,10.0
2021-02-19,2021-02-26,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),3926.98,3810.81,3925.0,3885.0,3965.0,875.0,21.63,14.77,80.3,875.0,380.0,545.0,762.5,WIN,expiration,872.5,-960.0,-100.0,380.0
2021-02-26,2021-03-05,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),3826.31,3841.58,3825.0,3750.0,3900.0,1390.0,28.61,27.68,146.7,-4452.0,515.0,-4452.0,-4452.0,LOSS,expiration,515.0,-5875.0,70.0,135.0
2021-03-05,2021-03-12,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),3776.04,3943.11,3775.0,3705.0,3845.0,1270.0,28.34,26.44,138.3,1270.0,440.0,655.0,1160.0,WIN,expiration,1300.0,-1310.0,440.0,655.0
2021-03-12,2021-03-19,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),3932.31,3911.67,3930.0,3880.0,3980.0,1125.0,22.16,17.67,96.2,-2042.0,-2042.0,-2042.0,-2042.0,LOSS,expiration,220.0,-3725.0,-250.0,220.0
2021-03-19,2021-03-26,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),3900.36,3974.28,3900.0,3850.0,3950.0,1125.0,22.34,17.88,96.6,1125.0,315.0,985.0,985.0,WIN,expiration,985.0,-5090.0,-40.0,35.0
