trade_date,calendar_date,dte_remaining,pnl_usd
2022-06-21,2022-06-21,0,0.0
2022-06-21,2022-06-21,0,120.0
2022-06-22,2022-06-22,0,0.0
2022-06-22,2022-06-22,0,100.0
2022-06-23,2022-06-23,0,0.0
2022-06-23,2022-06-23,0,-375.0
2022-06-24,2022-06-24,0,0.0
2022-06-24,2022-06-24,0,-375.0
2022-06-27,2022-06-27,0,0.0
2022-06-27,2022-06-27,0,105.0
2022-06-28,2022-06-28,0,0.0
2022-06-28,2022-06-28,0,-390.0
2022-06-29,2022-06-29,0,0.0
2022-06-29,2022-06-29,0,100.0
2022-06-30,2022-06-30,0,0.0
2022-06-30,2022-06-30,0,130.0
2022-07-01,2022-07-01,0,0.0
2022-07-01,2022-07-01,0,-375.0
2022-07-05,2022-07-05,0,0.0
2022-07-05,2022-07-05,0,-385.0
2022-07-06,2022-07-06,0,0.0
2022-07-06,2022-07-06,0,110.0
2022-07-07,2022-07-07,0,0.0
2022-07-07,2022-07-07,0,115.0
2022-07-08,2022-07-08,0,0.0
2022-07-08,2022-07-08,0,110.0
2022-07-11,2022-07-11,0,0.0
2022-07-11,2022-07-11,0,110.0
2022-07-12,2022-07-12,0,0.0
2022-07-12,2022-07-12,0,-370.0
2022-07-13,2022-07-13,0,0.0
2022-07-13,2022-07-13,0,110.0
2022-07-14,2022-07-14,0,0.0
2022-07-14,2022-07-14,0,-360.0
2022-07-15,2022-07-15,0,0.0
2022-07-15,2022-07-15,0,115.0
2022-07-18,2022-07-18,0,0.0
2022-07-18,2022-07-18,0,-365.0
2022-07-19,2022-07-19,0,0.0
2022-07-19,2022-07-19,0,-395.0
2022-07-20,2022-07-20,0,0.0
2022-07-20,2022-07-20,0,120.0
2022-07-21,2022-07-21,0,0.0
2022-07-21,2022-07-21,0,135.0
2022-07-22,2022-07-22,0,0.0
2022-07-22,2022-07-22,0,105.0
2022-07-25,2022-07-25,0,0.0
2022-07-25,2022-07-25,0,110.0
2022-07-26,2022-07-26,0,0.0
2022-07-26,2022-07-26,0,110.0
2022-07-27,2022-07-27,0,0.0
2022-07-27,2022-07-27,0,135.0
2022-07-28,2022-07-28,0,0.0
2022-07-28,2022-07-28,0,115.0
2022-07-29,2022-07-29,0,0.0
2022-07-29,2022-07-29,0,76.0
2022-08-01,2022-08-01,0,0.0
2022-08-01,2022-08-01,0,120.0
2022-08-02,2022-08-02,0,0.0
2022-08-02,2022-08-02,0,-375.0
2022-08-03,2022-08-03,0,0.0
2022-08-03,2022-08-03,0,100.0
2022-08-04,2022-08-04,0,0.0
2022-08-04,2022-08-04,0,105.0
2022-08-05,2022-08-05,0,0.0
2022-08-05,2022-08-05,0,116.01
2022-08-08,2022-08-08,0,0.0
2022-08-08,2022-08-08,0,110.0
2022-08-09,2022-08-09,0,0.0
2022-08-09,2022-08-09,0,105.0
2022-08-10,2022-08-10,0,0.0
2022-08-10,2022-08-10,0,100.0
2022-08-11,2022-08-11,0,0.0
