trade_date,exp_date,spot_entry,atm_strike,iv_atm,iv_atm_pct,expected_move,em_pct,upper_target,lower_target,min_bid_used,exit_method,short_put,long_put,short_call,long_call,put_width_real,call_width_real,mid_sp,mid_lp,mid_sc,mid_lc,total_credit,bep_upper,bep_lower,bep_score,constraint_satisfied,spot_exit,put_cost,call_cost,exit_cost,pnl_points,pnl_usd,max_risk_usd,in_range,result
2025-05-02,2025-05-09,20102.6100,20100.0000,0.2222,22.2200,618.6500,3.0800,20721.2500,19483.9600,0.0500,market,19500.0000,19450.0000,20725.0000,20825.0000,50.0000,100.0000,71.5500,64.4500,39.6500,27.3500,19.4000,20744.4000,19480.6000,547.0139,True,20061.4500,0.0000,0.0000,0.0000,19.4000,1940.0000,8060.0000,True,WIN
2025-05-09,2025-05-16,20061.4500,20050.0000,0.2292,22.9200,636.8300,3.1700,20698.2800,19424.6200,0.0500,market,19425.0000,19375.0000,20700.0000,20800.0000,50.0000,100.0000,61.2500,62.6500,44.8000,32.3000,11.1000,20711.1000,19413.9000,279.2437,True,21427.9400,0.0000,100.0000,100.0000,-88.9000,-8890.0000,8890.0000,False,MAX_LOSS
2025-05-16,2025-05-23,21427.9400,21425.0000,0.1728,17.2800,512.6800,2.3900,21940.6200,20915.2600,0.0500,market,20925.0000,20875.0000,21925.0000,22025.0000,50.0000,100.0000,57.8000,50.7000,40.2000,26.9000,20.4000,21945.4000,20904.6000,136.5749,True,20915.6600,9.3398,0.0000,9.3398,11.0602,1106.0200,7960.0000,False,WIN
2025-05-23,2025-05-30,20915.6600,20925.0000,0.2264,22.6400,655.8400,3.1400,21571.5000,20259.8200,0.0500,market,20275.0000,20225.0000,21575.0000,21675.0000,50.0000,100.0000,78.6500,70.6000,36.0500,24.0000,20.1000,21595.1000,20254.9000,581.1809,True,21340.9900,0.0000,0.0000,0.0000,20.1000,2010.0000,7990.0000,True,WIN
2025-05-30,2025-06-06,21340.9900,21350.0000,0.1944,19.4400,574.4600,2.6900,21915.4500,20766.5300,0.0500,market,20775.0000,20725.0000,21900.0000,22000.0000,50.0000,100.0000,71.3000,63.1000,31.4500,19.9000,19.7500,21919.7500,20755.2500,145.7156,True,21761.7900,0.0000,0.0000,0.0000,19.7500,1975.0000,8025.0000,True,WIN
2025-06-06,2025-06-13,21761.7900,21750.0000,0.1641,16.4100,494.4100,2.2700,22256.2000,21267.3800,0.0500,market,21275.0000,21225.0000,22250.0000,22350.0000,50.0000,100.0000,52.8000,45.7500,34.1000,21.0500,20.1000,22270.1000,21254.9000,348.9826,True,21631.0400,0.0000,0.0000,0.0000,20.1000,2010.0000,7990.0000,True,WIN
2025-06-13,2025-06-20,21631.0400,21625.0000,0.1817,18.1700,544.2000,2.5200,22175.2400,21086.8400,0.0500,market,21100.0000,21050.0000,22175.0000,22275.0000,50.0000,100.0000,65.2000,58.2000,24.7500,13.3500,18.4000,22193.4000,21081.6000,357.0829,True,21626.3900,0.0000,0.0000,0.0000,18.4000,1840.0000,8160.0000,True,WIN
2025-06-20,2025-06-27,21626.3900,21625.0000,0.1846,18.4600,552.9300,2.5600,22179.3200,21073.4600,0.0500,market,21075.0000,21025.0000,22175.0000,22275.0000,50.0000,100.0000,63.2500,57.4500,29.4000,18.7500,16.4500,22191.4500,21058.5500,369.3954,True,22534.2000,0.0000,100.0000,100.0000,-83.5500,-8355.0000,8355.0000,False,MAX_LOSS
2025-07-11,2025-07-18,22780.6000,22775.0000,0.1278,12.7800,403.3200,1.7700,23183.9200,22377.2800,0.0500,market,22375.0000,22325.0000,23175.0000,23275.0000,50.0000,100.0000,46.2000,39.5500,27.3500,14.7500,19.2500,23194.2500,22355.7500,570.3369,True,23065.4700,0.0000,0.0000,0.0000,19.2500,1925.0000,8075.0000,True,WIN
2025-07-18,2025-07-25,23065.4700,23075.0000,0.1215,12.1500,387.9800,1.6800,23453.4500,22677.4900,0.0500,market,22675.0000,22625.0000,23450.0000,23550.0000,50.0000,100.0000,43.9000,37.3500,26.2000,13.8500,18.9000,23468.9000,22656.1000,696.3089,True,23272.2500,0.0000,0.0000,0.0000,18.9000,1890.0000,8110.0000,True,WIN
2025-07-25,2025-08-01,23272.2500,23275.0000,0.1455,14.5500,468.8500,2.0100,23741.1000,22803.4000,0.0500,market,22800.0000,22750.0000,23725.0000,23825.0000,50.0000,100.0000,50.9000,44.4000,33.4000,19.8000,20.1000,23745.1000,22779.9000,568.1216,True,22763.3100,36.6895,0.0000,36.6895,-16.5895,-1658.9500,7990.0000,False,LOSS
2025-08-01,2025-08-08,22763.3100,22775.0000,0.1923,19.2300,606.2400,2.6600,23369.5500,22157.0700,0.0500,market,22175.0000,22125.0000,23350.0000,23450.0000,50.0000,100.0000,78.1000,70.6000,32.4000,19.8500,20.0500,23370.0500,22154.9500,4.7618,True,23611.2700,0.0000,100.0000,100.0000,-79.9500,-7995.0000,7995.0000,False,MAX_LOSS
2025-08-08,2025-08-15,23611.2700,23600.0000,0.1291,12.9100,422.2800,1.7900,24033.5500,23188.9900,0.0500,market,23200.0000,23150.0000,24025.0000,24125.0000,50.0000,100.0000,49.1500,42.9000,31.4000,18.3000,19.3500,24044.3500,23180.6500,186.0304,True,23712.0700,0.0000,0.0000,0.0000,19.3500,1935.0000,8065.0000,True,WIN
2025-08-15,2025-08-22,23712.0700,23700.0000,0.1381,13.8100,453.4100,1.9100,24165.4800,23258.6600,0.0500,market,23275.0000,23225.0000,24150.0000,24250.0000,50.0000,100.0000,58.7500,52.1000,25.8500,13.8500,18.6500,24168.6500,23256.3500,15.3550,True,23498.1200,0.0000,0.0000,0.0000,18.6500,1865.0000,8135.0000,True,WIN
2025-08-22,2025-08-29,23498.1200,23500.0000,0.1515,15.1500,493.0400,2.1000,23991.1600,23005.0800,0.0500,market,23000.0000,22950.0000,23975.0000,24075.0000,50.0000,100.0000,59.0000,52.1000,30.6500,18.3500,19.2000,23994.2000,22980.8000,598.8394,True,23415.4200,0.0000,0.0000,0.0000,19.2000,1920.0000,8080.0000,True,WIN
2025-08-29,2025-09-05,23415.4200,23425.0000,0.1490,14.9000,483.2800,2.0600,23898.7000,22932.1400,0.0500,market,22950.0000,22900.0000,23900.0000,24000.0000,50.0000,100.0000,62.7000,55.4000,24.5500,13.0500,18.8000,23918.8000,22931.2000,404.9254,True,23652.4400,0.0000,0.0000,0.0000,18.8000,1880.0000,8120.0000,True,WIN
2025-09-05,2025-09-12,23652.4400,23650.0000,0.1402,14.0200,459.1300,1.9400,24111.5600,23193.3100,0.0500,market,23200.0000,23150.0000,24100.0000,24200.0000,50.0000,100.0000,60.2500,53.3000,24.5000,13.0000,18.4500,24118.4500,23181.5500,185.8065,True,24092.1900,0.0000,0.0000,0.0000,18.4500,1845.0000,8155.0000,True,WIN
