date,trade_date,spot,pnl_usd,cumulative_pnl
2021-06-07,2021-06-07,2304.12,1625.0,1625.0
2021-06-14,2021-06-14,2339.4,1605.0,3230.0
2021-06-28,2021-06-28,2327.57,1455.0,4685.0
2021-07-12,2021-07-12,2267.24,150.0,4835.0
2021-07-19,2021-07-19,2113.69,350.0,5185.0
2021-08-09,2021-08-09,2236.58,195.0,5380.0
2021-08-23,2021-08-23,2198.73,15.0,5395.0
2021-09-13,2021-09-13,2228.98,300.0,5695.0
2021-09-20,2021-09-20,2194.88,395.0,6090.0
2021-10-11,2021-10-11,2241.85,190.0,6280.0
2021-10-18,2021-10-18,2260.27,1320.0,7600.0
2021-11-08,2021-11-08,2453.68,1665.0,9265.0
2021-11-15,2021-11-15,2414.37,1290.0,10555.0
2021-12-13,2021-12-13,2197.91,1715.0,12270.0
2021-12-20,2021-12-20,2126.63,1395.0,13665.0
2022-01-10,2022-01-10,2143.19,1690.0,15355.0
2022-02-07,2022-02-07,2021.07,240.0,15595.0
2022-02-14,2022-02-14,2041.93,195.0,15790.0
2022-03-07,2022-03-07,1997.51,325.0,16115.0
2022-03-14,2022-03-14,1970.07,1230.0,17345.0
2022-04-11,2022-04-11,1994.79,1700.0,19045.0
2022-04-18,2022-04-18,1995.79,1845.0,20890.0
2022-05-09,2022-05-09,1807.79,200.0,21090.0
2022-05-23,2022-05-23,1777.35,75.0,21165.0
2022-06-06,2022-06-06,1888.37,1710.0,22875.0
2022-06-13,2022-06-13,1737.27,245.0,23120.0
2022-07-11,2022-07-11,1743.53,245.0,23365.0
2022-07-18,2022-07-18,1771.51,420.0,23785.0
2022-08-08,2022-08-08,1952.97,-5270.0,18515.0
2022-08-15,2022-08-15,2002.8,-5640.0,12875.0
2022-09-12,2022-09-12,1903.26,1730.0,14605.0
2022-09-19,2022-09-19,1797.67,415.0,15020.0
2022-10-10,2022-10-10,1697.31,245.0,15265.0
2022-10-17,2022-10-17,1729.23,425.0,15690.0
2022-11-07,2022-11-07,1794.6,225.0,15915.0
2022-11-14,2022-11-14,1867.59,1335.0,17250.0
2022-11-21,2022-11-21,1838.84,1350.0,18600.0
2022-11-28,2022-11-28,1854.45,1155.0,19755.0
2022-12-12,2022-12-12,1799.12,200.0,19955.0
2022-12-19,2022-12-19,1750.05,355.0,20310.0
2023-01-09,2023-01-09,1808.49,160.0,20470.0
2023-02-06,2023-02-06,1970.73,-4856.8,15613.2
2023-02-13,2023-02-13,1923.55,1365.0,16978.2
2023-02-27,2023-02-27,1909.47,1210.0,18188.2
2023-03-13,2023-03-13,1748.2,330.0,18518.2
2023-03-20,2023-03-20,1748.36,290.0,18808.2
2023-04-10,2023-04-10,1759.26,215.0,19023.2
2023-04-17,2023-04-17,1791.84,1290.0,20313.2
2023-04-24,2023-04-24,1794.68,1185.0,21498.2
2023-05-01,2023-05-01,1777.13,1040.0,22538.2
2023-05-08,2023-05-08,1757.7,130.0,22668.2
2023-05-15,2023-05-15,1749.68,305.0,22973.2
2023-06-12,2023-06-12,1875.92,50.0,23023.2
2023-06-26,2023-06-26,1839.36,-145.0,22878.2
2023-07-10,2023-07-10,1880.73,716.6,23594.8
2023-07-17,2023-07-17,1942.63,1210.0,24804.8
2023-08-07,2023-08-07,1947.59,-209.1,24595.7
2023-08-14,2023-08-14,1904.23,1225.0,25820.7
2023-08-28,2023-08-28,1875.76,1090.0,26910.7
2023-09-11,2023-09-11,1857.51,-5415.0,21495.7
2023-09-18,2023-09-18,1839.77,-5570.9,15924.8
2023-10-09,2023-10-09,1738.55,110.0,16034.8
2023-10-16,2023-10-16,1734.22,285.0,16319.8
2023-11-06,2023-11-06,1746.73,40.0,16359.8
2023-11-13,2023-11-13,1692.75,230.0,16589.8
2023-12-04,2023-12-04,1868.02,92.5,16682.3
2023-12-11,2023-12-11,1875.76,-20.0,16662.3
2023-12-18,2023-12-18,1993.69,1215.0,17877.3
2024-01-08,2024-01-08,1952.93,90.0,17967.3
2024-02-05,2024-02-05,1935.15,315.0,18282.3
2024-02-12,2024-02-12,2033.96,250.0,18532.3
2024-02-26,2024-02-26,2030.25,50.0,18582.3
2024-03-11,2024-03-11,2068.54,1580.0,20162.3
2024-04-08,2024-04-08,2072.81,105.0,20267.3
