date,trade_date,spot,pnl_usd,cumulative_pnl
2021-06-07,2021-06-07,4229.62,1355.0,1355.0
2021-06-14,2021-06-14,4242.32,1335.0,2690.0
2021-06-21,2021-06-21,4184.32,1725.0,4415.0
2021-06-28,2021-06-28,4279.57,1315.0,5730.0
2021-07-12,2021-07-12,4370.74,1440.0,7170.0
2021-07-19,2021-07-19,4277.21,1900.0,9070.0
2021-07-26,2021-07-26,4409.62,1635.0,10705.0
2021-08-02,2021-08-02,4415.63,1665.0,12370.0
2021-08-09,2021-08-09,4429.21,1630.0,14000.0
2021-08-16,2021-08-16,4448.59,3590.0,17590.0
2021-08-30,2021-08-30,4515.73,1505.0,19095.0
2021-09-13,2021-09-13,4476.15,1720.0,20815.0
2021-09-20,2021-09-20,4379.82,1990.0,22805.0
2021-09-27,2021-09-27,4441.41,1755.0,24560.0
2021-10-04,2021-10-04,4340.54,2085.0,26645.0
2021-10-11,2021-10-11,4396.24,1910.0,28555.0
2021-10-18,2021-10-18,4459.91,1650.0,30205.0
2021-10-25,2021-10-25,4542.89,1615.0,31820.0
2021-11-01,2021-11-01,4612.9,1625.0,33445.0
2021-11-08,2021-11-08,4708.21,1510.0,34955.0
2021-11-15,2021-11-15,4691.79,1560.0,36515.0
2021-11-22,2021-11-22,4725.94,1540.0,38055.0
2021-11-29,2021-11-29,4641.79,2065.0,40120.0
2021-12-06,2021-12-06,4564.19,4130.0,44250.0
2021-12-13,2021-12-13,4701.33,3835.0,48085.0
2021-12-20,2021-12-20,4561.04,2030.0,50115.0
2021-12-27,2021-12-27,4749.66,3790.0,53905.0
2022-01-03,2022-01-03,4789.54,-5493.0,48412.0
2022-01-10,2022-01-10,4624.72,3840.0,52252.0
2022-01-31,2022-01-31,4436.29,2330.0,54582.0
2022-02-07,2022-02-07,4506.92,1980.0,56562.0
2022-02-14,2022-02-14,4411.93,2310.0,58872.0
2022-02-28,2022-02-28,4339.66,2400.0,61272.0
2022-03-07,2022-03-07,4295.25,2890.0,64162.0
2022-03-14,2022-03-14,4216.06,2450.0,66612.0
2022-03-21,2022-03-21,4475.17,4230.0,70842.0
2022-03-28,2022-03-28,4542.16,-6384.0,64458.0
2022-04-04,2022-04-04,4547.56,-22973.0,41485.0
2022-04-11,2022-04-11,4455.46,4015.0,45500.0
2022-04-18,2022-04-18,4404.46,4045.0,49545.0
2022-04-25,2022-04-25,4229.13,4045.0,53590.0
2022-05-02,2022-05-02,4134.35,4240.0,57830.0
2022-05-09,2022-05-09,4063.08,4210.0,62040.0
2022-05-16,2022-05-16,4004.01,4235.0,66275.0
2022-05-23,2022-05-23,3935.62,4290.0,70565.0
2022-06-06,2022-06-06,4150.64,4170.0,74735.0
2022-06-13,2022-06-13,3804.22,2140.0,76875.0
2022-06-27,2022-06-27,3900.47,2120.0,78995.0
2022-07-11,2022-07-11,3858.06,2190.0,81185.0
2022-07-18,2022-07-18,3898.55,2040.0,83225.0
2022-07-25,2022-07-25,3967.31,1960.0,85185.0
2022-08-01,2022-08-01,4115.89,3960.0,89145.0
2022-08-08,2022-08-08,4180.24,-8862.0,80283.0
2022-08-15,2022-08-15,4261.77,-28265.0,52018.0
2022-08-22,2022-08-22,4173.4,-12102.0,39916.0
2022-08-29,2022-08-29,4036.8,-2567.0,37349.0
2022-09-12,2022-09-12,4095.67,3935.0,41284.0
2022-09-19,2022-09-19,3859.32,2260.0,43544.0
2022-09-26,2022-09-26,3686.56,2225.0,45769.0
2022-10-03,2022-10-03,3616.79,2120.0,47889.0
2022-10-10,2022-10-10,3640.88,2090.0,49979.0
2022-10-17,2022-10-17,3677.14,2025.0,52004.0
2022-10-31,2022-10-31,3881.33,2150.0,54154.0
2022-11-07,2022-11-07,3779.01,2200.0,56354.0
2022-11-14,2022-11-14,3972.21,3830.0,60184.0
2022-11-21,2022-11-21,3949.17,1740.0,61924.0
2022-11-28,2022-11-28,4007.8,1730.0,63654.0
