trade_date,calendar_date,dte_remaining,pnl_usd
2022-06-21,2022-06-21,0,0.0
2022-06-21,2022-06-21,0,2379.0
2022-06-22,2022-06-22,0,0.0
2022-06-22,2022-06-22,0,1811.01
2022-06-23,2022-06-23,0,0.0
2022-06-23,2022-06-23,0,1257.0
2022-06-24,2022-06-24,0,0.0
2022-06-24,2022-06-24,0,-990.0
2022-06-27,2022-06-27,0,0.0
2022-06-27,2022-06-27,0,2358.99
2022-06-28,2022-06-28,0,0.0
2022-06-28,2022-06-28,0,-1130.0
2022-06-29,2022-06-29,0,0.0
2022-06-29,2022-06-29,0,1733.01
2022-06-30,2022-06-30,0,0.0
2022-06-30,2022-06-30,0,-767.99
2022-07-01,2022-07-01,0,0.0
2022-07-01,2022-07-01,0,256.99
2022-07-05,2022-07-05,0,0.0
2022-07-05,2022-07-05,0,-1160.0
2022-07-06,2022-07-06,0,0.0
2022-07-06,2022-07-06,0,1361.99
2022-07-07,2022-07-07,0,0.0
2022-07-07,2022-07-07,0,457.99
2022-07-08,2022-07-08,0,0.0
2022-07-08,2022-07-08,0,-467.99
2022-07-11,2022-07-11,0,0.0
2022-07-11,2022-07-11,0,1462.99
2022-07-12,2022-07-12,0,0.0
2022-07-12,2022-07-12,0,-780.0
2022-07-13,2022-07-13,0,0.0
2022-07-13,2022-07-13,0,1472.0
2022-07-14,2022-07-14,0,0.0
2022-07-14,2022-07-14,0,-1070.0
2022-07-15,2022-07-15,0,0.0
2022-07-15,2022-07-15,0,-935.99
2022-07-18,2022-07-18,0,0.0
2022-07-18,2022-07-18,0,-750.0
2022-07-19,2022-07-19,0,0.0
2022-07-19,2022-07-19,0,-800.0
2022-07-20,2022-07-20,0,0.0
2022-07-20,2022-07-20,0,-989.99
2022-07-21,2022-07-21,0,0.0
2022-07-21,2022-07-21,0,-1030.0
2022-07-22,2022-07-22,0,0.0
2022-07-22,2022-07-22,0,-1060.0
2022-07-25,2022-07-25,0,0.0
2022-07-25,2022-07-25,0,1619.01
2022-07-26,2022-07-26,0,0.0
2022-07-26,2022-07-26,0,-675.0
2022-07-27,2022-07-27,0,0.0
2022-07-27,2022-07-27,0,-1340.0
2022-07-28,2022-07-28,0,0.0
2022-07-28,2022-07-28,0,-990.0
2022-07-29,2022-07-29,0,0.0
2022-07-29,2022-07-29,0,-579.0
2022-08-01,2022-08-01,0,0.0
2022-08-01,2022-08-01,0,1332.99
2022-08-02,2022-08-02,0,0.0
2022-08-02,2022-08-02,0,1108.99
2022-08-03,2022-08-03,0,0.0
2022-08-03,2022-08-03,0,-566.99
2022-08-04,2022-08-04,0,0.0
2022-08-04,2022-08-04,0,1098.99
2022-08-05,2022-08-05,0,0.0
2022-08-05,2022-08-05,0,681.01
2022-08-08,2022-08-08,0,0.0
2022-08-08,2022-08-08,0,-875.0
2022-08-09,2022-08-09,0,0.0
2022-08-09,2022-08-09,0,1442.02
2022-08-10,2022-08-10,0,0.0
2022-08-10,2022-08-10,0,145.98
2022-08-11,2022-08-11,0,0.0
2022-08-11,2022-08-11,0,-645.0
2022-08-12,2022-08-12,0,0.0
2022-08-12,2022-08-12,0,-870.0
2022-08-15,2022-08-15,0,0.0
2022-08-15,2022-08-15,0,-324.01
