trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,pnl_usd_at_exp,vix_entry,spot_exit,long_put,short_put,short_call,long_call,result,exit_method,effective_close_date,effective_dit_at_close,in_range,max_risk_usd,pnl_tp10,pnl_tp20,pnl_tp30
2022-06-21,2022-06-21,SPX,0,2400.0,2379.0,2379.0,30.19,3764.79,3730.0,3765.0,3765.0,3800.0,WIN,expiration,2022-06-21,0,True,,275.0,480.0,730.0
2022-06-22,2022-06-22,SPX,0,2300.0,1811.01,1811.01,28.95,3759.89,3720.0,3755.0,3755.0,3790.0,WIN,expiration,2022-06-22,0,True,,455.0,645.0,885.0
2022-06-23,2022-06-23,SPX,0,2330.0,1257.0,1257.0,29.05,3795.73,3750.0,3785.0,3785.0,3820.0,WIN,expiration,2022-06-23,0,True,,250.0,620.0,730.0
2022-06-24,2022-06-24,SPX,0,2010.0,-990.0,-990.0,27.23,3911.74,3825.0,3855.0,3855.0,3885.0,LOSS,expiration,2022-06-24,0,False,,-990.0,-990.0,-990.0
2022-06-27,2022-06-27,SPX,0,2370.0,2358.99,2358.99,26.95,3900.11,3865.0,3900.0,3900.0,3935.0,WIN,expiration,2022-06-27,0,True,,240.0,490.0,780.0
2022-06-28,2022-06-28,SPX,0,1870.0,-1130.0,-1130.0,28.36,3821.55,3905.0,3935.0,3935.0,3965.0,LOSS,expiration,2022-06-28,0,False,,-1130.0,-1130.0,-1130.0
2022-06-29,2022-06-29,SPX,0,2350.0,1733.01,1733.01,28.16,3818.83,3790.0,3825.0,3825.0,3860.0,WIN,expiration,2022-06-29,0,True,,235.0,565.0,750.0
2022-06-30,2022-06-30,SPX,0,2770.0,-767.99,-767.99,28.71,3785.38,3710.0,3750.0,3750.0,3790.0,LOSS,expiration,2022-06-30,0,False,,305.0,-767.99,-767.99
2022-07-01,2022-07-01,SPX,0,2290.0,256.99,256.99,26.7,3825.33,3770.0,3805.0,3805.0,3840.0,WIN,expiration,2022-07-01,0,True,,330.0,460.0,765.0
2022-07-05,2022-07-05,SPX,0,2340.0,-1160.0,-1160.0,27.54,3831.39,3720.0,3755.0,3755.0,3790.0,LOSS,expiration,2022-07-05,0,False,,240.0,-1160.0,-1160.0
2022-07-06,2022-07-06,SPX,0,2370.0,1361.99,1361.99,26.73,3845.08,3800.0,3835.0,3835.0,3870.0,WIN,expiration,2022-07-06,0,True,,245.0,1600.0,1600.0
2022-07-07,2022-07-07,SPX,0,1720.0,457.99,457.99,26.08,3902.62,3865.0,3890.0,3890.0,3915.0,WIN,expiration,2022-07-07,0,True,,175.0,360.0,457.99
2022-07-08,2022-07-08,SPX,0,1970.0,-467.99,-467.99,24.64,3899.38,3845.0,3875.0,3875.0,3905.0,LOSS,expiration,2022-07-08,0,False,,200.0,-467.99,-467.99
2022-07-11,2022-07-11,SPX,0,2020.0,1462.99,1462.99,26.17,3854.43,3830.0,3860.0,3860.0,3890.0,WIN,expiration,2022-07-11,0,True,,205.0,465.0,635.0
2022-07-12,2022-07-12,SPX,0,1720.0,-780.0,-780.0,27.29,3818.8,3825.0,3850.0,3850.0,3875.0,LOSS,expiration,2022-07-12,0,False,,220.0,375.0,560.0
2022-07-13,2022-07-13,SPX,0,2650.0,1472.0,1472.0,26.82,3801.78,3750.0,3790.0,3790.0,3830.0,WIN,expiration,2022-07-13,0,True,,280.0,815.0,815.0
2022-07-14,2022-07-14,SPX,0,2430.0,-1070.0,-1070.0,26.4,3790.38,3705.0,3740.0,3740.0,3775.0,LOSS,expiration,2022-07-14,0,False,,345.0,-1070.0,-1070.0
2022-07-15,2022-07-15,SPX,0,2380.0,-935.99,-935.99,24.23,3863.16,3795.0,3830.0,3830.0,3865.0,LOSS,expiration,2022-07-15,0,False,,340.0,-935.99,-935.99
2022-07-18,2022-07-18,SPX,0,1750.0,-750.0,-750.0,25.3,3830.85,3875.0,3900.0,3900.0,3925.0,LOSS,expiration,2022-07-18,0,False,,210.0,-750.0,-750.0
2022-07-19,2022-07-19,SPX,0,1700.0,-800.0,-800.0,24.5,3936.69,3855.0,3880.0,3880.0,3905.0,LOSS,expiration,2022-07-19,0,False,,-800.0,-800.0,-800.0
