trade_date,calendar_date,dte_remaining,pnl_usd
2022-06-21,2022-06-21,0,0.0
2022-06-21,2022-06-21,0,60.0
2022-06-22,2022-06-22,0,0.0
2022-06-22,2022-06-22,0,20.0
2022-06-23,2022-06-23,0,0.0
2022-06-23,2022-06-23,0,10.0
2022-06-24,2022-06-24,0,0.0
2022-06-24,2022-06-24,0,0.0
2022-06-27,2022-06-27,0,0.0
2022-06-27,2022-06-27,0,-415.0
2022-06-28,2022-06-28,0,0.0
2022-06-28,2022-06-28,0,-995.0
2022-06-29,2022-06-29,0,0.0
2022-06-29,2022-06-29,0,1005.0
2022-06-30,2022-06-30,0,0.0
2022-06-30,2022-06-30,0,937.0
2022-07-01,2022-07-01,0,0.0
2022-07-01,2022-07-01,0,45.0
2022-07-05,2022-07-05,0,0.0
2022-07-05,2022-07-05,0,10.0
2022-07-06,2022-07-06,0,0.0
2022-07-06,2022-07-06,0,30.0
2022-07-07,2022-07-07,0,0.0
2022-07-07,2022-07-07,0,15.0
2022-07-08,2022-07-08,0,0.0
2022-07-08,2022-07-08,0,68.0
2022-07-11,2022-07-11,0,0.0
2022-07-11,2022-07-11,0,457.0
2022-07-12,2022-07-12,0,0.0
2022-07-12,2022-07-12,0,-930.0
2022-07-13,2022-07-13,0,0.0
2022-07-13,2022-07-13,0,40.0
2022-07-14,2022-07-14,0,0.0
2022-07-14,2022-07-14,0,20.0
2022-07-15,2022-07-15,0,0.0
2022-07-15,2022-07-15,0,60.0
2022-07-18,2022-07-18,0,0.0
2022-07-18,2022-07-18,0,-985.0
2022-07-19,2022-07-19,0,0.0
2022-07-19,2022-07-19,0,55.0
2022-07-20,2022-07-20,0,0.0
2022-07-20,2022-07-20,0,25.0
2022-07-21,2022-07-21,0,0.0
2022-07-21,2022-07-21,0,25.0
2022-07-22,2022-07-22,0,0.0
2022-07-22,2022-07-22,0,-910.0
2022-07-25,2022-07-25,0,0.0
2022-07-25,2022-07-25,0,1025.0
2022-07-26,2022-07-26,0,0.0
2022-07-26,2022-07-26,0,-963.0
2022-07-27,2022-07-27,0,0.0
2022-07-27,2022-07-27,0,10.0
2022-07-28,2022-07-28,0,0.0
2022-07-28,2022-07-28,0,70.0
2022-07-29,2022-07-29,0,0.0
2022-07-29,2022-07-29,0,35.0
2022-08-01,2022-08-01,0,0.0
2022-08-01,2022-08-01,0,232.0
2022-08-02,2022-08-02,0,0.0
2022-08-02,2022-08-02,0,1015.0
2022-08-03,2022-08-03,0,0.0
2022-08-03,2022-08-03,0,40.0
2022-08-04,2022-08-04,0,0.0
2022-08-04,2022-08-04,0,1040.0
2022-08-05,2022-08-05,0,0.0
2022-08-05,2022-08-05,0,20.0
2022-08-08,2022-08-08,0,0.0
2022-08-08,2022-08-08,0,-895.0
2022-08-09,2022-08-09,0,0.0
2022-08-09,2022-08-09,0,809.0
2022-08-10,2022-08-10,0,0.0
2022-08-10,2022-08-10,0,75.0
2022-08-11,2022-08-11,0,0.0
2022-08-11,2022-08-11,0,-905.0
2022-08-12,2022-08-12,0,0.0
2022-08-12,2022-08-12,0,75.0
2022-08-15,2022-08-15,0,0.0
2022-08-15,2022-08-15,0,100.0
2022-08-16,2022-08-16,0,0.0
2022-08-16,2022-08-16,0,75.0
2022-08-17,2022-08-17,0,0.0
2022-08-17,2022-08-17,0,1025.0
2022-08-18,2022-08-18,0,0.0
2022-08-18,2022-08-18,0,638.0
2022-08-19,2022-08-19,0,0.0
