trade_date,exp_date,underlying,dte_entry,structure,spot_entry,expected_move,short_put,long_put,short_call,long_call,put_width,call_width,retained_dist,total_credit,spot_exit,vix_entry,pnl_usd,pnl_usd_at_exp,result,exit_method,effective_close_date,effective_dit_at_close,in_range,max_risk_usd,pnl_tp10,pnl_tp25,pnl_tp50,pnl_tp75
2022-06-21,2022-06-21,SPX,0,JL,3735.3,41.6,3685.0,3655.0,3740.0,3745.0,30.0,5.0,50.3,545.0,3764.79,0.0,45.0,45.0,WIN,expiration,2022-06-21,0,,2455.0,54.5,136.25,45.0,45.0
2022-06-22,2022-06-22,SPX,0,JL,3720.06,40.9,3670.0,3640.0,3725.0,3730.0,30.0,5.0,50.06,530.0,3759.89,30.19,30.0,30.0,WIN,expiration,2022-06-22,0,,2470.0,53.0,30.0,30.0,30.0
2022-06-23,2022-06-23,SPX,0,JL,3782.54,38.7,3735.0,3705.0,3785.0,3790.0,30.0,5.0,47.54,535.0,3795.73,28.94,35.0,35.0,WIN,expiration,2022-06-23,0,,2465.0,53.5,133.75,267.5,35.0
2022-06-24,2022-06-24,SPX,0,JL,3830.38,36.5,3780.0,3750.0,3835.0,3840.0,30.0,5.0,50.38,500.0,3911.74,29.04,0.0,0.0,LOSS,expiration,2022-06-24,0,,2500.0,0.0,0.0,0.0,0.0
2022-06-27,2022-06-27,SPX,0,JL,3926.67,38.05,3880.0,3850.0,3930.0,3935.0,30.0,5.0,46.67,543.0,3900.11,27.25,543.0,543.0,WIN,expiration,2022-06-27,0,,2457.0,54.3,135.75,271.5,407.25
2022-06-28,2022-06-28,SPX,0,JL,3923.19,35.05,3880.0,3850.0,3925.0,3930.0,30.0,5.0,43.19,550.0,3821.55,26.95,-2450.0,-2450.0,LOSS,expiration,2022-06-28,0,,2450.0,55.0,137.5,-2450.0,-2450.0
2022-06-29,2022-06-29,SPX,0,JL,3824.73,40.35,3770.0,3740.0,3825.0,3830.0,30.0,5.0,54.73,520.0,3818.83,28.35,520.0,520.0,WIN,expiration,2022-06-29,0,,2480.0,52.0,130.0,260.0,390.0
2022-06-30,2022-06-30,SPX,0,JL,3780.91,46.1,3715.0,3685.0,3785.0,3790.0,30.0,5.0,65.91,518.0,3785.38,28.14,414.0,414.0,WIN,expiration,2022-06-30,0,,2482.0,51.8,129.5,259.0,388.5
2022-07-01,2022-07-01,SPX,0,JL,3784.85,38.35,3735.0,3705.0,3785.0,3790.0,30.0,5.0,49.85,515.0,3825.33,28.68,15.0,15.0,WIN,expiration,2022-07-01,0,,2485.0,51.5,128.75,15.0,15.0
2022-07-05,2022-07-05,SPX,0,JL,3769.74,38.45,3715.0,3685.0,3770.0,3775.0,30.0,5.0,54.74,512.0,3831.39,26.7,12.0,12.0,WIN,expiration,2022-07-05,0,,2488.0,51.2,128.0,12.0,12.0
