trade_date,calendar_date,dte_remaining,pnl_usd
2022-06-21,2022-06-21,0,0.0
2022-06-21,2022-06-21,0,1043.0
2022-06-22,2022-06-22,0,0.0
2022-06-22,2022-06-22,0,71.0
2022-06-23,2022-06-23,0,0.0
2022-06-23,2022-06-23,0,1020.0
2022-06-24,2022-06-24,0,0.0
2022-06-24,2022-06-24,0,-2000.0
2022-06-27,2022-06-27,0,0.0
2022-06-27,2022-06-27,0,40.0
2022-06-28,2022-06-28,0,0.0
2022-06-28,2022-06-28,0,32.0
2022-06-29,2022-06-29,0,0.0
2022-06-29,2022-06-29,0,915.0
2022-06-30,2022-06-30,0,0.0
2022-06-30,2022-06-30,0,1005.0
2022-07-01,2022-07-01,0,0.0
2022-07-01,2022-07-01,0,-521.0
2022-07-05,2022-07-05,0,0.0
2022-07-05,2022-07-05,0,-1920.0
2022-07-06,2022-07-06,0,0.0
2022-07-06,2022-07-06,0,1032.0
2022-07-07,2022-07-07,0,0.0
2022-07-07,2022-07-07,0,-198.0
2022-07-08,2022-07-08,0,0.0
2022-07-08,2022-07-08,0,1052.0
2022-07-11,2022-07-11,0,0.0
2022-07-11,2022-07-11,0,47.0
2022-07-12,2022-07-12,0,0.0
2022-07-12,2022-07-12,0,50.0
2022-07-13,2022-07-13,0,0.0
2022-07-13,2022-07-13,0,911.0
2022-07-14,2022-07-14,0,0.0
2022-07-14,2022-07-14,0,0.0
2022-07-15,2022-07-15,0,0.0
2022-07-15,2022-07-15,0,1032.0
2022-07-18,2022-07-18,0,0.0
2022-07-18,2022-07-18,0,3.0
2022-07-19,2022-07-19,0,0.0
2022-07-19,2022-07-19,0,-1950.0
2022-07-20,2022-07-20,0,0.0
2022-07-20,2022-07-20,0,139.0
2022-07-21,2022-07-21,0,0.0
2022-07-21,2022-07-21,0,-1827.0
2022-07-22,2022-07-22,0,0.0
2022-07-22,2022-07-22,0,90.0
2022-07-25,2022-07-25,0,0.0
2022-07-25,2022-07-25,0,1098.0
2022-07-26,2022-07-26,0,0.0
2022-07-26,2022-07-26,0,20.0
2022-07-27,2022-07-27,0,0.0
2022-07-27,2022-07-27,0,-1147.0
2022-07-28,2022-07-28,0,0.0
2022-07-28,2022-07-28,0,-592.0
2022-07-29,2022-07-29,0,0.0
2022-07-29,2022-07-29,0,-1907.0
2022-08-01,2022-08-01,0,0.0
