trade_date,exp_date,underlying,dte_entry,structure,spot_entry,expected_move,short_put,long_put,short_call,long_call,put_width,call_width,retained_dist,total_credit,spot_exit,vix_entry,pnl_usd,pnl_usd_at_exp,result,exit_method,effective_close_date,effective_dit_at_close,in_range,max_risk_usd,pnl_tp10,pnl_tp25,pnl_tp50,pnl_tp75
2022-06-21,2022-06-21,SPX,0,RJL,3735.3,41.6,3735.0,3725.0,3765.0,3795.0,10.0,30.0,29.7,1043.0,3764.79,0,1043.0,1043.0,WIN,expiration,2022-06-21,0,,1957.0,104.3,260.75,521.5,782.25
2022-06-22,2022-06-22,SPX,0,RJL,3720.06,40.9,3720.0,3710.0,3750.0,3780.0,10.0,30.0,29.94,1055.0,3759.89,30.19,71.0,71.0,WIN,expiration,2022-06-22,0,,1945.0,105.5,71.0,71.0,71.0
2022-06-23,2022-06-23,SPX,0,RJL,3782.54,38.7,3780.0,3770.0,3810.0,3840.0,10.0,30.0,27.46,1020.0,3795.73,28.94,1020.0,1020.0,WIN,expiration,2022-06-23,0,,1980.0,102.0,255.0,510.0,765.0
2022-06-24,2022-06-24,SPX,0,RJL,3830.38,36.5,3830.0,3820.0,3855.0,3885.0,10.0,30.0,24.62,1000.0,3911.74,29.04,-2000.0,-2000.0,LOSS,expiration,2022-06-24,0,,2000.0,-2000.0,-2000.0,-2000.0,-2000.0
2022-06-27,2022-06-27,SPX,0,RJL,3926.67,38.05,3925.0,3915.0,3950.0,3980.0,10.0,30.0,23.33,1040.0,3900.11,27.25,40.0,40.0,WIN,expiration,2022-06-27,0,,1960.0,104.0,260.0,40.0,40.0
2022-06-28,2022-06-28,SPX,0,RJL,3923.19,35.05,3920.0,3910.0,3945.0,3975.0,10.0,30.0,21.81,1032.0,3821.55,26.95,32.0,32.0,WIN,expiration,2022-06-28,0,,1968.0,103.2,258.0,32.0,32.0
2022-06-29,2022-06-29,SPX,0,RJL,3824.73,40.35,3820.0,3810.0,3850.0,3880.0,10.0,30.0,25.27,1045.0,3818.83,28.35,915.0,915.0,WIN,expiration,2022-06-29,0,,1955.0,104.5,261.25,522.5,783.75
2022-06-30,2022-06-30,SPX,0,RJL,3780.91,46.1,3780.0,3770.0,3815.0,3845.0,10.0,30.0,34.09,1005.0,3785.38,28.14,1005.0,1005.0,WIN,expiration,2022-06-30,0,,1995.0,100.5,251.25,502.5,1005.0
2022-07-01,2022-07-01,SPX,0,RJL,3784.85,38.35,3780.0,3770.0,3810.0,3840.0,10.0,30.0,25.15,1015.0,3825.33,28.68,-521.0,-521.0,LOSS,expiration,2022-07-01,0,,1985.0,101.5,253.75,507.5,-521.0
2022-07-05,2022-07-05,SPX,0,RJL,3769.74,38.45,3765.0,3755.0,3790.0,3820.0,10.0,30.0,20.26,1080.0,3831.39,26.7,-1920.0,-1920.0,LOSS,expiration,2022-07-05,0,,1920.0,108.0,270.0,-1920.0,-1920.0
