date,trade_date,spot,pnl_usd,cumulative_pnl,mtm_pnl
2021-06-04,2021-06-04,2284.62,0.0,0.0,0.0
2021-06-11,2021-06-11,2328.64,390.0,390.0,390.0
2021-06-18,2021-06-18,2261.73,-775.0,-385.0,-385.0
2021-06-25,2021-06-25,2339.34,580.0,195.0,195.0
2021-07-02,2021-07-02,2313.79,-410.0,-215.0,-215.0
2021-07-09,2021-07-09,2263.35,-630.0,-845.0,-844.9999999999999
2021-07-16,2021-07-16,2200.43,-1590.0,-2435.0,-2435.0
2021-07-23,2021-07-23,2194.14,-75.0,-2510.0,-2510.0
2021-07-30,2021-07-30,2248.93,345.0,-2165.0,-2165.0
2021-08-06,2021-08-06,2243.33,-80.0,-2245.0,-2245.0
2021-08-13,2021-08-13,2232.04,-10.0,-2255.0,-2255.0
2021-08-20,2021-08-20,2138.41,-780.0,-3035.0,-3035.0
2021-08-27,2021-08-27,2235.95,620.0,-2415.0,-2415.0
2021-09-03,2021-09-03,2298.12,305.0,-2110.0,-2110.0
2021-09-10,2021-09-10,2254.78,-400.0,-2510.0,-2510.0
2021-09-17,2021-09-17,2231.53,-355.0,-2865.0,-2865.0
2021-09-24,2021-09-24,2247.39,-85.0,-2950.0,-2950.0
2021-10-01,2021-10-01,2206.23,-1075.0,-4025.0,-4025.0
2021-10-08,2021-10-08,2248.72,345.0,-3680.0,-3679.9999999999995
2021-10-15,2021-10-15,2296.66,430.0,-3250.0,-3250.0
2021-10-22,2021-10-22,2293.85,15.0,-3235.0,-3235.0
2021-10-29,2021-10-29,2298.79,-5.0,-3240.0,-3240.0
2021-11-05,2021-11-05,2436.97,495.0,-2745.0,-2745.0
2021-11-12,2021-11-12,2416.11,-170.0,-2915.0,-2915.0
2021-11-19,2021-11-19,2353.54,-785.0,-3700.0,-3700.0
2021-11-26,2021-11-26,2256.63,175.0,-3525.0,-3525.0
2021-12-03,2021-12-03,2180.03,1210.0,-2315.0,-2315.0
2021-12-10,2021-12-10,2217.2,-3770.0,-6085.0,-6085.0
2021-12-17,2021-12-17,2136.72,-1040.0,-7125.0,-7125.0
2021-12-31,2021-12-31,2254.83,880.0,-6245.0,-6245.0
2022-01-07,2022-01-07,2219.69,-405.0,-6650.0,-6650.0
2022-01-14,2022-01-14,2152.79,-1205.0,-7855.0,-7855.0
2022-01-21,2022-01-21,2008.57,-445.0,-8300.0,-8300.0
2022-01-28,2022-01-28,1910.97,1260.0,-7040.0,-7040.000000000001
2022-02-04,2022-02-04,1980.04,-3655.0,-10695.0,-10695.0
2022-02-11,2022-02-11,2056.84,355.0,-10340.0,-10340.0
2022-02-18,2022-02-18,2036.73,-175.0,-10515.0,-10515.0
2022-02-25,2022-02-25,1995.61,-355.0,-10870.0,-10870.0
2022-03-04,2022-03-04,2008.97,70.0,-10800.0,-10800.0
2022-03-11,2022-03-11,2019.91,-65.0,-10865.0,-10865.0
2022-03-18,2022-03-18,2066.12,465.0,-10400.0,-10400.0
2022-03-25,2022-03-25,2071.13,70.0,-10330.0,-10330.0
2022-04-01,2022-04-01,2090.14,45.0,-10285.0,-10285.0
2022-04-08,2022-04-08,1994.43,-1045.0,-11330.0,-11330.0
2022-04-22,2022-04-22,1981.45,1845.0,-9485.0,-9485.0
2022-04-29,2022-04-29,1927.13,-335.0,-9820.0,-9820.0
2022-05-06,2022-05-06,1824.59,225.0,-9595.0,-9595.0
2022-05-13,2022-05-13,1779.1,-1590.0,-11185.0,-11185.0
2022-05-20,2022-05-20,1785.74,-1360.0,-12545.0,-12545.0
2022-05-27,2022-05-27,1863.25,510.0,-12035.0,-12035.0
2022-06-03,2022-06-03,1887.2,215.0,-11820.0,-11820.0
2022-06-10,2022-06-10,1822.42,-695.0,-12515.0,-12515.0
2022-06-17,2022-06-17,1682.94,-515.0,-13030.0,-13030.000000000002
2022-06-24,2022-06-24,1740.13,-1205.0,-14235.0,-14235.0
2022-07-01,2022-07-01,1721.95,-305.0,-14540.0,-14540.0
2022-07-08,2022-07-08,1754.25,145.0,-14395.0,-14394.999999999998
2022-07-15,2022-07-15,1710.83,-450.0,-14845.0,-14844.999999999998
2022-07-22,2022-07-22,1825.87,450.0,-14395.0,-14394.999999999998
2022-07-29,2022-07-29,1869.39,-220.0,-14615.0,-14615.0
2022-08-05,2022-08-05,1902.05,70.0,-14545.0,-14544.999999999998
2022-08-12,2022-08-12,1988.23,840.0,-13705.0,-13705.000000000002
2022-08-19,2022-08-19,1964.84,-330.0,-14035.0,-14035.0
2022-08-26,2022-08-26,1955.93,-100.0,-14135.0,-14135.0
2022-09-02,2022-09-02,1825.33,-1545.0,-15680.0,-15680.000000000002
2022-09-09,2022-09-09,1870.29,-175.0,-15855.0,-15855.000000000002
2022-09-16,2022-09-16,1783.43,-540.0,-16395.0,-16395.0
2022-09-23,2022-09-23,1679.81,-550.0,-16945.0,-16945.0
2022-09-30,2022-09-30,1688.29,-65.0,-17010.0,-17010.0
2022-10-07,2022-10-07,1714.96,85.0,-16925.0,-16925.0
2022-10-14,2022-10-14,1730.79,-15.0,-16940.0,-16940.0
2022-10-21,2022-10-21,1713.86,-145.0,-17085.0,-17085.0
2022-10-28,2022-10-28,1819.74,515.0,-16570.0,-16570.0
2022-11-04,2022-11-04,1791.99,-335.0,-16905.0,-16905.0
2022-11-11,2022-11-11,1885.98,965.0,-15940.0,-15940.0
2022-11-18,2022-11-18,1859.22,-150.0,-16090.0,-16090.0
2022-11-25,2022-11-25,1867.21,-410.0,-16500.0,-16500.0
2022-12-02,2022-12-02,1867.3,-105.0,-16605.0,-16605.0
2022-12-09,2022-12-09,1812.8,-585.0,-17190.0,-17190.0
2022-12-16,2022-12-16,1764.66,-665.0,-17855.0,-17855.0
2022-12-23,2022-12-23,1743.74,-610.0,-18465.0,-18465.0
2022-12-30,2022-12-30,1752.61,-410.0,-18875.0,-18875.0
2023-01-06,2023-01-06,1760.73,490.0,-18385.0,-18385.0
2023-01-13,2023-01-13,1867.65,935.0,-17450.0,-17450.0
2023-01-20,2023-01-20,1849.0,-1440.0,-18890.0,-18890.0
2023-01-27,2023-01-27,1906.11,140.0,-18750.0,-18750.0
2023-02-03,2023-02-03,1992.12,420.0,-18330.0,-18330.0
2023-02-10,2023-02-10,1908.29,-1280.0,-19610.0,-19610.0
2023-02-17,2023-02-17,1929.21,-155.0,-19765.0,-19765.0
2023-02-24,2023-02-24,1880.85,-415.0,-20180.0,-20180.0
2023-03-03,2023-03-03,1908.64,800.0,-19380.0,-19380.0
2023-03-10,2023-03-10,1794.73,-1585.0,-20965.0,-20965.0
2023-03-17,2023-03-17,1747.8,-295.0,-21260.0,-21260.0
2023-03-24,2023-03-24,1702.52,-355.0,-21615.0,-21615.0
2023-03-31,2023-03-31,1784.44,-985.0,-22600.0,-22600.0
2023-04-14,2023-04-14,1805.02,590.0,-22010.0,-22010.0
2023-04-21,2023-04-21,1785.73,-625.0,-22635.0,-22635.0
2023-04-28,2023-04-28,1757.56,-465.0,-23100.0,-23100.0
2023-05-05,2023-05-05,1749.07,-115.0,-23215.0,-23215.0
2023-05-12,2023-05-12,1752.29,155.0,-23060.0,-23060.0
2023-05-19,2023-05-19,1792.76,185.0,-22875.0,-22875.0
2023-05-26,2023-05-26,1757.89,-335.0,-23210.0,-23210.0
2023-06-02,2023-06-02,1789.41,30.0,-23180.0,-23180.0
2023-06-09,2023-06-09,1877.39,380.0,-22800.0,-22800.0
2023-06-16,2023-06-16,1883.96,395.0,-22405.0,-22405.0
