date,trade_date,spot,pnl_usd,cumulative_pnl,mtm_pnl
2021-06-04,2021-06-04,2284.62,350.0,350.0,350.0
2021-06-11,2021-06-11,2328.64,-745.0,-395.0,-395.0
2021-06-18,2021-06-18,2261.73,615.0,220.0,220.00000000000003
2021-06-25,2021-06-25,2339.34,-245.0,-25.0,-25.0
2021-07-02,2021-07-02,2313.79,-795.0,-820.0,-819.9999999999999
2021-07-09,2021-07-09,2263.35,-1500.0,-2320.0,-2320.0
2021-07-16,2021-07-16,2200.43,-110.0,-2430.0,-2430.0
2021-07-23,2021-07-23,2194.14,285.0,-2145.0,-2145.0
2021-07-30,2021-07-30,2248.93,-120.0,-2265.0,-2265.0
2021-08-06,2021-08-06,2243.33,-15.0,-2280.0,-2280.0
2021-08-13,2021-08-13,2232.04,-770.0,-3050.0,-3050.0
2021-08-20,2021-08-20,2138.41,620.0,-2430.0,-2430.0
2021-08-27,2021-08-27,2235.95,335.0,-2095.0,-2095.0
2021-09-03,2021-09-03,2298.12,-375.0,-2470.0,-2470.0
2021-09-10,2021-09-10,2254.78,-310.0,-2780.0,-2780.0
2021-09-17,2021-09-17,2231.53,-120.0,-2900.0,-2900.0
2021-09-24,2021-09-24,2247.39,-615.0,-3515.0,-3515.0
2021-10-01,2021-10-01,2206.23,310.0,-3205.0,-3204.9999999999995
2021-10-08,2021-10-08,2248.72,415.0,-2790.0,-2790.0
2021-10-15,2021-10-15,2296.66,5.0,-2785.0,-2785.0
2021-10-22,2021-10-22,2293.85,5.0,-2780.0,-2780.0
2021-10-29,2021-10-29,2298.79,510.0,-2270.0,-2270.0
2021-11-05,2021-11-05,2436.97,-205.0,-2475.0,-2475.0
2021-11-12,2021-11-12,2416.11,-775.0,-3250.0,-3250.0
2021-11-19,2021-11-19,2353.54,-80.0,-3330.0,-3329.9999999999995
2021-11-26,2021-11-26,2256.63,1315.0,-2015.0,-2014.9999999999998
2021-12-03,2021-12-03,2180.03,-3280.0,-5295.0,-5295.0
2021-12-10,2021-12-10,2217.2,-1090.0,-6385.0,-6385.0
2021-12-17,2021-12-17,2136.72,925.0,-5460.0,-5460.0
2021-12-31,2021-12-31,2254.83,-380.0,-5840.0,-5840.0
2022-01-07,2022-01-07,2219.69,-1300.0,-7140.0,-7140.000000000001
2022-01-14,2022-01-14,2152.79,-310.0,-7450.0,-7450.0
2022-01-21,2022-01-21,2008.57,880.0,-6570.0,-6570.0
2022-01-28,2022-01-28,1910.97,-3545.0,-10115.0,-10115.0
2022-02-04,2022-02-04,1980.04,405.0,-9710.0,-9710.0
2022-02-11,2022-02-11,2056.84,-220.0,-9930.0,-9930.0
2022-02-18,2022-02-18,2036.73,-300.0,-10230.0,-10230.0
2022-02-25,2022-02-25,1995.61,-20.0,-10250.0,-10250.0
2022-03-04,2022-03-04,2008.97,25.0,-10225.0,-10225.0
2022-03-11,2022-03-11,2019.91,355.0,-9870.0,-9870.0
2022-03-18,2022-03-18,2066.12,125.0,-9745.0,-9745.0
2022-03-25,2022-03-25,2071.13,-5.0,-9750.0,-9750.0
2022-04-01,2022-04-01,2090.14,-990.0,-10740.0,-10740.0
2022-04-08,2022-04-08,1994.43,-635.0,-11375.0,-11375.0
2022-04-22,2022-04-22,1981.45,-305.0,-11680.0,-11680.0
2022-04-29,2022-04-29,1927.13,115.0,-11565.0,-11565.0
2022-05-06,2022-05-06,1824.59,-1415.0,-12980.0,-12980.000000000002
2022-05-13,2022-05-13,1779.1,-1415.0,-14395.0,-14394.999999999998
2022-05-20,2022-05-20,1785.74,460.0,-13935.0,-13935.0
2022-05-27,2022-05-27,1863.25,115.0,-13820.0,-13819.999999999998
2022-06-03,2022-06-03,1887.2,-620.0,-14440.0,-14440.0
2022-06-10,2022-06-10,1822.42,-530.0,-14970.0,-14969.999999999998
2022-06-17,2022-06-17,1682.94,-1000.0,-15970.0,-15969.999999999998
2022-06-24,2022-06-24,1740.13,-305.0,-16275.0,-16275.0
2022-07-01,2022-07-01,1721.95,185.0,-16090.0,-16090.0
2022-07-08,2022-07-08,1754.25,-460.0,-16550.0,-16550.0
2022-07-15,2022-07-15,1710.83,510.0,-16040.0,-16040.0
2022-07-22,2022-07-22,1825.87,185.0,-15855.0,-15855.000000000002
2022-07-29,2022-07-29,1869.39,70.0,-15785.0,-15785.0
2022-08-05,2022-08-05,1902.05,510.0,-15275.0,-15275.0
2022-08-12,2022-08-12,1988.23,-320.0,-15595.0,-15594.999999999998
2022-08-19,2022-08-19,1964.84,-215.0,-15810.0,-15810.0
2022-08-26,2022-08-26,1955.93,-1495.0,-17305.0,-17305.0
2022-09-02,2022-09-02,1825.33,-190.0,-17495.0,-17495.0
2022-09-09,2022-09-09,1870.29,-535.0,-18030.0,-18030.0
2022-09-16,2022-09-16,1783.43,-345.0,-18375.0,-18375.0
2022-09-23,2022-09-23,1679.81,155.0,-18220.0,-18220.0
2022-09-30,2022-09-30,1688.29,155.0,-18065.0,-18065.0
2022-10-07,2022-10-07,1714.96,-45.0,-18110.0,-18110.0
2022-10-14,2022-10-14,1730.79,-220.0,-18330.0,-18330.0
2022-10-21,2022-10-21,1713.86,690.0,-17640.0,-17640.0
2022-10-28,2022-10-28,1819.74,-475.0,-18115.0,-18115.0
2022-11-04,2022-11-04,1791.99,910.0,-17205.0,-17205.0
2022-11-11,2022-11-11,1885.98,-160.0,-17365.0,-17365.0
2022-11-18,2022-11-18,1859.22,-5.0,-17370.0,-17370.0
2022-11-25,2022-11-25,1867.21,-150.0,-17520.0,-17520.0
2022-12-02,2022-12-02,1867.3,-585.0,-18105.0,-18105.0
2022-12-09,2022-12-09,1812.8,-615.0,-18720.0,-18720.0
2022-12-16,2022-12-16,1764.66,-550.0,-19270.0,-19270.0
2022-12-23,2022-12-23,1743.74,-410.0,-19680.0,-19680.0
2022-12-30,2022-12-30,1752.61,30.0,-19650.0,-19650.0
2023-01-06,2023-01-06,1760.73,380.0,-19270.0,-19270.0
2023-01-13,2023-01-13,1867.65,-205.0,-19475.0,-19475.0
2023-01-20,2023-01-20,1849.0,785.0,-18690.0,-18690.0
2023-01-27,2023-01-27,1906.11,510.0,-18180.0,-18180.0
2023-02-03,2023-02-03,1992.12,-1255.0,-19435.0,-19435.0
2023-02-10,2023-02-10,1908.29,-115.0,-19550.0,-19550.0
2023-02-17,2023-02-17,1929.21,-520.0,-20070.0,-20070.0
2023-02-24,2023-02-24,1880.85,70.0,-20000.0,-20000.0
2023-03-03,2023-03-03,1908.64,-1070.0,-21070.0,-21070.0
2023-03-10,2023-03-10,1794.73,-375.0,-21445.0,-21445.0
2023-03-17,2023-03-17,1747.8,-295.0,-21740.0,-21740.0
