trade_date,exp_date,underlying,dte_entry,spot_entry,vix_entry,roll_dir,restruck,short_put,long_put,delta_short,delta_long,iv_short,iv_long,dte_close,total_credit,cash_close,cash_open,net_roll,net_roll_usd,spot_close,spot_exit,effective_close_date,dd_index,k_gap,mark,cum_pnl_pts,pnl_usd,pnl_usd_at_exp,result,exit_method,in_range
2021-06-04,2021-07-09,RUT,35,2284.62,16.65,entry,1,2175.0,2030.0,-0.25,-0.099,0.2496,0.3071,28,6.2,0.0,6.2,6.2,620.0,2328.64,2328.64,2021-06-11,-0.75,0.0,-6.2,3.5,350.0,350.0,win,roll,1
2021-06-11,2021-07-23,RUT,42,2328.64,15.43,up,1,2220.0,2070.0,-0.252,-0.099,0.223,0.2794,35,6.4,-2.7,6.4,3.7,370.0,2261.73,2261.73,2021-06-18,-0.93,0.0,-6.4,-3.95,-745.0,-745.0,loss,roll,0
2021-06-18,2021-07-30,RUT,42,2261.73,19.52,down,0,2220.0,2070.0,-0.392,-0.168,0.2345,0.2862,35,11.8,-13.85,11.8,-2.05,-205.0,2339.34,2339.34,2021-06-25,-3.77,0.0,-11.8,2.2,615.0,615.0,win,roll,1
2021-06-25,2021-08-06,RUT,42,2339.34,15.71,up,1,2230.0,2075.0,-0.253,-0.1,0.2256,0.2866,35,6.85,-5.65,6.85,1.2,120.0,2313.79,2313.79,2021-07-02,-0.47,0.0,-6.85,-0.25,-245.0,-245.0,loss,roll,0
2021-07-02,2021-08-13,RUT,42,2313.79,14.52,down,0,2230.0,2075.0,-0.296,-0.11,0.2182,0.272,35,9.15,-9.3,9.15,-0.15,-15.0,2263.35,2263.35,2021-07-09,-1.56,0.0,-9.15,-8.2,-795.0,-795.0,loss,roll,0
2021-07-09,2021-08-13,RUT,35,2263.35,16.97,down,0,2230.0,2075.0,-0.4,-0.144,0.2168,0.2755,28,17.1,-17.1,17.1,0.0,0.0,2200.43,2200.43,2021-07-16,-3.7,0.0,-17.1,-23.2,-1500.0,-1500.0,loss,roll,0
2021-07-16,2021-08-27,RUT,42,2200.43,16.42,down,0,2230.0,2075.0,-0.555,-0.239,0.2239,0.2606,35,23.95,-32.1,23.95,-8.15,-815.0,2194.14,2194.14,2021-07-23,-6.38,0.0,-23.95,-24.3,-110.0,-110.0,loss,roll,0
2021-07-23,2021-09-03,RUT,42,2194.14,17.21,down,0,2230.0,2075.0,-0.562,-0.263,0.2416,0.2804,35,20.45,-25.05,20.45,-4.6,-460.0,2248.93,2248.93,2021-07-30,-6.65,0.0,-20.45,-21.45,285.0,285.0,win,roll,1
2021-07-30,2021-09-10,RUT,42,2248.93,17.89,up,1,2125.0,1975.0,-0.247,-0.1,0.2619,0.3119,35,6.95,-17.6,6.95,-10.65,-1065.0,2243.33,2243.33,2021-08-06,-4.32,0.0,-6.95,-22.65,-120.0,-120.0,loss,roll,0
2021-08-06,2021-09-10,RUT,35,2243.33,16.94,down,0,2125.0,1975.0,-0.243,-0.092,0.2669,0.3211,28,8.15,-8.15,8.15,0.0,0.0,2232.04,2232.04,2021-08-13,-4.55,0.0,-8.15,-22.8,-15.0,-15.0,loss,roll,0
2021-08-13,2021-09-24,RUT,42,2232.04,15.33,down,0,2125.0,1975.0,-0.268,-0.108,0.2517,0.3039,35,7.9,-8.3,7.9,-0.4,-40.0,2138.41,2138.41,2021-08-20,-5.04,0.0,-7.9,-30.5,-770.0,-770.0,loss,roll,0
