trade_date,exp_date,underlying,dte_entry,spot_entry,vix_entry,roll_dir,restruck,short_put,long_put,delta_short,delta_long,iv_short,iv_long,dte_close,total_credit,cash_close,cash_open,net_roll,net_roll_usd,spot_close,spot_exit,effective_close_date,dd_index,k_gap,mark,cum_pnl_pts,pnl_usd,pnl_usd_at_exp,result,exit_method,in_range
2021-06-04,2021-07-16,SPX,42,4217.1,16.65,entry,1,4060.0,3825.0,-0.249,-0.1,0.1725,0.2313,35,5.85,0.0,5.85,5.85,585.0,4243.32,4243.32,2021-06-11,-0.39,0.0,-5.85,1.6,160.0,160.0,win,roll,1
2021-06-11,2021-07-23,SPX,42,4243.32,15.43,up,1,4100.0,3875.0,-0.251,-0.101,0.1569,0.2155,35,4.55,-4.25,4.55,0.3,30.0,4188.86,4188.86,2021-06-18,-0.14,0.0,-4.55,-3.4,-500.0,-500.0,loss,roll,0
2021-06-18,2021-07-30,SPX,42,4188.86,19.52,down,0,4100.0,3875.0,-0.349,-0.154,0.1764,0.2343,35,6.45,-9.55,6.45,-3.1,-310.0,4274.57,4274.57,2021-06-25,-1.56,0.0,-6.45,-1.75,165.0,165.0,win,roll,1
2021-06-25,2021-08-06,SPX,42,4274.57,15.71,up,1,4125.0,3890.0,-0.251,-0.099,0.1634,0.2221,35,6.1,-4.8,6.1,1.3,130.0,4333.06,4333.06,2021-07-02,-0.06,0.0,-6.1,0.9,265.0,265.0,win,roll,1
2021-07-02,2021-08-13,SPX,42,4333.06,14.52,up,1,4190.0,3975.0,-0.245,-0.101,0.1487,0.2044,35,3.45,-3.45,3.45,0.0,0.0,4349.82,4349.82,2021-07-09,-0.02,0.0,-3.45,0.8,-10.0,-10.0,loss,roll,0
2021-07-09,2021-08-20,SPX,42,4349.82,16.97,up,1,4190.0,3940.0,-0.252,-0.1,0.173,0.2353,35,6.35,-3.55,6.35,2.8,280.0,4365.01,4365.01,2021-07-16,-0.28,0.0,-6.35,-0.8,-160.0,-160.0,loss,roll,0
2021-07-16,2021-08-27,SPX,42,4365.01,16.42,up,1,4200.0,3950.0,-0.252,-0.1,0.178,0.237,35,7.1,-7.95,7.1,-0.85,-85.0,4382.7,4382.7,2021-07-23,-0.63,0.0,-7.1,-0.55,25.0,25.0,win,roll,1
2021-07-23,2021-09-03,SPX,42,4382.7,17.21,up,1,4210.0,3940.0,-0.254,-0.099,0.1877,0.2519,35,8.05,-6.85,8.05,1.2,120.0,4406.6,4406.6,2021-07-30,-0.23,0.0,-8.05,-1.2,-65.0,-65.0,loss,roll,0
2021-07-30,2021-09-10,SPX,42,4406.6,17.89,up,1,4230.0,3970.0,-0.25,-0.1,0.1877,0.2478,35,7.4,-8.7,7.4,-1.3,-130.0,4431.13,4431.13,2021-08-06,-0.52,0.0,-7.4,-0.1,110.0,110.0,win,roll,1
2021-08-06,2021-09-17,SPX,42,4431.13,16.94,up,1,4260.0,4005.0,-0.248,-0.1,0.1788,0.2406,35,5.95,-6.3,5.95,-0.35,-35.0,4464.73,4464.73,2021-08-13,-0.21,0.0,-5.95,0.6,70.0,70.0,win,roll,1
