trade_date,exp_date,underlying,dte_entry,spot_entry,vix_entry,roll_dir,restruck,short_put,long_put,delta_short,delta_long,iv_short,iv_long,dte_close,cash_close,cash_open,net_roll,net_roll_usd,dd_index,k_gap,mark,cum_pnl_pts,pnl_usd,pnl_usd_at_exp,result,exit_method,in_range
2021-06-04,2021-07-16,SPX,42,4217.1,16.65,entry,1,4060.0,3890.0,-0.249,-0.127,0.1725,0.2156,35,0.0,-2.3,-2.3,-230.0,-0.39,0.0,2.3,0.0,0.0,0.0,flat,entry,1
2021-06-11,2021-07-23,SPX,42,4243.32,15.43,up,1,4100.0,3930.0,-0.251,-0.124,0.1569,0.2016,35,0.5,-1.8,-1.3,-130.0,-0.14,0.0,1.8,-1.8,-180.0,-180.0,loss,roll,0
2021-06-18,2021-07-30,SPX,42,4188.86,19.52,down,0,4100.0,3930.0,-0.349,-0.188,2.113,0.2213,35,0.2,-5.1,-4.9,-490.0,-1.56,0.0,5.1,-3.4,-160.0,-160.0,loss,roll,0
2021-06-25,2021-08-06,SPX,42,4274.57,15.71,up,1,4125.0,3950.0,-0.251,-0.124,0.1634,0.2076,35,0.4,-1.25,-0.85,-85.0,-0.06,0.0,1.25,-8.1,-470.0,-470.0,loss,roll,0
2021-07-02,2021-08-13,SPX,42,4333.06,14.52,up,1,4190.0,4030.0,-0.245,-0.124,0.1487,0.1908,35,0.35,-2.8,-2.45,-245.0,-0.02,0.0,2.8,-9.0,-90.0,-90.0,loss,roll,0
2021-07-09,2021-08-20,SPX,42,4349.82,16.97,up,1,4190.0,4000.0,-0.252,-0.123,0.173,0.2205,35,2.75,-1.15,1.6,160.0,-0.28,0.0,1.15,-9.05,-5.0,-5.0,loss,roll,0
2021-07-16,2021-08-27,SPX,42,4365.01,16.42,up,1,4200.0,4015.0,-0.252,-0.126,0.178,0.2225,35,-2.05,-1.5,-3.55,-355.0,-0.63,0.0,1.5,-12.25,-320.0,-320.0,loss,roll,0
2021-07-23,2021-09-03,SPX,42,4382.7,17.21,up,1,4210.0,4010.0,-0.254,-0.125,0.1877,0.2362,35,0.35,-1.1,-0.75,-75.0,-0.23,0.0,1.1,-13.4,-115.0,-115.0,loss,roll,0
2021-07-30,2021-09-10,SPX,42,4406.6,17.89,up,1,4230.0,4030.0,-0.25,-0.123,0.1877,0.2349,35,-1.35,-0.65,-2.0,-200.0,-0.52,0.0,0.65,-15.85,-245.0,-245.0,loss,roll,0
2021-08-06,2021-09-17,SPX,42,4431.13,16.94,up,1,4260.0,4070.0,-0.248,-0.125,0.1788,0.2255,35,-0.95,-2.3,-3.25,-325.0,-0.21,0.0,2.3,-17.45,-160.0,-160.0,loss,roll,0
2021-08-13,2021-09-24,SPX,42,4464.73,15.33,up,1,4300.0,4120.0,-0.246,-0.126,0.1683,0.2135,35,0.0,-3.15,-3.15,-315.0,-0.07,0.0,3.15,-19.75,-230.0,-230.0,loss,roll,0
2021-08-20,2021-10-01,SPX,42,4400.27,21.57,down,0,4300.0,4120.0,-0.338,-0.185,2.289,0.226,35,6.25,-10.25,-4.0,-400.0,-1.77,0.0,10.25,-16.65,310.0,310.0,win,roll,1
2021-08-27,2021-10-08,SPX,42,4484.57,17.59,up,1,4310.0,4110.0,-0.253,-0.123,0.1849,0.2294,35,4.75,0.3,5.05,505.0,-0.36,0.0,-0.3,-22.15,-550.0,-550.0,loss,roll,0
2021-09-03,2021-10-15,SPX,42,4529.59,16.6,up,1,4360.0,4165.0,-0.249,-0.126,0.1739,0.2235,35,1.65,-3.35,-1.7,-170.0,-0.32,0.0,3.35,-20.2,195.0,195.0,win,roll,1
2021-09-10,2021-10-22,SPX,42,4502.2,17.69,down,0,4360.0,4160.0,-0.286,-0.143,0.177,0.2262,35,0.45,-2.7,-2.25,-225.0,-0.92,5.0,2.7,-23.1,-290.0,-290.0,loss,roll,0
2021-09-17,2021-10-29,SPX,42,4451.54,19.5,down,0,4360.0,4160.0,-0.352,-0.18,0.1755,0.2281,35,-0.3,-3.7,-4.0,-400.0,-2.04,0.0,3.7,-26.1,-300.0,-300.0,loss,roll,0
2021-09-24,2021-11-05,SPX,42,4452.18,18.68,up,1,4260.0,4060.0,-0.248,-0.126,0.2011,0.2467,35,-2.1,-1.85,-3.95,-395.0,-2.02,0.0,1.85,-31.9,-580.0,-580.0,loss,roll,0
2021-10-01,2021-11-12,SPX,42,4309.7,22.91,down,0,4260.0,4060.0,-0.42,-0.231,0.9878,0.2537,35,-0.85,-5.35,-6.2,-620.0,-5.16,0.0,5.35,-34.6,-270.0,-270.0,loss,roll,0
2021-10-08,2021-11-19,SPX,42,4398.49,18.92,up,1,4205.0,4005.0,-0.249,-0.124,0.2068,0.2482,35,-4.55,0.65,-3.9,-390.0,-3.2,0.0,-0.65,-44.5,-990.0,-990.0,loss,roll,0
2021-10-15,2021-11-26,SPX,42,4465.65,15.9,up,1,4305.0,4130.0,-0.25,-0.126,0.1669,0.2071,35,-1.9,-1.35,-3.25,-325.0,-1.73,0.0,1.35,-45.75,-125.0,-125.0,loss,roll,0
2021-10-22,2021-12-03,SPX,42,4552.15,15.06,up,1,4390.0,4210.0,-0.25,-0.127,0.1654,0.2079,35,0.4,-2.2,-1.8,-180.0,-0.06,0.0,2.2,-46.7,-95.0,-95.0,loss,roll,0
2021-10-29,2021-12-10,SPX,42,4585.1,17.06,up,1,4400.0,4210.0,-0.246,-0.127,0.1851,0.2285,35,1.5,-2.9,-1.4,-140.0,-0.29,0.0,2.9,-47.4,-70.0,-70.0,loss,roll,0
2021-11-05,2021-12-17,SPX,42,4713.96,15.07,up,1,4550.0,4360.0,-0.251,-0.124,0.162,0.2056,35,0.65,-1.55,-0.9,-90.0,-0.01,0.0,1.55,-49.65,-225.0,-225.0,loss,roll,0
2021-11-12,2021-12-23,SPX,41,4653.64,17.08,down,0,4550.0,4360.0,-0.332,-0.165,2.4358,0.2072,34,-2.5,-0.45,-2.95,-295.0,-1.37,0.0,0.45,-53.7,-405.0,-405.0,loss,roll,0
2021-11-19,2021-12-31,SPX,42,4710.65,17.87,up,1,4525.0,4315.0,-0.249,-0.125,0.1836,0.2325,35,1.15,-2.25,-1.1,-110.0,-0.16,0.0,2.25,-53.0,70.0,70.0,win,roll,1
2021-11-26,2022-01-07,SPX,42,4624.37,25.77,down,0,4525.0,4310.0,-0.371,-0.208,0.2193,0.2703,35,7.8,-11.35,-3.55,-355.0,-2.49,5.0,11.35,-47.45,555.0,555.0,win,roll,1
2021-12-03,2022-01-14,SPX,42,4577.1,28.99,down,0,4525.0,4310.0,-0.427,-0.256,0.2338,0.2919,35,13.3,-22.65,-9.35,-935.0,-3.49,0.0,22.65,-45.5,195.0,195.0,win,roll,1
2021-12-10,2022-01-21,SPX,42,4687.31,20.18,up,1,4485.0,4270.0,-0.249,-0.125,0.2022,0.2485,35,-1.9,-1.4,-3.3,-330.0,-1.16,0.0,1.4,-70.05,-2455.0,-2455.0,loss,roll,0
2021-12-17,2022-01-28,SPX,42,4624.26,22.2,down,0,4485.0,4270.0,-0.323,-0.169,2.4934,0.2571,35,-2.75,-2.8,-5.55,-555.0,-2.49,0.0,2.8,-74.2,-415.0,-415.0,loss,roll,0
2021-12-31,2022-02-11,SPX,42,4775.22,17.72,up,1,4590.0,4380.0,-0.252,-0.123,0.1827,0.227,35,-1.6,-0.05,-1.65,-165.0,-0.69,0.0,0.05,-78.6,-440.0,-440.0,loss,roll,0
2022-01-07,2022-02-18,SPX,42,4703.29,19.15,down,0,4590.0,4380.0,-0.339,-0.171,0.1869,0.2306,35,-4.75,-0.05,-4.8,-480.0,-2.37,0.0,0.05,-83.4,-480.0,-480.0,loss,roll,0
2022-01-14,2022-02-25,SPX,42,4659.03,20.24,down,0,4590.0,4375.0,-0.394,-0.201,0.1855,0.2317,35,-6.0,1.75,-4.25,-425.0,-3.29,5.0,-1.75,-89.45,-605.0,-605.0,loss,roll,0
2022-01-21,2022-03-04,SPX,42,4450.74,27.11,down,0,4590.0,4375.0,-0.659,-0.4,0.2043,1.2562,35,2.5,-16.6,-14.1,-1410.0,-7.62,0.0,16.6,-85.2,425.0,425.0,win,roll,1
2022-01-28,2022-03-11,SPX,42,4297.45,31.85,down,0,4590.0,4375.0,-0.815,-0.565,0.2083,0.2546,35,38.0,-54.7,-16.7,-1670.0,-10.8,0.0,54.7,-63.8,2140.0,2140.0,win,roll,1
2022-02-04,2022-03-18,SPX,42,4484.16,24.54,up,1,4235.0,3990.0,-0.249,-0.124,0.2665,0.3127,35,-3.55,1.45,-2.1,-210.0,-6.92,0.0,-1.45,-122.05,-5825.0,-5825.0,loss,roll,0
2022-02-11,2022-03-25,SPX,42,4503.19,24.25,up,1,4260.0,4000.0,-0.253,-0.123,0.2635,0.3161,35,-4.0,2.7,-1.3,-130.0,-6.53,0.0,-2.7,-124.6,-255.0,-255.0,loss,roll,0
2022-02-18,2022-04-01,SPX,42,4392.71,27.85,down,0,4260.0,4000.0,-0.348,-0.177,0.2622,0.3169,35,-7.8,2.2,-5.6,-560.0,-8.82,0.0,-2.2,-129.7,-510.0,-510.0,loss,roll,0
2022-02-25,2022-04-08,SPX,42,4288.7,29.85,down,0,4260.0,4000.0,-0.451,-0.235,0.2347,0.3067,35,-11.4,1.75,-9.65,-965.0,-10.98,0.0,-1.75,-138.9,-920.0,-920.0,loss,roll,0
2022-03-04,2022-04-14,SPX,41,4363.49,32.94,up,1,4055.0,3770.0,-0.249,-0.125,0.3546,0.4032,34,-1.4,4.35,2.95,295.0,-9.43,0.0,-4.35,-138.55,35.0,35.0,win,roll,1
2022-03-11,2022-04-22,SPX,42,4274.69,29.79,down,0,4050.0,3775.0,-0.281,-0.131,0.3001,0.3453,35,-15.6,9.8,-5.8,-580.0,-11.27,5.0,-9.8,-149.8,-1125.0,-1125.0,loss,roll,0
2022-03-18,2022-04-29,SPX,42,4407.41,25.55,up,1,4165.0,3925.0,-0.25,-0.125,0.2653,0.3111,35,-6.6,1.8,-4.8,-480.0,-8.52,0.0,-1.8,-146.6,320.0,320.0,win,roll,1
2022-03-25,2022-05-06,SPX,42,4525.13,21.59,up,1,4300.0,4080.0,-0.246,-0.123,0.2325,0.2741,35,-3.85,1.5,-2.35,-235.0,-6.07,0.0,-1.5,-148.65,-205.0,-205.0,loss,roll,0
2022-04-01,2022-05-13,SPX,42,4537.52,20.2,up,1,4330.0,4125.0,-0.252,-0.126,0.2182,0.2548,35,-6.2,2.0,-4.2,-420.0,-5.82,0.0,-2.0,-153.35,-470.0,-470.0,loss,roll,0
