date,trade_date,spot,pnl_usd,cumulative_pnl,mtm_pnl
2021-06-04,2021-06-04,4217.1,0.0,0.0,0.0
2021-06-11,2021-06-11,4243.32,-430.0,-430.0,-430.0
2021-06-18,2021-06-18,4188.86,260.0,-170.0,-170.0
2021-06-25,2021-06-25,4274.57,-1170.0,-1340.0,-1340.0
2021-07-02,2021-07-02,4333.06,-450.0,-1790.0,-1789.9999999999998
2021-07-09,2021-07-09,4349.82,5.0,-1785.0,-1785.0000000000002
2021-07-16,2021-07-16,4365.01,-460.0,-2245.0,-2245.0
2021-07-23,2021-07-23,4382.7,-225.0,-2470.0,-2470.0
2021-07-30,2021-07-30,4406.6,-405.0,-2875.0,-2875.0
2021-08-06,2021-08-06,4431.13,-480.0,-3355.0,-3354.9999999999995
2021-08-13,2021-08-13,4464.73,-500.0,-3855.0,-3854.9999999999995
2021-08-20,2021-08-20,4400.27,540.0,-3315.0,-3315.0
2021-08-27,2021-08-27,4484.57,-1020.0,-4335.0,-4335.0
2021-09-03,2021-09-03,4529.59,-5.0,-4340.0,-4340.0
2021-09-10,2021-09-10,4502.2,-170.0,-4510.0,-4510.0
2021-09-17,2021-09-17,4451.54,-70.0,-4580.0,-4580.0
2021-09-24,2021-09-24,4452.18,-720.0,-5300.0,-5300.0
2021-10-01,2021-10-01,4309.7,590.0,-4710.0,-4710.0
2021-10-08,2021-10-08,4398.49,-1830.0,-6540.0,-6540.000000000001
2021-10-15,2021-10-15,4465.65,-685.0,-7225.0,-7225.0
2021-10-22,2021-10-22,4552.15,-415.0,-7640.0,-7640.000000000001
2021-10-29,2021-10-29,4585.1,-150.0,-7790.0,-7790.000000000001
2021-11-05,2021-11-05,4713.96,-735.0,-8525.0,-8525.0
2021-11-12,2021-11-12,4653.64,-95.0,-8620.0,-8620.0
2021-11-19,2021-11-19,4710.65,-300.0,-8920.0,-8920.0
2021-11-26,2021-11-26,4624.37,1305.0,-7615.0,-7615.000000000001
2021-12-03,2021-12-03,4577.1,665.0,-6950.0,-6950.0
2021-12-10,2021-12-10,4687.31,-3795.0,-10745.0,-10745.0
2021-12-17,2021-12-17,4624.26,-115.0,-10860.0,-10860.0
2021-12-31,2021-12-31,4775.22,-1460.0,-12320.0,-12320.0
2022-01-07,2022-01-07,4703.29,-110.0,-12430.0,-12430.0
2022-01-14,2022-01-14,4659.03,-345.0,-12775.0,-12775.0
2022-01-21,2022-01-21,4450.74,2905.0,-9870.0,-9870.0
2022-01-28,2022-01-28,4297.45,4620.0,-5250.0,-5250.0
2022-02-04,2022-02-04,4484.16,-8295.0,-13545.0,-13544.999999999998
2022-02-11,2022-02-11,4503.19,-475.0,-14020.0,-14019.999999999998
2022-02-18,2022-02-18,4392.71,160.0,-13860.0,-13860.0
2022-02-25,2022-02-25,4288.7,-250.0,-14110.0,-14110.0
2022-03-04,2022-03-04,4363.49,-85.0,-14195.0,-14194.999999999998
2022-03-11,2022-03-11,4274.69,-1205.0,-15400.0,-15400.0
2022-03-18,2022-03-18,4407.41,-520.0,-15920.0,-15919.999999999998
2022-03-25,2022-03-25,4525.13,-885.0,-16805.0,-16805.0
2022-04-01,2022-04-01,4537.52,-780.0,-17585.0,-17585.0
2022-04-08,2022-04-08,4476.48,-5.0,-17590.0,-17590.0
2022-04-22,2022-04-22,4355.15,-855.0,-18445.0,-18445.0
2022-04-29,2022-04-29,4267.85,1350.0,-17095.0,-17095.0
2022-05-06,2022-05-06,4146.87,5545.0,-11550.0,-11550.0
2022-05-13,2022-05-13,3993.95,0.0,-11550.0,-11550.0
2022-05-20,2022-05-20,3933.8,840.0,-10710.0,-10710.0
2022-05-27,2022-05-27,4115.44,-10105.0,-20815.0,-20815.0
2022-06-03,2022-06-03,4134.22,-495.0,-21310.0,-21310.0
2022-06-10,2022-06-10,3935.06,525.0,-20785.0,-20785.0
2022-06-17,2022-06-17,3698.69,3395.0,-17390.0,-17390.0
2022-06-24,2022-06-24,3852.1,-4880.0,-22270.0,-22270.0
2022-07-01,2022-07-01,3800.64,-640.0,-22910.0,-22910.0
2022-07-08,2022-07-08,3874.9,-835.0,-23745.0,-23745.0
2022-07-15,2022-07-15,3826.81,-665.0,-24410.0,-24410.0
2022-07-22,2022-07-22,3991.17,-400.0,-24810.0,-24810.0
2022-07-29,2022-07-29,4102.69,-720.0,-25530.0,-25530.0
2022-08-05,2022-08-05,4131.1,-415.0,-25945.0,-25945.0
2022-08-12,2022-08-12,4234.43,-565.0,-26510.0,-26510.000000000004
2022-08-19,2022-08-19,4237.6,-620.0,-27130.0,-27130.0
2022-08-26,2022-08-26,4197.3,-315.0,-27445.0,-27445.0
2022-09-02,2022-09-02,3983.57,1205.0,-26240.0,-26239.999999999996
2022-09-09,2022-09-09,4045.35,-1995.0,-28235.0,-28235.000000000004
2022-09-16,2022-09-16,3840.48,1925.0,-26310.0,-26310.000000000004
2022-09-23,2022-09-23,3691.77,1825.0,-24485.0,-24485.0
2022-09-30,2022-09-30,3643.29,485.0,-24000.0,-24000.0
2022-10-07,2022-10-07,3667.11,-1895.0,-25895.0,-25895.0
2022-10-14,2022-10-14,3677.16,-690.0,-26585.0,-26585.000000000004
2022-10-21,2022-10-21,3700.91,-675.0,-27260.0,-27260.000000000004
2022-10-28,2022-10-28,3835.58,-640.0,-27900.0,-27900.0
2022-11-04,2022-11-04,3759.4,-830.0,-28730.0,-28730.0
2022-11-11,2022-11-11,3959.27,-415.0,-29145.0,-29145.0
2022-11-18,2022-11-18,3962.7,-475.0,-29620.0,-29620.0
2022-11-25,2022-11-25,4029.54,-535.0,-30155.0,-30155.0
2022-12-02,2022-12-02,4033.69,-665.0,-30820.0,-30820.0
2022-12-09,2022-12-09,3957.58,305.0,-30515.0,-30514.999999999996
2022-12-16,2022-12-16,3876.13,-650.0,-31165.0,-31164.999999999996
2022-12-23,2022-12-23,3799.89,245.0,-30920.0,-30920.0
2022-12-30,2022-12-30,3818.57,-1235.0,-32155.0,-32155.0
2023-01-06,2023-01-06,3821.08,-490.0,-32645.0,-32645.0
2023-01-13,2023-01-13,3961.6,-315.0,-32960.0,-32960.0
2023-01-20,2023-01-20,3910.21,-5.0,-32965.0,-32965.0
2023-01-27,2023-01-27,4061.85,-655.0,-33620.0,-33620.0
2023-02-03,2023-02-03,4149.73,-180.0,-33800.0,-33800.0
2023-02-10,2023-02-10,4073.56,60.0,-33740.0,-33740.0
2023-02-17,2023-02-17,4054.66,-670.0,-34410.0,-34410.0
2023-02-24,2023-02-24,3951.24,295.0,-34115.0,-34115.0
2023-03-03,2023-03-03,4009.72,-2240.0,-36355.0,-36355.0
2023-03-10,2023-03-10,3894.8,1130.0,-35225.0,-35225.0
2023-03-17,2023-03-17,3942.35,-440.0,-35665.0,-35665.0
2023-03-24,2023-03-24,3931.04,-360.0,-36025.0,-36025.0
2023-03-31,2023-03-31,4070.21,-1000.0,-37025.0,-37025.0
2023-04-14,2023-04-14,4160.54,-690.0,-37715.0,-37715.0
2023-04-21,2023-04-21,4121.67,-55.0,-37770.0,-37770.0
2023-04-28,2023-04-28,4136.61,-630.0,-38400.0,-38400.0
2023-05-05,2023-05-05,4111.5,20.0,-38380.0,-38380.0
2023-05-12,2023-05-12,4139.03,-900.0,-39280.0,-39280.0
2023-05-19,2023-05-19,4211.3,-460.0,-39740.0,-39740.0
2023-05-26,2023-05-26,4175.04,230.0,-39510.0,-39510.0
2023-06-02,2023-06-02,4246.63,-1045.0,-40555.0,-40555.0
2023-06-09,2023-06-09,4312.0,-450.0,-41005.0,-41005.0
2023-06-16,2023-06-16,4429.61,-335.0,-41340.0,-41340.0
2023-06-23,2023-06-23,4349.71,-330.0,-41670.0,-41670.0
2023-06-30,2023-06-30,4438.96,-530.0,-42200.0,-42200.0
2023-07-07,2023-07-07,4415.42,-35.0,-42235.0,-42235.0
2023-07-14,2023-07-14,4523.78,-580.0,-42815.0,-42815.0
2023-07-21,2023-07-21,4541.96,-350.0,-43165.0,-43165.0
2023-07-28,2023-07-28,4574.03,-220.0,-43385.0,-43385.0
2023-08-04,2023-08-04,4514.98,75.0,-43310.0,-43310.0
2023-08-11,2023-08-11,4451.3,230.0,-43080.0,-43080.0
2023-08-18,2023-08-18,4348.8,1700.0,-41380.0,-41380.0
2023-08-25,2023-08-25,4396.18,-2315.0,-43695.0,-43695.0
2023-09-01,2023-09-01,4527.51,-520.0,-44215.0,-44215.0
2023-09-08,2023-09-08,4460.79,-105.0,-44320.0,-44320.0
2023-09-15,2023-09-15,4481.34,-695.0,-45015.0,-45015.0
2023-09-22,2023-09-22,4340.84,1140.0,-43875.0,-43875.0
2023-09-29,2023-09-29,4329.62,-735.0,-44610.0,-44610.0
2023-10-06,2023-10-06,4232.28,2360.0,-42250.0,-42250.0
2023-10-13,2023-10-13,4371.99,-3925.0,-46175.0,-46175.0
2023-10-20,2023-10-20,4263.29,795.0,-45380.0,-45380.0
2023-10-27,2023-10-27,4143.54,-65.0,-45445.0,-45445.0
2023-11-03,2023-11-03,4358.24,-2765.0,-48210.0,-48210.0
2023-11-10,2023-11-10,4367.13,-380.0,-48590.0,-48590.0
2023-11-17,2023-11-17,4508.14,-230.0,-48820.0,-48820.0
2023-11-24,2023-11-24,4558.61,-255.0,-49075.0,-49075.0
2023-12-01,2023-12-01,4563.52,-250.0,-49325.0,-49325.0
2023-12-08,2023-12-08,4584.37,-325.0,-49650.0,-49650.0
2023-12-15,2023-12-15,4711.31,-260.0,-49910.0,-49910.0
2023-12-22,2023-12-22,4768.16,0.0,-49910.0,-49910.0
2023-12-29,2023-12-29,4785.93,-500.0,-50410.0,-50410.0
2024-01-05,2024-01-05,4699.58,-240.0,-50650.0,-50650.0
2024-01-12,2024-01-12,4787.74,-605.0,-51255.0,-51254.99999999999
2024-01-19,2024-01-19,4794.54,-55.0,-51310.0,-51310.0
2024-01-26,2024-01-26,4892.54,-280.0,-51590.0,-51590.0
