trade_date,calendar_date,dte_remaining,pnl_usd
2021-06-04,2021-06-04,105,0.0
2021-06-04,2021-09-17,0,-190.0
2021-06-11,2021-06-11,98,0.0
2021-06-11,2021-09-17,0,65.0
2021-06-18,2021-06-18,91,0.0
2021-06-18,2021-09-17,0,-405.0
2021-06-25,2021-06-25,84,0.0
2021-06-25,2021-09-17,0,-110.0
2021-07-02,2021-07-02,105,0.0
2021-07-02,2021-10-15,0,15.0
2021-07-09,2021-07-09,98,0.0
2021-07-09,2021-10-15,0,-100.0
2021-07-16,2021-07-16,105,0.0
2021-07-16,2021-10-29,0,-215.0
2021-07-23,2021-07-23,98,0.0
2021-07-23,2021-10-29,0,-125.0
2021-07-30,2021-07-30,91,0.0
2021-07-30,2021-10-29,0,-65.0
2021-08-06,2021-08-06,105,0.0
2021-08-06,2021-11-19,0,-165.0
2021-08-13,2021-08-13,98,0.0
2021-08-13,2021-11-19,0,-175.0
2021-08-20,2021-08-20,91,0.0
2021-08-20,2021-11-19,0,-160.0
2021-08-27,2021-08-27,84,0.0
2021-08-27,2021-11-19,0,-470.0
2021-09-03,2021-09-03,105,0.0
2021-09-03,2021-12-17,0,175.0
2021-09-10,2021-09-10,98,0.0
2021-09-10,2021-12-17,0,-100.0
2021-09-17,2021-09-17,105,0.0
2021-09-17,2021-12-31,0,-160.0
2021-09-24,2021-09-24,98,0.0
2021-09-24,2021-12-31,0,-140.0
2021-10-01,2021-10-01,91,0.0
2021-10-01,2021-12-31,0,5225.0
2021-10-08,2021-10-08,105,0.0
2021-10-08,2022-01-21,0,-245.0
2021-10-15,2021-10-15,98,0.0
2021-10-15,2022-01-21,0,-110.0
2021-10-22,2021-10-22,91,0.0
2021-10-22,2022-01-21,0,2495.0
2021-10-29,2021-10-29,84,0.0
2021-10-29,2022-01-21,0,2340.0
2021-11-05,2021-11-05,105,0.0
2021-11-05,2022-02-18,0,15003.0
2021-11-12,2021-11-12,98,0.0
2021-11-12,2022-02-18,0,8983.0
2021-11-19,2021-11-19,91,0.0
2021-11-19,2022-02-18,0,14958.0
2021-11-26,2021-11-26,84,0.0
2021-11-26,2022-02-18,0,9198.0
2021-12-03,2021-12-03,105,0.0
2021-12-03,2022-03-18,0,-570.0
2021-12-10,2021-12-10,98,0.0
2021-12-10,2022-03-18,0,-330.0
2021-12-17,2021-12-17,91,0.0
2021-12-17,2022-03-18,0,-385.0
2021-12-31,2021-12-31,77,0.0
2021-12-31,2022-03-18,0,1255.0
2022-01-07,2022-01-07,70,0.0
2022-01-07,2022-03-18,0,1540.0
2022-01-14,2022-01-14,105,0.0
2022-01-14,2022-04-29,0,26027.0
2022-01-21,2022-01-21,98,0.0
2022-01-21,2022-04-29,0,5218.0
2022-02-04,2022-02-04,105,0.0
2022-02-04,2022-05-20,0,26235.0
2022-02-11,2022-02-11,98,0.0
2022-02-11,2022-05-20,0,20180.0
2022-02-18,2022-02-18,91,0.0
2022-02-18,2022-05-20,0,25800.0
2022-02-25,2022-02-25,84,0.0
2022-02-25,2022-05-20,0,7560.0
2022-03-04,2022-03-04,105,0.0
2022-03-04,2022-06-17,0,25843.0
2022-03-11,2022-03-11,98,0.0
2022-03-11,2022-06-17,0,23643.0
2022-03-18,2022-03-18,91,0.0
2022-03-18,2022-06-17,0,-19617.0
2022-04-01,2022-04-01,105,0.0
2022-04-01,2022-07-15,0,10796.0
2022-04-08,2022-04-08,98,0.0
2022-04-08,2022-07-15,0,16161.0
2022-04-22,2022-04-22,98,0.0
2022-04-22,2022-07-29,0,-695.0
2022-04-29,2022-04-29,91,0.0
2022-04-29,2022-07-29,0,-615.0
2022-05-06,2022-05-06,105,0.0
2022-05-06,2022-08-19,0,-1005.0
2022-05-13,2022-05-13,98,0.0
2022-05-13,2022-08-19,0,-920.0
2022-05-20,2022-05-20,91,0.0
2022-05-20,2022-08-19,0,-1185.0
2022-05-27,2022-05-27,84,0.0
2022-05-27,2022-08-19,0,4390.0
2022-06-03,2022-06-03,105,0.0
2022-06-03,2022-09-16,0,424.0
2022-06-10,2022-06-10,98,0.0
2022-06-10,2022-09-16,0,-1020.0
2022-06-17,2022-06-17,105,0.0
2022-06-17,2022-09-30,0,-910.0
2022-06-24,2022-06-24,98,0.0
2022-06-24,2022-09-30,0,2310.0
2022-07-01,2022-07-01,91,0.0
2022-07-01,2022-09-30,0,2325.0
2022-07-08,2022-07-08,105,0.0
2022-07-08,2022-10-21,0,-740.0
2022-07-15,2022-07-15,98,0.0
2022-07-15,2022-10-21,0,-1045.0
2022-07-22,2022-07-22,91,0.0
2022-07-22,2022-10-21,0,4650.0
2022-08-05,2022-08-05,105,0.0
2022-08-05,2022-11-18,0,-485.0
2022-08-12,2022-08-12,98,0.0
2022-08-12,2022-11-18,0,5188.0
2022-08-19,2022-08-19,91,0.0
2022-08-19,2022-11-18,0,4953.0
2022-08-26,2022-08-26,84,0.0
2022-08-26,2022-11-18,0,4388.0
2022-09-02,2022-09-02,105,0.0
2022-09-02,2022-12-16,0,-525.0
2022-09-09,2022-09-09,98,0.0
2022-09-09,2022-12-16,0,-840.0
2022-09-16,2022-09-16,105,0.0
2022-09-16,2022-12-30,0,-855.0
2022-09-23,2022-09-23,98,0.0
2022-09-23,2022-12-30,0,-1065.0
2022-09-30,2022-09-30,91,0.0
2022-09-30,2022-12-30,0,-900.0
2022-10-07,2022-10-07,105,0.0
2022-10-07,2023-01-20,0,-755.0
2022-10-14,2022-10-14,98,0.0
2022-10-14,2023-01-20,0,-675.0
2022-10-21,2022-10-21,91,0.0
2022-10-21,2023-01-20,0,-975.0
2022-10-28,2022-10-28,84,0.0
2022-10-28,2023-01-20,0,4680.0
2022-11-04,2022-11-04,105,0.0
2022-11-04,2023-02-17,0,-610.0
2022-11-11,2022-11-11,98,0.0
2022-11-11,2023-02-17,0,-805.0
2022-11-18,2022-11-18,91,0.0
2022-11-18,2023-02-17,0,-490.0
2022-11-25,2022-11-25,84,0.0
2022-11-25,2023-02-17,0,-510.0
2022-12-02,2022-12-02,105,0.0
2022-12-02,2023-03-17,0,-810.0
2022-12-09,2022-12-09,98,0.0
2022-12-09,2023-03-17,0,-80.0
2022-12-16,2022-12-16,105,0.0
2022-12-16,2023-03-31,0,-965.0
2022-12-23,2022-12-23,98,0.0
2022-12-23,2023-03-31,0,-1070.0
2022-12-30,2022-12-30,91,0.0
2022-12-30,2023-03-31,0,850.0
2023-01-06,2023-01-06,105,0.0
2023-01-06,2023-04-21,0,-785.0
2023-01-13,2023-01-13,98,0.0
2023-01-13,2023-04-21,0,-865.0
2023-01-20,2023-01-20,98,0.0
2023-01-20,2023-04-28,0,-480.0
2023-02-03,2023-02-03,105,0.0
2023-02-03,2023-05-19,0,-425.0
2023-02-10,2023-02-10,98,0.0
