trade_date,exp_date,underlying,dte_entry,structure,spot_entry,spot_exit,put_upper,put_center,put_lower,total_credit,entry_cons,entry_spread,vix_entry,iv_atm_pct,em_pct,expected_move,pnl_usd,max_risk_usd,result,exit_method,mfe,mae,pnl_exit90,pnl_exit75,pnl_exit60,pnl_exit45,pnl_exit30,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3,pnl_tp25,pnl_tp50,pnl_tp75,pnl_tp100,pnl_tp25_exit90,pnl_tp25_exit75,pnl_tp25_exit60,pnl_tp25_exit45,pnl_tp25_exit30,pnl_tp25_exit21,pnl_tp25_exit14,pnl_tp25_exit10,pnl_tp25_exit7,pnl_tp25_exit5,pnl_tp25_exit3,pnl_tp50_exit90,pnl_tp50_exit75,pnl_tp50_exit60,pnl_tp50_exit45,pnl_tp50_exit30,pnl_tp50_exit21,pnl_tp50_exit14,pnl_tp50_exit10,pnl_tp50_exit7,pnl_tp50_exit5,pnl_tp50_exit3,pnl_tp75_exit90,pnl_tp75_exit75,pnl_tp75_exit60,pnl_tp75_exit45,pnl_tp75_exit30,pnl_tp75_exit21,pnl_tp75_exit14,pnl_tp75_exit10,pnl_tp75_exit7,pnl_tp75_exit5,pnl_tp75_exit3,pnl_tp100_exit90,pnl_tp100_exit75,pnl_tp100_exit60,pnl_tp100_exit45,pnl_tp100_exit30,pnl_tp100_exit21,pnl_tp100_exit14,pnl_tp100_exit10,pnl_tp100_exit7,pnl_tp100_exit5,pnl_tp100_exit3
2021-06-04,2021-09-17,SPX,105,BWB 1-2-2 puts (+1/-2/+2),4217.1,4433.19,4020,3790,2930,190.0,280.0,90.0,16.65,16.65,8.93,376.6,-190.0,63280.0,LOSS,expiration,490,-225,110.0,250.0,435.0,310.0,20.0,-120.0,-167.5,-155.0,-180.0,-155.0,-170.0,-190.0,-190.0,-190.0,-190.0,110.0,250.0,435.0,310.0,20.0,-120.0,-167.5,-155.0,-180.0,-155.0,-170.0,110.0,250.0,435.0,310.0,20.0,-120.0,-167.5,-155.0,-180.0,-155.0,-170.0,110.0,250.0,435.0,310.0,20.0,-120.0,-167.5,-155.0,-180.0,-155.0,-170.0,110.0,250.0,435.0,310.0,20.0,-120.0,-167.5,-155.0,-180.0,-155.0,-170.0
2021-06-11,2021-09-17,SPX,98,BWB 1-2-2 puts (+1/-2/+2),4243.32,4433.19,4060,3860,3060,-65.0,580.0,645.0,15.43,15.43,8.0,339.3,65.0,60580.0,WIN,expiration,435,-230,-230.0,305.0,285.0,390.0,230.0,135.0,70.0,75.0,70.0,80.0,65.0,65.0,65.0,65.0,65.0,-230.0,305.0,285.0,390.0,230.0,135.0,70.0,75.0,70.0,80.0,65.0,-230.0,305.0,285.0,390.0,230.0,135.0,70.0,75.0,70.0,80.0,65.0,-230.0,305.0,285.0,390.0,230.0,135.0,70.0,75.0,70.0,80.0,65.0,-230.0,305.0,285.0,390.0,230.0,135.0,70.0,75.0,70.0,80.0,65.0
2021-06-18,2021-09-17,SPX,91,BWB 1-2-2 puts (+1/-2/+2),4188.86,4433.19,4020,3790,2930,405.0,560.0,155.0,19.52,19.52,9.75,408.3,-405.0,63560.0,LOSS,expiration,275,-440,-105.0,35.0,220.0,95.0,-195.0,-335.0,-382.5,-370.0,-395.0,-370.0,-385.0,-405.0,-405.0,-405.0,-405.0,-105.0,35.0,220.0,95.0,-195.0,-335.0,-382.5,-370.0,-395.0,-370.0,-385.0,-105.0,35.0,220.0,95.0,-195.0,-335.0,-382.5,-370.0,-395.0,-370.0,-385.0,-105.0,35.0,220.0,95.0,-195.0,-335.0,-382.5,-370.0,-395.0,-370.0,-385.0,-105.0,35.0,220.0,95.0,-195.0,-335.0,-382.5,-370.0,-395.0,-370.0,-385.0
2021-06-25,2021-09-17,SPX,84,BWB 1-2-2 puts (+1/-2/+2),4274.57,4433.19,4060,3860,3060,110.0,210.0,100.0,15.71,15.71,7.54,322.2,-110.0,60210.0,LOSS,expiration,260,-195,5.0,130.0,110.0,215.0,55.0,-40.0,-105.0,-100.0,-105.0,-95.0,-110.0,-110.0,-110.0,-110.0,-110.0,5.0,130.0,110.0,215.0,55.0,-40.0,-105.0,-100.0,-105.0,-95.0,-110.0,5.0,130.0,110.0,215.0,55.0,-40.0,-105.0,-100.0,-105.0,-95.0,-110.0,5.0,130.0,110.0,215.0,55.0,-40.0,-105.0,-100.0,-105.0,-95.0,-110.0,5.0,130.0,110.0,215.0,55.0,-40.0,-105.0,-100.0,-105.0,-95.0,-110.0
2021-07-02,2021-10-15,SPX,105,BWB 1-2-2 puts (+1/-2/+2),4333.06,4471.01,4140,3930,3100,-15.0,100.0,115.0,14.52,14.52,7.79,337.5,15.0,62100.0,WIN,expiration,1400,-785,-500.0,75.0,230.0,140.0,340.0,360.0,1395.0,875.0,147.5,60.0,97.5,15.0,15.0,15.0,15.0,-500.0,75.0,230.0,140.0,340.0,360.0,1395.0,875.0,147.5,60.0,97.5,-500.0,75.0,230.0,140.0,340.0,360.0,1395.0,875.0,147.5,60.0,97.5,-500.0,75.0,230.0,140.0,340.0,360.0,1395.0,875.0,147.5,60.0,97.5,-500.0,75.0,230.0,140.0,340.0,360.0,1395.0,875.0,147.5,60.0,97.5
2021-07-09,2021-10-15,SPX,98,BWB 1-2-2 puts (+1/-2/+2),4349.82,4471.01,4150,3930,3075,100.0,200.0,100.0,16.97,16.97,8.79,382.5,-100.0,63700.0,LOSS,expiration,1455,-825,-470.0,70.0,190.0,60.0,290.0,290.0,1445.0,875.0,57.5,-40.0,0.0,-100.0,-100.0,-100.0,-100.0,-470.0,70.0,190.0,60.0,290.0,290.0,1445.0,875.0,57.5,-40.0,0.0,-470.0,70.0,190.0,60.0,290.0,290.0,1445.0,875.0,57.5,-40.0,0.0,-470.0,70.0,190.0,60.0,290.0,290.0,1445.0,875.0,57.5,-40.0,0.0,-470.0,70.0,190.0,60.0,290.0,290.0,1445.0,875.0,57.5,-40.0,0.0
2021-07-16,2021-10-29,SPX,105,BWB 1-2-2 puts (+1/-2/+2),4365.01,4604.75,4160,3925,3050,215.0,1140.0,925.0,16.42,16.42,8.81,384.4,-215.0,65140.0,LOSS,expiration,1705,-545,-20.0,105.0,25.0,125.0,870.0,750.0,45.0,-120.0,-190.0,-192.5,-205.0,-215.0,-215.0,-215.0,-215.0,-20.0,105.0,25.0,125.0,870.0,750.0,45.0,-120.0,-190.0,-192.5,-205.0,-20.0,105.0,25.0,125.0,870.0,750.0,45.0,-120.0,-190.0,-192.5,-205.0,-20.0,105.0,25.0,125.0,870.0,750.0,45.0,-120.0,-190.0,-192.5,-205.0,-20.0,105.0,25.0,125.0,870.0,750.0,45.0,-120.0,-190.0,-192.5,-205.0
2021-07-23,2021-10-29,SPX,98,BWB 1-2-2 puts (+1/-2/+2),4382.7,4604.75,4180,3950,3100,125.0,230.0,105.0,17.21,17.21,8.92,390.8,-125.0,62230.0,LOSS,expiration,1865,-127.5,170.0,185.0,140.0,240.0,1000.0,905.0,180.0,-10.0,-105.0,-105.0,-115.0,-125.0,-125.0,-125.0,-125.0,170.0,185.0,140.0,240.0,1000.0,905.0,180.0,-10.0,-105.0,-105.0,-115.0,170.0,185.0,140.0,240.0,1000.0,905.0,180.0,-10.0,-105.0,-105.0,-115.0,170.0,185.0,140.0,240.0,1000.0,905.0,180.0,-10.0,-105.0,-105.0,-115.0,170.0,185.0,140.0,240.0,1000.0,905.0,180.0,-10.0,-105.0,-105.0,-115.0
2021-07-30,2021-10-29,SPX,91,BWB 1-2-2 puts (+1/-2/+2),4406.6,4604.75,4180,3950,3100,65.0,1510.0,1445.0,17.89,17.89,8.93,393.6,-65.0,63510.0,LOSS,expiration,1925,-67.5,230.0,245.0,200.0,300.0,1060.0,965.0,240.0,50.0,-45.0,-45.0,-55.0,-65.0,-65.0,-65.0,-65.0,230.0,245.0,200.0,300.0,1060.0,965.0,240.0,50.0,-45.0,-45.0,-55.0,230.0,245.0,200.0,300.0,1060.0,965.0,240.0,50.0,-45.0,-45.0,-55.0,230.0,245.0,200.0,300.0,1060.0,965.0,240.0,50.0,-45.0,-45.0,-55.0,230.0,245.0,200.0,300.0,1060.0,965.0,240.0,50.0,-45.0,-45.0,-55.0
2021-08-06,2021-11-19,SPX,105,BWB 1-2-2 puts (+1/-2/+2),4431.13,4697.95,4220,3975,3075,165.0,280.0,115.0,16.94,16.94,9.09,402.6,-165.0,65780.0,LOSS,expiration,1570,-165,80.0,140.0,325.0,1165.0,295.0,65.0,-165.0,-125.0,-150.0,-147.5,-152.5,-165.0,-165.0,-165.0,-165.0,80.0,140.0,325.0,1165.0,295.0,65.0,-165.0,-125.0,-150.0,-147.5,-152.5,80.0,140.0,325.0,1165.0,295.0,65.0,-165.0,-125.0,-150.0,-147.5,-152.5,80.0,140.0,325.0,1165.0,295.0,65.0,-165.0,-125.0,-150.0,-147.5,-152.5,80.0,140.0,325.0,1165.0,295.0,65.0,-165.0,-125.0,-150.0,-147.5,-152.5
