trade_date,exp_date,underlying,dte_entry,structure,spot_entry,spot_exit,put_upper,put_center,put_lower,total_credit,entry_cons,entry_spread,vix_entry,iv_atm_pct,em_pct,expected_move,pnl_usd,max_risk_usd,result,exit_method,mfe,mae,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3,pnl_tp25,pnl_tp50,pnl_tp75,pnl_tp100,pnl_tp25_exit14,pnl_tp25_exit10,pnl_tp25_exit7,pnl_tp25_exit5,pnl_tp25_exit3,pnl_tp50_exit14,pnl_tp50_exit10,pnl_tp50_exit7,pnl_tp50_exit5,pnl_tp50_exit3,pnl_tp75_exit14,pnl_tp75_exit10,pnl_tp75_exit7,pnl_tp75_exit5,pnl_tp75_exit3,pnl_tp100_exit14,pnl_tp100_exit10,pnl_tp100_exit7,pnl_tp100_exit5,pnl_tp100_exit3
2021-06-04,2021-06-25,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4217.1,4280.68,4140,4060,3720,15.0,100.0,85.0,16.65,16.65,3.99,168.4,-15.0,26100.0,LOSS,expiration,615,-20,90.0,130.0,350.0,405.0,185.0,-15.0,-15.0,-15.0,-15.0,90.0,130.0,350.0,405.0,185.0,90.0,130.0,350.0,405.0,185.0,90.0,130.0,350.0,405.0,185.0,90.0,130.0,350.0,405.0,185.0
2021-06-11,2021-07-02,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4243.32,4352.38,4175,4100,3725,-75.0,200.0,275.0,15.43,15.43,3.7,157.0,75.0,30200.0,WIN,expiration,350,-80,60.0,345.0,255.0,137.5,95.0,75.0,75.0,75.0,75.0,60.0,345.0,255.0,137.5,95.0,60.0,345.0,255.0,137.5,95.0,60.0,345.0,255.0,137.5,95.0,60.0,345.0,255.0,137.5,95.0
2021-06-18,2021-07-09,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4188.86,4369.36,4100,4000,3575,230.0,330.0,100.0,19.52,19.52,4.68,196.1,-230.0,32830.0,LOSS,expiration,50,-235,-75.0,-185.0,-225.0,-227.5,-227.5,-230.0,-230.0,-230.0,-230.0,-75.0,-185.0,-225.0,-227.5,-227.5,-75.0,-185.0,-225.0,-227.5,-227.5,-75.0,-185.0,-225.0,-227.5,-227.5,-75.0,-185.0,-225.0,-227.5,-227.5
2021-06-25,2021-07-16,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4274.57,4326.81,4210,4135,3785,30.0,90.0,60.0,15.71,15.71,3.77,161.1,-30.0,27590.0,LOSS,expiration,75,-40,-35.0,-10.0,35.0,-10.0,-10.0,-30.0,-30.0,-30.0,-30.0,-35.0,-10.0,35.0,-10.0,-10.0,-35.0,-10.0,35.0,-10.0,-10.0,-35.0,-10.0,35.0,-10.0,-10.0,-35.0,-10.0,35.0,-10.0,-10.0
2021-07-02,2021-07-23,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4333.06,4411.1,4275,4205,3875,15.0,90.0,75.0,14.52,14.52,3.48,150.9,-15.0,26090.0,LOSS,expiration,615,-205,-205.0,60.0,190.0,425.0,615.0,-15.0,-15.0,-15.0,-15.0,-205.0,60.0,190.0,425.0,615.0,-205.0,60.0,190.0,425.0,615.0,-205.0,60.0,190.0,425.0,615.0,-205.0,60.0,190.0,425.0,615.0
2021-07-09,2021-07-30,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4349.82,4395.97,4270,4185,3805,-65.0,0.0,65.0,16.97,16.97,4.07,177.1,65.0,29500.0,WIN,expiration,330,-450,195.0,190.0,275.0,165.0,155.0,65.0,65.0,65.0,65.0,195.0,190.0,275.0,165.0,155.0,195.0,190.0,275.0,165.0,155.0,195.0,190.0,275.0,165.0,155.0,195.0,190.0,275.0,165.0,155.0
2021-07-16,2021-08-06,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4365.01,4436.2,4285,4205,3850,-75.0,20.0,95.0,16.42,16.42,3.94,171.9,75.0,27520.0,WIN,expiration,420,-870,75.0,215.0,205.0,205.0,420.0,75.0,75.0,75.0,75.0,75.0,215.0,205.0,205.0,420.0,75.0,215.0,205.0,205.0,420.0,75.0,215.0,205.0,205.0,420.0,75.0,215.0,205.0,205.0,420.0
2021-07-23,2021-08-13,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4382.7,4467.97,4305,4215,3850,25.0,90.0,65.0,17.21,17.21,4.13,180.9,-25.0,27590.0,LOSS,expiration,275,-35,100.0,235.0,145.0,75.0,7.5,-25.0,-25.0,-25.0,-25.0,100.0,235.0,145.0,75.0,7.5,100.0,235.0,145.0,75.0,7.5,100.0,235.0,145.0,75.0,7.5,100.0,235.0,145.0,75.0,7.5
2021-07-30,2021-08-20,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4406.6,4400.27,4325,4230,3855,95.0,440.0,345.0,17.89,17.89,4.29,189.1,-95.0,28440.0,LOSS,expiration,280,-230,60.0,90.0,10.0,15.0,5.0,-95.0,-95.0,-95.0,-95.0,60.0,90.0,10.0,15.0,5.0,60.0,90.0,10.0,15.0,5.0,60.0,90.0,10.0,15.0,5.0,60.0,90.0,10.0,15.0,5.0
2021-08-06,2021-08-27,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4431.13,4508.71,4355,4265,3895,40.0,120.0,80.0,16.94,16.94,4.06,180.0,-40.0,28120.0,LOSS,expiration,345,-55,85.0,170.0,345.0,110.0,-5.0,-40.0,-40.0,-40.0,-40.0,85.0,170.0,345.0,110.0,-5.0,85.0,170.0,345.0,110.0,-5.0,85.0,170.0,345.0,110.0,-5.0,85.0,170.0,345.0,110.0,-5.0
2021-08-13,2021-09-03,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4464.73,4535.22,4395,4310,3960,45.0,150.0,105.0,15.33,15.33,3.68,164.2,-45.0,26650.0,LOSS,expiration,230,-110,-55.0,140.0,230.0,7.5,17.5,-45.0,-45.0,-45.0,-45.0,-55.0,140.0,230.0,7.5,17.5,-55.0,140.0,230.0,7.5,17.5,-55.0,140.0,230.0,7.5,17.5,-55.0,140.0,230.0,7.5,17.5
2021-08-20,2021-09-10,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4400.27,4459.16,4310,4210,3770,-140.0,-70.0,70.0,21.57,21.57,5.17,227.7,140.0,33930.0,WIN,expiration,395,-15,235.0,180.0,150.0,145.0,145.0,140.0,140.0,140.0,140.0,235.0,180.0,150.0,145.0,145.0,235.0,180.0,150.0,145.0,145.0,235.0,180.0,150.0,145.0,145.0,235.0,180.0,150.0,145.0,145.0
2021-08-27,2021-09-17,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4484.57,4433.19,4405,4315,3880,365.0,1150.0,785.0,17.59,17.59,4.22,189.2,-365.0,35650.0,LOSS,expiration,270,-405,-325.0,-295.0,-120.0,-30.0,60.0,-365.0,-365.0,-365.0,-365.0,-325.0,-295.0,-120.0,-30.0,60.0,-325.0,-295.0,-120.0,-30.0,60.0,-325.0,-295.0,-120.0,-30.0,60.0,-325.0,-295.0,-120.0,-30.0,60.0
2021-09-03,2021-09-24,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4529.59,4455.58,4455,4365,3940,35.0,1240.0,1205.0,16.6,16.6,3.98,180.4,-35.0,34740.0,LOSS,expiration,3510,-255,-15.0,320.0,590.0,1095.0,1730.0,2140.0,-35.0,-35.0,-35.0,-15.0,320.0,590.0,1095.0,2140.0,-15.0,320.0,590.0,1095.0,1730.0,-15.0,320.0,590.0,1095.0,1730.0,-15.0,320.0,590.0,1095.0,1730.0
2021-09-10,2021-10-01,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4502.2,4355.01,4415,4320,3890,-20.0,70.0,90.0,17.69,17.69,4.24,191.0,6019.0,33570.0,WIN,expiration,7510,-955,225.0,-185.0,560.0,845.0,1845.0,2535.0,4795.0,7230.0,6019.0,225.0,-185.0,560.0,845.0,1845.0,225.0,-185.0,560.0,845.0,1845.0,225.0,-185.0,560.0,845.0,1845.0,225.0,-185.0,560.0,845.0,1845.0
2021-09-17,2021-10-08,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4451.54,4390.96,4355,4250,3810,10.0,130.0,120.0,19.5,19.5,4.68,208.2,-10.0,33630.0,LOSS,expiration,3150,-915,280.0,590.0,1415.0,1820.0,2350.0,3150.0,-10.0,-10.0,-10.0,280.0,590.0,1415.0,1820.0,2350.0,280.0,590.0,1415.0,1820.0,2350.0,280.0,590.0,1415.0,1820.0,2350.0,280.0,590.0,1415.0,1820.0,2350.0
2021-09-24,2021-10-15,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4452.18,4471.01,4360,4260,3860,30.0,140.0,110.0,18.68,18.68,4.48,199.5,-30.0,30140.0,LOSS,expiration,2370,-670,-640.0,390.0,695.0,880.0,1755.0,-30.0,-30.0,-30.0,-30.0,-640.0,390.0,695.0,880.0,1755.0,-640.0,390.0,695.0,880.0,1755.0,-640.0,390.0,695.0,880.0,1755.0,-640.0,390.0,695.0,880.0,1755.0
2021-10-01,2021-10-22,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4309.7,4545.08,4190,4075,3700,225.0,1900.0,1675.0,22.91,22.91,5.5,236.8,-225.0,27900.0,LOSS,expiration,335,-222.5,80.0,220.0,-160.0,-210.0,-217.5,-225.0,-225.0,-225.0,-225.0,80.0,220.0,-160.0,-210.0,-217.5,80.0,220.0,-160.0,-210.0,-217.5,80.0,220.0,-160.0,-210.0,-217.5,80.0,220.0,-160.0,-210.0,-217.5
2021-10-08,2021-10-29,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4398.49,4604.75,4300,4200,3875,55.0,130.0,75.0,18.92,18.92,4.54,199.6,-55.0,22630.0,LOSS,expiration,355,-65,275.0,75.0,-25.0,-47.5,-52.5,-55.0,-55.0,-55.0,-55.0,275.0,75.0,-25.0,-47.5,-52.5,275.0,75.0,-25.0,-47.5,-52.5,275.0,75.0,-25.0,-47.5,-52.5,275.0,75.0,-25.0,-47.5,-52.5
