trade_date,exp_date,underlying,dte_entry,structure,spot_entry,spot_exit,put_upper,put_center,put_lower,total_credit,vix_entry,pnl_usd,result,exit_method,mfe,mae,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3,iv_atm_pct,em_pct,expected_move
2021-06-04,2021-07-02,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4217.1,4352.38,4125,4030,3625,70.0,16.65,-70.0,LOSS,expiration,230,-1040,125.0,325.0,350.0,95.0,45.0,30.0,16.65,4.61,194.5
2021-06-11,2021-07-09,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4243.32,4369.36,4160,4075,3650,170.0,15.43,-170.0,LOSS,expiration,0,-1680,-20.0,220.0,180.0,107.5,95.0,95.0,15.43,4.27,181.3
2021-06-18,2021-07-16,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4188.86,4326.81,4090,3975,3475,360.0,19.52,-360.0,LOSS,expiration,0,-880,-80.0,-215.0,-250.0,-180.0,-255.0,-265.0,19.52,5.41,226.5
2021-06-25,2021-07-23,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4274.57,4411.1,4195,4100,3680,140.0,15.71,-140.0,LOSS,expiration,750,-650,-15.0,-5.0,5.0,50.0,610.0,300.0,15.71,4.35,186.0
2021-07-02,2021-07-30,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4333.06,4395.97,4255,4170,3765,50.0,14.52,-50.0,LOSS,expiration,120,-1480,-235.0,110.0,110.0,200.0,97.5,80.0,14.52,4.02,174.3
2021-07-09,2021-08-06,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4349.82,4436.2,4260,4155,3710,120.0,16.97,-120.0,LOSS,expiration,170,-800,110.0,150.0,200.0,80.0,50.0,230.0,16.97,4.7,204.4
2021-07-16,2021-08-13,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4365.01,4467.97,4275,4170,3750,210.0,16.42,-210.0,LOSS,expiration,70,-1530,-5.0,70.0,220.0,25.0,-57.5,-85.0,16.42,4.55,198.5
2021-07-23,2021-08-20,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4382.7,4400.27,4285,4180,3740,40.0,17.21,-40.0,LOSS,expiration,110,-1200,110.0,160.0,145.0,75.0,70.0,52.5,17.21,4.77,208.9
2021-07-30,2021-08-27,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4406.6,4508.71,4305,4195,3740,330.0,17.89,-330.0,LOSS,expiration,80,-1600,140.0,225.0,270.0,530.0,145.0,95.0,17.89,4.95,218.3
2021-08-06,2021-09-03,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4431.13,4535.22,4335,4225,3775,100.0,16.94,-100.0,LOSS,expiration,60,-330,45.0,170.0,135.0,180.0,-15.0,2.5,16.94,4.69,207.9
2021-08-13,2021-09-10,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4464.73,4459.16,4380,4280,3860,90.0,15.33,-90.0,LOSS,expiration,70,-1220,-60.0,210.0,140.0,70.0,50.0,50.0,15.33,4.25,189.6
2021-08-20,2021-09-17,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4400.27,4433.19,4295,4170,3650,30.0,21.57,-30.0,LOSS,expiration,80,-310,155.0,80.0,60.0,145.0,90.0,105.0,21.57,5.97,262.9
2021-08-27,2021-09-24,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4484.57,4455.58,4385,4275,3775,900.0,17.59,-900.0,LOSS,expiration,1410,-2070,-205.0,-65.0,30.0,140.0,1260.0,1540.0,17.59,4.87,218.5
2021-09-03,2021-10-01,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4529.59,4355.01,4435,4330,3830,1210.0,16.6,6789.0,WIN,expiration,7220,-2480,-65.0,325.0,200.0,860.0,1260.0,2605.0,16.6,4.6,208.3
2021-09-10,2021-10-08,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4502.2,4390.96,4400,4285,3775,110.0,17.69,794.0,WIN,expiration,4930,-1980,110.0,265.0,960.0,1735.0,2815.0,4165.0,17.69,4.9,220.6
