trade_date,exp_date,underlying,dte_entry,structure,spot_entry,spot_exit,put_upper,put_center,put_lower,total_credit,entry_cons,entry_spread,vix_entry,iv_atm_pct,em_pct,expected_move,pnl_usd,max_risk_usd,result,exit_method,mfe,mae,pnl_exit60,pnl_exit45,pnl_exit30,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3,pnl_tp25,pnl_tp50,pnl_tp75,pnl_tp100,pnl_tp25_exit60,pnl_tp25_exit45,pnl_tp25_exit30,pnl_tp25_exit21,pnl_tp25_exit14,pnl_tp25_exit10,pnl_tp25_exit7,pnl_tp25_exit5,pnl_tp25_exit3,pnl_tp50_exit60,pnl_tp50_exit45,pnl_tp50_exit30,pnl_tp50_exit21,pnl_tp50_exit14,pnl_tp50_exit10,pnl_tp50_exit7,pnl_tp50_exit5,pnl_tp50_exit3,pnl_tp75_exit60,pnl_tp75_exit45,pnl_tp75_exit30,pnl_tp75_exit21,pnl_tp75_exit14,pnl_tp75_exit10,pnl_tp75_exit7,pnl_tp75_exit5,pnl_tp75_exit3,pnl_tp100_exit60,pnl_tp100_exit45,pnl_tp100_exit30,pnl_tp100_exit21,pnl_tp100_exit14,pnl_tp100_exit10,pnl_tp100_exit7,pnl_tp100_exit5,pnl_tp100_exit3
2021-06-04,2021-08-20,SPX,77,BWB 1-2-2 puts (+1/-2/+2),4217.1,4400.27,4050,3870,3120,-40.0,60.0,100.0,16.65,16.65,7.65,322.5,40.0,57060.0,WIN,expiration,700,0,255.0,260.0,365.0,180.0,95.0,65.0,50.0,50.0,57.5,40.0,40.0,40.0,40.0,255.0,260.0,365.0,180.0,95.0,65.0,50.0,50.0,57.5,255.0,260.0,365.0,180.0,95.0,65.0,50.0,50.0,57.5,255.0,260.0,365.0,180.0,95.0,65.0,50.0,50.0,57.5,255.0,260.0,365.0,180.0,95.0,65.0,50.0,50.0,57.5
2021-06-11,2021-08-20,SPX,70,BWB 1-2-2 puts (+1/-2/+2),4243.32,4400.27,4100,3930,3250,175.0,490.0,315.0,15.43,15.43,6.76,286.7,-175.0,51490.0,LOSS,expiration,450,-190,-70.0,135.0,185.0,15.0,-100.0,-137.5,-175.0,-175.0,-157.5,-175.0,-175.0,-175.0,-175.0,-70.0,135.0,185.0,15.0,-100.0,-137.5,-175.0,-175.0,-157.5,-70.0,135.0,185.0,15.0,-100.0,-137.5,-175.0,-175.0,-157.5,-70.0,135.0,185.0,15.0,-100.0,-137.5,-175.0,-175.0,-157.5,-70.0,135.0,185.0,15.0,-100.0,-137.5,-175.0,-175.0,-157.5
2021-06-18,2021-08-20,SPX,63,BWB 1-2-2 puts (+1/-2/+2),4188.86,4400.27,4050,3870,3120,250.0,380.0,130.0,19.52,19.52,8.11,339.7,-250.0,57380.0,LOSS,expiration,410,-252.5,-35.0,-30.0,75.0,-110.0,-195.0,-225.0,-240.0,-240.0,-232.5,-250.0,-250.0,-250.0,-250.0,-35.0,-30.0,75.0,-110.0,-195.0,-225.0,-240.0,-240.0,-232.5,-35.0,-30.0,75.0,-110.0,-195.0,-225.0,-240.0,-240.0,-232.5,-35.0,-30.0,75.0,-110.0,-195.0,-225.0,-240.0,-240.0,-232.5,-35.0,-30.0,75.0,-110.0,-195.0,-225.0,-240.0,-240.0,-232.5
2021-06-25,2021-09-17,SPX,84,BWB 1-2-2 puts (+1/-2/+2),4274.57,4433.19,4110,3920,3190,45.0,140.0,95.0,15.71,15.71,7.54,322.2,-45.0,54140.0,LOSS,expiration,570,-155,120.0,295.0,155.0,-100.0,-45.0,-40.0,-40.0,-50.0,-55.0,-45.0,-45.0,-45.0,-45.0,120.0,295.0,155.0,-100.0,-45.0,-40.0,-40.0,-50.0,-55.0,120.0,295.0,155.0,-100.0,-45.0,-40.0,-40.0,-50.0,-55.0,120.0,295.0,155.0,-100.0,-45.0,-40.0,-40.0,-50.0,-55.0,120.0,295.0,155.0,-100.0,-45.0,-40.0,-40.0,-50.0,-55.0
2021-07-02,2021-09-17,SPX,77,BWB 1-2-2 puts (+1/-2/+2),4333.06,4433.19,4180,4000,3280,85.0,160.0,75.0,14.52,14.52,6.67,289.0,-85.0,54160.0,LOSS,expiration,515,-505,-365.0,130.0,130.0,-85.0,-70.0,-85.0,-70.0,-120.0,-95.0,-85.0,-85.0,-85.0,-85.0,-365.0,130.0,130.0,-85.0,-70.0,-85.0,-70.0,-120.0,-95.0,-365.0,130.0,130.0,-85.0,-70.0,-85.0,-70.0,-120.0,-95.0,-365.0,130.0,130.0,-85.0,-70.0,-85.0,-70.0,-120.0,-95.0,-365.0,130.0,130.0,-85.0,-70.0,-85.0,-70.0,-120.0,-95.0
2021-07-09,2021-09-17,SPX,70,BWB 1-2-2 puts (+1/-2/+2),4349.82,4433.19,4190,4010,3275,55.0,120.0,65.0,16.97,16.97,7.43,323.3,-55.0,55620.0,LOSS,expiration,380,-550,-415.0,115.0,145.0,-50.0,-35.0,-60.0,-45.0,-85.0,-65.0,-55.0,-55.0,-55.0,-55.0,-415.0,115.0,145.0,-50.0,-35.0,-60.0,-45.0,-85.0,-65.0,-415.0,115.0,145.0,-50.0,-35.0,-60.0,-45.0,-85.0,-65.0,-415.0,115.0,145.0,-50.0,-35.0,-60.0,-45.0,-85.0,-65.0,-415.0,115.0,145.0,-50.0,-35.0,-60.0,-45.0,-85.0,-65.0
2021-07-16,2021-09-17,SPX,63,BWB 1-2-2 puts (+1/-2/+2),4365.01,4433.19,4190,4010,3280,-35.0,230.0,265.0,16.42,16.42,6.82,297.8,35.0,55230.0,WIN,expiration,470,-430,-305.0,215.0,245.0,45.0,55.0,30.0,45.0,5.0,25.0,35.0,35.0,35.0,35.0,-305.0,215.0,245.0,45.0,55.0,30.0,45.0,5.0,25.0,-305.0,215.0,245.0,45.0,55.0,30.0,45.0,5.0,25.0,-305.0,215.0,245.0,45.0,55.0,30.0,45.0,5.0,25.0,-305.0,215.0,245.0,45.0,55.0,30.0,45.0,5.0,25.0
2021-07-23,2021-10-15,SPX,84,BWB 1-2-2 puts (+1/-2/+2),4382.7,4471.01,4190,3990,3170,-155.0,-70.0,85.0,17.21,17.21,8.26,361.8,155.0,61930.0,WIN,expiration,1960,-140,270.0,255.0,500.0,590.0,1860.0,1410.0,405.0,255.0,355.0,155.0,155.0,155.0,155.0,270.0,255.0,500.0,590.0,1860.0,1410.0,405.0,255.0,355.0,270.0,255.0,500.0,590.0,1860.0,1410.0,405.0,255.0,355.0,270.0,255.0,500.0,590.0,1860.0,1410.0,405.0,255.0,355.0,270.0,255.0,500.0,590.0,1860.0,1410.0,405.0,255.0,355.0
2021-07-30,2021-10-15,SPX,77,BWB 1-2-2 puts (+1/-2/+2),4406.6,4471.01,4220,4020,3230,160.0,470.0,310.0,17.89,17.89,8.22,362.1,-160.0,59470.0,LOSS,expiration,2005,-255,20.0,0.0,260.0,365.0,1830.0,1430.0,220.0,-2.5,185.0,-160.0,-160.0,-160.0,-160.0,20.0,0.0,260.0,365.0,1830.0,1430.0,220.0,-2.5,185.0,20.0,0.0,260.0,365.0,1830.0,1430.0,220.0,-2.5,185.0,20.0,0.0,260.0,365.0,1830.0,1430.0,220.0,-2.5,185.0,20.0,0.0,260.0,365.0,1830.0,1430.0,220.0,-2.5,185.0
2021-08-06,2021-10-15,SPX,70,BWB 1-2-2 puts (+1/-2/+2),4431.13,4471.01,4260,4075,3325,-60.0,10.0,70.0,16.94,16.94,7.42,328.7,60.0,56510.0,WIN,expiration,2450,-180,90.0,175.0,445.0,650.0,2140.0,1965.0,675.0,375.0,760.0,60.0,60.0,60.0,60.0,90.0,175.0,445.0,650.0,2140.0,1965.0,675.0,375.0,760.0,90.0,175.0,445.0,650.0,2140.0,1965.0,675.0,375.0,760.0,90.0,175.0,445.0,650.0,2140.0,1965.0,675.0,375.0,760.0,90.0,175.0,445.0,650.0,2140.0,1965.0,675.0,375.0,760.0
2021-08-13,2021-10-29,SPX,77,BWB 1-2-2 puts (+1/-2/+2),4464.73,4604.75,4295,4100,3360,60.0,190.0,130.0,15.33,15.33,7.04,314.4,-60.0,54690.0,LOSS,expiration,2125,-210,115.0,245.0,820.0,1245.0,715.0,200.0,-25.0,-35.0,-55.0,-60.0,-60.0,-60.0,-60.0,115.0,245.0,820.0,1245.0,715.0,200.0,-25.0,-35.0,-55.0,115.0,245.0,820.0,1245.0,715.0,200.0,-25.0,-35.0,-55.0,115.0,245.0,820.0,1245.0,715.0,200.0,-25.0,-35.0,-55.0,115.0,245.0,820.0,1245.0,715.0,200.0,-25.0,-35.0,-55.0
2021-08-20,2021-10-29,SPX,70,BWB 1-2-2 puts (+1/-2/+2),4400.27,4604.75,4220,4015,3220,-25.0,90.0,115.0,21.57,21.57,9.45,415.7,25.0,59090.0,WIN,expiration,1770,-40,155.0,270.0,935.0,1080.0,445.0,157.5,45.0,45.0,35.0,25.0,25.0,25.0,25.0,155.0,270.0,935.0,1080.0,445.0,157.5,45.0,45.0,35.0,155.0,270.0,935.0,1080.0,445.0,157.5,45.0,45.0,35.0,155.0,270.0,935.0,1080.0,445.0,157.5,45.0,45.0,35.0,155.0,270.0,935.0,1080.0,445.0,157.5,45.0,45.0,35.0
2021-08-27,2021-11-19,SPX,84,BWB 1-2-2 puts (+1/-2/+2),4484.57,4697.95,4290,4080,3225,85.0,1120.0,1035.0,17.59,17.59,8.44,378.4,-85.0,65620.0,LOSS,expiration,1320,-760,-495.0,475.0,385.0,220.0,-95.0,-65.0,-80.0,-72.5,-65.0,-85.0,-85.0,-85.0,-85.0,-495.0,475.0,385.0,220.0,-95.0,-65.0,-80.0,-72.5,-65.0,-495.0,475.0,385.0,220.0,-95.0,-65.0,-80.0,-72.5,-65.0,-495.0,475.0,385.0,220.0,-95.0,-65.0,-80.0,-72.5,-65.0,-495.0,475.0,385.0,220.0,-95.0,-65.0,-80.0,-72.5,-65.0
2021-09-03,2021-11-19,SPX,77,BWB 1-2-2 puts (+1/-2/+2),4529.59,4697.95,4350,4150,3325,130.0,1380.0,1250.0,16.6,16.6,7.62,345.4,-130.0,63880.0,LOSS,expiration,1340,-1115,-915.0,125.0,410.0,280.0,-117.5,-105.0,-117.5,-122.5,-117.5,-130.0,-130.0,-130.0,-130.0,-915.0,125.0,410.0,280.0,-117.5,-105.0,-117.5,-122.5,-117.5,-915.0,125.0,410.0,280.0,-117.5,-105.0,-117.5,-122.5,-117.5,-915.0,125.0,410.0,280.0,-117.5,-105.0,-117.5,-122.5,-117.5,-915.0,125.0,410.0,280.0,-117.5,-105.0,-117.5,-122.5,-117.5
2021-09-10,2021-11-19,SPX,70,BWB 1-2-2 puts (+1/-2/+2),4502.2,4697.95,4325,4130,3350,50.0,130.0,80.0,17.69,17.69,7.75,348.8,-50.0,58630.0,LOSS,expiration,1220,-845,-705.0,155.0,415.0,285.0,-55.0,-40.0,-40.0,-42.5,-37.5,-50.0,-50.0,-50.0,-50.0,-705.0,155.0,415.0,285.0,-55.0,-40.0,-40.0,-42.5,-37.5,-705.0,155.0,415.0,285.0,-55.0,-40.0,-40.0,-42.5,-37.5,-705.0,155.0,415.0,285.0,-55.0,-40.0,-40.0,-42.5,-37.5,-705.0,155.0,415.0,285.0,-55.0,-40.0,-40.0,-42.5,-37.5
2021-09-17,2021-11-19,SPX,63,BWB 1-2-2 puts (+1/-2/+2),4451.54,4697.95,4290,4080,3325,480.0,650.0,170.0,19.5,19.5,8.1,360.6,-480.0,55150.0,LOSS,expiration,1035,-495,-440.0,300.0,35.0,-145.0,-475.0,-455.0,-475.0,-467.5,-460.0,-480.0,-480.0,-480.0,-480.0,-440.0,300.0,35.0,-145.0,-475.0,-455.0,-475.0,-467.5,-460.0,-440.0,300.0,35.0,-145.0,-475.0,-455.0,-475.0,-467.5,-460.0,-440.0,300.0,35.0,-145.0,-475.0,-455.0,-475.0,-467.5,-460.0,-440.0,300.0,35.0,-145.0,-475.0,-455.0,-475.0,-467.5,-460.0
2021-09-24,2021-12-17,SPX,84,BWB 1-2-2 puts (+1/-2/+2),4452.18,4620.26,4250,4030,3225,-45.0,870.0,915.0,18.68,18.68,8.96,399.0,45.0,59370.0,WIN,expiration,925,-260,520.0,430.0,255.0,350.0,625.0,15.0,32.5,52.5,60.0,45.0,45.0,45.0,45.0,520.0,430.0,255.0,350.0,625.0,15.0,32.5,52.5,60.0,520.0,430.0,255.0,350.0,625.0,15.0,32.5,52.5,60.0,520.0,430.0,255.0,350.0,625.0,15.0,32.5,52.5,60.0,520.0,430.0,255.0,350.0,625.0,15.0,32.5,52.5,60.0
2021-10-01,2021-12-17,SPX,77,BWB 1-2-2 puts (+1/-2/+2),4309.7,4620.26,4095,3870,3075,150.0,1780.0,1630.0,22.91,22.91,10.52,453.5,-150.0,58780.0,LOSS,expiration,520,-210,250.0,80.0,-100.0,-30.0,10.0,-210.0,-150.0,-142.5,-140.0,-150.0,-150.0,-150.0,-150.0,250.0,80.0,-100.0,-30.0,10.0,-210.0,-150.0,-142.5,-140.0,250.0,80.0,-100.0,-30.0,10.0,-210.0,-150.0,-142.5,-140.0,250.0,80.0,-100.0,-30.0,10.0,-210.0,-150.0,-142.5,-140.0,250.0,80.0,-100.0,-30.0,10.0,-210.0,-150.0,-142.5,-140.0
2021-10-08,2021-12-17,SPX,70,BWB 1-2-2 puts (+1/-2/+2),4398.49,4620.26,4210,4015,3300,125.0,210.0,85.0,18.92,18.92,8.29,364.4,-125.0,52210.0,LOSS,expiration,480,-170,150.0,135.0,10.0,-20.0,270.0,-170.0,-140.0,-120.0,-122.5,-125.0,-125.0,-125.0,-125.0,150.0,135.0,10.0,-20.0,270.0,-170.0,-140.0,-120.0,-122.5,150.0,135.0,10.0,-20.0,270.0,-170.0,-140.0,-120.0,-122.5,150.0,135.0,10.0,-20.0,270.0,-170.0,-140.0,-120.0,-122.5,150.0,135.0,10.0,-20.0,270.0,-170.0,-140.0,-120.0,-122.5
2021-10-15,2021-12-31,SPX,77,BWB 1-2-2 puts (+1/-2/+2),4465.65,4766.1,4295,4105,3390,140.0,350.0,210.0,15.9,15.9,7.3,326.1,-140.0,52850.0,LOSS,expiration,395,-230,40.0,25.0,270.0,15.0,-40.0,35.0,-130.0,-130.0,-130.0,-140.0,-140.0,-140.0,-140.0,40.0,25.0,270.0,15.0,-40.0,35.0,-130.0,-130.0,-130.0,40.0,25.0,270.0,15.0,-40.0,35.0,-130.0,-130.0,-130.0,40.0,25.0,270.0,15.0,-40.0,35.0,-130.0,-130.0,-130.0,40.0,25.0,270.0,15.0,-40.0,35.0,-130.0,-130.0,-130.0
2021-10-22,2021-12-31,SPX,70,BWB 1-2-2 puts (+1/-2/+2),4552.15,4766.1,4390,4210,3525,-50.0,50.0,100.0,15.06,15.06,6.6,300.2,50.0,50550.0,WIN,expiration,1105,-85,140.0,245.0,555.0,355.0,300.0,590.0,55.0,55.0,65.0,50.0,50.0,50.0,50.0,140.0,245.0,555.0,355.0,300.0,590.0,55.0,55.0,65.0,140.0,245.0,555.0,355.0,300.0,590.0,55.0,55.0,65.0,140.0,245.0,555.0,355.0,300.0,590.0,55.0,55.0,65.0,140.0,245.0,555.0,355.0,300.0,590.0,55.0,55.0,65.0
2021-10-29,2022-01-21,SPX,84,BWB 1-2-2 puts (+1/-2/+2),4585.1,4397.87,4390,4175,3350,-70.0,40.0,110.0,17.06,17.06,8.18,375.3,70.0,61040.0,WIN,expiration,1080,0,345.0,565.0,795.0,165.0,310.0,450.0,250.0,295.0,295.0,70.0,70.0,70.0,70.0,345.0,565.0,795.0,165.0,310.0,450.0,250.0,295.0,295.0,345.0,565.0,795.0,165.0,310.0,450.0,250.0,295.0,295.0,345.0,565.0,795.0,165.0,310.0,450.0,250.0,295.0,295.0,345.0,565.0,795.0,165.0,310.0,450.0,250.0,295.0,295.0
2021-11-05,2022-01-21,SPX,77,BWB 1-2-2 puts (+1/-2/+2),4713.96,4397.87,4540,4345,3560,65.0,150.0,85.0,15.07,15.07,6.92,326.3,14148.0,59150.0,WIN,expiration,13875,-640,185.0,410.0,980.0,300.0,735.0,1240.0,905.0,1730.0,1730.0,8765.0,10230.0,14148.0,14148.0,185.0,410.0,980.0,300.0,735.0,1240.0,905.0,1730.0,1730.0,185.0,410.0,980.0,300.0,735.0,1240.0,905.0,1730.0,1730.0,185.0,410.0,980.0,300.0,735.0,1240.0,905.0,1730.0,1730.0,185.0,410.0,980.0,300.0,735.0,1240.0,905.0,1730.0,1730.0
2021-11-12,2022-01-21,SPX,70,BWB 1-2-2 puts (+1/-2/+2),4653.64,4397.87,4480,4285,3520,205.0,340.0,135.0,17.08,17.08,7.48,348.1,8008.0,57340.0,WIN,expiration,8040,-365,40.0,380.0,670.0,30.0,295.0,580.0,285.0,620.0,620.0,6440.0,8008.0,8008.0,8008.0,40.0,380.0,670.0,30.0,295.0,580.0,285.0,620.0,620.0,40.0,380.0,670.0,30.0,295.0,580.0,285.0,620.0,620.0,40.0,380.0,670.0,30.0,295.0,580.0,285.0,620.0,620.0,40.0,380.0,670.0,30.0,295.0,580.0,285.0,620.0,620.0
2021-11-19,2022-01-21,SPX,63,BWB 1-2-2 puts (+1/-2/+2),4710.65,4397.87,4540,4345,3560,210.0,310.0,100.0,17.87,17.87,7.42,349.7,14003.0,59310.0,WIN,expiration,13730,-785,40.0,265.0,835.0,155.0,590.0,1095.0,760.0,1585.0,1585.0,8620.0,10085.0,14003.0,14003.0,40.0,265.0,835.0,155.0,590.0,1095.0,760.0,1585.0,1585.0,40.0,265.0,835.0,155.0,590.0,1095.0,760.0,1585.0,1585.0,40.0,265.0,835.0,155.0,590.0,1095.0,760.0,1585.0,1585.0,40.0,265.0,835.0,155.0,590.0,1095.0,760.0,1585.0,1585.0
2021-11-26,2022-02-18,SPX,84,BWB 1-2-2 puts (+1/-2/+2),4624.37,4348.67,4385,4115,3100,230.0,1340.0,1110.0,25.77,25.77,12.36,571.7,3403.0,75840.0,WIN,expiration,5055,-125,670.0,215.0,1265.0,3725.0,2350.0,2200.0,1490.0,3645.0,1900.0,3403.0,3403.0,3403.0,3403.0,670.0,215.0,1265.0,3725.0,2350.0,2200.0,1490.0,3645.0,1900.0,670.0,215.0,1265.0,3725.0,2350.0,2200.0,1490.0,3645.0,1900.0,670.0,215.0,1265.0,3725.0,2350.0,2200.0,1490.0,3645.0,1900.0,670.0,215.0,1265.0,3725.0,2350.0,2200.0,1490.0,3645.0,1900.0
2021-12-03,2022-02-18,SPX,77,BWB 1-2-2 puts (+1/-2/+2),4577.1,4348.67,4320,4035,2975,375.0,2350.0,1975.0,28.99,28.99,13.32,609.4,-375.0,79850.0,LOSS,expiration,3555,-377.5,580.0,-10.0,850.0,3555.0,1465.0,1115.0,610.0,1890.0,665.0,-375.0,-375.0,-375.0,-375.0,580.0,-10.0,850.0,3555.0,1465.0,1115.0,610.0,1890.0,665.0,580.0,-10.0,850.0,3555.0,1465.0,1115.0,610.0,1890.0,665.0,580.0,-10.0,850.0,3555.0,1465.0,1115.0,610.0,1890.0,665.0,580.0,-10.0,850.0,3555.0,1465.0,1115.0,610.0,1890.0,665.0
2021-12-10,2022-02-18,SPX,70,BWB 1-2-2 puts (+1/-2/+2),4687.31,4348.67,4490,4275,3425,185.0,340.0,155.0,20.18,20.18,8.84,414.2,13948.0,63840.0,WIN,expiration,15210,-325,-180.0,275.0,1185.0,1485.0,3075.0,3850.0,3075.0,6250.0,4885.0,5490.0,12350.0,13948.0,13948.0,-180.0,275.0,1185.0,1485.0,3075.0,3850.0,5490.0,5490.0,5490.0,-180.0,275.0,1185.0,1485.0,3075.0,3850.0,3075.0,6250.0,4885.0,-180.0,275.0,1185.0,1485.0,3075.0,3850.0,3075.0,6250.0,4885.0,-180.0,275.0,1185.0,1485.0,3075.0,3850.0,3075.0,6250.0,4885.0
