trade_date,calendar_date,dte_remaining,pnl_usd
2021-06-04,2021-06-04,28,0.0
2021-06-04,2021-06-18,14,655.0
2021-06-04,2021-06-25,7,1180.0
2021-06-04,2021-07-02,0,1340.0
2021-06-11,2021-06-11,28,0.0
2021-06-11,2021-06-25,14,828.0
2021-06-11,2021-07-02,7,1123.0
2021-06-11,2021-07-09,0,1215.0
2021-06-18,2021-06-18,21,0.0
2021-06-18,2021-06-25,14,640.0
2021-06-18,2021-07-02,7,1085.0
2021-06-18,2021-07-09,0,1195.0
2021-06-25,2021-06-25,28,0.0
2021-06-25,2021-07-09,14,-445.0
2021-06-25,2021-07-16,7,235.0
2021-06-25,2021-07-23,0,1210.0
2021-07-02,2021-07-02,28,0.0
2021-07-02,2021-07-16,14,-252.0
2021-07-02,2021-07-23,7,295.0
2021-07-02,2021-07-30,0,1195.0
2021-07-09,2021-07-09,28,0.0
2021-07-09,2021-07-23,14,472.0
2021-07-09,2021-07-30,7,1138.0
2021-07-09,2021-08-06,0,1300.0
2021-07-16,2021-07-16,28,0.0
2021-07-16,2021-07-30,14,850.0
2021-07-16,2021-08-06,7,1188.0
2021-07-16,2021-08-13,0,1290.0
2021-07-23,2021-07-23,21,0.0
2021-07-23,2021-07-30,14,520.0
2021-07-23,2021-08-06,7,1043.0
2021-07-23,2021-08-13,0,1205.0
2021-07-30,2021-07-30,28,0.0
2021-07-30,2021-08-13,14,963.0
2021-07-30,2021-08-20,7,783.0
2021-07-30,2021-08-27,0,1330.0
2021-08-06,2021-08-06,28,0.0
2021-08-06,2021-08-20,14,225.0
2021-08-06,2021-08-27,7,1175.0
2021-08-06,2021-09-03,0,1380.0
2021-08-13,2021-08-13,28,0.0
2021-08-13,2021-08-27,14,710.0
2021-08-13,2021-09-03,7,1027.0
2021-08-13,2021-09-10,0,1260.0
2021-08-20,2021-08-20,21,0.0
2021-08-20,2021-08-27,14,317.0
2021-08-20,2021-09-03,7,-1580.0
2021-08-20,2021-09-10,0,1210.0
2021-08-27,2021-08-27,28,0.0
2021-08-27,2021-09-10,14,715.0
2021-08-27,2021-09-17,7,1138.0
2021-08-27,2021-09-24,0,1340.0
2021-09-03,2021-09-03,28,0.0
2021-09-03,2021-09-17,14,523.0
2021-09-03,2021-09-24,7,1085.0
2021-09-03,2021-10-01,0,1325.0
2021-09-10,2021-09-10,28,0.0
2021-09-10,2021-09-24,14,925.0
2021-09-10,2021-10-01,7,1105.0
2021-09-10,2021-10-08,0,1415.0
2021-09-17,2021-09-17,21,0.0
2021-09-17,2021-09-24,14,485.0
2021-09-17,2021-10-01,7,828.0
2021-09-17,2021-10-08,0,1190.0
2021-09-24,2021-09-24,28,0.0
2021-09-24,2021-10-08,14,990.0
2021-09-24,2021-10-15,7,1292.0
2021-09-24,2021-10-22,0,1370.0
2021-10-01,2021-10-01,28,0.0
2021-10-01,2021-10-15,14,1185.0
2021-10-01,2021-10-22,7,1410.0
2021-10-01,2021-10-29,0,1545.0
2021-10-08,2021-10-08,28,0.0
2021-10-08,2021-10-22,14,915.0
2021-10-08,2021-10-29,7,1160.0
2021-10-08,2021-11-05,0,-1880.0
2021-10-15,2021-10-15,28,0.0
2021-10-15,2021-10-29,14,675.0
2021-10-15,2021-11-05,7,-322.0
