trade_date,exp_date,underlying,dte_entry,spot_entry,spot_exit,iv_atm_pct,vix_entry,short_put,short_call,delta_put,delta_call,total_credit,pnl_usd,in_range,result,exit_method,pnl_tp25,pnl_tp50,pnl_tp75,pnl_dte14,pnl_dte7,pnl_tp25_d14,pnl_tp50_d14,pnl_tp75_d14,pnl_tp25_d7,pnl_tp50_d7,pnl_tp75_d7
2021-06-04,2021-07-09,RUT,35,2284.62,2279.88,,16.65,2030.0,2465.0,-0.0985,0.0825,15.05,1505.0,,WIN,expiration,376.25,752.5,1128.75,1205.0,1440.0,376.25,752.5,1128.75,376.25,752.5,1128.75
2021-06-11,2021-07-23,RUT,42,2328.64,2209.28,,15.43,2070.0,2535.0,-0.0986,0.0787,15.5,1550.0,,WIN,expiration,387.5,775.0,1162.5,697.0,1218.0,387.5,775.0,1162.5,387.5,775.0,1162.5
2021-06-18,2021-07-30,RUT,42,2261.73,2225.84,,19.52,1980.0,2490.0,-0.1008,0.0783,17.5,1750.0,,WIN,expiration,437.5,875.0,1312.5,1407.0,1585.0,437.5,875.0,1312.5,437.5,875.0,1312.5
2021-06-25,2021-08-06,RUT,42,2339.34,2247.96,,15.71,2075.0,2540.0,-0.0999,0.0806,16.05,1605.0,,WIN,expiration,401.25,802.5,1203.75,532.0,1412.0,401.25,802.5,532.0,401.25,802.5,1203.75
2021-07-02,2021-08-13,RUT,42,2313.79,2223.4,,14.52,2060.0,2505.0,-0.1001,0.0784,15.2,1520.0,,WIN,expiration,380.0,760.0,1140.0,1060.0,1385.0,380.0,760.0,1060.0,380.0,760.0,1140.0
2021-07-09,2021-08-13,RUT,35,2263.35,2223.4,,16.97,2020.0,2450.0,-0.1006,0.0797,14.8,1480.0,,WIN,expiration,370.0,740.0,1110.0,1123.0,1392.0,370.0,740.0,1110.0,370.0,740.0,1110.0
2021-07-16,2021-08-27,RUT,42,2200.43,2276.41,,16.42,1935.0,2410.0,-0.0988,0.0815,16.25,1625.0,,WIN,expiration,406.25,812.5,1218.75,1380.0,1423.0,406.25,812.5,1218.75,406.25,812.5,1218.75
2021-07-23,2021-09-03,RUT,42,2194.14,2291.66,,17.21,1910.0,2410.0,-0.1004,0.0822,17.7,1770.0,,WIN,expiration,442.5,885.0,1327.5,1295.0,1663.0,442.5,885.0,1327.5,442.5,885.0,1327.5
2021-07-30,2021-09-10,RUT,42,2248.93,2227.87,,17.89,1975.0,2475.0,-0.1002,0.0773,16.85,1685.0,,WIN,expiration,421.25,842.5,1263.75,1337.0,1605.0,421.25,842.5,1263.75,421.25,842.5,1263.75
2021-08-06,2021-09-10,RUT,35,2243.33,2227.87,,16.94,1990.0,2435.0,-0.1012,0.0796,15.5,1550.0,,WIN,expiration,387.5,775.0,1162.5,1140.0,1430.0,387.5,775.0,1162.5,387.5,775.0,1162.5
2021-08-13,2021-09-24,RUT,42,2232.04,2248.31,,15.33,1960.0,2430.0,-0.0986,0.0815,16.25,1625.0,,WIN,expiration,406.25,812.5,1218.75,1205.0,1490.0,406.25,812.5,1218.75,406.25,812.5,1218.75
2021-08-20,2021-10-01,RUT,42,2138.41,2241.09,,21.57,1850.0,2355.0,-0.1014,0.0785,17.85,1785.0,,WIN,expiration,446.25,892.5,1338.75,1378.0,1580.0,446.25,892.5,1338.75,446.25,892.5,1338.75
2021-08-27,2021-10-08,RUT,42,2235.95,2233.37,,17.59,1950.0,2435.0,-0.0994,0.0795,16.95,1695.0,,WIN,expiration,423.75,847.5,1271.25,1375.0,1522.0,423.75,847.5,1271.25,423.75,847.5,1271.25
2021-09-03,2021-10-08,RUT,35,2298.12,2233.37,,16.6,2045.0,2485.0,-0.0995,0.0801,15.1,1510.0,,WIN,expiration,377.5,755.0,1132.5,1027.0,1122.0,377.5,755.0,1027.0,377.5,755.0,1132.5
2021-09-10,2021-10-22,RUT,42,2254.78,2291.48,,17.69,1965.0,2455.0,-0.0998,0.082,17.45,1745.0,,WIN,expiration,436.25,872.5,1308.75,1525.0,1705.0,436.25,872.5,1308.75,436.25,872.5,1308.75
2021-09-17,2021-10-29,RUT,42,2231.53,2297.47,,19.5,1940.0,2430.0,-0.0983,0.083,17.3,1730.0,,WIN,expiration,432.5,865.0,1297.5,1557.0,1660.0,432.5,865.0,1297.5,432.5,865.0,1297.5
