trade_date,exp_date,underlying,dte_entry,spot_entry,iv_atm_entry,iv_atm_pct,exit_method,short_put,short_call,delta_put,delta_call,mid_put_entry,mid_call_entry,total_credit,spot_21dte,mid_put_21dte,mid_call_21dte,pnl_pts_21dte,pnl_usd_21dte,checkpoint_date,spot_exit,put_cost_exp,call_cost_exp,pnl_points,pnl_usd,in_range,result
2025-05-02,2025-06-13,RUT,42,2020.74,0.240521,24.05,market,1845.0,2160.0,-0.1577,0.2028,17.65,15.75,33.4,2039.85,7.6,6.6,19.2,1920.0,2025-05-23,2100.51,0.0,0.0,33.4,3340.0,True,WIN
2025-06-06,2025-07-18,RUT,42,2132.25,0.203446,20.34,market,1980.0,2290.0,-0.163,0.1642,16.1,11.8,27.9,2172.53,3.3,7.05,17.55,1755.0,2025-06-27,2240.01,0.0,0.0,27.9,2790.0,True,WIN
2025-07-03,2025-08-15,RUT,43,2249.04,0.207966,20.8,market,2090.0,2400.0,-0.1642,0.1926,17.1,15.35,32.45,2261.07,5.6,5.0,21.85,2185.0,2025-07-25,2286.52,0.0,0.0,32.45,3245.0,True,WIN
2025-08-01,2025-09-12,RUT,42,2166.78,0.24254,24.25,market,2010.0,2340.0,-0.198,0.1623,25.2,12.65,37.85,2361.95,1.25,61.2,-24.6,-2460.0,2025-08-22,2397.06,0.0,57.0601,-19.2101,-1921.01,False,LOSS
2025-09-05,2025-10-17,RUT,42,2391.05,0.201734,20.17,market,2230.0,2550.0,-0.1649,0.183,17.4,14.65,32.05,2434.32,3.4,8.85,19.8,1980.0,2025-09-26,2452.17,0.0,0.0,32.05,3205.0,True,WIN
2025-10-03,2025-11-14,RUT,42,2476.18,0.20308,20.31,market,2300.0,2660.0,-0.1598,0.1573,17.9,12.7,30.6,2513.47,5.3,6.15,19.15,1915.0,2025-10-24,2388.23,0.0,0.0,30.6,3060.0,True,WIN
2025-11-07,2025-12-19,RUT,42,2432.82,0.236384,23.64,market,2235.0,2640.0,-0.1595,0.1558,20.2,14.0,34.2,2500.43,3.225,6.8,24.175,2417.5,2025-11-28,2529.43,0.0,0.0,34.2,3420.0,True,WIN
2025-12-05,2026-01-16,RUT,42,2521.48,0.197176,19.72,market,2350.0,2700.0,-0.1623,0.1598,17.95,12.7,30.65,2534.35,3.075,1.9,25.675,2567.5,2025-12-26,2677.74,0.0,0.0,30.65,3065.0,True,WIN
2026-01-02,2026-02-13,RUT,42,2508.22,0.179065,17.91,market,2350.0,2670.0,-0.1615,0.1578,16.35,11.25,27.6,2669.16,2.475,50.3,-25.175,-2517.5,2026-01-23,2646.7,0.0,0.0,27.6,2760.0,True,WIN
2026-02-06,2026-03-20,RUT,42,2670.34,0.21889,21.89,market,2460.0,2865.0,-0.1597,0.1614,21.5,14.1,35.6,2632.36,16.55,1.225,17.825,1782.5,2026-02-27,2438.45,21.55,0.0,14.05,1405.0,False,WIN
2026-03-06,2026-04-17,RUT,42,2525.3,0.290817,29.08,fallback_entry,2245.0,2745.0,-0.1593,0.1573,29.65,15.1,44.75,2449.7,21.75,1.8,21.2,2120.0,2026-03-27,2525.3,0.0,0.0,44.75,4475.0,True,WIN
2026-04-02,2026-05-15,RUT,43,2530.04,0.268882,26.89,fallback_entry,2280.0,2740.0,-0.1584,0.1632,25.75,15.45,41.2,,,,,,,2530.04,0.0,0.0,41.2,4120.0,True,WIN
