trade_date,exp_date,underlying,dte_entry,spot_entry,iv_atm_entry,iv_atm_pct,vix_entry,exit_method,short_put,short_call,delta_put,delta_call,mid_put_entry,mid_call_entry,total_credit,checkpoint_date,spot_21dte,mid_put_21dte,mid_call_21dte,pnl_pts_21dte,pnl_usd_21dte,spot_exit,put_cost_exp,call_cost_exp,pnl_points,pnl_usd,in_range,result
2025-05-02,2025-06-13,RUT,42,2020.74,0.240521,24.05,,reinvestment,1845.0,2160.0,-0.1577,0.2028,17.65,15.75,33.4,,,,,,,2100.51,0.0,0.0,33.4,3340.0,True,WIN
2025-05-23,2025-06-30,RUT,38,2039.85,0.236004,23.6,,reinvestment,1860.0,2180.0,-0.1551,0.1669,17.4,10.9,28.3,,,,,,,2175.04,0.0,0.0,28.3,2830.0,True,WIN
2025-05-30,2025-07-11,RUT,42,2066.29,0.209607,20.96,,reinvestment,1905.0,2210.0,-0.1629,0.157,17.15,9.9,27.05,,,,,,,2234.83,0.0,24.8301,2.2199,221.99,False,WIN
2025-06-20,2025-08-01,RUT,42,2109.27,0.227262,22.73,,reinvestment,1935.0,2275.0,-0.1611,0.1559,18.2,11.25,29.45,,,,,,,2166.78,0.0,0.0,29.45,2945.0,True,WIN
2025-06-27,2025-08-08,RUT,42,2172.53,0.206234,20.62,,reinvestment,2015.0,2340.0,-0.1597,0.1565,16.0,11.45,27.45,,,,,,,2218.42,0.0,0.0,27.45,2745.0,True,WIN
2025-07-18,2025-08-29,RUT,42,2240.01,0.21888,21.89,,reinvestment,2060.0,2410.0,-0.1557,0.1635,17.5,12.6,30.1,,,,,,,2366.42,0.0,0.0,30.1,3010.0,True,WIN
2025-07-25,2025-09-05,RUT,42,2261.07,0.203455,20.35,,reinvestment,2095.0,2425.0,-0.16,0.1601,16.95,11.7,28.65,,,,,,,2391.05,0.0,0.0,28.65,2865.0,True,WIN
2025-08-08,2025-09-19,RUT,42,2218.42,0.214218,21.42,,reinvestment,2050.0,2390.0,-0.1573,0.1595,16.65,12.15,28.8,,,,,,,2488.77,0.0,98.77,-69.97,-6997.0,False,LOSS
2025-09-19,2025-10-31,RUT,42,2488.77,0.199362,19.94,,reinvestment,2295.0,2645.0,-0.1582,0.1631,19.4,11.55,30.95,,,,,,,2479.38,0.0,0.0,30.95,3095.0,True,WIN
2025-10-03,2025-11-14,RUT,42,2476.18,0.20308,20.31,,reinvestment,2300.0,2660.0,-0.1598,0.1573,17.9,12.7,30.6,,,,,,,2388.23,0.0,0.0,30.6,3060.0,True,WIN
2025-10-24,2025-12-05,RUT,42,2513.47,0.203724,20.37,,reinvestment,2335.0,2695.0,-0.1605,0.1587,18.3,12.75,31.05,,,,,,,2521.48,0.0,0.0,31.05,3105.0,True,WIN
2025-11-14,2025-12-26,RUT,42,2388.23,0.230711,23.07,,reinvestment,2195.0,2575.0,-0.1612,0.1607,20.15,13.4,33.55,,,,,,,2534.35,0.0,0.0,33.55,3355.0,True,WIN
2025-11-28,2026-01-09,RUT,42,2500.43,0.200766,20.08,,reinvestment,2320.0,2675.0,-0.1607,0.162,18.55,12.75,31.3,,,,,,,2624.22,0.0,0.0,31.3,3130.0,True,WIN
2025-12-19,2026-01-30,RUT,42,2529.43,0.179251,17.93,,reinvestment,2370.0,2690.0,-0.1624,0.1614,16.65,11.65,28.3,,,,,,,2613.74,0.0,0.0,28.3,2830.0,True,WIN
2025-12-26,2026-02-06,RUT,42,2534.35,0.176558,17.66,,reinvestment,2375.0,2695.0,-0.1592,0.1603,16.0,11.5,27.5,,,,,,,2670.34,0.0,0.0,27.5,2750.0,True,WIN
2026-01-30,2026-03-13,RUT,42,2613.74,0.213336,21.33,,reinvestment,2415.0,2805.0,-0.1591,0.1582,20.1,13.35,33.45,,,,,,,2480.05,0.0,0.0,33.45,3345.0,True,WIN
2026-02-13,2026-03-27,RUT,42,2646.7,0.236397,23.64,,reinvestment,2420.0,2850.0,-0.16,0.1583,23.4,14.2,37.6,,,,,,,2449.7,0.0,0.0,37.6,3760.0,True,WIN
2026-02-27,2026-04-10,RUT,42,2632.36,0.232578,23.26,,reinvestment,2405.0,2825.0,-0.1613,0.1575,23.9,13.35,37.25,,,,,,,2632.36,0.0,0.0,37.25,3725.0,True,WIN
2026-03-27,2026-05-08,RUT,42,2449.7,0.329992,33.0,,reinvestment,2170.0,2700.0,-0.161,0.1571,30.4,17.0,47.4,,,,,,,2449.7,0.0,0.0,47.4,4740.0,True,WIN
