trade_date,exp_date,underlying,dte_entry,spot_entry,iv_atm_entry,iv_atm_pct,vix_entry,exit_method,short_put,short_call,delta_put,delta_call,mid_put_entry,mid_call_entry,total_credit,checkpoint_date,spot_21dte,mid_put_21dte,mid_call_21dte,pnl_pts_21dte,pnl_usd_21dte,spot_exit,put_cost_exp,call_cost_exp,pnl_points,pnl_usd,in_range,result
2025-05-02,2025-06-13,RUT,42,2020.74,0.240521,24.05,,reinvestment,1845.0,2160.0,-0.1577,0.2028,17.65,15.75,33.4,,,,,,,2100.51,0.0,0.0,33.4,3340.0,True,WIN
2025-05-23,2025-06-30,RUT,38,2039.85,0.236004,23.6,,reinvestment,1860.0,2180.0,-0.1551,0.1669,17.4,10.9,28.3,,,,,,,2175.04,0.0,0.0,28.3,2830.0,True,WIN
2025-06-20,2025-08-01,RUT,42,2109.27,0.227262,22.73,,reinvestment,1935.0,2275.0,-0.1611,0.1559,18.2,11.25,29.45,,,,,,,2166.78,0.0,0.0,29.45,2945.0,True,WIN
2025-07-18,2025-08-29,RUT,42,2240.01,0.21888,21.89,,reinvestment,2060.0,2410.0,-0.1557,0.1635,17.5,12.6,30.1,,,,,,,2366.42,0.0,0.0,30.1,3010.0,True,WIN
2025-08-08,2025-09-19,RUT,42,2218.42,0.214218,21.42,,reinvestment,2050.0,2390.0,-0.1573,0.1595,16.65,12.15,28.8,,,,,,,2488.77,0.0,98.77,-69.97,-6997.0,False,LOSS
2025-09-05,2025-10-17,RUT,42,2391.05,0.201734,20.17,,reinvestment,2230.0,2550.0,-0.1649,0.183,17.4,14.65,32.05,,,,,,,2452.17,0.0,0.0,32.05,3205.0,True,WIN
2025-09-26,2025-11-07,RUT,42,2434.32,0.205848,20.58,,reinvestment,2265.0,2615.0,-0.1624,0.1625,17.75,13.25,31.0,,,,,,,2432.82,0.0,0.0,31.0,3100.0,True,WIN
2025-10-24,2025-12-05,RUT,42,2513.47,0.203724,20.37,,reinvestment,2335.0,2695.0,-0.1605,0.1587,18.3,12.75,31.05,,,,,,,2521.48,0.0,0.0,31.05,3105.0,True,WIN
2025-11-21,2026-01-02,RUT,42,2369.59,0.239395,23.94,,reinvestment,2170.0,2560.0,-0.1593,0.1571,20.4,13.1,33.5,,,,,,,2508.22,0.0,0.0,33.5,3350.0,True,WIN
2025-12-19,2026-01-30,RUT,42,2529.43,0.179251,17.93,,reinvestment,2370.0,2690.0,-0.1624,0.1614,16.65,11.65,28.3,,,,,,,2613.74,0.0,0.0,28.3,2830.0,True,WIN
2026-01-09,2026-02-20,RUT,42,2624.22,0.177251,17.73,,reinvestment,2460.0,2790.0,-0.1561,0.1627,15.85,12.2,28.05,,,,,,,2663.78,0.0,0.0,28.05,2805.0,True,WIN
2026-02-06,2026-03-20,RUT,42,2670.34,0.21889,21.89,,reinvestment,2460.0,2865.0,-0.1597,0.1614,21.5,14.1,35.6,,,,,,,2438.45,21.55,0.0,14.05,1405.0,False,WIN
2026-02-27,2026-04-10,RUT,42,2632.36,0.232578,23.26,,reinvestment,2405.0,2825.0,-0.1613,0.1575,23.9,13.35,37.25,,,,,,,2632.36,0.0,0.0,37.25,3725.0,True,WIN
2026-03-27,2026-05-08,RUT,42,2449.7,0.329992,33.0,,reinvestment,2170.0,2700.0,-0.161,0.1571,30.4,17.0,47.4,,,,,,,2449.7,0.0,0.0,47.4,4740.0,True,WIN
