trade_date,calendar_date,dte_remaining,spot,put_mid,call_mid,pnl_usd
2025-05-02,2025-05-02,42,5686.67,44.55,25.8,0.0
2025-05-02,2025-05-05,39,5650.38,49.45,17.95,295.0
2025-05-02,2025-05-06,38,5606.91,57.3,14.4,-135.0
2025-05-02,2025-05-07,37,5631.28,48.0,13.7,865.0
2025-05-02,2025-05-08,36,5663.94,37.55,16.4,1640.0
2025-05-02,2025-05-09,35,5659.91,35.5,13.9,2095.0
2025-05-02,2025-05-12,32,5844.19,11.55,39.85,1895.0
2025-05-02,2025-05-13,31,5886.55,10.45,50.95,895.0
2025-05-02,2025-05-16,28,5958.38,7.15,74.35,-1115.0
2025-05-02,2025-05-19,25,5963.6,5.55,75.5,-1070.0
2025-05-02,2025-05-20,24,5940.46,5.3,62.2,285.0
2025-05-02,2025-05-21,23,5844.61,11.25,33.4,2570.0
2025-05-02,2025-05-22,22,5842.01,9.3,30.85,3020.0
2025-05-02,2025-05-23,21,5802.82,14.25,21.3,3480.0
2025-05-02,2025-05-27,17,5921.54,3.4,41.7,2525.0
2025-05-02,2025-05-28,16,5888.55,3.075,31.0,3627.5
2025-05-02,2025-05-29,15,5912.17,2.45,33.75,3415.0
2025-05-02,2025-05-30,14,5911.69,1.725,25.75,4287.5
2025-05-02,2025-06-02,11,5935.94,0.975,34.5,3487.5
2025-05-02,2025-06-03,10,5970.37,0.675,40.8,2887.5
2025-05-02,2025-06-04,9,5970.81,0.325,39.6,3042.5
2025-05-02,2025-06-05,8,5939.3,0.625,27.05,4267.5
2025-05-02,2025-06-06,7,6000.36,0.15,39.8,3040.0
2025-05-02,2025-06-09,4,6005.88,0.1,36.35,3390.0
2025-05-02,2025-06-13,0,5976.97,0.0,0.0,7035.0
2025-05-30,2025-05-30,42,5911.69,38.3,17.8,270.0
2025-05-30,2025-06-02,39,5935.94,29.85,21.95,700.0
2025-05-30,2025-06-03,38,5970.37,26.1,25.65,705.0
2025-05-30,2025-06-04,37,5970.81,22.95,25.8,1005.0
2025-05-30,2025-06-05,36,5939.3,26.2,19.8,1280.0
2025-05-30,2025-06-06,35,6000.36,17.05,27.4,1435.0
2025-05-30,2025-06-09,32,6005.88,15.15,25.45,1820.0
2025-05-30,2025-06-10,31,6038.81,12.5,30.85,1545.0
2025-05-30,2025-06-11,30,6022.24,14.05,25.85,1890.0
2025-05-30,2025-06-12,29,6045.26,14.0,30.95,1385.0
2025-05-30,2025-06-13,28,5976.97,22.65,19.0,1715.0
2025-05-30,2025-06-16,25,6033.11,12.95,24.7,2115.0
2025-05-30,2025-06-17,24,5982.72,19.2,17.3,2230.0
2025-05-30,2025-06-18,23,5980.87,15.15,12.65,3100.0
2025-05-30,2025-06-20,21,5967.84,13.6,8.8,3640.0
2025-05-30,2025-06-23,18,6025.17,9.25,11.45,3810.0
2025-05-30,2025-06-24,17,6092.18,4.5,22.65,3165.0
2025-05-30,2025-06-25,16,6092.16,2.825,20.95,3502.5
2025-05-30,2025-06-26,15,6141.02,1.95,32.6,2425.0
2025-05-30,2025-06-27,14,6173.07,1.225,40.55,1702.5
2025-05-30,2025-06-30,11,6204.95,0.6,53.35,485.0
2025-05-30,2025-07-01,10,6198.01,0.55,47.2,1105.0
2025-05-30,2025-07-02,9,6227.42,0.35,60.95,-250.0
2025-05-30,2025-07-07,4,6229.98,0.125,47.15,1152.5
2025-05-30,2025-07-08,3,6225.52,0.1,40.2,1850.0
2025-05-30,2025-07-09,2,6263.26,0.025,62.35,-357.5
2025-05-30,2025-07-11,0,6259.75,0.0,59.75,-95.0
2025-06-27,2025-06-27,42,6173.07,34.3,20.9,0.0
2025-06-27,2025-06-30,39,6204.95,28.75,25.35,110.0
2025-06-27,2025-07-01,38,6198.01,28.65,23.3,325.0
2025-06-27,2025-07-02,37,6227.42,23.8,26.25,515.0
2025-06-27,2025-07-03,36,6279.35,19.1,38.25,-215.0
2025-06-27,2025-07-07,32,6229.98,22.9,24.55,775.0
2025-06-27,2025-07-08,31,6225.52,18.4,20.9,1590.0
2025-06-27,2025-07-09,30,6263.26,13.05,24.7,1745.0
2025-06-27,2025-07-10,29,6280.46,11.5,26.5,1720.0
2025-06-27,2025-07-11,28,6259.75,12.95,20.45,2180.0
2025-06-27,2025-07-14,25,6268.56,12.25,21.8,2115.0
2025-06-27,2025-07-15,24,6243.76,13.25,16.05,2590.0
2025-06-27,2025-07-16,23,6263.7,10.65,17.45,2710.0
2025-06-27,2025-07-17,22,6297.36,7.8,22.05,2535.0
2025-06-27,2025-07-18,21,6296.79,6.7,18.65,2985.0
2025-06-27,2025-07-21,18,6305.6,5.3,18.45,3145.0
2025-06-27,2025-07-22,17,6309.62,4.6,16.0,3460.0
2025-06-27,2025-07-23,16,6358.91,2.725,24.55,2792.5
2025-06-27,2025-07-24,15,6363.35,2.675,24.05,2847.5
2025-06-27,2025-07-25,14,6388.64,1.65,27.3,2625.0
2025-06-27,2025-07-28,11,6389.77,0.95,23.65,3060.0
2025-06-27,2025-07-29,10,6370.86,1.6,16.55,3705.0
2025-06-27,2025-07-30,9,6362.9,1.175,16.15,3787.5
2025-06-27,2025-07-31,8,6339.39,1.075,6.4,4772.5
2025-06-27,2025-08-01,7,6238.01,2.575,0.5,5212.5
2025-06-27,2025-08-04,4,6329.94,0.45,0.675,5407.5
2025-06-27,2025-08-05,3,6299.19,0.25,0.1,5485.0
2025-06-27,2025-08-06,2,6345.06,0.075,0.1,5502.5
2025-06-27,2025-08-07,1,6340.0,0.1,0.2,5490.0
2025-06-27,2025-08-08,0,6389.45,0.0,0.0,5520.0
2025-07-25,2025-07-25,42,6388.64,32.7,18.65,-0.0
2025-07-25,2025-07-28,39,6389.77,29.75,15.8,580.0
2025-07-25,2025-07-29,38,6370.86,34.75,12.65,395.0
2025-07-25,2025-07-30,37,6362.9,30.8,12.9,765.0
2025-07-25,2025-07-31,36,6339.39,38.3,8.1,495.0
2025-07-25,2025-08-01,35,6238.01,68.8,4.15,-2160.0
2025-07-25,2025-08-04,32,6329.94,38.2,5.45,770.0
2025-07-25,2025-08-05,31,6299.19,42.75,3.85,475.0
2025-07-25,2025-08-06,30,6345.06,31.8,4.95,1460.0
2025-07-25,2025-08-07,29,6340.0,30.4,4.75,1620.0
2025-07-25,2025-08-08,28,6389.45,19.65,5.85,2585.0
2025-07-25,2025-08-11,25,6373.45,20.75,4.25,2635.0
2025-07-25,2025-08-12,24,6445.76,11.85,7.65,3185.0
2025-07-25,2025-08-13,23,6466.58,9.3,9.15,3290.0
2025-07-25,2025-08-14,22,6468.54,9.9,7.85,3360.0
2025-07-25,2025-08-15,21,6449.8,10.05,5.35,3595.0
2025-07-25,2025-08-18,18,6449.15,7.2,3.9,4025.0
2025-07-25,2025-08-19,17,6411.37,9.0,1.775,4057.5
2025-07-25,2025-08-20,16,6395.78,9.9,1.1,4035.0
2025-07-25,2025-08-21,15,6370.17,12.1,0.6,3865.0
2025-07-25,2025-08-22,14,6466.91,3.4,1.325,4662.5
2025-07-25,2025-08-25,11,6439.32,1.925,0.425,4900.0
2025-07-25,2025-08-26,10,6465.94,1.7,0.45,4920.0
2025-07-25,2025-08-27,9,6481.4,1.4,0.55,4940.0
2025-07-25,2025-08-28,8,6501.86,0.8,0.175,5037.5
2025-07-25,2025-08-29,7,6460.26,0.65,0.05,5065.0
2025-07-25,2025-09-02,3,6415.54,0.4,0.05,5090.0
2025-07-25,2025-09-03,2,6448.26,0.15,0.025,5117.5
2025-07-25,2025-09-04,1,6502.08,0.2,0.025,5112.5
2025-07-25,2025-09-05,0,6481.5,0.0,0.0,5135.0
2025-08-22,2025-08-22,42,6466.91,32.55,15.7,0.0
2025-08-22,2025-08-25,39,6439.32,33.4,11.4,345.0
2025-08-22,2025-08-26,38,6465.94,30.1,13.3,485.0
2025-08-22,2025-08-27,37,6481.4,27.4,15.15,570.0
2025-08-22,2025-08-28,36,6501.86,22.15,17.25,885.0
2025-08-22,2025-08-29,35,6460.26,28.4,10.6,925.0
2025-08-22,2025-09-02,31,6415.54,37.1,4.8,635.0
2025-08-22,2025-09-03,30,6448.26,28.4,5.95,1390.0
2025-08-22,2025-09-04,29,6502.08,20.05,9.8,1840.0
2025-08-22,2025-09-05,28,6481.5,19.75,5.9,2260.0
