trade_date,calendar_date,dte_remaining,spot,put_mid,call_mid,pnl_usd
2025-05-02,2025-05-02,42,5686.67,44.55,25.8,0.0
2025-05-02,2025-05-05,39,5650.38,49.45,17.95,295.0
2025-05-02,2025-05-06,38,5606.91,57.3,14.4,-135.0
2025-05-02,2025-05-07,37,5631.28,48.0,13.7,865.0
2025-05-02,2025-05-08,36,5663.94,37.55,16.4,1640.0
2025-05-02,2025-05-09,35,5659.91,35.5,13.9,2095.0
2025-05-02,2025-05-12,32,5844.19,11.55,39.85,1895.0
2025-05-02,2025-05-13,31,5886.55,10.45,50.95,895.0
2025-05-02,2025-05-16,28,5958.38,7.15,74.35,-1115.0
2025-05-02,2025-05-19,25,5963.6,5.55,75.5,-1070.0
2025-05-02,2025-05-20,24,5940.46,5.3,62.2,285.0
2025-05-02,2025-05-21,23,5844.61,11.25,33.4,2570.0
2025-05-02,2025-05-22,22,5842.01,9.3,30.85,3020.0
2025-05-02,2025-05-23,21,5802.82,14.25,21.3,3480.0
2025-05-02,2025-05-27,17,5921.54,3.4,41.7,2525.0
2025-05-02,2025-05-28,16,5888.55,3.075,31.0,3627.5
2025-05-02,2025-05-29,15,5912.17,2.45,33.75,3415.0
2025-05-02,2025-05-30,14,5911.69,1.725,25.75,4287.5
2025-05-02,2025-06-02,11,5935.94,0.975,34.5,3487.5
2025-05-02,2025-06-03,10,5970.37,0.675,40.8,2887.5
2025-05-02,2025-06-04,9,5970.81,0.325,39.6,3042.5
2025-05-02,2025-06-05,8,5939.3,0.625,27.05,4267.5
2025-05-02,2025-06-06,7,6000.36,0.15,39.8,3040.0
2025-05-02,2025-06-09,4,6005.88,0.1,36.35,3390.0
2025-05-02,2025-06-13,0,5976.97,0.0,0.0,7035.0
2025-05-16,2025-05-16,42,5958.38,35.85,19.35,0.0
2025-05-16,2025-05-19,39,5963.6,36.05,19.1,5.0
2025-05-16,2025-05-20,38,5940.46,37.45,14.5,325.0
2025-05-16,2025-05-21,37,5844.61,60.15,7.55,-1250.0
2025-05-16,2025-05-22,36,5842.01,56.75,6.55,-810.0
2025-05-16,2025-05-23,35,5802.82,74.05,4.9,-2375.0
2025-05-16,2025-05-27,31,5921.54,34.05,7.6,1355.0
2025-05-16,2025-05-28,30,5888.55,36.7,5.4,1310.0
2025-05-16,2025-05-29,29,5912.17,32.9,5.75,1655.0
2025-05-16,2025-05-30,28,5911.69,32.7,3.7,1880.0
2025-05-16,2025-06-02,25,5935.94,23.3,4.7,2720.0
2025-05-16,2025-06-03,24,5970.37,17.6,5.65,3195.0
2025-05-16,2025-06-04,23,5970.81,15.55,5.35,3430.0
2025-05-16,2025-06-05,22,5939.3,18.75,3.55,3290.0
2025-05-16,2025-06-06,21,6000.36,9.95,4.95,4030.0
2025-05-16,2025-06-09,18,6005.88,8.35,4.05,4280.0
2025-05-16,2025-06-10,17,6038.81,6.5,5.2,4350.0
2025-05-16,2025-06-11,16,6022.24,7.95,3.05,4420.0
2025-05-16,2025-06-12,15,6045.26,8.0,4.05,4315.0
2025-05-16,2025-06-13,14,5976.97,13.5,1.15,4055.0
2025-05-16,2025-06-16,11,6033.11,5.8,1.325,4807.5
2025-05-16,2025-06-17,10,5982.72,9.65,0.55,4500.0
2025-05-16,2025-06-18,9,5980.87,5.7,0.125,4937.5
2025-05-16,2025-06-20,7,5967.84,3.1,0.05,5205.0
2025-05-16,2025-06-23,4,6025.17,0.8,0.05,5435.0
2025-05-16,2025-06-24,3,6092.18,0.2,0.025,5497.5
2025-05-16,2025-06-25,2,6092.16,0.05,0.025,5512.5
2025-05-16,2025-06-26,1,6141.02,0.125,0.075,5500.0
2025-05-16,2025-06-27,0,6173.07,0.0,0.0,5520.0
2025-05-30,2025-05-30,42,5911.69,38.3,17.8,270.0
2025-05-30,2025-06-02,39,5935.94,29.85,21.95,700.0
2025-05-30,2025-06-03,38,5970.37,26.1,25.65,705.0
2025-05-30,2025-06-04,37,5970.81,22.95,25.8,1005.0
2025-05-30,2025-06-05,36,5939.3,26.2,19.8,1280.0
2025-05-30,2025-06-06,35,6000.36,17.05,27.4,1435.0
2025-05-30,2025-06-09,32,6005.88,15.15,25.45,1820.0
2025-05-30,2025-06-10,31,6038.81,12.5,30.85,1545.0
2025-05-30,2025-06-11,30,6022.24,14.05,25.85,1890.0
2025-05-30,2025-06-12,29,6045.26,14.0,30.95,1385.0
2025-05-30,2025-06-13,28,5976.97,22.65,19.0,1715.0
2025-05-30,2025-06-16,25,6033.11,12.95,24.7,2115.0
2025-05-30,2025-06-17,24,5982.72,19.2,17.3,2230.0
2025-05-30,2025-06-18,23,5980.87,15.15,12.65,3100.0
2025-05-30,2025-06-20,21,5967.84,13.6,8.8,3640.0
2025-05-30,2025-06-23,18,6025.17,9.25,11.45,3810.0
2025-05-30,2025-06-24,17,6092.18,4.5,22.65,3165.0
2025-05-30,2025-06-25,16,6092.16,2.825,20.95,3502.5
2025-05-30,2025-06-26,15,6141.02,1.95,32.6,2425.0
2025-05-30,2025-06-27,14,6173.07,1.225,40.55,1702.5
2025-05-30,2025-06-30,11,6204.95,0.6,53.35,485.0
2025-05-30,2025-07-01,10,6198.01,0.55,47.2,1105.0
2025-05-30,2025-07-02,9,6227.42,0.35,60.95,-250.0
2025-05-30,2025-07-07,4,6229.98,0.125,47.15,1152.5
2025-05-30,2025-07-08,3,6225.52,0.1,40.2,1850.0
2025-05-30,2025-07-09,2,6263.26,0.025,62.35,-357.5
2025-05-30,2025-07-11,0,6259.75,0.0,59.75,-95.0
2025-06-13,2025-06-13,42,5976.97,41.65,23.2,120.0
2025-06-13,2025-06-16,39,6033.11,27.05,27.75,1125.0
2025-06-13,2025-06-17,38,5982.72,38.1,21.35,660.0
2025-06-13,2025-06-18,37,5980.87,32.9,16.9,1625.0
2025-06-13,2025-06-20,35,5967.84,32.95,14.4,1870.0
2025-06-13,2025-06-23,32,6025.17,24.3,16.0,2575.0
2025-06-13,2025-06-24,31,6092.18,13.95,25.6,2650.0
2025-06-13,2025-06-25,30,6092.16,11.25,23.8,3100.0
2025-06-13,2025-06-26,29,6141.02,8.75,35.15,2215.0
2025-06-13,2025-06-27,28,6173.07,7.45,42.7,1590.0
2025-06-13,2025-06-30,25,6204.95,5.45,53.45,715.0
2025-06-13,2025-07-01,24,6198.01,5.15,49.4,1150.0
2025-06-13,2025-07-02,23,6227.42,4.4,58.95,270.0
2025-06-13,2025-07-03,22,6279.35,3.6,82.5,-2005.0
2025-06-13,2025-07-07,18,6229.98,3.4,53.05,960.0
2025-06-13,2025-07-08,17,6225.52,2.425,46.1,1752.5
2025-06-13,2025-07-09,16,6263.26,1.55,55.85,865.0
2025-06-13,2025-07-10,15,6280.46,1.35,61.5,320.0
2025-06-13,2025-07-11,14,6259.75,1.325,48.05,1667.5
2025-06-13,2025-07-14,11,6268.56,0.85,50.0,1520.0
2025-06-13,2025-07-15,10,6243.76,0.675,34.6,3077.5
2025-06-13,2025-07-16,9,6263.7,0.45,39.6,2600.0
2025-06-13,2025-07-17,8,6297.36,0.325,54.65,1107.5
2025-06-13,2025-07-18,7,6296.79,0.15,45.85,2005.0
2025-06-13,2025-07-21,4,6305.6,0.1,49.45,1650.0
2025-06-13,2025-07-22,3,6309.62,0.075,44.75,2122.5
2025-06-13,2025-07-25,0,6388.64,0.0,113.6401,-4759.01
2025-06-27,2025-06-27,42,6173.07,34.3,20.9,0.0
2025-06-27,2025-06-30,39,6204.95,28.75,25.35,110.0
2025-06-27,2025-07-01,38,6198.01,28.65,23.3,325.0
2025-06-27,2025-07-02,37,6227.42,23.8,26.25,515.0
2025-06-27,2025-07-03,36,6279.35,19.1,38.25,-215.0
2025-06-27,2025-07-07,32,6229.98,22.9,24.55,775.0
2025-06-27,2025-07-08,31,6225.52,18.4,20.9,1590.0
2025-06-27,2025-07-09,30,6263.26,13.05,24.7,1745.0
2025-06-27,2025-07-10,29,6280.46,11.5,26.5,1720.0
2025-06-27,2025-07-11,28,6259.75,12.95,20.45,2180.0
2025-06-27,2025-07-14,25,6268.56,12.25,21.8,2115.0
2025-06-27,2025-07-15,24,6243.76,13.25,16.05,2590.0
2025-06-27,2025-07-16,23,6263.7,10.65,17.45,2710.0
2025-06-27,2025-07-17,22,6297.36,7.8,22.05,2535.0
