trade_date,exp_date,underlying,dte_entry,spot_entry,iv_atm_entry,iv_atm_pct,vix_entry,exit_method,short_put,short_call,delta_put,delta_call,mid_put_entry,mid_call_entry,total_credit,checkpoint_date,spot_21dte,mid_put_21dte,mid_call_21dte,pnl_pts_21dte,pnl_usd_21dte,spot_exit,put_cost_exp,call_cost_exp,pnl_points,pnl_usd,in_range,result
2025-05-02,2025-06-13,SPX,42,5686.67,0.192642,19.26,,reinvestment,5260.0,6000.0,-0.1617,0.1728,44.55,25.8,70.35,,,,,,,5976.97,0.0,0.0,70.35,7035.0,True,WIN
2025-05-30,2025-07-11,SPX,42,5911.69,0.158124,15.81,,reinvestment,5525.0,6200.0,-0.1605,0.1552,39.5,19.3,58.8,,,,,,,6259.75,0.0,59.75,-0.95,-95.0,False,LOSS
2025-06-20,2025-08-01,SPX,42,5967.84,0.16941,16.94,,reinvestment,5550.0,6275.0,-0.1562,0.1607,40.55,22.0,62.55,,,,,,,6238.01,0.0,0.0,62.55,6255.0,True,WIN
2025-08-01,2025-09-12,SPX,42,6238.01,0.157687,15.77,,reinvestment,5825.0,6530.0,-0.1602,0.1619,42.05,21.1,63.15,,,,,,,6584.29,0.0,54.29,8.86,886.0,False,WIN
2025-08-22,2025-10-03,SPX,42,6466.91,0.118023,11.8,,reinvestment,6150.0,6725.0,-0.1612,0.1486,32.55,15.7,48.25,,,,,,,6715.79,0.0,0.0,48.25,4825.0,True,WIN
2025-09-12,2025-10-24,SPX,42,6584.29,0.121678,12.17,,reinvestment,6260.0,6850.0,-0.1621,0.1579,33.7,18.1,51.8,,,,,,,6791.69,0.0,0.0,51.8,5180.0,True,WIN
2025-10-10,2025-11-21,SPX,42,6552.51,0.176287,17.63,,reinvestment,6080.0,6895.0,-0.1607,0.1622,48.6,24.95,73.55,,,,,,,6602.99,0.0,0.0,73.55,7355.0,True,WIN
2025-11-07,2025-12-19,SPX,42,6728.8,0.161349,16.13,,reinvestment,6300.0,7075.0,-0.1592,0.159,43.05,24.3,67.35,,,,,,,6834.5,0.0,0.0,67.35,6735.0,True,WIN
2025-11-28,2026-01-09,SPX,42,6849.09,0.138581,13.86,,reinvestment,6470.0,7150.0,-0.1598,0.1668,38.25,22.9,61.15,,,,,,,6966.28,0.0,0.0,61.15,6115.0,True,WIN
2025-12-19,2026-01-30,SPX,42,6834.5,0.126971,12.7,,reinvestment,6490.0,7115.0,-0.1609,0.1588,35.25,19.35,54.6,,,,,,,6939.03,0.0,0.0,54.6,5460.0,True,WIN
2026-01-02,2026-02-13,SPX,42,6858.47,0.127705,12.77,,reinvestment,6525.0,7150.0,-0.1631,0.1493,35.05,18.0,53.05,,,,,,,6836.17,0.0,0.0,53.05,5305.0,True,WIN
2026-01-23,2026-03-06,SPX,42,6915.61,0.135034,13.5,,reinvestment,6525.0,7200.0,-0.1596,0.1628,39.3,20.55,59.85,,,,,,,6740.02,0.0,0.0,59.85,5985.0,True,WIN
2026-02-13,2026-03-27,SPX,42,6836.17,0.168378,16.84,,reinvestment,6350.0,7160.0,-0.1603,0.1622,49.75,23.5,73.25,,,,,,,6368.85,0.0,0.0,73.25,7325.0,True,WIN
2026-02-27,2026-04-10,SPX,42,6878.88,0.159416,15.94,,reinvestment,6400.0,7175.0,-0.1581,0.168,47.6,22.8,70.4,,,,,,,6878.88,0.0,0.0,70.4,7040.0,True,WIN
