trade_date,exp_date,underlying,dte_entry,spot_entry,iv_atm_entry,iv_atm_pct,vix_entry,exit_method,short_put,short_call,delta_put,delta_call,mid_put_entry,mid_call_entry,total_credit,spot_21dte,mid_put_21dte,mid_call_21dte,pnl_pts_21dte,pnl_usd_21dte,checkpoint_date,spot_exit,put_cost_exp,call_cost_exp,pnl_points,pnl_usd,in_range,result
2025-05-02,2025-06-13,SPX,42,5686.67,0.192642,19.26,22.68,market,5260.0,6000.0,-0.1617,0.1728,44.55,25.8,70.35,5802.82,14.25,16.85,39.25,3925.0,2025-05-23,5976.97,0.0,0.0,70.35,7035.0,True,WIN
2025-06-06,2025-07-18,SPX,42,6000.36,0.14343,14.34,16.77,market,5655.0,6280.0,-0.16,0.1626,34.95,20.35,55.3,,,,,,2025-06-27,6296.79,0.0,16.79,38.51,3851.0,False,WIN
2025-07-18,2025-08-29,SPX,42,6296.79,0.139468,13.95,,reinvestment,5945.0,6580.0,-0.1604,0.1617,35.75,20.35,56.1,,,,,,,6460.26,0.0,0.0,56.1,5610.0,True,WIN
2025-08-22,2025-10-03,SPX,42,6466.91,0.118023,11.8,,reinvestment,6150.0,6725.0,-0.1612,0.1486,32.55,15.7,48.25,,,,,,,6715.79,0.0,0.0,48.25,4825.0,True,WIN
2025-09-26,2025-11-07,SPX,42,6643.7,0.133098,13.31,,reinvestment,6290.0,6925.0,-0.1593,0.1654,35.45,21.0,56.45,,,,,,,6728.8,0.0,0.0,56.45,5645.0,True,WIN
2025-11-07,2025-12-19,SPX,42,6728.8,0.161349,16.13,,reinvestment,6300.0,7075.0,-0.1592,0.159,43.05,24.3,67.35,,,,,,,6834.5,0.0,0.0,67.35,6735.0,True,WIN
2025-12-05,2026-01-16,SPX,42,6870.4,0.132588,13.26,,reinvestment,6515.0,7170.0,-0.16,0.161,35.95,21.3,57.25,,,,,,,6940.01,0.0,0.0,57.25,5725.0,True,WIN
2025-12-26,2026-02-06,SPX,42,6929.94,0.121514,12.15,,reinvestment,6600.0,7200.0,-0.1609,0.1692,33.8,20.9,54.7,,,,,,,6932.3,0.0,0.0,54.7,5470.0,True,WIN
2026-01-23,2026-03-06,SPX,42,6915.61,0.135034,13.5,,reinvestment,6525.0,7200.0,-0.1596,0.1628,39.3,20.55,59.85,,,,,,,6740.02,0.0,0.0,59.85,5985.0,True,WIN
2026-02-27,2026-04-10,SPX,42,6878.88,0.159416,15.94,,reinvestment,6400.0,7175.0,-0.1581,0.168,47.6,22.8,70.4,,,,,,,6878.88,0.0,0.0,70.4,7040.0,True,WIN
2026-03-06,2026-04-17,SPX,42,6740.02,0.219412,21.94,29.49,fallback_entry,6220.0,7120.0,-0.1942,0.1606,80.45,27.25,107.7,,,,,,2026-03-27,6740.02,0.0,0.0,107.7,10770.0,True,WIN
2026-04-02,2026-05-15,SPX,43,6582.69,0.2001,20.01,23.87,fallback_entry,6085.0,6950.0,-0.1688,0.1594,56.85,25.9,82.75,,,,,,,6582.69,0.0,0.0,82.75,8275.0,True,WIN
