Opened,pp_Closed,pp_Premium,pp_PnL,pp_Fees,cc_Closed,cc_Premium,cc_PnL,cc_Fees,combined_premium,combined_pnl_final,combined_fees,Closed,trade_id
2021-05-14,2021-05-27,1700,-198.08,5.08,2021-05-27,640,-380.54,2.54,2340,-578.62,7.62,2021-05-27,1
2021-05-21,2021-06-03,2215,-450.08,5.08,2021-06-03,830,-112.54,2.54,3045,-562.62,7.62,2021-06-03,2
2021-05-28,2021-06-10,2305,-430.08,5.08,2021-06-10,805,-135.54,2.54,3110,-565.62,7.62,2021-06-10,3
2021-06-04,2021-06-17,1810,536.92,5.08,2021-06-17,585,-393.54,2.54,2395,143.37999999999994,7.62,2021-06-17,4
2021-06-11,2021-06-24,1770,-218.08,5.08,2021-06-24,585,-7.54,2.54,2355,-225.62,7.62,2021-06-24,5
2021-06-18,2021-07-01,1490,-1225.08,5.08,2021-07-01,515,162.46,2.54,2005,-1062.62,7.62,2021-07-01,6
2021-06-25,2021-07-08,1850,1389.92,5.08,2021-07-08,615,1072.46,2.54,2465,2462.38,7.62,2021-07-08,7
2021-07-02,2021-07-15,1690,829.92,5.08,2021-07-15,410,-120.54,2.54,2100,709.38,7.62,2021-07-15,8
2021-07-09,2021-07-22,1960,594.92,5.08,2021-07-22,575,-373.54,2.54,2535,221.37999999999994,7.62,2021-07-22,9
2021-07-16,2021-07-29,1935,-1110.08,5.08,2021-07-29,635,942.46,2.54,2570,-167.6199999999999,7.62,2021-07-29,10
2021-07-23,2021-08-05,1845,71.92,5.08,2021-08-05,575,-262.54,2.54,2420,-190.62,7.62,2021-08-05,11
2021-07-30,2021-08-12,2105,-1363.08,5.08,2021-08-12,740,507.46,2.54,2845,-855.6199999999999,7.62,2021-08-12,12
2021-08-06,2021-08-19,2335,1559.92,5.08,2021-08-19,720,-397.54,2.54,3055,1162.38,7.62,2021-08-19,13
2021-08-13,2021-08-26,2160,724.92,5.08,2021-08-26,710,-57.54,2.54,2870,667.38,7.62,2021-08-26,14
2021-08-20,2021-09-02,1825,-935.08,5.08,2021-09-02,635,777.46,2.54,2460,-157.62,7.62,2021-09-02,15
2021-08-27,2021-09-09,2005,926.92,5.08,2021-09-09,625,-325.54,2.54,2630,601.3799999999999,7.62,2021-09-09,16
2021-09-03,2021-09-16,2160,49.92,5.08,2021-09-16,670,-612.54,2.54,2830,-562.62,7.62,2021-09-16,17
2021-09-10,2021-09-23,1885,741.92,5.08,2021-09-23,760,-445.54,2.54,2645,296.37999999999994,7.62,2021-09-23,18
2021-09-17,2021-09-30,2045,941.92,5.08,2021-09-30,625,-553.54,2.54,2670,388.38,7.62,2021-09-30,19
2021-09-24,2021-10-07,2055,784.92,5.08,2021-10-07,680,-555.54,2.54,2735,229.38,7.62,2021-10-07,20
2021-10-01,2021-10-14,2405,-911.08,5.08,2021-10-14,680,392.46,2.54,3085,-518.6200000000001,7.62,2021-10-14,21
2021-10-08,2021-10-21,2205,-1873.08,5.08,2021-10-21,775,102.46,2.54,2980,-1770.62,7.62,2021-10-21,22
2021-10-15,2021-10-28,2050,-1125.08,5.08,2021-10-28,675,1047.46,2.54,2725,-77.61999999999989,7.62,2021-10-28,23
