Opened,pp_Closed,pp_Premium,pp_PnL,pp_Fees,cc_Closed,cc_Premium,cc_PnL,cc_Fees,combined_premium,combined_pnl_final,combined_fees,Closed,trade_id
2021-05-14,2021-05-20,2650,991.92,5.08,2021-05-20,925,-367.54,2.54,3575,624.3799999999999,7.62,2021-05-20,1
2021-05-21,2021-05-27,2460,-1035.08,5.08,2021-05-27,765,277.46,2.54,3225,-757.6199999999999,7.62,2021-05-27,2
2021-05-28,2021-06-03,2370,529.92,5.08,2021-06-03,795,-365.54,2.54,3165,164.37999999999994,7.62,2021-06-03,3
2021-06-04,2021-06-10,2825,-133.08,5.08,2021-06-10,1005,-232.54,2.54,3830,-365.62,7.62,2021-06-10,4
2021-06-11,2021-06-17,1835,724.92,5.08,2021-06-17,595,-242.54,2.54,2430,482.38,7.62,2021-06-17,5
2021-06-18,2021-06-24,2550,-1656.08,5.08,2021-06-24,835,497.46,2.54,3385,-1158.62,7.62,2021-06-24,6
2021-06-25,2021-07-01,1725,-455.08,5.08,2021-07-01,535,492.46,2.54,2260,37.379999999999995,7.62,2021-07-01,7
2021-07-02,2021-07-08,2365,1564.92,5.08,2021-07-08,780,-325.54,2.54,3145,1239.38,7.62,2021-07-08,8
2021-07-09,2021-07-15,1945,839.92,5.08,2021-07-15,630,-205.54,2.54,2575,634.38,7.62,2021-07-15,9
2021-07-16,2021-07-22,2935,-728.08,5.08,2021-07-22,955,409.46,2.54,3890,-318.62000000000006,7.62,2021-07-22,10
2021-07-23,2021-07-29,2435,26.92,5.08,2021-07-29,725,-42.54,2.54,3160,-15.619999999999997,7.62,2021-07-29,11
2021-07-30,2021-08-05,2625,-555.08,5.08,2021-08-05,805,292.46,2.54,3430,-262.62000000000006,7.62,2021-08-05,12
2021-08-06,2021-08-12,2480,-780.08,5.08,2021-08-12,785,212.46,2.54,3265,-567.62,7.62,2021-08-12,13
2021-08-13,2021-08-19,2390,1339.92,5.08,2021-08-19,815,-492.54,2.54,3205,847.3800000000001,7.62,2021-08-19,14
2021-08-20,2021-08-26,2890,99.92,5.08,2021-08-26,875,524.46,2.54,3765,624.38,7.62,2021-08-26,15
2021-08-27,2021-09-02,1910,219.92,5.08,2021-09-02,595,474.46,2.54,2505,694.38,7.62,2021-09-02,16
2021-09-03,2021-09-09,2675,719.92,5.08,2021-09-09,920,-620.54,2.54,3595,99.38,7.62,2021-09-09,17
2021-09-10,2021-09-16,2815,-80.08,5.08,2021-09-16,1105,-277.54,2.54,3920,-357.62,7.62,2021-09-16,18
2021-09-17,2021-09-23,2680,226.92,5.08,2021-09-23,870,197.46,2.54,3550,424.38,7.62,2021-09-23,19
2021-09-24,2021-09-30,2645,644.92,5.08,2021-09-30,755,-678.54,2.54,3400,-33.620000000000005,7.62,2021-09-30,20
2021-10-01,2021-10-07,3530,-273.08,5.08,2021-10-07,1090,674.46,2.54,4620,401.38000000000005,7.62,2021-10-07,21
2021-10-08,2021-10-14,2805,-540.08,5.08,2021-10-14,930,404.46,2.54,3735,-135.62000000000006,7.62,2021-10-14,22
2021-10-15,2021-10-21,2425,-1318.08,5.08,2021-10-21,780,587.46,2.54,3205,-730.6199999999999,7.62,2021-10-21,23
2021-10-22,2021-10-28,2670,-210.08,5.08,2021-10-28,930,1012.46,2.54,3600,802.38,7.62,2021-10-28,24
2021-10-29,2021-11-04,2700,-1303.08,5.08,2021-11-04,885,722.46,2.54,3585,-580.6199999999999,7.62,2021-11-04,25
2021-11-05,2021-11-11,2720,199.92,5.08,2021-11-11,845,-735.54,2.54,3565,-535.62,7.62,2021-11-11,26
2021-11-12,2021-11-18,2095,-215.08,5.08,2021-11-18,595,202.46,2.54,2690,-12.620000000000005,7.62,2021-11-18,27
2021-11-19,2021-11-26,3340,3109.92,5.08,2021-11-26,1100,-822.54,2.54,4440,2287.38,7.62,2021-11-26,28
2021-11-26,2021-12-02,3735,1839.92,5.08,2021-12-02,1250,-412.54,2.54,4985,1427.38,7.62,2021-12-02,29
2021-12-03,2021-12-09,4685,-3215.08,5.08,2021-12-09,1420,1167.46,2.54,6105,-2047.62,7.62,2021-12-09,30
2021-12-10,2021-12-16,2250,1094.92,5.08,2021-12-16,650,-252.54,2.54,2900,842.3800000000001,7.62,2021-12-16,31
2021-12-17,2021-12-23,3895,-3033.08,5.08,2021-12-23,1360,787.46,2.54,5255,-2245.62,7.62,2021-12-23,32
2021-12-31,2022-01-06,2925,479.92,5.08,2022-01-06,1000,-870.54,2.54,3925,-390.61999999999995,7.62,2022-01-06,33
2022-01-07,2022-01-13,2990,1256.92,5.08,2022-01-13,935,-192.54,2.54,3925,1064.38,7.62,2022-01-13,34
2022-01-14,2022-01-20,3825,-220.08,5.08,2022-01-20,1360,-1290.54,2.54,5185,-1510.62,7.62,2022-01-20,35
2022-01-21,2022-01-27,4090,2874.92,5.08,2022-01-27,1265,-642.54,2.54,5355,2232.38,7.62,2022-01-27,36
2022-01-28,2022-02-03,4460,-425.08,5.08,2022-02-03,1430,1217.46,2.54,5890,792.3800000000001,7.62,2022-02-03,37
2022-02-04,2022-02-10,3835,1866.92,5.08,2022-02-10,1215,-172.54,2.54,5050,1694.38,7.62,2022-02-10,38
2022-02-11,2022-02-17,3690,1721.92,5.08,2022-02-17,1035,-530.54,2.54,4725,1191.38,7.62,2022-02-17,39
2022-02-18,2022-02-24,4645,1184.92,5.08,2022-02-24,1545,-1182.54,2.54,6190,2.380000000000109,7.62,2022-02-24,40
2022-02-25,2022-03-03,4045,3304.92,5.08,2022-03-03,1325,-262.54,2.54,5370,3042.38,7.62,2022-03-03,41
2022-03-04,2022-03-10,5545,1266.92,5.08,2022-03-10,1960,-1400.54,2.54,7505,-133.6199999999999,7.62,2022-03-10,42
2022-03-11,2022-03-17,4355,-2713.08,5.08,2022-03-17,1360,1667.46,2.54,5715,-1045.62,7.62,2022-03-17,43
2022-03-18,2022-03-24,4050,-510.08,5.08,2022-03-24,1590,582.46,2.54,5640,72.38000000000005,7.62,2022-03-24,44
2022-03-25,2022-03-31,3530,-263.08,5.08,2022-03-31,1085,502.46,2.54,4615,239.38,7.62,2022-03-31,45
2022-04-01,2022-04-07,3095,849.92,5.08,2022-04-07,1005,-287.54,2.54,4100,562.3799999999999,7.62,2022-04-07,46
2022-04-08,2022-04-14,3550,896.92,5.08,2022-04-14,1145,-1085.54,2.54,4695,-188.62,7.62,2022-04-14,47
2022-04-22,2022-04-28,4785,1681.92,5.08,2022-04-28,1630,-147.54,2.54,6415,1534.38,7.62,2022-04-28,48
2022-04-29,2022-05-05,4485,2179.92,5.08,2022-05-05,1455,-32.54,2.54,5940,2147.38,7.62,2022-05-05,49
2022-05-06,2022-05-12,4600,824.92,5.08,2022-05-12,1420,-1275.54,2.54,6020,-450.62,7.62,2022-05-12,50
2022-05-13,2022-05-19,4230,1354.92,5.08,2022-05-19,1540,-1258.54,2.54,5770,96.38000000000011,7.62,2022-05-19,51
2022-05-20,2022-05-26,3775,-2471.08,5.08,2022-05-26,1195,1832.46,2.54,4970,-638.6199999999999,7.62,2022-05-26,52
2022-06-03,2022-06-09,4500,1619.92,5.08,2022-06-09,1630,-877.54,2.54,6130,742.3800000000001,7.62,2022-06-09,53
2022-06-10,2022-06-16,3055,189.92,5.08,2022-06-16,1095,-1005.54,2.54,4150,-815.62,7.62,2022-06-16,54
2022-06-17,2022-06-23,4145,-1718.08,5.08,2022-06-23,1555,1882.46,2.54,5700,164.3800000000001,7.62,2022-06-23,55
2022-06-24,2022-06-30,3380,1114.92,5.08,2022-06-30,1260,-1087.54,2.54,4640,27.38000000000011,7.62,2022-06-30,56
2022-07-01,2022-07-07,4740,-1355.08,5.08,2022-07-07,1865,1152.46,2.54,6605,-202.6199999999999,7.62,2022-07-07,57
2022-07-08,2022-07-14,3510,639.92,5.08,2022-07-14,1335,-1192.54,2.54,4845,-552.62,7.62,2022-07-14,58
2022-07-15,2022-07-21,4760,-2801.08,5.08,2022-07-21,1825,1432.46,2.54,6585,-1368.62,7.62,2022-07-21,59
2022-07-22,2022-07-28,2890,-1350.08,5.08,2022-07-28,1065,1542.46,2.54,3955,192.3800000000001,7.62,2022-07-28,60
2022-07-29,2022-08-04,3430,699.92,5.08,2022-08-04,1245,-87.54,2.54,4675,612.38,7.62,2022-08-04,61
2022-08-05,2022-08-11,2950,-650.08,5.08,2022-08-11,1010,1057.46,2.54,3960,407.38,7.62,2022-08-11,62
2022-08-12,2022-08-18,3265,16.92,5.08,2022-08-18,1320,12.46,2.54,4585,29.380000000000003,7.62,2022-08-18,63
2022-08-19,2022-08-25,3335,509.92,5.08,2022-08-25,1205,-610.54,2.54,4540,-100.61999999999995,7.62,2022-08-25,64
2022-09-02,2022-09-08,4695,-1646.08,5.08,2022-09-08,1695,1162.46,2.54,6390,-483.6199999999999,7.62,2022-09-08,65
2022-09-09,2022-09-15,3560,409.92,5.08,2022-09-15,1450,-1308.54,2.54,5010,-898.6199999999999,7.62,2022-09-15,66
2022-09-16,2022-09-22,3575,1504.92,5.08,2022-09-22,1120,-893.54,2.54,4695,611.3800000000001,7.62,2022-09-22,67
2022-09-23,2022-09-29,3665,2089.92,5.08,2022-09-29,1470,-740.54,2.54,5135,1349.38,7.62,2022-09-29,68
2022-09-30,2022-10-06,4525,-1866.08,5.08,2022-10-06,1720,2082.46,2.54,6245,216.3800000000001,7.62,2022-10-06,69
2022-10-07,2022-10-13,3615,1034.92,5.08,2022-10-13,1305,1032.46,2.54,4920,2067.38,7.62,2022-10-13,70
2022-10-14,2022-10-20,3775,-613.08,5.08,2022-10-20,1500,1037.46,2.54,5275,424.38,7.62,2022-10-20,71
2022-10-21,2022-10-27,4945,-540.08,5.08,2022-10-27,1895,947.46,2.54,6840,407.38,7.62,2022-10-27,72
2022-10-28,2022-11-03,4255,24.92,5.08,2022-11-03,1735,-1607.54,2.54,5990,-1582.62,7.62,2022-11-03,73
2022-11-04,2022-11-10,3060,-2061.08,5.08,2022-11-10,1110,1947.46,2.54,4170,-113.61999999999989,7.62,2022-11-10,74
2022-11-11,2022-11-17,2205,659.92,5.08,2022-11-17,855,-710.54,2.54,3060,-50.620000000000005,7.62,2022-11-17,75
2022-11-18,2022-11-25,4285,-2161.08,5.08,2022-11-25,1735,739.46,2.54,6020,-1421.62,7.62,2022-11-25,76
2022-11-25,2022-12-01,2295,-480.08,5.08,2022-12-01,1005,612.46,2.54,3300,132.38000000000005,7.62,2022-12-01,77
2022-12-02,2022-12-08,5910,-100.08,5.08,2022-12-08,2665,-1940.54,2.54,8575,-2040.62,7.62,2022-12-08,78
2022-12-09,2022-12-15,1480,1254.92,5.08,2022-12-15,555,-383.54,2.54,2035,871.3800000000001,7.62,2022-12-15,79
