trade_id,Opened,Closed,exit_reason,pnl,premium
1,2021-05-14,2021-05-20,expiration,624.3799999999999,3575
2,2021-05-21,2021-05-27,expiration,-757.6199999999999,3225
3,2021-05-28,2021-06-03,expiration,164.37999999999994,3165
4,2021-06-04,2021-06-10,expiration,-365.62,3830
5,2021-06-11,2021-06-17,expiration,482.38,2430
6,2021-06-18,2021-06-24,expiration,-1158.62,3385
7,2021-06-25,2021-07-01,expiration,37.379999999999995,2260
8,2021-07-02,2021-07-08,expiration,1239.38,3145
9,2021-07-09,2021-07-15,expiration,634.38,2575
10,2021-07-16,2021-07-22,expiration,-318.62000000000006,3890
11,2021-07-23,2021-07-29,expiration,-15.619999999999997,3160
12,2021-07-30,2021-08-05,expiration,-262.62000000000006,3430
13,2021-08-06,2021-08-12,expiration,-567.62,3265
14,2021-08-13,2021-08-19,expiration,847.3800000000001,3205
15,2021-08-20,2021-08-26,expiration,624.38,3765
16,2021-08-27,2021-09-02,expiration,694.38,2505
17,2021-09-03,2021-09-09,expiration,99.38,3595
18,2021-09-10,2021-09-16,expiration,-357.62,3920
19,2021-09-17,2021-09-23,expiration,424.38,3550
20,2021-09-24,2021-09-30,expiration,-33.620000000000005,3400
21,2021-10-01,2021-10-07,expiration,401.38000000000005,4620
22,2021-10-08,2021-10-14,expiration,-135.62000000000006,3735
23,2021-10-15,2021-10-21,expiration,-730.6199999999999,3205
24,2021-10-22,2021-10-28,expiration,802.38,3600
25,2021-10-29,2021-11-04,expiration,-580.6199999999999,3585
26,2021-11-05,2021-11-11,expiration,-535.62,3565
27,2021-11-12,2021-11-18,expiration,-12.620000000000005,2690
28,2021-11-19,2021-11-26,expiration,2287.38,4440
29,2021-11-26,2021-12-02,expiration,1427.38,4985
30,2021-12-03,2021-12-09,expiration,-2047.62,6105
31,2021-12-10,2021-12-16,expiration,842.3800000000001,2900
32,2021-12-17,2021-12-23,expiration,-2245.62,5255
33,2021-12-31,2022-01-06,expiration,-390.61999999999995,3925
34,2022-01-07,2022-01-13,expiration,1064.38,3925
35,2022-01-14,2022-01-20,expiration,-1510.62,5185
36,2022-01-21,2022-01-27,expiration,2232.38,5355
37,2022-01-28,2022-02-03,expiration,792.3800000000001,5890
38,2022-02-04,2022-02-10,expiration,1694.38,5050
39,2022-02-11,2022-02-17,expiration,1191.38,4725
40,2022-02-18,2022-02-24,expiration,2.380000000000109,6190
41,2022-02-25,2022-03-03,expiration,3042.38,5370
42,2022-03-04,2022-03-10,expiration,-133.6199999999999,7505
43,2022-03-11,2022-03-17,expiration,-1045.62,5715
44,2022-03-18,2022-03-24,expiration,72.38000000000005,5640
45,2022-03-25,2022-03-31,expiration,239.38,4615
46,2022-04-01,2022-04-07,expiration,562.3799999999999,4100
47,2022-04-08,2022-04-14,expiration,-188.62,4695
48,2022-04-22,2022-04-28,expiration,1534.38,6415
49,2022-04-29,2022-05-05,expiration,2147.38,5940
50,2022-05-06,2022-05-12,expiration,-450.62,6020
51,2022-05-13,2022-05-19,expiration,96.38000000000011,5770
52,2022-05-20,2022-05-26,expiration,-638.6199999999999,4970
53,2022-06-03,2022-06-09,expiration,742.3800000000001,6130
54,2022-06-10,2022-06-16,expiration,-815.62,4150
55,2022-06-17,2022-06-23,expiration,164.3800000000001,5700
56,2022-06-24,2022-06-30,expiration,27.38000000000011,4640
57,2022-07-01,2022-07-07,expiration,-202.6199999999999,6605
58,2022-07-08,2022-07-14,expiration,-552.62,4845
59,2022-07-15,2022-07-21,expiration,-1368.62,6585
60,2022-07-22,2022-07-28,expiration,192.3800000000001,3955
61,2022-07-29,2022-08-04,expiration,612.38,4675
62,2022-08-05,2022-08-11,expiration,407.38,3960
63,2022-08-12,2022-08-18,expiration,29.380000000000003,4585
64,2022-08-19,2022-08-25,expiration,-100.61999999999995,4540
65,2022-09-02,2022-09-08,expiration,-483.6199999999999,6390
66,2022-09-09,2022-09-15,expiration,-898.6199999999999,5010
67,2022-09-16,2022-09-22,expiration,611.3800000000001,4695
68,2022-09-23,2022-09-29,expiration,1349.38,5135
69,2022-09-30,2022-10-06,expiration,216.3800000000001,6245
70,2022-10-07,2022-10-13,expiration,2067.38,4920
71,2022-10-14,2022-10-20,expiration,424.38,5275
72,2022-10-21,2022-10-27,expiration,407.38,6840
73,2022-10-28,2022-11-03,expiration,-1582.62,5990
74,2022-11-04,2022-11-10,expiration,-113.61999999999989,4170
75,2022-11-11,2022-11-17,expiration,-50.620000000000005,3060
76,2022-11-18,2022-11-25,expiration,-1421.62,6020
77,2022-11-25,2022-12-01,expiration,132.38000000000005,3300
78,2022-12-02,2022-12-08,expiration,-2040.62,8575
79,2022-12-09,2022-12-15,expiration,871.3800000000001,2035
80,2022-12-16,2022-12-22,expiration,-170.62,3405
81,2022-12-23,2022-12-29,expiration,639.38,4515
82,2022-12-30,2023-01-05,expiration,381.37999999999994,6010
83,2023-01-06,2023-01-12,expiration,534.38,2565
84,2023-01-13,2023-01-19,expiration,-820.62,3380
85,2023-01-20,2023-01-26,expiration,-130.6199999999999,6285
86,2023-01-27,2023-02-02,expiration,814.38,2440
87,2023-02-03,2023-02-09,expiration,1909.38,4880
88,2023-02-10,2023-02-16,expiration,721.38,2460
89,2023-02-17,2023-02-23,expiration,-800.62,3955
90,2023-02-24,2023-03-02,expiration,-90.61999999999998,5145
91,2023-03-03,2023-03-09,expiration,-258.62,4050
92,2023-03-10,2023-03-16,expiration,1061.38,4955
93,2023-03-17,2023-03-23,expiration,1082.3799999999999,3660
94,2023-03-24,2023-03-30,expiration,-10.61999999999989,3330
95,2023-03-31,2023-04-06,expiration,1.3799999999999955,5485
96,2023-04-14,2023-04-20,expiration,69.38,3410
97,2023-04-21,2023-04-27,expiration,164.38,4780
98,2023-04-28,2023-05-04,expiration,154.38,2590
99,2023-05-05,2023-05-11,expiration,-183.62,3130
100,2023-05-12,2023-05-18,expiration,21.38000000000011,3095
101,2023-05-19,2023-05-25,expiration,609.3800000000001,3160
102,2023-05-26,2023-06-01,expiration,-695.62,2855
103,2023-06-02,2023-06-08,expiration,-82.61999999999999,3585
104,2023-06-09,2023-06-15,expiration,-275.62,1785
105,2023-06-16,2023-06-22,expiration,-1135.62,2995
106,2023-06-30,2023-07-06,expiration,-273.61999999999995,2675
107,2023-07-07,2023-07-13,expiration,-730.6199999999999,2590
108,2023-07-14,2023-07-20,expiration,729.38,3415
109,2023-07-21,2023-07-27,expiration,344.37999999999994,2505
110,2023-07-28,2023-08-03,expiration,-728.62,2795
111,2023-08-04,2023-08-10,expiration,249.37999999999994,3255
112,2023-08-11,2023-08-17,expiration,-620.6199999999999,3450
113,2023-08-18,2023-08-24,expiration,66.38000000000002,3300
114,2023-08-25,2023-08-31,expiration,-756.6199999999999,2525
115,2023-09-01,2023-09-07,expiration,-555.6199999999999,3080
116,2023-09-08,2023-09-14,expiration,-270.62,3160
117,2023-09-15,2023-09-21,expiration,-1192.62,2675
118,2023-09-22,2023-09-28,expiration,269.38,3075
119,2023-09-29,2023-10-05,expiration,349.37999999999994,3435
120,2023-10-06,2023-10-12,expiration,339.38,3470
121,2023-10-13,2023-10-19,expiration,924.3800000000001,3515
122,2023-10-20,2023-10-26,expiration,-565.62,4530
123,2023-10-27,2023-11-02,expiration,-2591.62,3930
